"1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11" "12" "13" "14"
"0610007C21Rik" 1.00703831923586 0.779212787580747 1.93071196162279 2.01864081134876 2.59769303236996 0.627290076025528 0.479215243386545 0.617462170451313 1.02764838919914 0.639491022906183 0.704065523928208 2.10046197079282 2.74240720925618 2.51904686387108
"0610007L01Rik" 0.639428498508682 0.863779463636123 0.948170739138976 0.721017577450328 0.688959792963767 0.331996935350796 0.153457787599076 0.521186519877568 0.328681462598889 0.314976249870815 0.531147943757756 0.351103668067755 0.610811484616632 0.549343740923003
"0610007N19Rik" 0.070752867965632 1.04802634326206 0.438199076859639 0.0268452772446007 0.739461832928676 0.286103954138164 0.459275622419331 0.0882162172354313 0.0960468686379916 0.216399983527811 0.0575034325758338 1.23641399828461 3.79084987431688 3.13849080345434
"0610007P14Rik" 0.293113686530155 0.343106055381227 0.801235826581094 0.100631117877542 0.327028204953248 0.380359857633866 0.180844907407407 0.207405474045441 0.412003043630392 0.322085237642908 0.508137825502908 0.684765030817215 0.598383237468504 0.816286963264471
"0610007P22Rik" 0.373043907375982 0.157855952764898 0.457593531850762 0.363860986156551 0.142704245451302 0.268808600512687 0 0.113790036647423 0.172451009149717 0.0805204190248641 0.450479249104193 0.344311919653863 0.303505531379194 0.319777601878462
"0610009B22Rik" 0.74102533652884 0.668899558590819 0.297016405624087 0.479225226909904 0.291981887459274 0.791823290560744 0.180844907407407 0.323070735906314 0.264558819855028 0.0740724521080851 0.0554739554279425 0.226154795064816 0.584070344222871 0.33408733933204
"0610009D07Rik" 2.11885318153592 0.783319030433809 1.45187809385288 1.86133755775042 0.922463702012747 1.47968790780673 1.79278739273581 2.29788957280676 2.15883331411047 2.49750548258361 2.31528712537313 1.6613942894905 1.40601736556117 1.73419203883727
"0610009L18Rik" 0.202265464198805 0.118635828446521 0.0986325722956222 0.137024304807071 0 0 0 0.0702483702037445 0.0581312371087918 0.0181632621440517 0.0388226183645453 0.0671231037723184 0.222165812979283 0.117352125819061
"0610009O20Rik" 0.238502987733876 0.100224667689711 0.86303853099977 0.782011077301894 0.560138118712894 0.321195675029085 0.324766105726822 0.0172355176969703 0.139839696098739 0.0332273139524693 0.0918943977746715 0.62324935732766 0.472228585220839 0.248149214394955
"0610010F05Rik" 0.277795589075139 0.091517239658426 0.198303047180138 0.0675464455355303 0.100679587213692 0 0 0.121464265798651 0.0382223582599905 0.0415146434961715 0.0660054512469192 0.0336938576097577 0.112185148394404 0.0964769462731161
