"Human"	"Mouse"	"value"
"279"	"smooth.muscle.cell"	"capillary.endothelial.cell"	0.0183220829315333
"74"	"mucus.secreting.cell"	"thyroid.follicular.cell"	0.0181470869149952
"126"	"ciliated.cell"	"non.myelinating.Schwann.cell"	0.0180045011252813
"230"	"fibroblast"	"myofibroblast.cell"	0.0179372197309417
"299"	"smooth.muscle.cell"	"vein.endothelial.cell"	0.0178997613365155
"114"	"mucus.secreting.cell"	"glandular.epithelial.cell"	0.0177514792899408
"15"	"neutrophil"	"ciliated.epithelial.cell"	0.0177335640138408
"319"	"smooth.muscle.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0174757281553398
"145"	"cd8.positive..alpha.beta.t.cell"	"myelinating.Schwann.cell"	0.0172155688622754
"251"	"ionocyte"	"endothelial.cell.of.artery"	0.0171849427168576
"13"	"mast.cell"	"ciliated.epithelial.cell"	0.0170278637770898
"68"	"double.positive..alpha.beta.thymocyte"	"thyroid.follicular.cell"	0.0169811320754717
"315"	"neutrophil"	"endothelial.cell.of.lymphatic.vessel"	0.0169491525423729
"272"	"macrophage"	"capillary.endothelial.cell"	0.0167487684729064
"66"	"ciliated.cell"	"thyroid.follicular.cell"	0.0166666666666667
"91"	"ionocyte"	"club.cell"	0.0166156536947967
"14"	"mucus.secreting.cell"	"ciliated.epithelial.cell"	0.0165998855180309
"338"	"serous.cell.of.epithelium.of.trachea"	"chondrocyte"	0.0165184243964422
"231"	"ionocyte"	"myofibroblast.cell"	0.0162254483347566
"132"	"macrophage"	"non.myelinating.Schwann.cell"	0.0162241887905605
"308"	"double.positive..alpha.beta.thymocyte"	"endothelial.cell.of.lymphatic.vessel"	0.0161030595813204
"86"	"ciliated.cell"	"club.cell"	0.0158730158730159
"235"	"neutrophil"	"myofibroblast.cell"	0.0154639175257732
"285"	"cd8.positive..alpha.beta.t.cell"	"vein.endothelial.cell"	0.015220700152207
"268"	"double.positive..alpha.beta.thymocyte"	"capillary.endothelial.cell"	0.0149492792311799
"213"	"mast.cell"	"dendritic.cell.1"	0.0145278450363196
"73"	"mast.cell"	"thyroid.follicular.cell"	0.0144810941271118
"263"	"basal.cell"	"capillary.endothelial.cell"	0.0142711518858308
"233"	"mast.cell"	"myofibroblast.cell"	0.0142421159715158
"313"	"mast.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0142276422764228
"184"	"cd4.positive..alpha.beta.t.cell"	"dendritic.cell"	0.014218009478673
"72"	"macrophage"	"thyroid.follicular.cell"	0.0141843971631206
"259"	"smooth.muscle.cell"	"endothelial.cell.of.artery"	0.0140721196130167
"117"	"secretory.cell"	"glandular.epithelial.cell"	0.013986013986014
"295"	"neutrophil"	"vein.endothelial.cell"	0.0136869118905047
"245"	"cd8.positive..alpha.beta.t.cell"	"endothelial.cell.of.artery"	0.0136268343815514
"185"	"cd8.positive..alpha.beta.t.cell"	"dendritic.cell"	0.0135823429541596
"75"	"neutrophil"	"thyroid.follicular.cell"	0.013571869216533
"242"	"b.cell"	"endothelial.cell.of.artery"	0.0135287485907554
"203"	"basal.cell"	"dendritic.cell.1"	0.0134803921568627
"48"	"double.positive..alpha.beta.thymocyte"	"macrophage"	0.0134625740441572
"141"	"goblet.cell"	"myelinating.Schwann.cell"	0.0134387351778656
"67"	"connective.tissue.cell"	"thyroid.follicular.cell"	0.0134189031505251
"228"	"double.positive..alpha.beta.thymocyte"	"myofibroblast.cell"	0.0133904659882164
"77"	"secretory.cell"	"thyroid.follicular.cell"	0.0132689987937274
"116"	"plasma.cell"	"glandular.epithelial.cell"	0.0132450331125828
"273"	"mast.cell"	"capillary.endothelial.cell"	0.013091641490433
"333"	"mast.cell"	"chondrocyte"	0.0130486358244365
"150"	"fibroblast"	"myelinating.Schwann.cell"	0.0129682997118156
"87"	"connective.tissue.cell"	"club.cell"	0.0128571428571429
"332"	"macrophage"	"chondrocyte"	0.0126582278481013
"158"	"serous.cell.of.epithelium.of.trachea"	"myelinating.Schwann.cell"	0.0126493323963457
"262"	"b.cell"	"capillary.endothelial.cell"	0.0126262626262626
"65"	"cd8.positive..alpha.beta.t.cell"	"thyroid.follicular.cell"	0.0126012601260126
"252"	"macrophage"	"endothelial.cell.of.artery"	0.0125560538116592
"361"	"goblet.cell"	"fibroblast.2"	0.0125
"193"	"mast.cell"	"dendritic.cell"	0.0124309392265193
"51"	"ionocyte"	"macrophage"	0.0123878684322939
"303"	"basal.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0123076923076923
"317"	"secretory.cell"	"endothelial.cell.of.lymphatic.vessel"	0.012280701754386
"248"	"double.positive..alpha.beta.thymocyte"	"endothelial.cell.of.artery"	0.0121580547112462
"270"	"fibroblast"	"capillary.endothelial.cell"	0.0121412803532009
"69"	"endothelial.cell"	"thyroid.follicular.cell"	0.0120845921450151
"323"	"basal.cell"	"chondrocyte"	0.0120048019207683
"44"	"cd4.positive..alpha.beta.t.cell"	"macrophage"	0.0118694362017804
"208"	"double.positive..alpha.beta.thymocyte"	"dendritic.cell.1"	0.0116754232340922
"19"	"smooth.muscle.cell"	"ciliated.epithelial.cell"	0.0115115115115115
"302"	"b.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0114649681528662
"134"	"mucus.secreting.cell"	"non.myelinating.Schwann.cell"	0.0113636363636364
"292"	"macrophage"	"vein.endothelial.cell"	0.0109756097560976
"211"	"ionocyte"	"dendritic.cell.1"	0.0109239872553482
"267"	"connective.tissue.cell"	"capillary.endothelial.cell"	0.0109140518417462
"312"	"macrophage"	"endothelial.cell.of.lymphatic.vessel"	0.0108588351431392
"125"	"cd8.positive..alpha.beta.t.cell"	"non.myelinating.Schwann.cell"	0.0108063175394846
"238"	"serous.cell.of.epithelium.of.trachea"	"myofibroblast.cell"	0.0107181136120043
"373"	"mast.cell"	"fibroblast.2"	0.0105633802816901
"265"	"cd8.positive..alpha.beta.t.cell"	"capillary.endothelial.cell"	0.0104529616724739
"43"	"basal.cell"	"macrophage"	0.010351966873706
"70"	"fibroblast"	"thyroid.follicular.cell"	0.0103448275862069
"226"	"ciliated.cell"	"myofibroblast.cell"	0.0102783725910064
"306"	"ciliated.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0102739726027397
"163"	"basal.cell"	"T.cell"	0.0101214574898785
"250"	"fibroblast"	"endothelial.cell.of.artery"	0.0099601593625498
"188"	"double.positive..alpha.beta.thymocyte"	"dendritic.cell"	0.00992555831265509
"95"	"neutrophil"	"club.cell"	0.0099160945842868
"5"	"cd8.positive..alpha.beta.t.cell"	"ciliated.epithelial.cell"	0.00990643918547056
"290"	"fibroblast"	"vein.endothelial.cell"	0.0099009900990099
"232"	"macrophage"	"myofibroblast.cell"	0.00987166831194472
"183"	"basal.cell"	"dendritic.cell"	0.00979020979020979
"17"	"secretory.cell"	"ciliated.epithelial.cell"	0.00977198697068404
"291"	"ionocyte"	"vein.endothelial.cell"	0.00969976905311778
"352"	"macrophage"	"fibroblast.1"	0.0096969696969697
"47"	"connective.tissue.cell"	"macrophage"	0.00966183574879227
"12"	"macrophage"	"ciliated.epithelial.cell"	0.0096056622851365
"62"	"b.cell"	"thyroid.follicular.cell"	0.00955109837631328
"64"	"cd4.positive..alpha.beta.t.cell"	"thyroid.follicular.cell"	0.00950369588173178
"204"	"cd4.positive..alpha.beta.t.cell"	"dendritic.cell.1"	0.00946969696969697
"22"	"b.cell"	"fibroblast"	0.00938967136150235
"225"	"cd8.positive..alpha.beta.t.cell"	"myofibroblast.cell"	0.00937866354044549
"144"	"cd4.positive..alpha.beta.t.cell"	"myelinating.Schwann.cell"	0.00932994062765055
"28"	"double.positive..alpha.beta.thymocyte"	"fibroblast"	0.00925925925925926
"2"	"b.cell"	"ciliated.epithelial.cell"	0.00913763563677898
"10"	"fibroblast"	"ciliated.epithelial.cell"	0.00911528150134048
"4"	"cd4.positive..alpha.beta.t.cell"	"ciliated.epithelial.cell"	0.00908540278619019
"331"	"ionocyte"	"chondrocyte"	0.009021199819576
"301"	"goblet.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0089974293059126
"222"	"b.cell"	"myofibroblast.cell"	0.0089058524173028
"9"	"endothelial.cell"	"ciliated.epithelial.cell"	0.00888324873096447
"343"	"basal.cell"	"fibroblast.1"	0.00887198986058302
"209"	"endothelial.cell"	"dendritic.cell.1"	0.0088638195004029
"122"	"b.cell"	"non.myelinating.Schwann.cell"	0.00878734622144113
"353"	"mast.cell"	"fibroblast.1"	0.00875
"264"	"cd4.positive..alpha.beta.t.cell"	"capillary.endothelial.cell"	0.00863309352517986
"142"	"b.cell"	"myelinating.Schwann.cell"	0.00859375
"246"	"ciliated.cell"	"endothelial.cell.of.artery"	0.0085924713584288
"93"	"mast.cell"	"club.cell"	0.00856531049250535
"278"	"serous.cell.of.epithelium.of.trachea"	"capillary.endothelial.cell"	0.00847457627118644
"176"	"plasma.cell"	"T.cell"	0.00834724540901502
"288"	"double.positive..alpha.beta.thymocyte"	"vein.endothelial.cell"	0.00831353919239905
"243"	"basal.cell"	"endothelial.cell.of.artery"	0.00831024930747922
"305"	"cd8.positive..alpha.beta.t.cell"	"endothelial.cell.of.lymphatic.vessel"	0.00818713450292398
"335"	"neutrophil"	"chondrocyte"	0.00815660685154975
"121"	"goblet.cell"	"non.myelinating.Schwann.cell"	0.0079646017699115
"329"	"endothelial.cell"	"chondrocyte"	0.00794912559618442
"369"	"endothelial.cell"	"fibroblast.2"	0.00790513833992095
"287"	"connective.tissue.cell"	"vein.endothelial.cell"	0.00788022064617809
"321"	"goblet.cell"	"chondrocyte"	0.00786163522012579
"355"	"neutrophil"	"fibroblast.1"	0.0076271186440678
"171"	"ionocyte"	"T.cell"	0.0075821398483572
"58"	"serous.cell.of.epithelium.of.trachea"	"macrophage"	0.00755939524838013
"314"	"mucus.secreting.cell"	"endothelial.cell.of.lymphatic.vessel"	0.00752823086574655
"92"	"macrophage"	"club.cell"	0.0072840790842872
"224"	"cd4.positive..alpha.beta.t.cell"	"myofibroblast.cell"	0.00727802037845706
"304"	"cd4.positive..alpha.beta.t.cell"	"endothelial.cell.of.lymphatic.vessel"	0.00726744186046512
"200"	"t.cell"	"dendritic.cell"	0.0072202166064982
"103"	"basal.cell"	"glandular.epithelial.cell"	0.00719424460431655
"49"	"endothelial.cell"	"macrophage"	0.00718907260963336
"90"	"fibroblast"	"club.cell"	0.00708382526564345
"325"	"cd8.positive..alpha.beta.t.cell"	"chondrocyte"	0.00701262272089762
"372"	"macrophage"	"fibroblast.2"	0.00681044267877412
"266"	"ciliated.cell"	"capillary.endothelial.cell"	0.00680272108843537
"341"	"goblet.cell"	"fibroblast.1"	0.00677966101694915
"111"	"ionocyte"	"glandular.epithelial.cell"	0.00673076923076923
"258"	"serous.cell.of.epithelium.of.trachea"	"endothelial.cell.of.artery"	0.00671785028790787
"276"	"plasma.cell"	"capillary.endothelial.cell"	0.0067001675041876
"358"	"serous.cell.of.epithelium.of.trachea"	"fibroblast.1"	0.00668449197860963
"254"	"mucus.secreting.cell"	"endothelial.cell.of.artery"	0.00665188470066519
"294"	"mucus.secreting.cell"	"vein.endothelial.cell"	0.00662251655629139
"170"	"fibroblast"	"T.cell"	0.00656455142231947
"375"	"neutrophil"	"fibroblast.2"	0.00647773279352227
"218"	"serous.cell.of.epithelium.of.trachea"	"dendritic.cell.1"	0.00641848523748395
"169"	"endothelial.cell"	"T.cell"	0.00636492220650637
"54"	"mucus.secreting.cell"	"macrophage"	0.00635324015247776
"283"	"basal.cell"	"vein.endothelial.cell"	0.00635324015247776
"328"	"double.positive..alpha.beta.thymocyte"	"chondrocyte"	0.00632911392405063
"31"	"ionocyte"	"fibroblast"	0.00631199278629396
"234"	"mucus.secreting.cell"	"myofibroblast.cell"	0.00627352572145546
"293"	"mast.cell"	"vein.endothelial.cell"	0.006265664160401
"214"	"mucus.secreting.cell"	"dendritic.cell.1"	0.00625978090766823
"223"	"basal.cell"	"myofibroblast.cell"	0.00612244897959184
"334"	"mucus.secreting.cell"	"chondrocyte"	0.00610687022900763
"23"	"basal.cell"	"fibroblast"	0.00600240096038415
"59"	"smooth.muscle.cell"	"macrophage"	0.005819592628516
"124"	"cd4.positive..alpha.beta.t.cell"	"non.myelinating.Schwann.cell"	0.00576368876080692
"179"	"smooth.muscle.cell"	"T.cell"	0.0056980056980057
"60"	"t.cell"	"macrophage"	0.00566037735849057
"25"	"cd8.positive..alpha.beta.t.cell"	"fibroblast"	0.00564174894217207
"194"	"mucus.secreting.cell"	"dendritic.cell"	0.00560747663551402
"50"	"fibroblast"	"macrophage"	0.00559910414333707
"39"	"smooth.muscle.cell"	"fibroblast"	0.00559284116331096
"24"	"cd4.positive..alpha.beta.t.cell"	"fibroblast"	0.0055452865064695
"320"	"t.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0055452865064695
"351"	"ionocyte"	"fibroblast.1"	0.00550964187327824
"324"	"cd4.positive..alpha.beta.t.cell"	"chondrocyte"	0.00549450549450549
"298"	"serous.cell.of.epithelium.of.trachea"	"vein.endothelial.cell"	0.00536912751677852
"318"	"serous.cell.of.epithelium.of.trachea"	"endothelial.cell.of.lymphatic.vessel"	0.0053248136315229
"27"	"connective.tissue.cell"	"fibroblast"	0.00531107738998483
"30"	"fibroblast"	"fibroblast"	0.00529100529100529
"357"	"secretory.cell"	"fibroblast.1"	0.00520833333333333
"56"	"plasma.cell"	"macrophage"	0.00518134715025907
"99"	"smooth.muscle.cell"	"club.cell"	0.00506585612968592
"38"	"serous.cell.of.epithelium.of.trachea"	"fibroblast"	0.00505689001264223
"167"	"connective.tissue.cell"	"T.cell"	0.0047361299052774
"363"	"basal.cell"	"fibroblast.2"	0.00472813238770686
"46"	"ciliated.cell"	"macrophage"	0.00470487596236099
"154"	"mucus.secreting.cell"	"myelinating.Schwann.cell"	0.00463678516228748
"34"	"mucus.secreting.cell"	"fibroblast"	0.00460829493087558
"326"	"ciliated.cell"	"chondrocyte"	0.00453309156844968
"36"	"plasma.cell"	"fibroblast"	0.00452488687782805
"16"	"plasma.cell"	"ciliated.epithelial.cell"	0.00449005772931366
"371"	"ionocyte"	"fibroblast.2"	0.0044762757385855
"89"	"endothelial.cell"	"club.cell"	0.00444444444444444
"257"	"secretory.cell"	"endothelial.cell.of.artery"	0.00441826215022091
"376"	"plasma.cell"	"fibroblast.2"	0.00440528634361234
"108"	"double.positive..alpha.beta.thymocyte"	"glandular.epithelial.cell"	0.00437773608505316
"137"	"secretory.cell"	"non.myelinating.Schwann.cell"	0.00431499460625674
"136"	"plasma.cell"	"non.myelinating.Schwann.cell"	0.00424178154825027
"113"	"mast.cell"	"glandular.epithelial.cell"	0.00423728813559322
"107"	"connective.tissue.cell"	"glandular.epithelial.cell"	0.00423011844331641
"178"	"serous.cell.of.epithelium.of.trachea"	"T.cell"	0.00420609884332282
"100"	"t.cell"	"club.cell"	0.00411522633744856
"349"	"endothelial.cell"	"fibroblast.1"	0.00411184210526316
"206"	"ciliated.cell"	"dendritic.cell.1"	0.00410771337288909
"102"	"b.cell"	"glandular.epithelial.cell"	0.00396039603960396
"119"	"smooth.muscle.cell"	"glandular.epithelial.cell"	0.00395778364116095
"199"	"smooth.muscle.cell"	"dendritic.cell"	0.00384615384615385
