"Human"	"Mouse"	"value"
"40"	"endothelial.cell.of.lymphatic.vessel"	"keratinocyte.1"	0.00356294536817102
"79"	"immune.cell"	"basal.cell.2"	0.00344036697247706
"60"	"vein.endothelial.cell"	"basal.cell"	0.00284090909090909
"48"	"vein.endothelial.cell"	"keratinocyte.1"	0.0026525198938992
"82"	"schwann.cell"	"basal.cell.2"	0.00258732212160414
"89"	"epithelial.cell"	"keratinocyte.2"	0.00258397932816537
"91"	"immune.cell"	"keratinocyte.2"	0.00224719101123596
"115"	"immune.cell"	"basal.cell.4"	0.00215982721382289
"116"	"keratinocyte"	"basal.cell.4"	0.0020703933747412
"78"	"fibroblast"	"basal.cell.2"	0.00204081632653061
"43"	"immune.cell"	"keratinocyte.1"	0.00198609731876862
"59"	"tongue.muscle.cell"	"basal.cell"	0.00168067226890756
"42"	"fibroblast"	"keratinocyte.1"	0.0016025641025641
"103"	"immune.cell"	"basal.cell.3"	0.00118906064209275
"99"	"endothelial.cell.of.artery"	"basal.cell.3"	0.00111358574610245
"75"	"endothelial.cell.of.artery"	"basal.cell.2"	0.00107411385606874
"47"	"tongue.muscle.cell"	"keratinocyte.1"	0
"74"	"capillary.endothelial.cell"	"basal.cell.2"	0
"81"	"pericyte.cell"	"basal.cell.2"	0
"87"	"endothelial.cell.of.artery"	"keratinocyte.2"	0
"95"	"tongue.muscle.cell"	"keratinocyte.2"	0
"97"	"basal.cell"	"basal.cell.3"	0
"98"	"capillary.endothelial.cell"	"basal.cell.3"	0
"100"	"endothelial.cell.of.lymphatic.vessel"	"basal.cell.3"	0
"101"	"epithelial.cell"	"basal.cell.3"	0
"104"	"keratinocyte"	"basal.cell.3"	0
"105"	"pericyte.cell"	"basal.cell.3"	0
"106"	"schwann.cell"	"basal.cell.3"	0
"108"	"vein.endothelial.cell"	"basal.cell.3"	0
"120"	"vein.endothelial.cell"	"basal.cell.4"	0
