"Human"	"Mouse"	"value"
"244"	"slow.muscle.cell"	"pericyte.cell"	0.0204081632653061
"357"	"skeletal.muscle.satellite.stem.cell"	"smooth.muscle.cell"	0.0198928844682479
"108"	"mesothelial.cell"	"CD8.positive..alpha.beta.T.cell"	0.0195530726256983
"123"	"macrophage"	"B.cell"	0.0191235059760956
"144"	"mature.nk.t.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0191131498470948
"89"	"mesothelial.cell"	"skeletal.muscle.satellite.cell"	0.0191021967526266
"48"	"mast.cell"	"monocyte.derived.dendritic.cell"	0.0190677966101695
"56"	"t.cell"	"monocyte.derived.dendritic.cell"	0.0187265917602996
"116"	"cd4.positive..alpha.beta.t.cell"	"B.cell"	0.0185873605947955
"196"	"endothelial.cell.of.vascular.tree"	"capillary.endothelial.cell"	0.0185643564356436
"313"	"macrophage"	"skeletal.muscle.fibroblast..fibroblast.1"	0.0184409052808047
"324"	"capillary.endothelial.cell"	"myelinating.Schwann.cell"	0.0184254606365159
"74"	"smooth.muscle.cell"	"T.helper.17.cell"	0.0183356840620592
"335"	"mesenchymal.stem.cell"	"myelinating.Schwann.cell"	0.0178242163491088
"169"	"smooth.muscle.cell"	"vein.endothelial.cell..endothelial.stalk.cell"	0.0177690029615005
"356"	"pericyte.cell"	"smooth.muscle.cell"	0.0175879396984925
"271"	"endothelial.cell.of.lymphatic.vessel"	"stromal.cell"	0.0175438596491228
"143"	"mast.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0173992673992674
"65"	"fast.muscle.cell"	"T.helper.17.cell"	0.0173969072164948
"161"	"macrophage"	"vein.endothelial.cell..endothelial.stalk.cell"	0.0173775671406003
"17"	"smooth.muscle.cell"	"striated.muscle.cell"	0.0171730515191546
"309"	"endothelial.cell.of.lymphatic.vessel"	"skeletal.muscle.fibroblast..fibroblast.1"	0.017156862745098
"82"	"endothelial.cell.of.vascular.tree"	"skeletal.muscle.satellite.cell"	0.0169753086419753
"318"	"pericyte.cell"	"skeletal.muscle.fibroblast..fibroblast.1"	0.0168855534709193
"308"	"endothelial.cell.of.artery"	"skeletal.muscle.fibroblast..fibroblast.1"	0.0163934426229508
"345"	"cd8.positive..alpha.beta.t.cell"	"smooth.muscle.cell"	0.016246953696182
"41"	"cd8.positive..alpha.beta.t.cell"	"monocyte.derived.dendritic.cell"	0.0161001788908766
"233"	"endothelial.cell.of.lymphatic.vessel"	"pericyte.cell"	0.016016016016016
"180"	"macrophage"	"endothelial.cell.of.artery"	0.0159744408945687
"264"	"smooth.muscle.cell"	"tendon.cell"	0.0158227848101266
"150"	"smooth.muscle.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0157407407407407
"279"	"mesothelial.cell"	"stromal.cell"	0.0155228758169935
"247"	"tendon.cell"	"pericyte.cell"	0.0154577883472057
"11"	"mature.nk.t.cell"	"striated.muscle.cell"	0.0154373927958834
"129"	"skeletal.muscle.satellite.stem.cell"	"B.cell"	0.0154277699859748
"326"	"cd8.positive..alpha.beta.t.cell"	"myelinating.Schwann.cell"	0.0153747597693786
"227"	"t.cell"	"blood.vessel.endothelial.cell"	0.0152582159624413
"277"	"mature.nk.t.cell"	"stromal.cell"	0.0150375939849624
"10"	"mast.cell"	"striated.muscle.cell"	0.0150228608752449
"188"	"smooth.muscle.cell"	"endothelial.cell.of.artery"	0.015
"238"	"mast.cell"	"pericyte.cell"	0.0149122807017544
"176"	"endothelial.cell.of.lymphatic.vessel"	"endothelial.cell.of.artery"	0.0148741418764302
"70"	"mesothelial.cell"	"T.helper.17.cell"	0.0148387096774194
"283"	"smooth.muscle.cell"	"stromal.cell"	0.0145719489981785
"232"	"endothelial.cell.of.artery"	"pericyte.cell"	0.0144508670520231
"201"	"mature.nk.t.cell"	"capillary.endothelial.cell"	0.0144048521607278
"142"	"macrophage"	"endothelial.cell.of.lymphatic.vessel"	0.0142322097378277
"199"	"macrophage"	"capillary.endothelial.cell"	0.0141791044776119
"219"	"mast.cell"	"blood.vessel.endothelial.cell"	0.0140421263791374
"220"	"mature.nk.t.cell"	"blood.vessel.endothelial.cell"	0.0139802631578947
"134"	"capillary.endothelial.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0137857900318134
"218"	"macrophage"	"blood.vessel.endothelial.cell"	0.0137429264349232
"90"	"pericyte.cell"	"skeletal.muscle.satellite.cell"	0.0135922330097087
"236"	"fast.muscle.cell"	"pericyte.cell"	0.0134813639968279
"130"	"slow.muscle.cell"	"B.cell"	0.0134751773049645
"13"	"mesothelial.cell"	"striated.muscle.cell"	0.013357619914997
"252"	"endothelial.cell.of.lymphatic.vessel"	"tendon.cell"	0.0133495145631068
"243"	"skeletal.muscle.satellite.stem.cell"	"pericyte.cell"	0.013189448441247
"260"	"mesothelial.cell"	"tendon.cell"	0.012987012987013
"234"	"endothelial.cell.of.vascular.tree"	"pericyte.cell"	0.0128956623681125
"270"	"endothelial.cell.of.artery"	"stromal.cell"	0.0128585558852621
"200"	"mast.cell"	"capillary.endothelial.cell"	0.0127041742286751
"321"	"smooth.muscle.cell"	"skeletal.muscle.fibroblast..fibroblast.1"	0.0126849894291755
"190"	"tendon.cell"	"endothelial.cell.of.artery"	0.0125523012552301
"146"	"mesothelial.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0123864574731627
"120"	"endothelial.cell.of.vascular.tree"	"B.cell"	0.0122615803814714
"343"	"capillary.endothelial.cell"	"smooth.muscle.cell"	0.0122282608695652
"262"	"skeletal.muscle.satellite.stem.cell"	"tendon.cell"	0.0121765601217656
"182"	"mature.nk.t.cell"	"endothelial.cell.of.artery"	0.0121359223300971
"229"	"capillary.endothelial.cell"	"pericyte.cell"	0.0121212121212121
"272"	"endothelial.cell.of.vascular.tree"	"stromal.cell"	0.0121212121212121
"246"	"t.cell"	"pericyte.cell"	0.012012012012012
"310"	"endothelial.cell.of.vascular.tree"	"skeletal.muscle.fibroblast..fibroblast.1"	0.0119225037257824
"147"	"pericyte.cell"	"endothelial.cell.of.lymphatic.vessel"	0.011887072808321
"162"	"mast.cell"	"vein.endothelial.cell..endothelial.stalk.cell"	0.0116166505324298
"256"	"macrophage"	"tendon.cell"	0.0116086235489221
"72"	"skeletal.muscle.satellite.stem.cell"	"T.helper.17.cell"	0.0114739629302736
"206"	"slow.muscle.cell"	"capillary.endothelial.cell"	0.0113941018766756
"284"	"t.cell"	"stromal.cell"	0.0113285272914521
"63"	"endothelial.cell.of.vascular.tree"	"T.helper.17.cell"	0.0112847222222222
"88"	"mesenchymal.stem.cell"	"skeletal.muscle.satellite.cell"	0.0112540192926045
"170"	"t.cell"	"vein.endothelial.cell..endothelial.stalk.cell"	0.0112485939257593
"348"	"endothelial.cell.of.vascular.tree"	"smooth.muscle.cell"	0.0112191473448018
"20"	"capillary.endothelial.cell"	"macrophage"	0.0111788617886179
"163"	"mature.nk.t.cell"	"vein.endothelial.cell..endothelial.stalk.cell"	0.0111731843575419
"305"	"capillary.endothelial.cell"	"skeletal.muscle.fibroblast..fibroblast.1"	0.0111386138613861
"269"	"cd8.positive..alpha.beta.t.cell"	"stromal.cell"	0.0110192837465565
"207"	"smooth.muscle.cell"	"capillary.endothelial.cell"	0.0110091743119266
"34"	"skeletal.muscle.satellite.stem.cell"	"macrophage"	0.0108564535585042
"329"	"endothelial.cell.of.vascular.tree"	"myelinating.Schwann.cell"	0.0107913669064748
"22"	"cd8.positive..alpha.beta.t.cell"	"macrophage"	0.0106951871657754
"282"	"slow.muscle.cell"	"stromal.cell"	0.0106312292358804
"92"	"slow.muscle.cell"	"skeletal.muscle.satellite.cell"	0.0105184072126221
"151"	"t.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0104712041884817
"253"	"endothelial.cell.of.vascular.tree"	"tendon.cell"	0.0103397341211226
"105"	"mast.cell"	"CD8.positive..alpha.beta.T.cell"	0.0103092783505155
"204"	"pericyte.cell"	"capillary.endothelial.cell"	0.0103092783505155
