"Human"	"Mouse"	"value"
"176"	"neutrophil"	"pericyte.cell"	0.0282352941176471
"531"	"vascular.associated.smooth.muscle.cell"	"fibroblast.1"	0.0280735721200387
"70"	"respiratory.mucous.cell"	"pulmonary.ionocyte..type.II.pneumocyte"	0.0280146163215591
"139"	"nk.cell"	"capillary.endothelial.cell"	0.0274527452745275
"204"	"dendritic.cell"	"B.cell"	0.0269503546099291
"187"	"type.i.pneumocyte"	"pericyte.cell"	0.0267627380339681
"191"	"cd8.positive..alpha.beta.t.cell"	"B.cell"	0.0267131242740999
"141"	"pericyte.cell"	"capillary.endothelial.cell"	0.026378896882494
"92"	"endothelial.cell.of.lymphatic.vessel"	"pulmonary.artery.endothelial.cell"	0.026219512195122
"445"	"pericyte.cell"	"myofibroblast.cell"	0.0262080262080262
"156"	"alveolar.fibroblast"	"pericyte.cell"	0.0259909031838856
"322"	"intermediate.monocyte"	"classical.monocyte"	0.0258780036968577
"16"	"endothelial.cell.of.lymphatic.vessel"	"ciliated.epithelial.cell"	0.0258426966292135
"532"	"vein.endothelial.cell"	"fibroblast.1"	0.0258064516129032
"280"	"dendritic.cell"	"alveolar.macrophage"	0.0257558790593505
"215"	"nk.cell"	"B.cell"	0.0256553262688232
"511"	"fibroblast"	"fibroblast.1"	0.0251078854452727
"387"	"basophil"	"lymphocyte"	0.0249221183800623
"301"	"type.i.pneumocyte"	"alveolar.macrophage"	0.0248488918737408
"137"	"myofibroblast.cell"	"capillary.endothelial.cell"	0.024649222601441
"161"	"bronchial.vessel.endothelial.cell"	"pericyte.cell"	0.0244776119402985
"441"	"myofibroblast.cell"	"myofibroblast.cell"	0.0242009132420091
"31"	"respiratory.goblet.cell"	"ciliated.epithelial.cell"	0.0237226277372263
"291"	"nk.cell"	"alveolar.macrophage"	0.0236895161290323
"44"	"basal.cell"	"pulmonary.ionocyte..type.II.pneumocyte"	0.0235783633841886
"528"	"smooth.muscle.cell"	"fibroblast.1"	0.0234670704012112
"473"	"fibroblast"	"fibroblast"	0.0234248788368336
"36"	"type.ii.pneumocyte"	"ciliated.epithelial.cell"	0.0233949945593036
"13"	"club.cell"	"ciliated.epithelial.cell"	0.0233918128654971
"8"	"bronchial.smooth.muscle.cell"	"ciliated.epithelial.cell"	0.0231984205330701
"257"	"plasmacytoid.dendritic.cell"	"neutrophil"	0.0228928199791883
"197"	"basophil"	"B.cell"	0.0227272727272727
"296"	"pulmonary.ionocyte"	"alveolar.macrophage"	0.0224719101123595
"363"	"macrophage"	"non.classical.monocyte"	0.0220820189274448
"163"	"capillary.endothelial.cell"	"pericyte.cell"	0.0220369267421084
"122"	"bronchial.smooth.muscle.cell"	"capillary.endothelial.cell"	0.02184637068358
"253"	"nk.cell"	"neutrophil"	0.0215749730312837
"155"	"adventitial.cell"	"pericyte.cell"	0.0215404699738903
"514"	"lung.microvascular.endothelial.cell"	"fibroblast.1"	0.0214876033057851
"25"	"nk.cell"	"ciliated.epithelial.cell"	0.0214411247803163
"521"	"pericyte.cell"	"fibroblast.1"	0.0213114754098361
"275"	"bronchial.vessel.endothelial.cell"	"alveolar.macrophage"	0.0212940212940213
"138"	"neutrophil"	"capillary.endothelial.cell"	0.0212765957446809
"367"	"nk.cell"	"non.classical.monocyte"	0.0212121212121212
"45"	"basophil"	"pulmonary.ionocyte..type.II.pneumocyte"	0.0210526315789474
