"Human"	"Mouse"	"value"
"235"	"nk.cell"	"mature.NK.T.cell"	0.0170278637770898
"118"	"platelet"	"mesenchymal.stem.cell"	0.0165441176470588
"240"	"type.i.nk.t.cell"	"mature.NK.T.cell"	0.0164948453608247
"47"	"regulatory.t.cell"	"macrophage"	0.016270337922403
"56"	"erythrocyte"	"plasmacytoid.dendritic.cell"	0.016243654822335
"73"	"cd1c.positive.myeloid.dendritic.cell"	"T1.B.cell"	0.0162107396149949
"277"	"mature.nk.t.cell"	"activated.CD4.positive..alpha.beta.T.cell"	0.0159235668789809
"162"	"neutrophil"	"conventional.dendritic.cell"	0.0155228758169935
"67"	"nk.cell"	"plasmacytoid.dendritic.cell"	0.0154004106776181
"1"	"cd1c.positive.myeloid.dendritic.cell"	"epithelial.cell"	0.0153139356814701
"238"	"platelet"	"mature.NK.T.cell"	0.0148317170564746
"359"	"regulatory.t.cell"	"naive.thymus.derived.CD4.positive..alpha.beta.T.cell"	0.014760147601476
"58"	"innate.lymphoid.cell"	"plasmacytoid.dendritic.cell"	0.0147441457068517
"267"	"cd8.positive..alpha.beta.memory.t.cell"	"activated.CD4.positive..alpha.beta.T.cell"	0.0141843971631206
"198"	"classical.monocyte"	"follicular.B.cell"	0.0141129032258065
"175"	"endothelial.cell"	"natural.killer.cell"	0.0138613861386139
"232"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"mature.NK.T.cell"	0.0138504155124654
"166"	"platelet"	"conventional.dendritic.cell"	0.013317191283293
"33"	"hematopoietic.stem.cell"	"macrophage"	0.0132588974180042
"173"	"cd141.positive.myeloid.dendritic.cell"	"natural.killer.cell"	0.0130293159609121
"139"	"nk.cell"	"monocyte"	0.0128205128205128
"234"	"neutrophil"	"mature.NK.T.cell"	0.0127723516153268
"266"	"cd4.positive..alpha.beta.memory.t.cell"	"activated.CD4.positive..alpha.beta.T.cell"	0.0125
"229"	"mature.nk.t.cell"	"mature.NK.T.cell"	0.0123456790123457
"169"	"cd1c.positive.myeloid.dendritic.cell"	"natural.killer.cell"	0.0121028744326778
"223"	"endothelial.cell"	"mature.NK.T.cell"	0.0120240480961924
"180"	"macrophage"	"natural.killer.cell"	0.0118694362017804
"82"	"innate.lymphoid.cell"	"T1.B.cell"	0.0117351215423303
"220"	"cd8.positive..alpha.beta.t.cell"	"mature.NK.T.cell"	0.0117302052785924
"214"	"platelet"	"follicular.B.cell"	0.0116635972989564
"178"	"innate.lymphoid.cell"	"natural.killer.cell"	0.0115874855156431
"239"	"regulatory.t.cell"	"mature.NK.T.cell"	0.0114942528735632
"121"	"cd1c.positive.myeloid.dendritic.cell"	"monocyte"	0.0114503816793893
"241"	"cd1c.positive.myeloid.dendritic.cell"	"marginal.zone.B.cell.of.spleen"	0.0112359550561798
"205"	"mature.nk.t.cell"	"follicular.B.cell"	0.0112044817927171
"130"	"innate.lymphoid.cell"	"monocyte"	0.0110192837465565
"71"	"regulatory.t.cell"	"plasmacytoid.dendritic.cell"	0.0105757931844888
"77"	"cd141.positive.myeloid.dendritic.cell"	"T1.B.cell"	0.0105708245243129
"96"	"type.i.nk.t.cell"	"T1.B.cell"	0.0105509964830012
"280"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"activated.CD4.positive..alpha.beta.T.cell"	0.0104712041884817
"227"	"intermediate.monocyte"	"mature.NK.T.cell"	0.01036866359447
"142"	"platelet"	"monocyte"	0.0102533172496984
"101"	"cd141.positive.myeloid.dendritic.cell"	"mesenchymal.stem.cell"	0.0099009900990099
"127"	"endothelial.cell"	"monocyte"	0.00959132610508757
