"Spleen"	"Bone marrow"	"value"
"223"	"endothelial.cell"	"monocyte"	0.02106149957877
"276"	"macrophage"	"naive.b.cell"	0.021018593371059
"250"	"innate.lymphoid.cell"	"myeloid.progenitor"	0.0199501246882793
"140"	"plasma.cell"	"granulocyte"	0.0198675496688742
"359"	"regulatory.t.cell"	"nk.cell"	0.019755409219191
"169"	"cd1c.positive.myeloid.dendritic.cell"	"macrophage"	0.0181818181818182
"60"	"macrophage"	"cd24.neutrophil"	0.0181543116490166
"215"	"regulatory.t.cell"	"memory.b.cell"	0.0178970917225951
"175"	"endothelial.cell"	"macrophage"	0.0178843226788432
"324"	"macrophage"	"neutrophil"	0.0171115674195756
"116"	"plasma.cell"	"erythroid.progenitor"	0.0167652859960552
"274"	"innate.lymphoid.cell"	"naive.b.cell"	0.0164383561643836
"252"	"macrophage"	"myeloid.progenitor"	0.0162361623616236
"108"	"macrophage"	"erythroid.progenitor"	0.015807560137457
"121"	"cd1c.positive.myeloid.dendritic.cell"	"granulocyte"	0.0157593123209169
"287"	"regulatory.t.cell"	"naive.b.cell"	0.0151706700379267
"284"	"plasma.cell"	"naive.b.cell"	0.0149253731343284
"241"	"cd1c.positive.myeloid.dendritic.cell"	"myeloid.progenitor"	0.0148809523809524
"300"	"macrophage"	"nampt.neutrophil"	0.014344262295082
"3"	"cd8.positive..alpha.beta.memory.t.cell"	"cd4.positive..alpha.beta.t.cell"	0.0140845070422535
"286"	"platelet"	"naive.b.cell"	0.0138203356367226
"294"	"classical.monocyte"	"nampt.neutrophil"	0.0134408602150538
"204"	"macrophage"	"memory.b.cell"	0.0132890365448505
"46"	"platelet"	"cd8.positive..alpha.beta.t.cell"	0.0131651124520022
"84"	"macrophage"	"erythrocyte"	0.0130293159609121
"127"	"endothelial.cell"	"granulocyte"	0.0128554733151539
"58"	"innate.lymphoid.cell"	"cd24.neutrophil"	0.012701100762066
"172"	"cd8.positive..alpha.beta.t.cell"	"macrophage"	0.0125744540039709
"318"	"classical.monocyte"	"neutrophil"	0.0125223613595707
"54"	"classical.monocyte"	"cd24.neutrophil"	0.0122448979591837
"261"	"plasmacytoid.dendritic.cell"	"myeloid.progenitor"	0.0122417750573833
"260"	"plasma.cell"	"myeloid.progenitor"	0.0119695321001088
"131"	"intermediate.monocyte"	"granulocyte"	0.0116896918172157
"321"	"hematopoietic.stem.cell"	"neutrophil"	0.0115361262902247
"106"	"innate.lymphoid.cell"	"erythroid.progenitor"	0.0114242193450114
"298"	"innate.lymphoid.cell"	"nampt.neutrophil"	0.0113636363636364
"348"	"macrophage"	"nk.cell"	0.0111329404060249
"45"	"plasmacytoid.dendritic.cell"	"cd8.positive..alpha.beta.t.cell"	0.0110998990918264
"254"	"memory.b.cell"	"myeloid.progenitor"	0.0110024449877751
"142"	"platelet"	"granulocyte"	0.0109051254089422
"61"	"mature.nk.t.cell"	"cd24.neutrophil"	0.0107015457788347
