"Spleen"	"Bone marrow"	"value"
"232"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"monocyte"	0
"233"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"monocyte"	0
"235"	"nk.cell"	"monocyte"	0
"236"	"plasma.cell"	"monocyte"	0
"242"	"cd4.positive..alpha.beta.memory.t.cell"	"myeloid.progenitor"	0
"243"	"cd8.positive..alpha.beta.memory.t.cell"	"myeloid.progenitor"	0
"248"	"erythrocyte"	"myeloid.progenitor"	0
"266"	"cd4.positive..alpha.beta.memory.t.cell"	"naive.b.cell"	0
"267"	"cd8.positive..alpha.beta.memory.t.cell"	"naive.b.cell"	0
"291"	"cd8.positive..alpha.beta.memory.t.cell"	"nampt.neutrophil"	0
"302"	"memory.b.cell"	"nampt.neutrophil"	0
"315"	"cd8.positive..alpha.beta.memory.t.cell"	"neutrophil"	0
"338"	"cd4.positive..alpha.beta.memory.t.cell"	"nk.cell"	0
"344"	"erythrocyte"	"nk.cell"	0
"350"	"memory.b.cell"	"nk.cell"	0
"366"	"classical.monocyte"	"plasma.cell"	0
"368"	"erythrocyte"	"plasma.cell"	0
"371"	"intermediate.monocyte"	"plasma.cell"	0
"373"	"mature.nk.t.cell"	"plasma.cell"	0
"376"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"plasma.cell"	0
"377"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"plasma.cell"	0
"378"	"neutrophil"	"plasma.cell"	0
