"Skeletal muscle"	"Trachea"	"value"
"82"	"endothelial.cell.of.vascular.tree"	"cd8.positive..alpha.beta.t.cell"	0
"83"	"erythrocyte"	"cd8.positive..alpha.beta.t.cell"	0
"159"	"erythrocyte"	"endothelial.cell"	0
"173"	"cd4.positive..alpha.beta.t.cell"	"fibroblast"	0
"318"	"pericyte.cell"	"secretory.cell"	0
"345"	"cd8.positive..alpha.beta.t.cell"	"smooth.muscle.cell"	0
"360"	"t.cell"	"smooth.muscle.cell"	0
"365"	"endothelial.cell.of.artery"	"t.cell"	0
"368"	"erythrocyte"	"t.cell"	0
"373"	"mesenchymal.stem.cell"	"t.cell"	0
"375"	"pericyte.cell"	"t.cell"	0
"376"	"skeletal.muscle.satellite.stem.cell"	"t.cell"	0
"378"	"smooth.muscle.cell"	"t.cell"	0
