"Skeletal muscle"	"Trachea"	"value"
"185"	"pericyte.cell"	"fibroblast"	0.0206185567010309
"340"	"smooth.muscle.cell"	"serous.cell.of.epithelium.of.trachea"	0.0205254515599343
"150"	"smooth.muscle.cell"	"double.positive..alpha.beta.thymocyte"	0.0204841713221601
"272"	"endothelial.cell.of.vascular.tree"	"neutrophil"	0.0204081632653061
"265"	"t.cell"	"mucus.secreting.cell"	0.0199789695057834
"267"	"capillary.endothelial.cell"	"neutrophil"	0.019893899204244
"343"	"capillary.endothelial.cell"	"smooth.muscle.cell"	0.0194420963651733
"29"	"mast.cell"	"b.cell"	0.0193370165745856
"363"	"cd4.positive..alpha.beta.t.cell"	"t.cell"	0.0193370165745856
"317"	"mesothelial.cell"	"secretory.cell"	0.0192697768762677
"347"	"endothelial.cell.of.lymphatic.vessel"	"smooth.muscle.cell"	0.0192307692307692
"199"	"macrophage"	"ionocyte"	0.0190839694656489
"348"	"endothelial.cell.of.vascular.tree"	"smooth.muscle.cell"	0.0190839694656489
"176"	"endothelial.cell.of.lymphatic.vessel"	"fibroblast"	0.0188679245283019
"346"	"endothelial.cell.of.artery"	"smooth.muscle.cell"	0.0186385737439222
"99"	"endothelial.cell.of.artery"	"ciliated.cell"	0.0186360031720856
"355"	"mesothelial.cell"	"smooth.muscle.cell"	0.0186335403726708
"21"	"cd4.positive..alpha.beta.t.cell"	"b.cell"	0.0180921052631579
"168"	"slow.muscle.cell"	"endothelial.cell"	0.0177799135031235
"188"	"smooth.muscle.cell"	"fibroblast"	0.0176916596461668
"106"	"mature.nk.t.cell"	"ciliated.cell"	0.0175746924428823
"4"	"endothelial.cell.of.artery"	"goblet.cell"	0.0174002047082907
"175"	"endothelial.cell.of.artery"	"fibroblast"	0.0172884440400364
"130"	"slow.muscle.cell"	"connective.tissue.cell"	0.0172655156322912
"123"	"macrophage"	"connective.tissue.cell"	0.0170340681362725
"142"	"macrophage"	"double.positive..alpha.beta.thymocyte"	0.0170265780730897
"283"	"smooth.muscle.cell"	"neutrophil"	0.0169594185342217
"329"	"endothelial.cell.of.vascular.tree"	"serous.cell.of.epithelium.of.trachea"	0.0168776371308017
"115"	"capillary.endothelial.cell"	"connective.tissue.cell"	0.0168224299065421
"43"	"endothelial.cell.of.lymphatic.vessel"	"basal.cell"	0.0166812993854258
"169"	"smooth.muscle.cell"	"endothelial.cell"	0.0166369578134284
"282"	"slow.muscle.cell"	"neutrophil"	0.0165692007797271
"245"	"smooth.muscle.cell"	"mast.cell"	0.0164576802507837
"138"	"endothelial.cell.of.lymphatic.vessel"	"double.positive..alpha.beta.thymocyte"	0.0162481536189069
"331"	"fast.muscle.cell"	"serous.cell.of.epithelium.of.trachea"	0.0162241887905605
"172"	"capillary.endothelial.cell"	"fibroblast"	0.0161904761904762
"44"	"endothelial.cell.of.vascular.tree"	"basal.cell"	0.0161453077699294
"5"	"endothelial.cell.of.lymphatic.vessel"	"goblet.cell"	0.0159404888416578
"124"	"mast.cell"	"connective.tissue.cell"	0.0159181353041501
"334"	"mature.nk.t.cell"	"serous.cell.of.epithelium.of.trachea"	0.0157967032967033
"32"	"mesothelial.cell"	"b.cell"	0.0157938487115544
"269"	"cd8.positive..alpha.beta.t.cell"	"neutrophil"	0.0156372165754496
"208"	"t.cell"	"ionocyte"	0.0155440414507772
"209"	"tendon.cell"	"ionocyte"	0.0152866242038217
"67"	"mast.cell"	"cd4.positive..alpha.beta.t.cell"	0.0151362260343088
"338"	"skeletal.muscle.satellite.stem.cell"	"serous.cell.of.epithelium.of.trachea"	0.0150375939849624
"242"	"pericyte.cell"	"mast.cell"	0.0149769585253456
"48"	"mast.cell"	"basal.cell"	0.014832162373146
"110"	"skeletal.muscle.satellite.stem.cell"	"ciliated.cell"	0.0146110872367856
"210"	"capillary.endothelial.cell"	"macrophage"	0.0145922746781116
"226"	"smooth.muscle.cell"	"macrophage"	0.0145705521472393
"113"	"t.cell"	"ciliated.cell"	0.0144520272982738
"187"	"slow.muscle.cell"	"fibroblast"	0.0144472361809045
"296"	"mature.nk.t.cell"	"plasma.cell"	0.0143884892086331
"179"	"fast.muscle.cell"	"fibroblast"	0.0143504531722054
"241"	"mesothelial.cell"	"mast.cell"	0.0142247510668563
"177"	"endothelial.cell.of.vascular.tree"	"fibroblast"	0.0141921397379913
"339"	"slow.muscle.cell"	"serous.cell.of.epithelium.of.trachea"	0.0141364474492932
"327"	"endothelial.cell.of.artery"	"serous.cell.of.epithelium.of.trachea"	0.0140721196130167
"137"	"endothelial.cell.of.artery"	"double.positive..alpha.beta.thymocyte"	0.0139893873613121
"122"	"fast.muscle.cell"	"connective.tissue.cell"	0.0138150903294368
"47"	"macrophage"	"basal.cell"	0.0137976346911958
"271"	"endothelial.cell.of.lymphatic.vessel"	"neutrophil"	0.0137254901960784
"24"	"endothelial.cell.of.lymphatic.vessel"	"b.cell"	0.0136554621848739
"257"	"mast.cell"	"mucus.secreting.cell"	0.0136239782016349
"9"	"macrophage"	"goblet.cell"	0.0136054421768707
"215"	"endothelial.cell.of.vascular.tree"	"macrophage"	0.0135922330097087
"42"	"endothelial.cell.of.artery"	"basal.cell"	0.0135593220338983
"104"	"macrophage"	"ciliated.cell"	0.013555787278415
"309"	"endothelial.cell.of.lymphatic.vessel"	"secretory.cell"	0.013550135501355
"252"	"endothelial.cell.of.lymphatic.vessel"	"mucus.secreting.cell"	0.0135275754422477
"213"	"endothelial.cell.of.artery"	"macrophage"	0.0131470829909614
"229"	"capillary.endothelial.cell"	"mast.cell"	0.0131463628396144
"233"	"endothelial.cell.of.lymphatic.vessel"	"mast.cell"	0.012998266897747
"205"	"skeletal.muscle.satellite.stem.cell"	"ionocyte"	0.0127551020408163
"342"	"tendon.cell"	"serous.cell.of.epithelium.of.trachea"	0.0127388535031847
"166"	"pericyte.cell"	"endothelial.cell"	0.0125097732603597
"96"	"capillary.endothelial.cell"	"ciliated.cell"	0.012464817048653
"281"	"skeletal.muscle.satellite.stem.cell"	"neutrophil"	0.0124633431085044
"260"	"mesothelial.cell"	"mucus.secreting.cell"	0.0123355263157895
"230"	"cd4.positive..alpha.beta.t.cell"	"mast.cell"	0.01230012300123
"57"	"tendon.cell"	"basal.cell"	0.0121827411167513
"235"	"erythrocyte"	"mast.cell"	0.012012012012012
"251"	"endothelial.cell.of.artery"	"mucus.secreting.cell"	0.012
"224"	"skeletal.muscle.satellite.stem.cell"	"macrophage"	0.0118460019743337
"279"	"mesothelial.cell"	"neutrophil"	0.0117515388919978
"274"	"fast.muscle.cell"	"neutrophil"	0.0117122141662019
"160"	"fast.muscle.cell"	"endothelial.cell"	0.0115068493150685
"332"	"macrophage"	"serous.cell.of.epithelium.of.trachea"	0.0114632501685772
"50"	"mesenchymal.stem.cell"	"basal.cell"	0.0113871635610766
"250"	"cd8.positive..alpha.beta.t.cell"	"mucus.secreting.cell"	0.0112044817927171
"180"	"macrophage"	"fibroblast"	0.0110420979986197
"324"	"capillary.endothelial.cell"	"serous.cell.of.epithelium.of.trachea"	0.0110091743119266
"234"	"endothelial.cell.of.vascular.tree"	"mast.cell"	0.0109235352532274
"298"	"mesothelial.cell"	"plasma.cell"	0.0108910891089109
"8"	"fast.muscle.cell"	"goblet.cell"	0.0107794361525705
"148"	"skeletal.muscle.satellite.stem.cell"	"double.positive..alpha.beta.thymocyte"	0.0106723585912487
"114"	"tendon.cell"	"ciliated.cell"	0.0106609808102345
"258"	"mature.nk.t.cell"	"mucus.secreting.cell"	0.0105740181268882
"326"	"cd8.positive..alpha.beta.t.cell"	"serous.cell.of.epithelium.of.trachea"	0.0105386416861827
"196"	"endothelial.cell.of.vascular.tree"	"ionocyte"	0.0105218855218855
"333"	"mast.cell"	"serous.cell.of.epithelium.of.trachea"	0.0104501607717042
"256"	"macrophage"	"mucus.secreting.cell"	0.0104089219330855
"15"	"skeletal.muscle.satellite.stem.cell"	"goblet.cell"	0.0102827763496144
"227"	"t.cell"	"macrophage"	0.0101781170483461
"34"	"skeletal.muscle.satellite.stem.cell"	"b.cell"	0.0101651842439644
"214"	"endothelial.cell.of.lymphatic.vessel"	"macrophage"	0.0101437024513948
"120"	"endothelial.cell.of.vascular.tree"	"connective.tissue.cell"	0.0101419878296146
"244"	"slow.muscle.cell"	"mast.cell"	0.010077059869591
"125"	"mature.nk.t.cell"	"connective.tissue.cell"	0.0100553041729512
"6"	"endothelial.cell.of.vascular.tree"	"goblet.cell"	0.0100376411543287
"11"	"mature.nk.t.cell"	"goblet.cell"	0.00994644223412395
"63"	"endothelial.cell.of.vascular.tree"	"cd4.positive..alpha.beta.t.cell"	0.00991501416430595
"202"	"mesenchymal.stem.cell"	"ionocyte"	0.00979557069846678
"222"	"mesothelial.cell"	"macrophage"	0.00973574408901252
"39"	"capillary.endothelial.cell"	"basal.cell"	0.00970017636684303
"193"	"cd8.positive..alpha.beta.t.cell"	"ionocyte"	0.009657594381036
"16"	"slow.muscle.cell"	"goblet.cell"	0.00947867298578199
"248"	"capillary.endothelial.cell"	"mucus.secreting.cell"	0.00945378151260504
"86"	"mast.cell"	"cd8.positive..alpha.beta.t.cell"	0.00945017182130584
"236"	"fast.muscle.cell"	"mast.cell"	0.00916138125440451
"12"	"mesenchymal.stem.cell"	"goblet.cell"	0.00911458333333333
"243"	"skeletal.muscle.satellite.stem.cell"	"mast.cell"	0.00909090909090909
"278"	"mesenchymal.stem.cell"	"neutrophil"	0.00883652430044183
"56"	"t.cell"	"basal.cell"	0.00874125874125874
"319"	"skeletal.muscle.satellite.stem.cell"	"secretory.cell"	0.0087260034904014
"72"	"skeletal.muscle.satellite.stem.cell"	"cd4.positive..alpha.beta.t.cell"	0.00872093023255814
"253"	"endothelial.cell.of.vascular.tree"	"mucus.secreting.cell"	0.00857843137254902
"85"	"macrophage"	"cd8.positive..alpha.beta.t.cell"	0.0085348506401138
"299"	"pericyte.cell"	"plasma.cell"	0.00847457627118644
"304"	"tendon.cell"	"plasma.cell"	0.00836120401337793
"163"	"mature.nk.t.cell"	"endothelial.cell"	0.00828586224754013
"181"	"mast.cell"	"fibroblast"	0.00825082508250825
"255"	"fast.muscle.cell"	"mucus.secreting.cell"	0.00814995925020375
"352"	"mast.cell"	"smooth.muscle.cell"	0.00814814814814815
"70"	"mesothelial.cell"	"cd4.positive..alpha.beta.t.cell"	0.00809352517985612
"65"	"fast.muscle.cell"	"cd4.positive..alpha.beta.t.cell"	0.00805008944543828
"204"	"pericyte.cell"	"ionocyte"	0.00801424755120214
"247"	"tendon.cell"	"mast.cell"	0.008
"221"	"mesenchymal.stem.cell"	"macrophage"	0.00795228628230616
"288"	"cd8.positive..alpha.beta.t.cell"	"plasma.cell"	0.0078740157480315
"134"	"capillary.endothelial.cell"	"double.positive..alpha.beta.thymocyte"	0.00786240786240786
"167"	"skeletal.muscle.satellite.stem.cell"	"endothelial.cell"	0.00784593437945792
"171"	"tendon.cell"	"endothelial.cell"	0.00779588944011339
"192"	"cd4.positive..alpha.beta.t.cell"	"ionocyte"	0.00776610324349018
"92"	"slow.muscle.cell"	"cd8.positive..alpha.beta.t.cell"	0.0077120822622108
"231"	"cd8.positive..alpha.beta.t.cell"	"mast.cell"	0.00769230769230769
"308"	"endothelial.cell.of.artery"	"secretory.cell"	0.00769230769230769
"165"	"mesothelial.cell"	"endothelial.cell"	0.00766703176341731
"45"	"erythrocyte"	"basal.cell"	0.00759878419452888
"262"	"skeletal.muscle.satellite.stem.cell"	"mucus.secreting.cell"	0.0075187969924812
"292"	"erythrocyte"	"plasma.cell"	0.00749063670411985
"1"	"capillary.endothelial.cell"	"goblet.cell"	0.00747863247863248
"132"	"t.cell"	"connective.tissue.cell"	0.00736648250460405
"264"	"smooth.muscle.cell"	"mucus.secreting.cell"	0.00731261425959781
"337"	"pericyte.cell"	"serous.cell.of.epithelium.of.trachea"	0.00730816077953715
"49"	"mature.nk.t.cell"	"basal.cell"	0.00727994705493051
"73"	"slow.muscle.cell"	"cd4.positive..alpha.beta.t.cell"	0.00719942404607631
"316"	"mesenchymal.stem.cell"	"secretory.cell"	0.00710479573712256
"58"	"capillary.endothelial.cell"	"cd4.positive..alpha.beta.t.cell"	0.00710059171597633
"62"	"endothelial.cell.of.lymphatic.vessel"	"cd4.positive..alpha.beta.t.cell"	0.00699300699300699
"84"	"fast.muscle.cell"	"cd8.positive..alpha.beta.t.cell"	0.00699300699300699
"225"	"slow.muscle.cell"	"macrophage"	0.0069848661233993
"312"	"fast.muscle.cell"	"secretory.cell"	0.00697211155378486
"52"	"pericyte.cell"	"basal.cell"	0.00694444444444444
"77"	"capillary.endothelial.cell"	"cd8.positive..alpha.beta.t.cell"	0.0069101678183613
"107"	"mesenchymal.stem.cell"	"ciliated.cell"	0.00685518423307626
"305"	"capillary.endothelial.cell"	"secretory.cell"	0.00684931506849315
"310"	"endothelial.cell.of.vascular.tree"	"secretory.cell"	0.00674536256323777
"268"	"cd4.positive..alpha.beta.t.cell"	"neutrophil"	0.00668337510442774
"273"	"erythrocyte"	"neutrophil"	0.00667302192564347
"295"	"mast.cell"	"plasma.cell"	0.00666666666666667
"290"	"endothelial.cell.of.lymphatic.vessel"	"plasma.cell"	0.00658761528326746
"330"	"erythrocyte"	"serous.cell.of.epithelium.of.trachea"	0.00649350649350649
"164"	"mesenchymal.stem.cell"	"endothelial.cell"	0.00646087580760948
"97"	"cd4.positive..alpha.beta.t.cell"	"ciliated.cell"	0.0064486411791801
"26"	"erythrocyte"	"b.cell"	0.00642398286937901
"20"	"capillary.endothelial.cell"	"b.cell"	0.00634249471458774
"101"	"endothelial.cell.of.vascular.tree"	"ciliated.cell"	0.00634249471458774
"341"	"t.cell"	"serous.cell.of.epithelium.of.trachea"	0.00634057971014493
"109"	"pericyte.cell"	"ciliated.cell"	0.00628084342754599
"294"	"macrophage"	"plasma.cell"	0.00612959719789842
"35"	"slow.muscle.cell"	"b.cell"	0.00603621730382294
"14"	"pericyte.cell"	"goblet.cell"	0.00602409638554217
"23"	"endothelial.cell.of.artery"	"b.cell"	0.00601805416248746
"33"	"pericyte.cell"	"b.cell"	0.00594353640416048
"261"	"pericyte.cell"	"mucus.secreting.cell"	0.00586510263929619
"228"	"tendon.cell"	"macrophage"	0.00583657587548638
"98"	"cd8.positive..alpha.beta.t.cell"	"ciliated.cell"	0.00573698146513681
"362"	"capillary.endothelial.cell"	"t.cell"	0.00573065902578797
"61"	"endothelial.cell.of.artery"	"cd4.positive..alpha.beta.t.cell"	0.00557413600891862
"41"	"cd8.positive..alpha.beta.t.cell"	"basal.cell"	0.00554938956714761
"10"	"mast.cell"	"goblet.cell"	0.00549450549450549
"320"	"slow.muscle.cell"	"secretory.cell"	0.0054858934169279
"335"	"mesenchymal.stem.cell"	"serous.cell.of.epithelium.of.trachea"	0.00538213132400431
"286"	"capillary.endothelial.cell"	"plasma.cell"	0.00535475234270415
"18"	"t.cell"	"goblet.cell"	0.00527983104540655
"139"	"endothelial.cell.of.vascular.tree"	"double.positive..alpha.beta.thymocyte"	0.00525486074619023
"162"	"mast.cell"	"endothelial.cell"	0.00524475524475524
"325"	"cd4.positive..alpha.beta.t.cell"	"serous.cell.of.epithelium.of.trachea"	0.00522875816993464
"93"	"smooth.muscle.cell"	"cd8.positive..alpha.beta.t.cell"	0.00519480519480519
"31"	"mesenchymal.stem.cell"	"b.cell"	0.00512820512820513
"161"	"macrophage"	"endothelial.cell"	0.00510725229826353
"240"	"mesenchymal.stem.cell"	"mast.cell"	0.00508646998982706
"259"	"mesenchymal.stem.cell"	"mucus.secreting.cell"	0.00506970849176172
"74"	"smooth.muscle.cell"	"cd4.positive..alpha.beta.t.cell"	0.00506585612968592
"117"	"cd8.positive..alpha.beta.t.cell"	"connective.tissue.cell"	0.00505050505050505
"40"	"cd4.positive..alpha.beta.t.cell"	"basal.cell"	0.00495049504950495
"266"	"tendon.cell"	"mucus.secreting.cell"	0.00494437577255871
"27"	"fast.muscle.cell"	"b.cell"	0.00490998363338789
"217"	"fast.muscle.cell"	"macrophage"	0.00482425913163336
"211"	"cd4.positive..alpha.beta.t.cell"	"macrophage"	0.00473372781065089
"371"	"mast.cell"	"t.cell"	0.00468933177022274
"89"	"mesothelial.cell"	"cd8.positive..alpha.beta.t.cell"	0.00467289719626168
"301"	"slow.muscle.cell"	"plasma.cell"	0.00464037122969838
"17"	"smooth.muscle.cell"	"goblet.cell"	0.0046339202965709
"321"	"smooth.muscle.cell"	"secretory.cell"	0.00458715596330275
"223"	"pericyte.cell"	"macrophage"	0.0044296788482835
"351"	"macrophage"	"smooth.muscle.cell"	0.00438321853475266
"7"	"erythrocyte"	"goblet.cell"	0.00435729847494553
"212"	"cd8.positive..alpha.beta.t.cell"	"macrophage"	0.00425985090521832
"152"	"tendon.cell"	"double.positive..alpha.beta.thymocyte"	0.00422163588390501
"374"	"mesothelial.cell"	"t.cell"	0.00413223140495868
"369"	"fast.muscle.cell"	"t.cell"	0.00410677618069815
"66"	"macrophage"	"cd4.positive..alpha.beta.t.cell"	0.00401929260450161
"263"	"slow.muscle.cell"	"mucus.secreting.cell"	0.00399201596806387
"280"	"pericyte.cell"	"neutrophil"	0.00397456279809221
"311"	"erythrocyte"	"secretory.cell"	0.00396825396825397
"293"	"fast.muscle.cell"	"plasma.cell"	0.00391006842619746
"81"	"endothelial.cell.of.lymphatic.vessel"	"cd8.positive..alpha.beta.t.cell"	0.00388726919339164
"289"	"endothelial.cell.of.artery"	"plasma.cell"	0.00375469336670839
"380"	"tendon.cell"	"t.cell"	0.0036231884057971
"285"	"tendon.cell"	"neutrophil"	0.0036101083032491
"121"	"erythrocyte"	"connective.tissue.cell"	0.00349040139616056
"91"	"skeletal.muscle.satellite.stem.cell"	"cd8.positive..alpha.beta.t.cell"	0.00348837209302326
"71"	"pericyte.cell"	"cd4.positive..alpha.beta.t.cell"	0.00348432055749129
"197"	"erythrocyte"	"ionocyte"	0.00341463414634146
"314"	"mast.cell"	"secretory.cell"	0.00338218714768884
"302"	"smooth.muscle.cell"	"plasma.cell"	0.00337457817772778
"249"	"cd4.positive..alpha.beta.t.cell"	"mucus.secreting.cell"	0.00319488817891374
"102"	"erythrocyte"	"ciliated.cell"	0.00295566502463054
"69"	"mesenchymal.stem.cell"	"cd4.positive..alpha.beta.t.cell"	0.00293685756240822
"216"	"erythrocyte"	"macrophage"	0.00286532951289398
"3"	"cd8.positive..alpha.beta.t.cell"	"goblet.cell"	0.00284900284900285
"147"	"pericyte.cell"	"double.positive..alpha.beta.thymocyte"	0.00282326369282891
"80"	"endothelial.cell.of.artery"	"cd8.positive..alpha.beta.t.cell"	0.00280898876404494
"64"	"erythrocyte"	"cd4.positive..alpha.beta.t.cell"	0.00271739130434783
"322"	"t.cell"	"secretory.cell"	0.00269541778975741
"303"	"t.cell"	"plasma.cell"	0.00263852242744063
"140"	"erythrocyte"	"double.positive..alpha.beta.thymocyte"	0.00255591054313099
"170"	"t.cell"	"endothelial.cell"	0.00253968253968254
"353"	"mature.nk.t.cell"	"smooth.muscle.cell"	0.00253324889170361
"38"	"tendon.cell"	"b.cell"	0.00249376558603491
"306"	"cd4.positive..alpha.beta.t.cell"	"secretory.cell"	0.00249376558603491
"287"	"cd4.positive..alpha.beta.t.cell"	"plasma.cell"	0.00239808153477218
"145"	"mesenchymal.stem.cell"	"double.positive..alpha.beta.thymocyte"	0.00212879191059074
"254"	"erythrocyte"	"mucus.secreting.cell"	0.00209205020920502
"182"	"mature.nk.t.cell"	"fibroblast"	0.00208188757807078
"307"	"cd8.positive..alpha.beta.t.cell"	"secretory.cell"	0.00202020202020202
"36"	"smooth.muscle.cell"	"b.cell"	0.00183318056828598
"315"	"mature.nk.t.cell"	"secretory.cell"	0.0018018018018018
"367"	"endothelial.cell.of.vascular.tree"	"t.cell"	0.00177619893428064
"313"	"macrophage"	"secretory.cell"	0.0017683465959328
"297"	"mesenchymal.stem.cell"	"plasma.cell"	0.00171821305841924
"178"	"erythrocyte"	"fibroblast"	0.00171232876712329
"323"	"tendon.cell"	"secretory.cell"	0.00170648464163823
"300"	"skeletal.muscle.satellite.stem.cell"	"plasma.cell"	0.00168634064080944
"291"	"endothelial.cell.of.vascular.tree"	"plasma.cell"	0.00163398692810458
