"Trachea"	"Skeletal muscle"	"value"
"21"	"goblet.cell"	"cd4.positive..alpha.beta.t.cell"	0
"30"	"fibroblast"	"cd4.positive..alpha.beta.t.cell"	0
"59"	"smooth.muscle.cell"	"cd8.positive..alpha.beta.t.cell"	0
"80"	"t.cell"	"endothelial.cell.of.artery"	0
"105"	"cd8.positive..alpha.beta.t.cell"	"endothelial.cell.of.vascular.tree"	0
"125"	"cd8.positive..alpha.beta.t.cell"	"erythrocyte"	0
"129"	"endothelial.cell"	"erythrocyte"	0
"140"	"t.cell"	"erythrocyte"	0
"240"	"t.cell"	"mesenchymal.stem.cell"	0
"277"	"secretory.cell"	"pericyte.cell"	0
"280"	"t.cell"	"pericyte.cell"	0
"300"	"t.cell"	"skeletal.muscle.satellite.stem.cell"	0
"340"	"t.cell"	"smooth.muscle.cell"	0
"359"	"smooth.muscle.cell"	"t.cell"	0
"364"	"cd4.positive..alpha.beta.t.cell"	"tendon.cell"	0
