"Lung"	"Bone marrow"	"value"
"236"	"bronchial.smooth.muscle.cell"	"hematopoietic.stem.cell"	0.0257826887661142
"399"	"lung.ciliated.cell"	"myeloid.progenitor"	0.0256622516556291
"250"	"mesothelial.cell"	"hematopoietic.stem.cell"	0.0253164556962025
"547"	"endothelial.cell.of.artery"	"nk.cell"	0.0251479289940828
"548"	"endothelial.cell.of.lymphatic.vessel"	"nk.cell"	0.0251086431675519
"529"	"type.i.pneumocyte"	"neutrophil"	0.0249258160237389
"144"	"pulmonary.ionocyte"	"erythrocyte"	0.0247713414634146
"137"	"myofibroblast.cell"	"erythrocyte"	0.024670353041259
"407"	"pericyte.cell"	"myeloid.progenitor"	0.0244224422442244
"106"	"pulmonary.ionocyte"	"cd24.neutrophil"	0.0242201834862385
"177"	"nk.cell"	"erythroid.progenitor"	0.0239410681399632
"604"	"smooth.muscle.cell"	"plasma.cell"	0.0239273927392739
"188"	"type.ii.pneumocyte"	"erythroid.progenitor"	0.0239111870196413
"86"	"capillary.aerocyte"	"cd24.neutrophil"	0.0238828967642527
"555"	"myofibroblast.cell"	"nk.cell"	0.0238095238095238
"435"	"fibroblast"	"naive.b.cell"	0.0237226277372263
"204"	"dendritic.cell"	"granulocyte"	0.023598820058997
"103"	"pericyte.cell"	"cd24.neutrophil"	0.0235531628532974
"352"	"capillary.aerocyte"	"monocyte"	0.0235294117647059
"521"	"pericyte.cell"	"neutrophil"	0.0234134319162046
"92"	"endothelial.cell.of.lymphatic.vessel"	"cd24.neutrophil"	0.0233918128654971
"97"	"macrophage"	"cd24.neutrophil"	0.023278370514064
"388"	"bronchial.smooth.muscle.cell"	"myeloid.progenitor"	0.0229976209357653
"539"	"basophil"	"nk.cell"	0.0227081581160639
"169"	"fibroblast"	"erythroid.progenitor"	0.022688791059939
"101"	"nk.cell"	"cd24.neutrophil"	0.0224828934506354
"441"	"myofibroblast.cell"	"naive.b.cell"	0.0223157894736842
"384"	"alveolar.fibroblast"	"myeloid.progenitor"	0.022108843537415
"445"	"pericyte.cell"	"naive.b.cell"	0.0220326936744847
"333"	"plasmacytoid.dendritic.cell"	"memory.b.cell"	0.0218160377358491
"143"	"plasmacytoid.dendritic.cell"	"erythrocyte"	0.0218037661050545
"420"	"cd4.positive..alpha.beta.t.cell"	"naive.b.cell"	0.0217142857142857
"417"	"vascular.associated.smooth.muscle.cell"	"myeloid.progenitor"	0.0216579536967886
"290"	"neutrophil"	"macrophage"	0.021484375
"391"	"capillary.endothelial.cell"	"myeloid.progenitor"	0.0213577421815408
"159"	"basophil"	"erythroid.progenitor"	0.0213143872113677
"511"	"fibroblast"	"neutrophil"	0.021247892074199
"257"	"plasmacytoid.dendritic.cell"	"hematopoietic.stem.cell"	0.0212443095599393
"121"	"basophil"	"erythrocyte"	0.0211817168338907
"139"	"nk.cell"	"erythrocyte"	0.0210364289379169
"466"	"capillary.aerocyte"	"nampt.neutrophil"	0.0208623087621697
"510"	"endothelial.cell.of.lymphatic.vessel"	"neutrophil"	0.0207612456747405
"482"	"non.classical.monocyte"	"nampt.neutrophil"	0.0207581227436823
"245"	"fibroblast"	"hematopoietic.stem.cell"	0.0204613095238095
"505"	"capillary.endothelial.cell"	"neutrophil"	0.0204369274136716
"277"	"capillary.endothelial.cell"	"macrophage"	0.0204081632653061
"125"	"capillary.endothelial.cell"	"erythrocyte"	0.0203045685279188
"415"	"type.i.pneumocyte"	"myeloid.progenitor"	0.0201765447667087
"562"	"pulmonary.ionocyte"	"nk.cell"	0.0201365187713311
"524"	"pulmonary.ionocyte"	"neutrophil"	0.0198329853862213
"91"	"endothelial.cell.of.artery"	"cd24.neutrophil"	0.0197424892703863
"390"	"capillary.aerocyte"	"myeloid.progenitor"	0.0194902548725637
"300"	"smooth.muscle.cell"	"macrophage"	0.0193965517241379
"122"	"bronchial.smooth.muscle.cell"	"erythrocyte"	0.0193832599118943
"202"	"classical.monocyte"	"granulocyte"	0.0191518467852257
"263"	"type.i.pneumocyte"	"hematopoietic.stem.cell"	0.0190812720848057
"247"	"lung.ciliated.cell"	"hematopoietic.stem.cell"	0.0190349712262063
"483"	"pericyte.cell"	"nampt.neutrophil"	0.0190300798035605
"224"	"smooth.muscle.cell"	"granulocyte"	0.0189537528430629
