"Bone marrow"	"Tongue"	"value"
"146"	"cd8.positive..alpha.beta.t.cell"	"schwann.cell"	0.013092029264536
"168"	"macrophage"	"tongue.muscle.cell"	0.0127314814814815
"21"	"erythroid.progenitor"	"capillary.endothelial.cell"	0.0126156433978133
"126"	"neutrophil"	"keratinocyte"	0.0121422376409367
"50"	"cd8.positive..alpha.beta.t.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0119402985074627
"93"	"nampt.neutrophil"	"fibroblast"	0.0115511551155116
"17"	"cd4.positive..alpha.beta.t.cell"	"capillary.endothelial.cell"	0.0115321252059308
"189"	"nampt.neutrophil"	"vein.endothelial.cell"	0.0113636363636364
"160"	"plasma.cell"	"schwann.cell"	0.0111687275628241
"102"	"granulocyte"	"immune.cell"	0.011063829787234
"64"	"plasma.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0109769484083425
"58"	"monocyte"	"endothelial.cell.of.lymphatic.vessel"	0.0107270560190703
"138"	"monocyte"	"pericyte.cell"	0.0106809078771696
"187"	"myeloid.progenitor"	"vein.endothelial.cell"	0.0104408352668213
"57"	"memory.b.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0103806228373702
"83"	"cd24.neutrophil"	"fibroblast"	0.0102230483271375
"95"	"nk.cell"	"fibroblast"	0.0102201257861635
"96"	"plasma.cell"	"fibroblast"	0.0100864553314121
"86"	"granulocyte"	"fibroblast"	0.0100502512562814
"173"	"nampt.neutrophil"	"tongue.muscle.cell"	0.00991735537190083
"154"	"monocyte"	"schwann.cell"	0.00943009430094301
"112"	"plasma.cell"	"immune.cell"	0.00930232558139535
"41"	"memory.b.cell"	"endothelial.cell.of.artery"	0.00919963201471941
"94"	"neutrophil"	"fibroblast"	0.00904605263157895
"137"	"memory.b.cell"	"pericyte.cell"	0.0089974293059126
"34"	"cd8.positive..alpha.beta.t.cell"	"endothelial.cell.of.artery"	0.00896495517522412
"54"	"granulocyte"	"endothelial.cell.of.lymphatic.vessel"	0.00886699507389163
"48"	"plasma.cell"	"endothelial.cell.of.artery"	0.0088339222614841
"134"	"granulocyte"	"pericyte.cell"	0.00864864864864865
"144"	"plasma.cell"	"pericyte.cell"	0.00850546780072904
"7"	"hematopoietic.stem.cell"	"basal.cell"	0.00848484848484849
"40"	"macrophage"	"endothelial.cell.of.artery"	0.00840336134453781
"103"	"hematopoietic.stem.cell"	"immune.cell"	0.00836501901140684
"84"	"erythrocyte"	"fibroblast"	0.00818833162743091
"13"	"nampt.neutrophil"	"basal.cell"	0.00813008130081301
"38"	"granulocyte"	"endothelial.cell.of.artery"	0.00809716599190283
"170"	"monocyte"	"tongue.muscle.cell"	0.00807754442649435
"107"	"myeloid.progenitor"	"immune.cell"	0.00805369127516779
