"Spleen"	"Lung"	"value"
"213"	"plasmacytoid.dendritic.cell"	"bronchial.vessel.endothelial.cell"	0.0360501567398119
"413"	"cd141.positive.myeloid.dendritic.cell"	"intermediate.monocyte"	0.0359712230215827
"485"	"cd141.positive.myeloid.dendritic.cell"	"macrophage"	0.0358680057388809
"717"	"plasmacytoid.dendritic.cell"	"pulmonary.ionocyte"	0.0350553505535055
"574"	"platelet"	"neutrophil"	0.0345368916797488
"196"	"cd8.positive..alpha.beta.t.cell"	"bronchial.vessel.endothelial.cell"	0.0345231129315389
"166"	"platelet"	"basophil"	0.0341597796143251
"175"	"endothelial.cell"	"bronchial.smooth.muscle.cell"	0.0339350180505415
"55"	"endothelial.cell"	"adventitial.cell"	0.0336826347305389
"585"	"hematopoietic.stem.cell"	"nk.cell"	0.0335689045936396
"262"	"platelet"	"capillary.endothelial.cell"	0.033381020505484
"682"	"innate.lymphoid.cell"	"plasmacytoid.dendritic.cell"	0.0332506203473945
"799"	"endothelial.cell"	"smooth.muscle.cell"	0.0329178651326302
"558"	"classical.monocyte"	"neutrophil"	0.0325484764542936
"814"	"platelet"	"smooth.muscle.cell"	0.0319634703196347
"39"	"naive.b.cell"	"cd4.positive..alpha.beta.t.cell"	0.0318979266347687
"68"	"plasma.cell"	"adventitial.cell"	0.0318302387267905
"532"	"cd8.positive..alpha.beta.t.cell"	"myofibroblast.cell"	0.0315972222222222
"634"	"innate.lymphoid.cell"	"pericyte.cell"	0.0315412186379928
"34"	"innate.lymphoid.cell"	"cd4.positive..alpha.beta.t.cell"	0.0311059907834101
"687"	"naive.b.cell"	"plasmacytoid.dendritic.cell"	0.0309162450815065
"538"	"innate.lymphoid.cell"	"myofibroblast.cell"	0.0305473058973271
"677"	"cd141.positive.myeloid.dendritic.cell"	"plasmacytoid.dendritic.cell"	0.0303882948790096
"82"	"innate.lymphoid.cell"	"alveolar.fibroblast"	0.0302743614001892
"788"	"plasma.cell"	"serous.cell.of.epithelium.of.bronchus"	0.0301659125188537
"618"	"neutrophil"	"non.classical.monocyte"	0.0297316896301668
"789"	"plasmacytoid.dendritic.cell"	"serous.cell.of.epithelium.of.bronchus"	0.0296650717703349
"549"	"plasmacytoid.dendritic.cell"	"myofibroblast.cell"	0.0285132382892057
"498"	"neutrophil"	"macrophage"	0.0284327323162275
"369"	"hematopoietic.stem.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0283956460009465
"368"	"erythrocyte"	"endothelial.cell.of.lymphatic.vessel"	0.0282555282555283
"611"	"intermediate.monocyte"	"non.classical.monocyte"	0.028169014084507
"820"	"cd8.positive..alpha.beta.t.cell"	"type.i.pneumocyte"	0.0281265695630337
"826"	"innate.lymphoid.cell"	"type.i.pneumocyte"	0.0280054644808743
"828"	"macrophage"	"type.i.pneumocyte"	0.0279503105590062
"441"	"hematopoietic.stem.cell"	"lung.ciliated.cell"	0.0278413424866514
"153"	"hematopoietic.stem.cell"	"basophil"	0.0275974025974026
"679"	"endothelial.cell"	"plasmacytoid.dendritic.cell"	0.0275354416575791
"69"	"plasmacytoid.dendritic.cell"	"adventitial.cell"	0.0271929824561404
"692"	"plasma.cell"	"plasmacytoid.dendritic.cell"	0.0270425776754891
"3"	"cd8.positive..alpha.beta.memory.t.cell"	"cd8.positive..alpha.beta.t.cell"	0.0269749518304432
"370"	"innate.lymphoid.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0267409470752089
"388"	"cd8.positive..alpha.beta.t.cell"	"fibroblast"	0.0266789328426863
"683"	"intermediate.monocyte"	"plasmacytoid.dendritic.cell"	0.026621490803485
"269"	"cd141.positive.myeloid.dendritic.cell"	"classical.monocyte"	0.0265878877400295
"586"	"innate.lymphoid.cell"	"nk.cell"	0.0265577119509704
"436"	"cd8.positive..alpha.beta.t.cell"	"lung.ciliated.cell"	0.0264830508474576
"228"	"macrophage"	"capillary.aerocyte"	0.0264511388684791
"825"	"hematopoietic.stem.cell"	"type.i.pneumocyte"	0.0262863534675615
"364"	"cd8.positive..alpha.beta.t.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0262478485370052
"684"	"macrophage"	"plasmacytoid.dendritic.cell"	0.0262068965517241
"37"	"mature.nk.t.cell"	"cd4.positive..alpha.beta.t.cell"	0.0261682242990654
"442"	"innate.lymphoid.cell"	"lung.ciliated.cell"	0.0260303687635575
"636"	"macrophage"	"pericyte.cell"	0.025823111684958
"163"	"nk.cell"	"basophil"	0.0258152173913043
"690"	"neutrophil"	"plasmacytoid.dendritic.cell"	0.0257222002374357
"663"	"naive.b.cell"	"plasma.cell"	0.0255102040816327
"834"	"neutrophil"	"type.i.pneumocyte"	0.0254452926208651
"405"	"plasmacytoid.dendritic.cell"	"fibroblast"	0.0254416961130742
"691"	"nk.cell"	"plasmacytoid.dendritic.cell"	0.0253505933117584
"824"	"erythrocyte"	"type.i.pneumocyte"	0.0253261703760553
"394"	"innate.lymphoid.cell"	"fibroblast"	0.0252100840336134
"430"	"platelet"	"intermediate.monocyte"	0.025201072386059
"358"	"platelet"	"endothelial.cell.of.artery"	0.0250375563345018
"348"	"macrophage"	"endothelial.cell.of.artery"	0.0244698205546493
"112"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"b.cell"	0.024390243902439
"372"	"macrophage"	"endothelial.cell.of.lymphatic.vessel"	0.0241521068859198
"154"	"innate.lymphoid.cell"	"basophil"	0.0240700218818381
"564"	"macrophage"	"neutrophil"	0.0238623751387347
"395"	"intermediate.monocyte"	"fibroblast"	0.0237495501979129
"708"	"macrophage"	"pulmonary.ionocyte"	0.0236305048335124
"214"	"platelet"	"bronchial.vessel.endothelial.cell"	0.0231350330500472
"706"	"innate.lymphoid.cell"	"pulmonary.ionocyte"	0.023036253776435
"193"	"cd1c.positive.myeloid.dendritic.cell"	"bronchial.vessel.endothelial.cell"	0.023023023023023
"258"	"neutrophil"	"capillary.endothelial.cell"	0.0229817324690631
"117"	"plasmacytoid.dendritic.cell"	"b.cell"	0.0228401191658391
"234"	"neutrophil"	"capillary.aerocyte"	0.0227008149010477
"466"	"innate.lymphoid.cell"	"lung.microvascular.endothelial.cell"	0.0226986128625473
"152"	"erythrocyte"	"basophil"	0.0226666666666667
"60"	"macrophage"	"adventitial.cell"	0.0225375626043406
"587"	"intermediate.monocyte"	"nk.cell"	0.0224550898203593
"70"	"platelet"	"adventitial.cell"	0.0223123732251521
"176"	"erythrocyte"	"bronchial.smooth.muscle.cell"	0.0223123732251521
"252"	"macrophage"	"capillary.endothelial.cell"	0.0222882615156018
"227"	"intermediate.monocyte"	"capillary.aerocyte"	0.0222575516693164
"2"	"cd4.positive..alpha.beta.memory.t.cell"	"cd8.positive..alpha.beta.t.cell"	0.0222222222222222
"697"	"cd1c.positive.myeloid.dendritic.cell"	"pulmonary.ionocyte"	0.02203182374541
"594"	"neutrophil"	"nk.cell"	0.0214835832995541
"251"	"intermediate.monocyte"	"capillary.endothelial.cell"	0.0209846650524617
"355"	"nk.cell"	"endothelial.cell.of.artery"	0.0209713024282561
"800"	"erythrocyte"	"smooth.muscle.cell"	0.0207715133531157
"686"	"memory.b.cell"	"plasmacytoid.dendritic.cell"	0.020631067961165
"662"	"memory.b.cell"	"plasma.cell"	0.0204081632653061
"94"	"platelet"	"alveolar.fibroblast"	0.0201005025125628
"155"	"intermediate.monocyte"	"basophil"	0.0198744769874477
"224"	"erythrocyte"	"capillary.aerocyte"	0.0198675496688742
"597"	"plasmacytoid.dendritic.cell"	"nk.cell"	0.0198547215496368
"84"	"macrophage"	"alveolar.fibroblast"	0.0197530864197531
"156"	"macrophage"	"basophil"	0.0197183098591549
"221"	"cd141.positive.myeloid.dendritic.cell"	"capillary.aerocyte"	0.0194472876151484
