"Spleen"	"Lung"	"value"
"773"	"cd141.positive.myeloid.dendritic.cell"	"serous.cell.of.epithelium.of.bronchus"	0.0110957004160888
"11"	"intermediate.monocyte"	"cd8.positive..alpha.beta.t.cell"	0.011090573012939
"685"	"mature.nk.t.cell"	"plasmacytoid.dendritic.cell"	0.0110658124635993
"629"	"cd141.positive.myeloid.dendritic.cell"	"pericyte.cell"	0.011063829787234
"696"	"type.i.nk.t.cell"	"plasmacytoid.dendritic.cell"	0.0110593713620489
"145"	"cd1c.positive.myeloid.dendritic.cell"	"basophil"	0.0110497237569061
"325"	"mature.nk.t.cell"	"dendritic.cell"	0.0110497237569061
"456"	"type.i.nk.t.cell"	"lung.ciliated.cell"	0.011011011011011
"80"	"erythrocyte"	"alveolar.fibroblast"	0.010989010989011
"608"	"erythrocyte"	"non.classical.monocyte"	0.0109140518417462
"450"	"neutrophil"	"lung.ciliated.cell"	0.0109001406469761
"294"	"classical.monocyte"	"club.cell"	0.0108864696734059
"882"	"neutrophil"	"vascular.associated.smooth.muscle.cell"	0.0108820160366552
"817"	"cd1c.positive.myeloid.dendritic.cell"	"type.i.pneumocyte"	0.0108780108780109
"27"	"cd8.positive..alpha.beta.memory.t.cell"	"cd4.positive..alpha.beta.t.cell"	0.010840108401084
"455"	"regulatory.t.cell"	"lung.ciliated.cell"	0.0108214461387113
"858"	"neutrophil"	"type.ii.pneumocyte"	0.0108181203515889
"344"	"erythrocyte"	"endothelial.cell.of.artery"	0.0107874865156419
"780"	"macrophage"	"serous.cell.of.epithelium.of.bronchus"	0.0107334525939177
"431"	"regulatory.t.cell"	"intermediate.monocyte"	0.0107033639143731
"711"	"naive.b.cell"	"pulmonary.ionocyte"	0.0106776180698152
"541"	"mature.nk.t.cell"	"myofibroblast.cell"	0.0106744298884037
"546"	"neutrophil"	"myofibroblast.cell"	0.0106602475928473
"487"	"endothelial.cell"	"macrophage"	0.0106382978723404
"233"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"capillary.aerocyte"	0.0105882352941176
"345"	"hematopoietic.stem.cell"	"endothelial.cell.of.artery"	0.0105559465165376
"124"	"cd8.positive..alpha.beta.t.cell"	"basal.cell"	0.0105263157894737
"643"	"nk.cell"	"pericyte.cell"	0.0104417670682731
"769"	"cd1c.positive.myeloid.dendritic.cell"	"serous.cell.of.epithelium.of.bronchus"	0.0104166666666667
"105"	"hematopoietic.stem.cell"	"b.cell"	0.0103916866506795
"101"	"cd141.positive.myeloid.dendritic.cell"	"b.cell"	0.0103550295857988
"255"	"naive.b.cell"	"capillary.endothelial.cell"	0.0103305785123967
"120"	"type.i.nk.t.cell"	"b.cell"	0.0102915951972556
"433"	"cd1c.positive.myeloid.dendritic.cell"	"lung.ciliated.cell"	0.0102851799906498
"536"	"erythrocyte"	"myofibroblast.cell"	0.0102816271792579
"121"	"cd1c.positive.myeloid.dendritic.cell"	"basal.cell"	0.0101892285298399
"322"	"innate.lymphoid.cell"	"dendritic.cell"	0.0101580135440181
"839"	"regulatory.t.cell"	"type.i.pneumocyte"	0.0101437024513948
"562"	"innate.lymphoid.cell"	"neutrophil"	0.0101311084624553
"765"	"plasmacytoid.dendritic.cell"	"respiratory.mucous.cell"	0.0101010101010101
"390"	"classical.monocyte"	"fibroblast"	0.0100931677018634
"300"	"macrophage"	"club.cell"	0.0100603621730382
"869"	"cd141.positive.myeloid.dendritic.cell"	"vascular.associated.smooth.muscle.cell"	0.0100603621730382
"293"	"cd141.positive.myeloid.dendritic.cell"	"club.cell"	0.0100502512562814
"764"	"plasma.cell"	"respiratory.mucous.cell"	0.01
"457"	"cd1c.positive.myeloid.dendritic.cell"	"lung.microvascular.endothelial.cell"	0.00998336106489185
"321"	"hematopoietic.stem.cell"	"dendritic.cell"	0.00989282769991756
"142"	"platelet"	"basal.cell"	0.00988467874794069
"202"	"innate.lymphoid.cell"	"bronchial.vessel.endothelial.cell"	0.00988467874794069
"383"	"regulatory.t.cell"	"endothelial.cell.of.lymphatic.vessel"	0.00988142292490119
"766"	"platelet"	"respiratory.mucous.cell"	0.009865005192108
"366"	"classical.monocyte"	"endothelial.cell.of.lymphatic.vessel"	0.00985828712261245
"852"	"macrophage"	"type.ii.pneumocyte"	0.0097864768683274
"206"	"memory.b.cell"	"bronchial.vessel.endothelial.cell"	0.0097799511002445
"423"	"naive.b.cell"	"intermediate.monocyte"	0.00977653631284916
"379"	"nk.cell"	"endothelial.cell.of.lymphatic.vessel"	0.00972053462940462
"407"	"regulatory.t.cell"	"fibroblast"	0.00970873786407767
"131"	"intermediate.monocyte"	"basal.cell"	0.00969827586206897
"552"	"type.i.nk.t.cell"	"myofibroblast.cell"	0.00968992248062015
"831"	"naive.b.cell"	"type.i.pneumocyte"	0.00963855421686747
"641"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"pericyte.cell"	0.00960614793467819
"310"	"platelet"	"club.cell"	0.00956130483689539
"66"	"neutrophil"	"adventitial.cell"	0.00955414012738853
"200"	"erythrocyte"	"bronchial.vessel.endothelial.cell"	0.00955109837631328
"85"	"mature.nk.t.cell"	"alveolar.fibroblast"	0.00951086956521739
"136"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"basal.cell"	0.00947867298578199
"397"	"mature.nk.t.cell"	"fibroblast"	0.00943783340172343
"749"	"cd141.positive.myeloid.dendritic.cell"	"respiratory.mucous.cell"	0.00938337801608579
"797"	"cd141.positive.myeloid.dendritic.cell"	"smooth.muscle.cell"	0.0093603744149766
"762"	"neutrophil"	"respiratory.mucous.cell"	0.00933333333333333
"146"	"cd4.positive..alpha.beta.memory.t.cell"	"basophil"	0.00932400932400932
"191"	"regulatory.t.cell"	"bronchial.smooth.muscle.cell"	0.00931315483119907
"54"	"classical.monocyte"	"adventitial.cell"	0.00926998841251448
"719"	"regulatory.t.cell"	"pulmonary.ionocyte"	0.00925536390408077
"253"	"mature.nk.t.cell"	"capillary.endothelial.cell"	0.00917431192660551
"141"	"plasmacytoid.dendritic.cell"	"basal.cell"	0.00913705583756345
"503"	"regulatory.t.cell"	"macrophage"	0.0091324200913242
"187"	"nk.cell"	"bronchial.smooth.muscle.cell"	0.00911854103343465
"272"	"erythrocyte"	"classical.monocyte"	0.00909090909090909
"557"	"cd141.positive.myeloid.dendritic.cell"	"neutrophil"	0.00908455625436757
"95"	"regulatory.t.cell"	"alveolar.fibroblast"	0.00906735751295337
"551"	"regulatory.t.cell"	"myofibroblast.cell"	0.00904761904761905
"548"	"plasma.cell"	"myofibroblast.cell"	0.0089919545669664
"130"	"innate.lymphoid.cell"	"basal.cell"	0.00898876404494382
"863"	"regulatory.t.cell"	"type.ii.pneumocyte"	0.00896860986547085
"508"	"cd8.positive..alpha.beta.t.cell"	"mesothelial.cell"	0.00895713371721049
"609"	"hematopoietic.stem.cell"	"non.classical.monocyte"	0.00895036615134255
"337"	"cd1c.positive.myeloid.dendritic.cell"	"endothelial.cell.of.artery"	0.00894854586129754
"342"	"classical.monocyte"	"endothelial.cell.of.artery"	0.00894854586129754
"427"	"nk.cell"	"intermediate.monocyte"	0.00893997445721584
"647"	"regulatory.t.cell"	"pericyte.cell"	0.00893655049151028
"246"	"classical.monocyte"	"capillary.endothelial.cell"	0.00888450148075025
"811"	"nk.cell"	"smooth.muscle.cell"	0.00887573964497041
"403"	"nk.cell"	"fibroblast"	0.00883935434281322
"745"	"cd1c.positive.myeloid.dendritic.cell"	"respiratory.mucous.cell"	0.00882723833543506
"165"	"plasmacytoid.dendritic.cell"	"basophil"	0.00879765395894428
"517"	"mature.nk.t.cell"	"mesothelial.cell"	0.00878477306002928
"488"	"erythrocyte"	"macrophage"	0.00878293601003764
"715"	"nk.cell"	"pulmonary.ionocyte"	0.00877893056664006
"217"	"cd1c.positive.myeloid.dendritic.cell"	"capillary.aerocyte"	0.00870406189555126
"731"	"intermediate.monocyte"	"respiratory.goblet.cell"	0.00854700854700855
"489"	"hematopoietic.stem.cell"	"macrophage"	0.00851393188854489
"429"	"plasmacytoid.dendritic.cell"	"intermediate.monocyte"	0.00850661625708885
"139"	"nk.cell"	"basal.cell"	0.00843881856540084
"257"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"capillary.endothelial.cell"	0.00842358604091456
"357"	"plasmacytoid.dendritic.cell"	"endothelial.cell.of.artery"	0.00838926174496644
"186"	"neutrophil"	"bronchial.smooth.muscle.cell"	0.00836820083682008
"495"	"naive.b.cell"	"macrophage"	0.00834492350486787
"303"	"naive.b.cell"	"club.cell"	0.00831946755407654
"97"	"cd1c.positive.myeloid.dendritic.cell"	"b.cell"	0.00828729281767956
"408"	"type.i.nk.t.cell"	"fibroblast"	0.00819336337566571
"88"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"alveolar.fibroblast"	0.00816993464052288
"815"	"regulatory.t.cell"	"smooth.muscle.cell"	0.00816326530612245
"333"	"plasmacytoid.dendritic.cell"	"dendritic.cell"	0.0081383519837233
"268"	"cd8.positive..alpha.beta.t.cell"	"classical.monocyte"	0.00813008130081301
"786"	"neutrophil"	"serous.cell.of.epithelium.of.bronchus"	0.0081190798376184
"556"	"cd8.positive..alpha.beta.t.cell"	"neutrophil"	0.00811176205497972
"49"	"cd1c.positive.myeloid.dendritic.cell"	"adventitial.cell"	0.00810185185185185
"134"	"memory.b.cell"	"basal.cell"	0.00809716599190283
"447"	"naive.b.cell"	"lung.ciliated.cell"	0.00809523809523809
"373"	"mature.nk.t.cell"	"endothelial.cell.of.lymphatic.vessel"	0.00808080808080808
"479"	"regulatory.t.cell"	"lung.microvascular.endothelial.cell"	0.00804828973843058
"702"	"classical.monocyte"	"pulmonary.ionocyte"	0.00804828973843058
"83"	"intermediate.monocyte"	"alveolar.fibroblast"	0.00804289544235925
"304"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"club.cell"	0.0079155672823219
"116"	"plasma.cell"	"b.cell"	0.00791139240506329
"104"	"erythrocyte"	"b.cell"	0.00790513833992095
"299"	"intermediate.monocyte"	"club.cell"	0.00790067720090293
"533"	"cd141.positive.myeloid.dendritic.cell"	"myofibroblast.cell"	0.00786672836649699
"464"	"erythrocyte"	"lung.microvascular.endothelial.cell"	0.00784929356357928
"734"	"memory.b.cell"	"respiratory.goblet.cell"	0.0078125
"182"	"memory.b.cell"	"bronchial.smooth.muscle.cell"	0.00778210116731518
"907"	"nk.cell"	"vein.endothelial.cell"	0.00777604976671851
"807"	"naive.b.cell"	"smooth.muscle.cell"	0.00777000777000777
"91"	"nk.cell"	"alveolar.fibroblast"	0.00776914539400666
"911"	"regulatory.t.cell"	"vein.endothelial.cell"	0.00776699029126214
"877"	"mature.nk.t.cell"	"vascular.associated.smooth.muscle.cell"	0.00776053215077605
"727"	"endothelial.cell"	"respiratory.goblet.cell"	0.00773930753564155
"263"	"regulatory.t.cell"	"capillary.endothelial.cell"	0.0077007700770077
"114"	"neutrophil"	"b.cell"	0.00767620376831821
"122"	"cd4.positive..alpha.beta.memory.t.cell"	"basal.cell"	0.0076530612244898
"768"	"type.i.nk.t.cell"	"respiratory.mucous.cell"	0.00764525993883792
"896"	"erythrocyte"	"vein.endothelial.cell"	0.00763358778625954
"404"	"plasma.cell"	"fibroblast"	0.00763052208835341
"377"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"endothelial.cell.of.lymphatic.vessel"	0.00761772853185596
"173"	"cd141.positive.myeloid.dendritic.cell"	"bronchial.smooth.muscle.cell"	0.00761697497279652
"359"	"regulatory.t.cell"	"endothelial.cell.of.artery"	0.00759493670886076
"183"	"naive.b.cell"	"bronchial.smooth.muscle.cell"	0.00759219088937093
"787"	"nk.cell"	"serous.cell.of.epithelium.of.bronchus"	0.00756620428751576
"239"	"regulatory.t.cell"	"capillary.aerocyte"	0.00752688172043011
"158"	"memory.b.cell"	"basophil"	0.0075187969924812
"515"	"intermediate.monocyte"	"mesothelial.cell"	0.0075046904315197
"52"	"cd8.positive..alpha.beta.t.cell"	"adventitial.cell"	0.00747663551401869
"53"	"cd141.positive.myeloid.dendritic.cell"	"adventitial.cell"	0.00733496332518337
"412"	"cd8.positive..alpha.beta.t.cell"	"intermediate.monocyte"	0.00732356857523302
"573"	"plasmacytoid.dendritic.cell"	"neutrophil"	0.00731158605174353
"147"	"cd8.positive..alpha.beta.memory.t.cell"	"basophil"	0.0072992700729927
"528"	"type.i.nk.t.cell"	"mesothelial.cell"	0.0072992700729927
"772"	"cd8.positive..alpha.beta.t.cell"	"serous.cell.of.epithelium.of.bronchus"	0.00727994705493051
"174"	"classical.monocyte"	"bronchial.smooth.muscle.cell"	0.0072463768115942
"534"	"classical.monocyte"	"myofibroblast.cell"	0.00724309642372114
"197"	"cd141.positive.myeloid.dendritic.cell"	"bronchial.vessel.endothelial.cell"	0.00723140495867769
"461"	"cd141.positive.myeloid.dendritic.cell"	"lung.microvascular.endothelial.cell"	0.00719424460431655
"778"	"innate.lymphoid.cell"	"serous.cell.of.epithelium.of.bronchus"	0.00719424460431655
"87"	"naive.b.cell"	"alveolar.fibroblast"	0.00718562874251497
"380"	"plasma.cell"	"endothelial.cell.of.lymphatic.vessel"	0.00716612377850163
"401"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"fibroblast"	0.00708038317367763
"18"	"neutrophil"	"cd8.positive..alpha.beta.t.cell"	0.00707850707850708
"879"	"naive.b.cell"	"vascular.associated.smooth.muscle.cell"	0.007
"21"	"plasmacytoid.dendritic.cell"	"cd8.positive..alpha.beta.t.cell"	0.00699912510936133
"756"	"macrophage"	"respiratory.mucous.cell"	0.00698080279232112
"829"	"mature.nk.t.cell"	"type.i.pneumocyte"	0.00695047784535187
"448"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"lung.ciliated.cell"	0.00691489361702128
"425"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"intermediate.monocyte"	0.00690846286701209
"128"	"erythrocyte"	"basal.cell"	0.0069060773480663
"854"	"memory.b.cell"	"type.ii.pneumocyte"	0.00688468158347676
"150"	"classical.monocyte"	"basophil"	0.00687757909215956
"783"	"naive.b.cell"	"serous.cell.of.epithelium.of.bronchus"	0.00687757909215956
"74"	"cd4.positive..alpha.beta.memory.t.cell"	"alveolar.fibroblast"	0.00687285223367698
"810"	"neutrophil"	"smooth.muscle.cell"	0.006859382655561
"216"	"type.i.nk.t.cell"	"bronchial.vessel.endothelial.cell"	0.00685714285714286
"109"	"mature.nk.t.cell"	"b.cell"	0.00684931506849315
"650"	"cd4.positive..alpha.beta.memory.t.cell"	"plasma.cell"	0.00684931506849315
"855"	"naive.b.cell"	"type.ii.pneumocyte"	0.00683060109289617
"8"	"erythrocyte"	"cd8.positive..alpha.beta.t.cell"	0.00681818181818182
"720"	"type.i.nk.t.cell"	"pulmonary.ionocyte"	0.00681431005110733
"384"	"type.i.nk.t.cell"	"endothelial.cell.of.lymphatic.vessel"	0.00672043010752688
"547"	"nk.cell"	"myofibroblast.cell"	0.00671742051052396
"816"	"type.i.nk.t.cell"	"smooth.muscle.cell"	0.00671140939597315
"865"	"cd1c.positive.myeloid.dendritic.cell"	"vascular.associated.smooth.muscle.cell"	0.00670498084291188
"870"	"classical.monocyte"	"vascular.associated.smooth.muscle.cell"	0.00670498084291188
"577"	"cd1c.positive.myeloid.dendritic.cell"	"nk.cell"	0.00668896321070234
"836"	"plasma.cell"	"type.i.pneumocyte"	0.00666666666666667
"302"	"memory.b.cell"	"club.cell"	0.00665188470066519
"349"	"mature.nk.t.cell"	"endothelial.cell.of.artery"	0.00662251655629139
"46"	"platelet"	"cd4.positive..alpha.beta.t.cell"	0.00657894736842105
"71"	"regulatory.t.cell"	"adventitial.cell"	0.00657894736842105
"689"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"plasmacytoid.dendritic.cell"	0.0065359477124183
"588"	"macrophage"	"nk.cell"	0.0065237651444548
"438"	"classical.monocyte"	"lung.ciliated.cell"	0.00652072659524919
"625"	"cd1c.positive.myeloid.dendritic.cell"	"pericyte.cell"	0.006519967400163
"748"	"cd8.positive..alpha.beta.t.cell"	"respiratory.mucous.cell"	0.00651041666666667
"160"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"basophil"	0.00650759219088937
"35"	"intermediate.monocyte"	"cd4.positive..alpha.beta.t.cell"	0.00646551724137931
"106"	"innate.lymphoid.cell"	"b.cell"	0.00646551724137931
"561"	"hematopoietic.stem.cell"	"neutrophil"	0.00646123260437376
"451"	"nk.cell"	"lung.ciliated.cell"	0.00645161290322581
"894"	"classical.monocyte"	"vein.endothelial.cell"	0.00644122383252818
"648"	"type.i.nk.t.cell"	"pericyte.cell"	0.00643974241030359
"736"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"respiratory.goblet.cell"	0.00638977635782748
"59"	"intermediate.monocyte"	"adventitial.cell"	0.00632339656729901
"135"	"naive.b.cell"	"basal.cell"	0.00619195046439629
"437"	"cd141.positive.myeloid.dendritic.cell"	"lung.ciliated.cell"	0.00618752974773917
"207"	"naive.b.cell"	"bronchial.vessel.endothelial.cell"	0.00617283950617284
"763"	"nk.cell"	"respiratory.mucous.cell"	0.00611246943765281
"835"	"nk.cell"	"type.i.pneumocyte"	0.0060790273556231
"415"	"endothelial.cell"	"intermediate.monocyte"	0.0060560181680545
"181"	"mature.nk.t.cell"	"bronchial.smooth.muscle.cell"	0.00605326876513317
"77"	"cd141.positive.myeloid.dendritic.cell"	"alveolar.fibroblast"	0.00600240096038415
"329"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"dendritic.cell"	0.00595238095238095
"671"	"regulatory.t.cell"	"plasma.cell"	0.00591715976331361
"118"	"platelet"	"b.cell"	0.00590128755364807
"878"	"memory.b.cell"	"vascular.associated.smooth.muscle.cell"	0.00588235294117647
"860"	"plasma.cell"	"type.ii.pneumocyte"	0.00584795321637427
"319"	"endothelial.cell"	"dendritic.cell"	0.00584339696143358
"86"	"memory.b.cell"	"alveolar.fibroblast"	0.00583941605839416
"638"	"memory.b.cell"	"pericyte.cell"	0.00580832526621491
"881"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"vascular.associated.smooth.muscle.cell"	0.00580046403712297
"767"	"regulatory.t.cell"	"respiratory.mucous.cell"	0.00579710144927536
"899"	"intermediate.monocyte"	"vein.endothelial.cell"	0.00579374275782155
"617"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"non.classical.monocyte"	0.00578034682080925
"211"	"nk.cell"	"bronchial.vessel.endothelial.cell"	0.00577478344562079
"279"	"naive.b.cell"	"classical.monocyte"	0.00576368876080692
"601"	"cd1c.positive.myeloid.dendritic.cell"	"non.classical.monocyte"	0.0056980056980057
"73"	"cd1c.positive.myeloid.dendritic.cell"	"alveolar.fibroblast"	0.00568181818181818
"446"	"memory.b.cell"	"lung.ciliated.cell"	0.00562947799385875
"725"	"cd141.positive.myeloid.dendritic.cell"	"respiratory.goblet.cell"	0.00562851782363977
"735"	"naive.b.cell"	"respiratory.goblet.cell"	0.00559701492537313
"229"	"mature.nk.t.cell"	"capillary.aerocyte"	0.00558035714285714
"76"	"cd8.positive..alpha.beta.t.cell"	"alveolar.fibroblast"	0.00554870530209618
"527"	"regulatory.t.cell"	"mesothelial.cell"	0.00554785020804438
"113"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"b.cell"	0.00552486187845304
"610"	"innate.lymphoid.cell"	"non.classical.monocyte"	0.00552486187845304
"867"	"cd8.positive..alpha.beta.memory.t.cell"	"vascular.associated.smooth.muscle.cell"	0.00548696844993141
"336"	"type.i.nk.t.cell"	"dendritic.cell"	0.00548446069469835
"445"	"mature.nk.t.cell"	"lung.ciliated.cell"	0.00547808764940239
"830"	"memory.b.cell"	"type.i.pneumocyte"	0.00545950864422202
"738"	"neutrophil"	"respiratory.goblet.cell"	0.00542635658914729
"96"	"type.i.nk.t.cell"	"alveolar.fibroblast"	0.00540540540540541
"281"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"classical.monocyte"	0.00540540540540541
"315"	"cd8.positive..alpha.beta.memory.t.cell"	"dendritic.cell"	0.00539083557951483
"732"	"macrophage"	"respiratory.goblet.cell"	0.00536480686695279
"452"	"plasma.cell"	"lung.ciliated.cell"	0.0053475935828877
"115"	"nk.cell"	"b.cell"	0.00534045393858478
"624"	"type.i.nk.t.cell"	"non.classical.monocyte"	0.00533807829181495
"208"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"bronchial.vessel.endothelial.cell"	0.00533333333333333
"20"	"plasma.cell"	"cd8.positive..alpha.beta.t.cell"	0.00530503978779841
"309"	"plasmacytoid.dendritic.cell"	"club.cell"	0.00529100529100529
"465"	"hematopoietic.stem.cell"	"lung.microvascular.endothelial.cell"	0.0052863436123348
"360"	"type.i.nk.t.cell"	"endothelial.cell.of.artery"	0.00528401585204756
"644"	"plasma.cell"	"pericyte.cell"	0.00528169014084507
"494"	"memory.b.cell"	"macrophage"	0.00526315789473684
"742"	"platelet"	"respiratory.goblet.cell"	0.00523560209424084
"897"	"hematopoietic.stem.cell"	"vein.endothelial.cell"	0.00520381613183001
"903"	"naive.b.cell"	"vein.endothelial.cell"	0.00519031141868512
"726"	"classical.monocyte"	"respiratory.goblet.cell"	0.00517241379310345
"497"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"macrophage"	0.00515463917525773
"143"	"regulatory.t.cell"	"basal.cell"	0.00512820512820513
"389"	"cd141.positive.myeloid.dendritic.cell"	"fibroblast"	0.00511408339889851
"93"	"plasmacytoid.dendritic.cell"	"alveolar.fibroblast"	0.00508905852417303
"292"	"cd8.positive..alpha.beta.t.cell"	"club.cell"	0.00503959683225342
"607"	"endothelial.cell"	"non.classical.monocyte"	0.00503095975232198
"805"	"mature.nk.t.cell"	"smooth.muscle.cell"	0.00502933780385583
"623"	"regulatory.t.cell"	"non.classical.monocyte"	0.0050251256281407
"750"	"classical.monocyte"	"respiratory.mucous.cell"	0.0050251256281407
"416"	"erythrocyte"	"intermediate.monocyte"	0.0050125313283208
"338"	"cd4.positive..alpha.beta.memory.t.cell"	"endothelial.cell.of.artery"	0.005
"859"	"nk.cell"	"type.ii.pneumocyte"	0.005
"271"	"endothelial.cell"	"classical.monocyte"	0.0049618320610687
"470"	"memory.b.cell"	"lung.microvascular.endothelial.cell"	0.00488997555012225
"728"	"erythrocyte"	"respiratory.goblet.cell"	0.0048780487804878
"832"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"type.i.pneumocyte"	0.00486381322957198
"285"	"plasmacytoid.dendritic.cell"	"classical.monocyte"	0.00482160077145612
"432"	"type.i.nk.t.cell"	"intermediate.monocyte"	0.00481540930979133
"504"	"type.i.nk.t.cell"	"macrophage"	0.0048
"132"	"macrophage"	"basal.cell"	0.00479386385426654
"475"	"nk.cell"	"lung.microvascular.endothelial.cell"	0.00478468899521531
"713"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"pulmonary.ionocyte"	0.00476190476190476
"781"	"mature.nk.t.cell"	"serous.cell.of.epithelium.of.bronchus"	0.00475435816164818
"328"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"dendritic.cell"	0.00475059382422803
"518"	"memory.b.cell"	"mesothelial.cell"	0.00474683544303797
"792"	"type.i.nk.t.cell"	"serous.cell.of.epithelium.of.bronchus"	0.00474683544303797
"287"	"regulatory.t.cell"	"classical.monocyte"	0.004739336492891
"467"	"intermediate.monocyte"	"lung.microvascular.endothelial.cell"	0.00472813238770686
"853"	"mature.nk.t.cell"	"type.ii.pneumocyte"	0.00471698113207547
"864"	"type.i.nk.t.cell"	"type.ii.pneumocyte"	0.00470957613814757
"29"	"cd141.positive.myeloid.dendritic.cell"	"cd4.positive..alpha.beta.t.cell"	0.0046801872074883
"98"	"cd4.positive..alpha.beta.memory.t.cell"	"b.cell"	0.00466200466200466
"875"	"intermediate.monocyte"	"vascular.associated.smooth.muscle.cell"	0.0046583850931677
"658"	"innate.lymphoid.cell"	"plasma.cell"	0.00463678516228748
"108"	"macrophage"	"b.cell"	0.0046339202965709
"449"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"lung.ciliated.cell"	0.00457317073170732
"474"	"neutrophil"	"lung.microvascular.endothelial.cell"	0.00456273764258555
"264"	"type.i.nk.t.cell"	"capillary.endothelial.cell"	0.00456100342075257
"905"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"vein.endothelial.cell"	0.00455580865603645
"744"	"type.i.nk.t.cell"	"respiratory.goblet.cell"	0.00454545454545455
"724"	"cd8.positive..alpha.beta.t.cell"	"respiratory.goblet.cell"	0.00453514739229025
"67"	"nk.cell"	"adventitial.cell"	0.00449438202247191
"307"	"nk.cell"	"club.cell"	0.00447761194029851
"500"	"plasma.cell"	"macrophage"	0.00445765230312036
"542"	"memory.b.cell"	"myofibroblast.cell"	0.00445544554455446
"545"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"myofibroblast.cell"	0.00442913385826772
"215"	"regulatory.t.cell"	"bronchial.vessel.endothelial.cell"	0.0043859649122807
"806"	"memory.b.cell"	"smooth.muscle.cell"	0.0043859649122807
"9"	"hematopoietic.stem.cell"	"cd8.positive..alpha.beta.t.cell"	0.00435097897026831
"575"	"regulatory.t.cell"	"neutrophil"	0.00435097897026831
"710"	"memory.b.cell"	"pulmonary.ionocyte"	0.00434971726837756
"843"	"cd8.positive..alpha.beta.memory.t.cell"	"type.ii.pneumocyte"	0.00433839479392625
"480"	"type.i.nk.t.cell"	"lung.microvascular.endothelial.cell"	0.00431034482758621
"89"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"alveolar.fibroblast"	0.00429799426934097
"743"	"regulatory.t.cell"	"respiratory.goblet.cell"	0.00421052631578947
"884"	"plasma.cell"	"vascular.associated.smooth.muscle.cell"	0.00419287211740042
"656"	"erythrocyte"	"plasma.cell"	0.00417536534446764
"567"	"naive.b.cell"	"neutrophil"	0.00416377515614157
"32"	"erythrocyte"	"cd4.positive..alpha.beta.t.cell"	0.004149377593361
"912"	"type.i.nk.t.cell"	"vein.endothelial.cell"	0.004149377593361
"61"	"mature.nk.t.cell"	"adventitial.cell"	0.00413223140495868
"524"	"plasma.cell"	"mesothelial.cell"	0.00408163265306122
"38"	"memory.b.cell"	"cd4.positive..alpha.beta.t.cell"	0.00405679513184584
"712"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"pulmonary.ionocyte"	0.0040394973070018
"256"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"capillary.endothelial.cell"	0.00399467376830892
"759"	"naive.b.cell"	"respiratory.mucous.cell"	0.00398406374501992
"301"	"mature.nk.t.cell"	"club.cell"	0.00395256916996047
"784"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"serous.cell.of.epithelium.of.bronchus"	0.00395256916996047
"137"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"basal.cell"	0.00393700787401575
"614"	"memory.b.cell"	"non.classical.monocyte"	0.00393700787401575
"241"	"cd1c.positive.myeloid.dendritic.cell"	"capillary.endothelial.cell"	0.00392927308447937
"856"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"type.ii.pneumocyte"	0.00391389432485323
"582"	"classical.monocyte"	"nk.cell"	0.00389105058365759
"232"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"capillary.aerocyte"	0.0038860103626943
"774"	"classical.monocyte"	"serous.cell.of.epithelium.of.bronchus"	0.00388098318240621
"841"	"cd1c.positive.myeloid.dendritic.cell"	"type.ii.pneumocyte"	0.0038560411311054
