"Lung"	"Trachea"	"value"
"460"	"alveolar.fibroblast"	"mast.cell"	0.00901713255184851
"163"	"capillary.endothelial.cell"	"cd8.positive..alpha.beta.t.cell"	0.00900900900900901
"418"	"vein.endothelial.cell"	"ionocyte"	0.009000900090009
"23"	"myofibroblast.cell"	"goblet.cell"	0.00898472596585804
"328"	"neutrophil"	"endothelial.cell"	0.0089622641509434
"122"	"bronchial.smooth.muscle.cell"	"cd4.positive..alpha.beta.t.cell"	0.00894854586129754
"605"	"type.i.pneumocyte"	"plasma.cell"	0.00892857142857143
"571"	"cd8.positive..alpha.beta.t.cell"	"plasma.cell"	0.00890207715133531
"722"	"vein.endothelial.cell"	"smooth.muscle.cell"	0.00887902330743618
"384"	"alveolar.fibroblast"	"ionocyte"	0.00887096774193548
"201"	"capillary.endothelial.cell"	"ciliated.cell"	0.00886319845857418
"422"	"alveolar.fibroblast"	"macrophage"	0.00881057268722467
"488"	"respiratory.mucous.cell"	"mast.cell"	0.00878048780487805
"684"	"vein.endothelial.cell"	"serous.cell.of.epithelium.of.trachea"	0.0087719298245614
"536"	"alveolar.fibroblast"	"neutrophil"	0.00873655913978495
"132"	"intermediate.monocyte"	"cd4.positive..alpha.beta.t.cell"	0.00869565217391304
"187"	"type.i.pneumocyte"	"cd8.positive..alpha.beta.t.cell"	0.00865176640230714
"234"	"basal.cell"	"connective.tissue.cell"	0.00862068965517241
"604"	"smooth.muscle.cell"	"plasma.cell"	0.00862068965517241
"505"	"capillary.endothelial.cell"	"mucus.secreting.cell"	0.00855513307984791
"317"	"club.cell"	"endothelial.cell"	0.00854700854700855
"123"	"bronchial.vessel.endothelial.cell"	"cd4.positive..alpha.beta.t.cell"	0.00848356309650053
"160"	"bronchial.smooth.muscle.cell"	"cd8.positive..alpha.beta.t.cell"	0.00847457627118644
"623"	"endothelial.cell.of.artery"	"secretory.cell"	0.00846262341325811
"670"	"neutrophil"	"serous.cell.of.epithelium.of.trachea"	0.00844900422450211
"348"	"basal.cell"	"fibroblast"	0.00841346153846154
"114"	"vein.endothelial.cell"	"basal.cell"	0.00832342449464923
"212"	"mesothelial.cell"	"ciliated.cell"	0.00830909846281678
"459"	"adventitial.cell"	"mast.cell"	0.00821167883211679
"381"	"cd8.positive..alpha.beta.t.cell"	"ionocyte"	0.00816993464052288
"419"	"cd8.positive..alpha.beta.t.cell"	"macrophage"	0.00816696914700544
"261"	"serous.cell.of.epithelium.of.bronchus"	"connective.tissue.cell"	0.00814111261872456
"182"	"pulmonary.ionocyte"	"cd8.positive..alpha.beta.t.cell"	0.00813323005422153
"128"	"dendritic.cell"	"cd4.positive..alpha.beta.t.cell"	0.00813008130081301
"194"	"alveolar.fibroblast"	"ciliated.cell"	0.00812677773262901
"562"	"pulmonary.ionocyte"	"neutrophil"	0.0080749354005168
"91"	"endothelial.cell.of.artery"	"basal.cell"	0.00806451612903226
"349"	"basophil"	"fibroblast"	0.00804597701149425
"354"	"classical.monocyte"	"fibroblast"	0.00795454545454545
"144"	"pulmonary.ionocyte"	"cd4.positive..alpha.beta.t.cell"	0.00786749482401656
"382"	"cd4.positive..alpha.beta.t.cell"	"ionocyte"	0.00786026200873362
"569"	"vascular.associated.smooth.muscle.cell"	"neutrophil"	0.00785973397823458
"493"	"vascular.associated.smooth.muscle.cell"	"mast.cell"	0.00784313725490196
"298"	"respiratory.mucous.cell"	"double.positive..alpha.beta.thymocyte"	0.00783699059561128
"638"	"pulmonary.ionocyte"	"secretory.cell"	0.00782608695652174
"572"	"cd4.positive..alpha.beta.t.cell"	"plasma.cell"	0.00775193798449612
"9"	"bronchial.vessel.endothelial.cell"	"goblet.cell"	0.00772946859903382
"11"	"capillary.endothelial.cell"	"goblet.cell"	0.00772946859903382
"385"	"b.cell"	"ionocyte"	0.0077286389008158
"292"	"non.classical.monocyte"	"double.positive..alpha.beta.thymocyte"	0.00768808347062054
"666"	"lung.microvascular.endothelial.cell"	"serous.cell.of.epithelium.of.trachea"	0.00768245838668374
"375"	"serous.cell.of.epithelium.of.bronchus"	"fibroblast"	0.00765864332603939
"15"	"endothelial.cell.of.artery"	"goblet.cell"	0.00764192139737991
"717"	"serous.cell.of.epithelium.of.bronchus"	"smooth.muscle.cell"	0.00760456273764259
"61"	"myofibroblast.cell"	"b.cell"	0.00759606791778374
"48"	"capillary.aerocyte"	"b.cell"	0.00751173708920188
"664"	"intermediate.monocyte"	"serous.cell.of.epithelium.of.trachea"	0.0074468085106383
"667"	"macrophage"	"serous.cell.of.epithelium.of.trachea"	0.00743099787685775
"394"	"dendritic.cell"	"ionocyte"	0.00742034046268005
"615"	"basophil"	"secretory.cell"	0.00739371534195933
"83"	"basophil"	"basal.cell"	0.00738396624472574
"541"	"bronchial.vessel.endothelial.cell"	"neutrophil"	0.00738007380073801
"79"	"adventitial.cell"	"basal.cell"	0.00736648250460405
"528"	"smooth.muscle.cell"	"mucus.secreting.cell"	0.0072992700729927
"211"	"macrophage"	"ciliated.cell"	0.00724020442930153
"135"	"macrophage"	"cd4.positive..alpha.beta.t.cell"	0.00721500721500722
"151"	"vascular.associated.smooth.muscle.cell"	"cd4.positive..alpha.beta.t.cell"	0.00719424460431655
"573"	"adventitial.cell"	"plasma.cell"	0.00719424460431655
"65"	"pericyte.cell"	"b.cell"	0.0071656050955414
"325"	"macrophage"	"endothelial.cell"	0.00710732054015636
"189"	"vascular.associated.smooth.muscle.cell"	"cd8.positive..alpha.beta.t.cell"	0.007011393514461
"270"	"alveolar.fibroblast"	"double.positive..alpha.beta.thymocyte"	0.007
"186"	"smooth.muscle.cell"	"cd8.positive..alpha.beta.t.cell"	0.00699790062981106
"540"	"bronchial.smooth.muscle.cell"	"neutrophil"	0.00697084917617237
"371"	"plasmacytoid.dendritic.cell"	"fibroblast"	0.00696864111498258
"240"	"classical.monocyte"	"connective.tissue.cell"	0.00693481276005548
"141"	"pericyte.cell"	"cd4.positive..alpha.beta.t.cell"	0.0069204152249135
"629"	"macrophage"	"secretory.cell"	0.0069204152249135
"508"	"dendritic.cell"	"mucus.secreting.cell"	0.00689655172413793
"646"	"vein.endothelial.cell"	"secretory.cell"	0.00689655172413793
"252"	"neutrophil"	"connective.tissue.cell"	0.00686184812442818
"73"	"type.i.pneumocyte"	"b.cell"	0.00680786686838124
"279"	"club.cell"	"double.positive..alpha.beta.thymocyte"	0.0067911714770798
"362"	"lung.microvascular.endothelial.cell"	"fibroblast"	0.00669344042838019
"705"	"macrophage"	"smooth.muscle.cell"	0.00669216061185468
"247"	"lung.ciliated.cell"	"connective.tissue.cell"	0.00666199158485273
"431"	"club.cell"	"macrophage"	0.00663716814159292
"497"	"adventitial.cell"	"mucus.secreting.cell"	0.00663716814159292
"651"	"b.cell"	"serous.cell.of.epithelium.of.trachea"	0.00663716814159292
"307"	"adventitial.cell"	"endothelial.cell"	0.00662690523525514
"10"	"capillary.aerocyte"	"goblet.cell"	0.00662251655629139
"136"	"mesothelial.cell"	"cd4.positive..alpha.beta.t.cell"	0.00662251655629139
"360"	"intermediate.monocyte"	"fibroblast"	0.00662251655629139
"308"	"alveolar.fibroblast"	"endothelial.cell"	0.00656598818122127
"77"	"cd8.positive..alpha.beta.t.cell"	"basal.cell"	0.00656044985941893
"448"	"pulmonary.ionocyte"	"macrophage"	0.00655260283946123
"426"	"bronchial.smooth.muscle.cell"	"macrophage"	0.00653061224489796
"745"	"myofibroblast.cell"	"t.cell"	0.00652610441767068
"661"	"endothelial.cell.of.artery"	"serous.cell.of.epithelium.of.trachea"	0.00651162790697674
"565"	"serous.cell.of.epithelium.of.bronchus"	"neutrophil"	0.00650759219088937
"102"	"non.classical.monocyte"	"basal.cell"	0.00650054171180932
"716"	"respiratory.mucous.cell"	"smooth.muscle.cell"	0.00649953574744661
"406"	"non.classical.monocyte"	"ionocyte"	0.00649913344887348
"570"	"vein.endothelial.cell"	"neutrophil"	0.0064882400648824
"221"	"respiratory.goblet.cell"	"ciliated.cell"	0.00646651270207852
"531"	"vascular.associated.smooth.muscle.cell"	"mucus.secreting.cell"	0.00646352723915051
"602"	"respiratory.mucous.cell"	"plasma.cell"	0.0064
"168"	"endothelial.cell.of.lymphatic.vessel"	"cd8.positive..alpha.beta.t.cell"	0.00637311703360371
"355"	"club.cell"	"fibroblast"	0.00632911392405063
"748"	"non.classical.monocyte"	"t.cell"	0.0062111801242236
"566"	"smooth.muscle.cell"	"neutrophil"	0.00616966580976864
"595"	"nk.cell"	"plasma.cell"	0.00615384615384615
"199"	"bronchial.vessel.endothelial.cell"	"ciliated.cell"	0.00614911606456572
"246"	"intermediate.monocyte"	"connective.tissue.cell"	0.0061307901907357
"642"	"smooth.muscle.cell"	"secretory.cell"	0.00610287707061901
"423"	"b.cell"	"macrophage"	0.00609756097560976
"592"	"mesothelial.cell"	"plasma.cell"	0.00609756097560976
"159"	"basophil"	"cd8.positive..alpha.beta.t.cell"	0.00606060606060606
"600"	"pulmonary.ionocyte"	"plasma.cell"	0.00603448275862069
"737"	"endothelial.cell.of.artery"	"t.cell"	0.00589970501474926
"618"	"capillary.aerocyte"	"secretory.cell"	0.00587544065804935
"173"	"macrophage"	"cd8.positive..alpha.beta.t.cell"	0.00580046403712297
"185"	"serous.cell.of.epithelium.of.bronchus"	"cd8.positive..alpha.beta.t.cell"	0.00575373993095512
"607"	"vascular.associated.smooth.muscle.cell"	"plasma.cell"	0.00571428571428571
"138"	"neutrophil"	"cd4.positive..alpha.beta.t.cell"	0.0056657223796034
"708"	"neutrophil"	"smooth.muscle.cell"	0.0056657223796034
"452"	"smooth.muscle.cell"	"macrophage"	0.00565326633165829
"554"	"mesothelial.cell"	"neutrophil"	0.00555941626129256
"68"	"pulmonary.ionocyte"	"b.cell"	0.00555335184450615
"392"	"classical.monocyte"	"ionocyte"	0.00554134697357204
"366"	"neutrophil"	"fibroblast"	0.00553165334972342
"269"	"adventitial.cell"	"double.positive..alpha.beta.thymocyte"	0.00553041729512318
"373"	"respiratory.goblet.cell"	"fibroblast"	0.00552486187845304
"653"	"basophil"	"serous.cell.of.epithelium.of.trachea"	0.00551267916207277
"743"	"macrophage"	"t.cell"	0.00549450549450549
"228"	"vein.endothelial.cell"	"ciliated.cell"	0.00543232231779086
"161"	"bronchial.vessel.endothelial.cell"	"cd8.positive..alpha.beta.t.cell"	0.00538599640933573
"697"	"club.cell"	"smooth.muscle.cell"	0.00538213132400431
"421"	"adventitial.cell"	"macrophage"	0.00533333333333333
"374"	"respiratory.mucous.cell"	"fibroblast"	0.00531914893617021
"125"	"capillary.endothelial.cell"	"cd4.positive..alpha.beta.t.cell"	0.00528541226215645
"81"	"b.cell"	"basal.cell"	0.00527426160337553
"318"	"dendritic.cell"	"endothelial.cell"	0.00525525525525526
"537"	"b.cell"	"neutrophil"	0.00522778192681105
"501"	"basophil"	"mucus.secreting.cell"	0.00521512385919166
"742"	"lung.microvascular.endothelial.cell"	"t.cell"	0.00519480519480519
"195"	"b.cell"	"ciliated.cell"	0.00518582541054451
"197"	"basophil"	"ciliated.cell"	0.00518134715025907
"698"	"dendritic.cell"	"smooth.muscle.cell"	0.00515463917525773
"229"	"cd8.positive..alpha.beta.t.cell"	"connective.tissue.cell"	0.0051513200257566
"208"	"intermediate.monocyte"	"ciliated.cell"	0.00510421097405359
"18"	"intermediate.monocyte"	"goblet.cell"	0.00510204081632653
"21"	"macrophage"	"goblet.cell"	0.00508905852417303
"710"	"non.classical.monocyte"	"smooth.muscle.cell"	0.0050761421319797
"475"	"lung.ciliated.cell"	"mast.cell"	0.00503566932438103
"242"	"dendritic.cell"	"connective.tissue.cell"	0.00502152080344333
"322"	"intermediate.monocyte"	"endothelial.cell"	0.00497159090909091
"400"	"lung.microvascular.endothelial.cell"	"ionocyte"	0.00497062810664257
"74"	"type.ii.pneumocyte"	"b.cell"	0.00495662949194548
"606"	"type.ii.pneumocyte"	"plasma.cell"	0.00494233937397035
"744"	"mesothelial.cell"	"t.cell"	0.00493421052631579
"191"	"cd8.positive..alpha.beta.t.cell"	"ciliated.cell"	0.00492813141683778
"69"	"respiratory.goblet.cell"	"b.cell"	0.00491803278688525
"593"	"myofibroblast.cell"	"plasma.cell"	0.00489236790606654
"193"	"adventitial.cell"	"ciliated.cell"	0.00488798370672098
"192"	"cd4.positive..alpha.beta.t.cell"	"ciliated.cell"	0.00483304042179262
"619"	"capillary.endothelial.cell"	"secretory.cell"	0.00481347773766546
"27"	"pericyte.cell"	"goblet.cell"	0.0048
"476"	"lung.microvascular.endothelial.cell"	"mast.cell"	0.004778972520908
"49"	"capillary.endothelial.cell"	"b.cell"	0.00477554918815664
"637"	"plasmacytoid.dendritic.cell"	"secretory.cell"	0.0047534165181224
"58"	"lung.microvascular.endothelial.cell"	"b.cell"	0.00473186119873817
"368"	"non.classical.monocyte"	"fibroblast"	0.00472255017709563
"478"	"mesothelial.cell"	"mast.cell"	0.00471698113207547
"60"	"mesothelial.cell"	"b.cell"	0.00466744457409568
"38"	"vein.endothelial.cell"	"goblet.cell"	0.0046656298600311
"739"	"fibroblast"	"t.cell"	0.00463939266132434
"76"	"vein.endothelial.cell"	"b.cell"	0.00460122699386503
"411"	"respiratory.goblet.cell"	"ionocyte"	0.0045662100456621
"589"	"lung.ciliated.cell"	"plasma.cell"	0.00454316002019182
"456"	"vein.endothelial.cell"	"macrophage"	0.00454029511918275
"756"	"smooth.muscle.cell"	"t.cell"	0.00448028673835125
"4"	"alveolar.fibroblast"	"goblet.cell"	0.00443458980044346
"51"	"club.cell"	"b.cell"	0.00443131462333826
"316"	"classical.monocyte"	"endothelial.cell"	0.00433526011560694
"709"	"nk.cell"	"smooth.muscle.cell"	0.00432484382508409
"28"	"plasma.cell"	"goblet.cell"	0.0043010752688172
"14"	"dendritic.cell"	"goblet.cell"	0.00423131170662906
"337"	"serous.cell.of.epithelium.of.bronchus"	"endothelial.cell"	0.00423131170662906
"583"	"club.cell"	"plasma.cell"	0.00419287211740042
"235"	"basophil"	"connective.tissue.cell"	0.00417827298050139
"461"	"b.cell"	"mast.cell"	0.00416666666666667
"44"	"basal.cell"	"b.cell"	0.00416088765603329
"624"	"endothelial.cell.of.lymphatic.vessel"	"secretory.cell"	0.004149377593361
"124"	"capillary.aerocyte"	"cd4.positive..alpha.beta.t.cell"	0.00413223140495868
"586"	"endothelial.cell.of.lymphatic.vessel"	"plasma.cell"	0.00410396716826265
"8"	"bronchial.smooth.muscle.cell"	"goblet.cell"	0.00404040404040404
"167"	"endothelial.cell.of.artery"	"cd8.positive..alpha.beta.t.cell"	0.00401606425702811
"46"	"bronchial.smooth.muscle.cell"	"b.cell"	0.004004004004004
"7"	"basophil"	"goblet.cell"	0.004
"260"	"respiratory.mucous.cell"	"connective.tissue.cell"	0.00398936170212766
"502"	"bronchial.smooth.muscle.cell"	"mucus.secreting.cell"	0.00396825396825397
"691"	"basophil"	"smooth.muscle.cell"	0.00395256916996047
"12"	"classical.monocyte"	"goblet.cell"	0.00394736842105263
"729"	"basophil"	"t.cell"	0.00392156862745098
"499"	"b.cell"	"mucus.secreting.cell"	0.00391644908616188
"636"	"plasma.cell"	"secretory.cell"	0.00387596899224806
"506"	"classical.monocyte"	"mucus.secreting.cell"	0.0038560411311054
"25"	"nk.cell"	"goblet.cell"	0.00384615384615385
"734"	"classical.monocyte"	"t.cell"	0.00384615384615385
"534"	"cd4.positive..alpha.beta.t.cell"	"neutrophil"	0.00384024577572965
"576"	"basal.cell"	"plasma.cell"	0.00383877159309021
"616"	"bronchial.smooth.muscle.cell"	"secretory.cell"	0.00383141762452107
"455"	"vascular.associated.smooth.muscle.cell"	"macrophage"	0.00382848392036753
"294"	"plasma.cell"	"double.positive..alpha.beta.thymocyte"	0.00382409177820268
"450"	"respiratory.mucous.cell"	"macrophage"	0.00378787878787879
"37"	"vascular.associated.smooth.muscle.cell"	"goblet.cell"	0.00374531835205993
"625"	"fibroblast"	"secretory.cell"	0.00374064837905237
"512"	"intermediate.monocyte"	"mucus.secreting.cell"	0.0037359900373599
"75"	"vascular.associated.smooth.muscle.cell"	"b.cell"	0.00371402042711235
"504"	"capillary.aerocyte"	"mucus.secreting.cell"	0.00371057513914657
"330"	"non.classical.monocyte"	"endothelial.cell"	0.00370644922164566
"118"	"alveolar.fibroblast"	"cd4.positive..alpha.beta.t.cell"	0.00369913686806412
"740"	"intermediate.monocyte"	"t.cell"	0.0036697247706422
"356"	"dendritic.cell"	"fibroblast"	0.00360144057623049
"577"	"basophil"	"plasma.cell"	0.0035778175313059
"204"	"dendritic.cell"	"ciliated.cell"	0.00351031154014919
"645"	"vascular.associated.smooth.muscle.cell"	"secretory.cell"	0.00348432055749129
"361"	"lung.ciliated.cell"	"fibroblast"	0.00348128807658834
"336"	"respiratory.mucous.cell"	"endothelial.cell"	0.00346500346500346
"754"	"respiratory.mucous.cell"	"t.cell"	0.00346020761245675
"648"	"cd4.positive..alpha.beta.t.cell"	"serous.cell.of.epithelium.of.trachea"	0.00345622119815668
"188"	"type.ii.pneumocyte"	"cd8.positive..alpha.beta.t.cell"	0.00342465753424658
"469"	"club.cell"	"mast.cell"	0.00340522133938706
"305"	"cd8.positive..alpha.beta.t.cell"	"endothelial.cell"	0.00334672021419009
"24"	"neutrophil"	"goblet.cell"	0.0033178500331785
"272"	"basal.cell"	"double.positive..alpha.beta.thymocyte"	0.00330214639515685
"78"	"cd4.positive..alpha.beta.t.cell"	"basal.cell"	0.00329308452250274
"90"	"dendritic.cell"	"basal.cell"	0.00329308452250274
"552"	"lung.microvascular.endothelial.cell"	"neutrophil"	0.00328137817883511
"658"	"classical.monocyte"	"serous.cell.of.epithelium.of.trachea"	0.00326441784548422
"174"	"mesothelial.cell"	"cd8.positive..alpha.beta.t.cell"	0.00323974082073434
"53"	"endothelial.cell.of.artery"	"b.cell"	0.00322927879440258
"120"	"basal.cell"	"cd4.positive..alpha.beta.t.cell"	0.00322061191626409
"20"	"lung.microvascular.endothelial.cell"	"goblet.cell"	0.00319488817891374
"210"	"lung.microvascular.endothelial.cell"	"ciliated.cell"	0.00318761384335155
"140"	"non.classical.monocyte"	"cd4.positive..alpha.beta.t.cell"	0.00315955766192733
"155"	"adventitial.cell"	"cd8.positive..alpha.beta.t.cell"	0.0031055900621118
"259"	"respiratory.goblet.cell"	"connective.tissue.cell"	0.00310318076027929
"633"	"nk.cell"	"secretory.cell"	0.00309789343246592
"632"	"neutrophil"	"secretory.cell"	0.00307692307692308
"156"	"alveolar.fibroblast"	"cd8.positive..alpha.beta.t.cell"	0.00306122448979592
"532"	"vein.endothelial.cell"	"mucus.secreting.cell"	0.00302114803625378
"202"	"classical.monocyte"	"ciliated.cell"	0.003003003003003
"749"	"pericyte.cell"	"t.cell"	0.00296442687747036
"631"	"myofibroblast.cell"	"secretory.cell"	0.00295275590551181
"611"	"adventitial.cell"	"secretory.cell"	0.00293255131964809
"696"	"classical.monocyte"	"smooth.muscle.cell"	0.00293255131964809
"311"	"basophil"	"endothelial.cell"	0.00290697674418605
"451"	"serous.cell.of.epithelium.of.bronchus"	"macrophage"	0.00290416263310745
"230"	"cd4.positive..alpha.beta.t.cell"	"connective.tissue.cell"	0.00286327845382963
"323"	"lung.ciliated.cell"	"endothelial.cell"	0.00285612281328097
"147"	"serous.cell.of.epithelium.of.bronchus"	"cd4.positive..alpha.beta.t.cell"	0.00284495021337127
"503"	"bronchial.vessel.endothelial.cell"	"mucus.secreting.cell"	0.00283553875236295
"564"	"respiratory.mucous.cell"	"neutrophil"	0.0028328611898017
"597"	"pericyte.cell"	"plasma.cell"	0.00282752120640905
"738"	"endothelial.cell.of.lymphatic.vessel"	"t.cell"	0.00282685512367491
"574"	"alveolar.fibroblast"	"plasma.cell"	0.00280898876404494
"757"	"type.i.pneumocyte"	"t.cell"	0.00278293135435993
"190"	"vein.endothelial.cell"	"cd8.positive..alpha.beta.t.cell"	0.00277392510402219
"440"	"mesothelial.cell"	"macrophage"	0.00275735294117647
"146"	"respiratory.mucous.cell"	"cd4.positive..alpha.beta.t.cell"	0.00275103163686382
"496"	"cd4.positive..alpha.beta.t.cell"	"mucus.secreting.cell"	0.00274725274725275
"535"	"adventitial.cell"	"neutrophil"	0.00269723533378287
"142"	"plasma.cell"	"cd4.positive..alpha.beta.t.cell"	0.00267379679144385
"5"	"b.cell"	"goblet.cell"	0.00267022696929239
"752"	"pulmonary.ionocyte"	"t.cell"	0.00263273365511189
"158"	"basal.cell"	"cd8.positive..alpha.beta.t.cell"	0.00253164556962025
"551"	"lung.ciliated.cell"	"neutrophil"	0.00252707581227437
"578"	"bronchial.smooth.muscle.cell"	"plasma.cell"	0.0025
"731"	"bronchial.vessel.endothelial.cell"	"t.cell"	0.0025
"733"	"capillary.endothelial.cell"	"t.cell"	0.0025
"71"	"serous.cell.of.epithelium.of.bronchus"	"b.cell"	0.00248756218905473
"732"	"capillary.aerocyte"	"t.cell"	0.00243605359317905
"601"	"respiratory.goblet.cell"	"plasma.cell"	0.0024330900243309
"759"	"vascular.associated.smooth.muscle.cell"	"t.cell"	0.00241254523522316
"579"	"bronchial.vessel.endothelial.cell"	"plasma.cell"	0.00235571260306243
"100"	"neutrophil"	"basal.cell"	0.00233918128654971
"735"	"club.cell"	"t.cell"	0.00233100233100233
"438"	"lung.microvascular.endothelial.cell"	"macrophage"	0.0023121387283237
"580"	"capillary.aerocyte"	"plasma.cell"	0.00229885057471264
"57"	"lung.ciliated.cell"	"b.cell"	0.00228728270814273
"304"	"vein.endothelial.cell"	"double.positive..alpha.beta.thymocyte"	0.00228571428571429
"594"	"neutrophil"	"plasma.cell"	0.00227790432801822
"672"	"non.classical.monocyte"	"serous.cell.of.epithelium.of.trachea"	0.00226244343891403
"306"	"cd4.positive..alpha.beta.t.cell"	"endothelial.cell"	0.00224550898203593
"310"	"basal.cell"	"endothelial.cell"	0.00224047796863331
"41"	"adventitial.cell"	"b.cell"	0.00222469410456062
"608"	"vein.endothelial.cell"	"plasma.cell"	0.0022075055187638
"309"	"b.cell"	"endothelial.cell"	0.00218181818181818
"462"	"basal.cell"	"mast.cell"	0.00215982721382289
"736"	"dendritic.cell"	"t.cell"	0.00212765957446809
"728"	"basal.cell"	"t.cell"	0.00211416490486258
"420"	"cd4.positive..alpha.beta.t.cell"	"macrophage"	0.00210748155953635
"233"	"b.cell"	"connective.tissue.cell"	0.00208768267223382
"522"	"plasma.cell"	"mucus.secreting.cell"	0.00206611570247934
"587"	"fibroblast"	"plasma.cell"	0.00206100577081616
"367"	"nk.cell"	"fibroblast"	0.00205444273240883
"610"	"cd4.positive..alpha.beta.t.cell"	"secretory.cell"	0.00198807157057654
"647"	"cd8.positive..alpha.beta.t.cell"	"serous.cell.of.epithelium.of.trachea"	0.00194363459669582
"584"	"dendritic.cell"	"plasma.cell"	0.00192678227360308
"702"	"intermediate.monocyte"	"smooth.muscle.cell"	0.00190657769304099
"560"	"plasma.cell"	"neutrophil"	0.00188679245283019
"596"	"non.classical.monocyte"	"plasma.cell"	0.00187265917602996
"134"	"lung.microvascular.endothelial.cell"	"cd4.positive..alpha.beta.t.cell"	0.00186915887850467
"613"	"b.cell"	"secretory.cell"	0.0018450184501845
"180"	"plasma.cell"	"cd8.positive..alpha.beta.t.cell"	0.00184162062615101
"152"	"vein.endothelial.cell"	"cd4.positive..alpha.beta.t.cell"	0.00180831826401447
"620"	"classical.monocyte"	"secretory.cell"	0.00180505415162455
"758"	"type.ii.pneumocyte"	"t.cell"	0.00178571428571429
"582"	"classical.monocyte"	"plasma.cell"	0.00175438596491228
"216"	"non.classical.monocyte"	"ciliated.cell"	0.00174064403829417
"286"	"lung.microvascular.endothelial.cell"	"double.positive..alpha.beta.thymocyte"	0.00173110213502597
"626"	"intermediate.monocyte"	"secretory.cell"	0.00172711571675302
"588"	"intermediate.monocyte"	"plasma.cell"	0.00168067226890756
"591"	"macrophage"	"plasma.cell"	0.0016750418760469
"703"	"lung.ciliated.cell"	"smooth.muscle.cell"	0.00163867267513314
"335"	"respiratory.goblet.cell"	"endothelial.cell"	0.0016273393002441
"545"	"club.cell"	"neutrophil"	0.00158227848101266
"746"	"neutrophil"	"t.cell"	0.00157604412923562
"514"	"lung.microvascular.endothelial.cell"	"mucus.secreting.cell"	0.00155038759689922
"538"	"basal.cell"	"neutrophil"	0.00152905198776758
"104"	"plasma.cell"	"basal.cell"	0.00149700598802395
"126"	"classical.monocyte"	"cd4.positive..alpha.beta.t.cell"	0.00149253731343284
"484"	"plasma.cell"	"mast.cell"	0.00147275405007364
"183"	"respiratory.goblet.cell"	"cd8.positive..alpha.beta.t.cell"	0.00147058823529412
"133"	"lung.ciliated.cell"	"cd4.positive..alpha.beta.t.cell"	0.00143747005270724
"612"	"alveolar.fibroblast"	"secretory.cell"	0.00143472022955524
"172"	"lung.microvascular.endothelial.cell"	"cd8.positive..alpha.beta.t.cell"	0.00142045454545455
"150"	"type.ii.pneumocyte"	"cd4.positive..alpha.beta.t.cell"	0.00141043723554302
"585"	"endothelial.cell.of.artery"	"plasma.cell"	0.00136986301369863
"520"	"non.classical.monocyte"	"mucus.secreting.cell"	0.00134408602150538
"171"	"lung.ciliated.cell"	"cd8.positive..alpha.beta.t.cell"	0.00132978723404255
"730"	"bronchial.smooth.muscle.cell"	"t.cell"	0.00132978723404255
"617"	"bronchial.vessel.endothelial.cell"	"secretory.cell"	0.00119904076738609
"449"	"respiratory.goblet.cell"	"macrophage"	0.00118764845605701
"715"	"respiratory.goblet.cell"	"smooth.muscle.cell"	0.00115473441108545
"1"	"cd8.positive..alpha.beta.t.cell"	"goblet.cell"	0.00114810562571757
"495"	"cd8.positive..alpha.beta.t.cell"	"mucus.secreting.cell"	0.00112485939257593
"184"	"respiratory.mucous.cell"	"cd8.positive..alpha.beta.t.cell"	0.00111482720178372
"42"	"alveolar.fibroblast"	"b.cell"	0.00109409190371991
"741"	"lung.ciliated.cell"	"t.cell"	0.00103145951521403
"686"	"cd4.positive..alpha.beta.t.cell"	"smooth.muscle.cell"	0.00102669404517454
"690"	"basal.cell"	"smooth.muscle.cell"	0.00102354145342886
"343"	"cd8.positive..alpha.beta.t.cell"	"fibroblast"	0.00100502512562814
"689"	"b.cell"	"smooth.muscle.cell"	0.000987166831194472
"635"	"pericyte.cell"	"secretory.cell"	0.000955109837631328
"563"	"respiratory.goblet.cell"	"neutrophil"	0.000834724540901503
"408"	"plasma.cell"	"ionocyte"	0.000484966052376334
"437"	"lung.ciliated.cell"	"macrophage"	0.000413223140495868
"2"	"cd4.positive..alpha.beta.t.cell"	"goblet.cell"	0
"26"	"non.classical.monocyte"	"goblet.cell"	0
"70"	"respiratory.mucous.cell"	"b.cell"	0
"117"	"adventitial.cell"	"cd4.positive..alpha.beta.t.cell"	0
"127"	"club.cell"	"cd4.positive..alpha.beta.t.cell"	0
"145"	"respiratory.goblet.cell"	"cd4.positive..alpha.beta.t.cell"	0
"165"	"club.cell"	"cd8.positive..alpha.beta.t.cell"	0
"218"	"plasma.cell"	"ciliated.cell"	0
"256"	"plasma.cell"	"connective.tissue.cell"	0
"297"	"respiratory.goblet.cell"	"double.positive..alpha.beta.thymocyte"	0
"332"	"plasma.cell"	"endothelial.cell"	0
"344"	"cd4.positive..alpha.beta.t.cell"	"fibroblast"	0
"347"	"b.cell"	"fibroblast"	0
"370"	"plasma.cell"	"fibroblast"	0
"424"	"basal.cell"	"macrophage"	0
"446"	"plasma.cell"	"macrophage"	0
"487"	"respiratory.goblet.cell"	"mast.cell"	0
"581"	"capillary.endothelial.cell"	"plasma.cell"	0
"590"	"lung.microvascular.endothelial.cell"	"plasma.cell"	0
"609"	"cd8.positive..alpha.beta.t.cell"	"secretory.cell"	0
"622"	"dendritic.cell"	"secretory.cell"	0
