"Lung"	"Trachea"	"value"
"681"	"type.i.pneumocyte"	"serous.cell.of.epithelium.of.trachea"	0.0363890832750175
"250"	"mesothelial.cell"	"connective.tissue.cell"	0.0363147276395427
"36"	"type.ii.pneumocyte"	"goblet.cell"	0.0361757105943152
"262"	"smooth.muscle.cell"	"connective.tissue.cell"	0.0358585858585859
"447"	"plasmacytoid.dendritic.cell"	"macrophage"	0.0358527131782946
"139"	"nk.cell"	"cd4.positive..alpha.beta.t.cell"	0.0352028639618138
"507"	"club.cell"	"mucus.secreting.cell"	0.0345345345345345
"239"	"capillary.endothelial.cell"	"connective.tissue.cell"	0.0334128878281623
"376"	"smooth.muscle.cell"	"fibroblast"	0.0333796940194715
"693"	"bronchial.vessel.endothelial.cell"	"smooth.muscle.cell"	0.0332278481012658
"293"	"pericyte.cell"	"double.positive..alpha.beta.thymocyte"	0.0332167832167832
"399"	"lung.ciliated.cell"	"ionocyte"	0.0330872299699207
"40"	"cd4.positive..alpha.beta.t.cell"	"b.cell"	0.0329512893982808
"480"	"neutrophil"	"mast.cell"	0.0329341317365269
"35"	"type.i.pneumocyte"	"goblet.cell"	0.0328125
"213"	"myofibroblast.cell"	"ciliated.cell"	0.0327027027027027
"407"	"pericyte.cell"	"ionocyte"	0.0322113644589215
"640"	"respiratory.mucous.cell"	"secretory.cell"	0.031986531986532
"379"	"vascular.associated.smooth.muscle.cell"	"fibroblast"	0.0319240724762727
"89"	"club.cell"	"basal.cell"	0.0319148936170213
"225"	"type.i.pneumocyte"	"ciliated.cell"	0.0316951566951567
"416"	"type.ii.pneumocyte"	"ionocyte"	0.0309544282029235
"263"	"type.i.pneumocyte"	"connective.tissue.cell"	0.0302254098360656
"530"	"type.ii.pneumocyte"	"mucus.secreting.cell"	0.0301507537688442
"271"	"b.cell"	"double.positive..alpha.beta.thymocyte"	0.0299168975069252
"63"	"nk.cell"	"b.cell"	0.0297251822770611
"677"	"respiratory.goblet.cell"	"serous.cell.of.epithelium.of.trachea"	0.0296896086369771
"219"	"plasmacytoid.dendritic.cell"	"ciliated.cell"	0.02963841138115
"110"	"smooth.muscle.cell"	"basal.cell"	0.0296247531270573
"561"	"plasmacytoid.dendritic.cell"	"neutrophil"	0.0293025175402394
"485"	"plasmacytoid.dendritic.cell"	"mast.cell"	0.0292397660818713
"181"	"plasmacytoid.dendritic.cell"	"cd8.positive..alpha.beta.t.cell"	0.0291666666666667
"13"	"club.cell"	"goblet.cell"	0.0291411042944785
"388"	"bronchial.smooth.muscle.cell"	"ionocyte"	0.028594122319301
"339"	"type.i.pneumocyte"	"endothelial.cell"	0.0284960422163588
