"Spleen"	"Skeletal muscle"	"value"
"187"	"nk.cell"	"fast.muscle.cell"	0.00411184210526316
"110"	"memory.b.cell"	"endothelial.cell.of.lymphatic.vessel"	0.00407608695652174
"165"	"plasmacytoid.dendritic.cell"	"erythrocyte"	0.00407055630936228
"336"	"type.i.nk.t.cell"	"pericyte.cell"	0.00396825396825397
"136"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"endothelial.cell.of.vascular.tree"	0.00389105058365759
"86"	"memory.b.cell"	"endothelial.cell.of.artery"	0.00387596899224806
"283"	"nk.cell"	"mesenchymal.stem.cell"	0.00387596899224806
"272"	"erythrocyte"	"mesenchymal.stem.cell"	0.00381679389312977
"373"	"mature.nk.t.cell"	"slow.muscle.cell"	0.00377928949357521
"116"	"plasma.cell"	"endothelial.cell.of.lymphatic.vessel"	0.00357568533969011
"25"	"cd1c.positive.myeloid.dendritic.cell"	"cd4.positive..alpha.beta.t.cell"	0.00340715502555366
"323"	"intermediate.monocyte"	"pericyte.cell"	0.00338218714768884
"288"	"type.i.nk.t.cell"	"mesenchymal.stem.cell"	0.00327332242225859
"411"	"cd8.positive..alpha.beta.memory.t.cell"	"t.cell"	0.00327332242225859
"304"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"mesothelial.cell"	0.00325732899022801
"184"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"fast.muscle.cell"	0.00323624595469256
"414"	"classical.monocyte"	"t.cell"	0.00323275862068966
"2"	"cd4.positive..alpha.beta.memory.t.cell"	"capillary.endothelial.cell"	0.00322061191626409
"36"	"macrophage"	"cd4.positive..alpha.beta.t.cell"	0.00319148936170213
"456"	"type.i.nk.t.cell"	"tendon.cell"	0.00316957210776545
"374"	"memory.b.cell"	"slow.muscle.cell"	0.0031496062992126
"133"	"mature.nk.t.cell"	"endothelial.cell.of.vascular.tree"	0.003125
"144"	"type.i.nk.t.cell"	"endothelial.cell.of.vascular.tree"	0.0031201248049922
"377"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"slow.muscle.cell"	0.0031201248049922
"313"	"cd1c.positive.myeloid.dendritic.cell"	"pericyte.cell"	0.00310077519379845
"305"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"mesothelial.cell"	0.00298507462686567
"185"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"fast.muscle.cell"	0.0029673590504451
"164"	"plasma.cell"	"erythrocyte"	0.00289017341040462
"314"	"cd4.positive..alpha.beta.memory.t.cell"	"pericyte.cell"	0.00288184438040346
"316"	"cd8.positive..alpha.beta.t.cell"	"pericyte.cell"	0.00287976961843053
"387"	"cd8.positive..alpha.beta.memory.t.cell"	"smooth.muscle.cell"	0.00269179004037685
"209"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"macrophage"	0.00264783759929391
"386"	"cd4.positive..alpha.beta.memory.t.cell"	"smooth.muscle.cell"	0.0026246719160105
"183"	"naive.b.cell"	"fast.muscle.cell"	0.00260642919200695
"218"	"cd4.positive..alpha.beta.memory.t.cell"	"mast.cell"	0.00257731958762887
"205"	"mature.nk.t.cell"	"macrophage"	0.0025531914893617
"216"	"type.i.nk.t.cell"	"macrophage"	0.00255102040816327
"355"	"nk.cell"	"skeletal.muscle.satellite.stem.cell"	0.00254452926208651
"120"	"type.i.nk.t.cell"	"endothelial.cell.of.lymphatic.vessel"	0.00252525252525253
"400"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"smooth.muscle.cell"	0.00252206809583859
"376"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"slow.muscle.cell"	0.00250208507089241
"215"	"regulatory.t.cell"	"macrophage"	0.00247729149463253
"21"	"plasmacytoid.dendritic.cell"	"capillary.endothelial.cell"	0.00246103363412633
"20"	"plasma.cell"	"capillary.endothelial.cell"	0.00241837968561064
"420"	"macrophage"	"t.cell"	0.00234009360374415
"55"	"endothelial.cell"	"cd8.positive..alpha.beta.t.cell"	0.00233644859813084
"384"	"type.i.nk.t.cell"	"slow.muscle.cell"	0.00226244343891403
"339"	"cd8.positive..alpha.beta.memory.t.cell"	"skeletal.muscle.satellite.stem.cell"	0.00224215246636771
"266"	"cd4.positive..alpha.beta.memory.t.cell"	"mesenchymal.stem.cell"	0.00220264317180617
"329"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"pericyte.cell"	0.00216450216450216
"122"	"cd4.positive..alpha.beta.memory.t.cell"	"endothelial.cell.of.vascular.tree"	0.00206611570247934
"404"	"plasma.cell"	"smooth.muscle.cell"	0.00206611570247934
"153"	"hematopoietic.stem.cell"	"erythrocyte"	0.00205761316872428
"182"	"memory.b.cell"	"fast.muscle.cell"	0.002
"195"	"cd8.positive..alpha.beta.memory.t.cell"	"macrophage"	0.002
"325"	"mature.nk.t.cell"	"pericyte.cell"	0.00198412698412698
"448"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"tendon.cell"	0.00198019801980198
"256"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"mature.nk.t.cell"	0.00194363459669582
"192"	"type.i.nk.t.cell"	"fast.muscle.cell"	0.0018957345971564
"446"	"memory.b.cell"	"tendon.cell"	0.00173310225303293
"449"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"tendon.cell"	0.00169779286926995
"3"	"cd8.positive..alpha.beta.memory.t.cell"	"capillary.endothelial.cell"	0.00165837479270315
"31"	"endothelial.cell"	"cd4.positive..alpha.beta.t.cell"	0.00161550888529887
"98"	"cd4.positive..alpha.beta.memory.t.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0015748031496063
"16"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"capillary.endothelial.cell"	0.00153139356814701
"75"	"cd8.positive..alpha.beta.memory.t.cell"	"endothelial.cell.of.artery"	0.00152905198776758
"74"	"cd4.positive..alpha.beta.memory.t.cell"	"endothelial.cell.of.artery"	0.00148588410104012
"155"	"intermediate.monocyte"	"erythrocyte"	0.00146627565982405
"88"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"endothelial.cell.of.artery"	0.00142045454545455
"219"	"cd8.positive..alpha.beta.memory.t.cell"	"mast.cell"	0.00131926121372032
"156"	"macrophage"	"erythrocyte"	0.00126103404791929
"232"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"mast.cell"	0.00123762376237624
"95"	"regulatory.t.cell"	"endothelial.cell.of.artery"	0.00115473441108545
"290"	"cd4.positive..alpha.beta.memory.t.cell"	"mesothelial.cell"	0.00112107623318386
"170"	"cd4.positive..alpha.beta.memory.t.cell"	"fast.muscle.cell"	0.00111358574610245
"409"	"cd1c.positive.myeloid.dendritic.cell"	"t.cell"	0.0010752688172043
"60"	"macrophage"	"cd8.positive..alpha.beta.t.cell"	0.000965250965250965
"181"	"mature.nk.t.cell"	"fast.muscle.cell"	0.000947867298578199
"162"	"neutrophil"	"erythrocyte"	0.000867302688638335
"362"	"cd4.positive..alpha.beta.memory.t.cell"	"slow.muscle.cell"	0.000854700854700855
"151"	"endothelial.cell"	"erythrocyte"	0.000429184549356223
"35"	"intermediate.monocyte"	"cd4.positive..alpha.beta.t.cell"	0
"44"	"plasma.cell"	"cd4.positive..alpha.beta.t.cell"	0
"92"	"plasma.cell"	"endothelial.cell.of.artery"	0
"99"	"cd8.positive..alpha.beta.memory.t.cell"	"endothelial.cell.of.lymphatic.vessel"	0
"112"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"endothelial.cell.of.lymphatic.vessel"	0
"123"	"cd8.positive..alpha.beta.memory.t.cell"	"endothelial.cell.of.vascular.tree"	0
"145"	"cd1c.positive.myeloid.dendritic.cell"	"erythrocyte"	0
"146"	"cd4.positive..alpha.beta.memory.t.cell"	"erythrocyte"	0
"147"	"cd8.positive..alpha.beta.memory.t.cell"	"erythrocyte"	0
"148"	"cd8.positive..alpha.beta.t.cell"	"erythrocyte"	0
"149"	"cd141.positive.myeloid.dendritic.cell"	"erythrocyte"	0
"150"	"classical.monocyte"	"erythrocyte"	0
"154"	"innate.lymphoid.cell"	"erythrocyte"	0
"157"	"mature.nk.t.cell"	"erythrocyte"	0
"158"	"memory.b.cell"	"erythrocyte"	0
"159"	"naive.b.cell"	"erythrocyte"	0
"160"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"erythrocyte"	0
"161"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"erythrocyte"	0
"163"	"nk.cell"	"erythrocyte"	0
"167"	"regulatory.t.cell"	"erythrocyte"	0
"168"	"type.i.nk.t.cell"	"erythrocyte"	0
"171"	"cd8.positive..alpha.beta.memory.t.cell"	"fast.muscle.cell"	0
"194"	"cd4.positive..alpha.beta.memory.t.cell"	"macrophage"	0
"208"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"macrophage"	0
"242"	"cd4.positive..alpha.beta.memory.t.cell"	"mature.nk.t.cell"	0
"267"	"cd8.positive..alpha.beta.memory.t.cell"	"mesenchymal.stem.cell"	0
"291"	"cd8.positive..alpha.beta.memory.t.cell"	"mesothelial.cell"	0
"338"	"cd4.positive..alpha.beta.memory.t.cell"	"skeletal.muscle.satellite.stem.cell"	0
"352"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"skeletal.muscle.satellite.stem.cell"	0
"363"	"cd8.positive..alpha.beta.memory.t.cell"	"slow.muscle.cell"	0
"401"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"smooth.muscle.cell"	0
"434"	"cd4.positive..alpha.beta.memory.t.cell"	"tendon.cell"	0
"435"	"cd8.positive..alpha.beta.memory.t.cell"	"tendon.cell"	0
