"Spleen"	"Skeletal muscle"	"value"
"52"	"cd8.positive..alpha.beta.t.cell"	"cd8.positive..alpha.beta.t.cell"	0.0236389684813754
"114"	"neutrophil"	"endothelial.cell.of.lymphatic.vessel"	0.0235878336436996
"310"	"platelet"	"mesothelial.cell"	0.0232049036777583
"368"	"erythrocyte"	"slow.muscle.cell"	0.0231135282121006
"319"	"endothelial.cell"	"pericyte.cell"	0.0229746070133011
"453"	"plasmacytoid.dendritic.cell"	"tendon.cell"	0.0228571428571429
"48"	"type.i.nk.t.cell"	"cd4.positive..alpha.beta.t.cell"	0.0228310502283105
"419"	"intermediate.monocyte"	"t.cell"	0.0226480836236934
"372"	"macrophage"	"slow.muscle.cell"	0.0224215246636771
"176"	"erythrocyte"	"fast.muscle.cell"	0.0223880597014925
"108"	"macrophage"	"endothelial.cell.of.lymphatic.vessel"	0.0222045995241872
"179"	"intermediate.monocyte"	"fast.muscle.cell"	0.0219858156028369
"442"	"innate.lymphoid.cell"	"tendon.cell"	0.0219435736677116
"18"	"neutrophil"	"capillary.endothelial.cell"	0.0218613366645846
"221"	"cd141.positive.myeloid.dendritic.cell"	"mast.cell"	0.0218253968253968
"334"	"platelet"	"pericyte.cell"	0.0216647662485747
"201"	"hematopoietic.stem.cell"	"macrophage"	0.0214876033057851
"402"	"neutrophil"	"smooth.muscle.cell"	0.021264367816092
"276"	"macrophage"	"mesenchymal.stem.cell"	0.0211981566820276
"142"	"platelet"	"endothelial.cell.of.vascular.tree"	0.0211752249867655
"217"	"cd1c.positive.myeloid.dendritic.cell"	"mast.cell"	0.0208530805687204
"223"	"endothelial.cell"	"mast.cell"	0.0206327372764787
"175"	"endothelial.cell"	"fast.muscle.cell"	0.0204823257350512
"393"	"hematopoietic.stem.cell"	"smooth.muscle.cell"	0.0204472843450479
"270"	"classical.monocyte"	"mesenchymal.stem.cell"	0.020297699594046
"83"	"intermediate.monocyte"	"endothelial.cell.of.artery"	0.0201342281879195
"412"	"cd8.positive..alpha.beta.t.cell"	"t.cell"	0.0200729927007299
"249"	"hematopoietic.stem.cell"	"mature.nk.t.cell"	0.0200333889816361
"199"	"endothelial.cell"	"macrophage"	0.020012706480305
"28"	"cd8.positive..alpha.beta.t.cell"	"cd4.positive..alpha.beta.t.cell"	0.0198624904507257
"231"	"naive.b.cell"	"mast.cell"	0.0197433366238894
