"Trachea"	"Bone marrow"	"value"
"218"	"serous.cell.of.epithelium.of.trachea"	"myeloid.progenitor"	0.0177664974619289
"238"	"serous.cell.of.epithelium.of.trachea"	"naive.b.cell"	0.0177570093457944
"229"	"endothelial.cell"	"naive.b.cell"	0.0176470588235294
"98"	"serous.cell.of.epithelium.of.trachea"	"erythroid.progenitor"	0.0171606864274571
"228"	"double.positive..alpha.beta.thymocyte"	"naive.b.cell"	0.0169660678642715
"190"	"fibroblast"	"monocyte"	0.0164917541229385
"58"	"serous.cell.of.epithelium.of.trachea"	"cd24.neutrophil"	0.0164787510841284
"74"	"mucus.secreting.cell"	"erythrocyte"	0.0164113785557987
"84"	"cd4.positive..alpha.beta.t.cell"	"erythroid.progenitor"	0.0164092664092664
"33"	"mast.cell"	"cd8.positive..alpha.beta.t.cell"	0.0162866449511401
"199"	"smooth.muscle.cell"	"monocyte"	0.0161691542288557
"90"	"fibroblast"	"erythroid.progenitor"	0.0160128102481986
"201"	"goblet.cell"	"myeloid.progenitor"	0.0155642023346304
"252"	"macrophage"	"nampt.neutrophil"	0.0153284671532847
"248"	"double.positive..alpha.beta.thymocyte"	"nampt.neutrophil"	0.0152740341419587
"97"	"secretory.cell"	"erythroid.progenitor"	0.0151679306608884
"233"	"mast.cell"	"naive.b.cell"	0.0150976909413854
"41"	"goblet.cell"	"cd24.neutrophil"	0.0150300601202405
"153"	"mast.cell"	"macrophage"	0.0149551345962114
"267"	"connective.tissue.cell"	"neutrophil"	0.0148760330578512
"292"	"macrophage"	"nk.cell"	0.0146955913226032
"79"	"smooth.muscle.cell"	"erythrocyte"	0.0146931719965428
"193"	"mast.cell"	"monocyte"	0.0145502645502645
"147"	"connective.tissue.cell"	"macrophage"	0.0142566191446029
"159"	"smooth.muscle.cell"	"macrophage"	0.0142450142450142
"78"	"serous.cell.of.epithelium.of.trachea"	"erythrocyte"	0.014218009478673
"274"	"mucus.secreting.cell"	"neutrophil"	0.0138528138528139
"87"	"connective.tissue.cell"	"erythroid.progenitor"	0.0138197899391929
"251"	"ionocyte"	"nampt.neutrophil"	0.0136481003319808
"117"	"secretory.cell"	"granulocyte"	0.0135922330097087
"310"	"fibroblast"	"plasma.cell"	0.0134952766531714
"65"	"cd8.positive..alpha.beta.t.cell"	"erythrocyte"	0.0133333333333333
"81"	"goblet.cell"	"erythroid.progenitor"	0.0132743362831858
"62"	"b.cell"	"erythrocyte"	0.013215859030837
"262"	"b.cell"	"neutrophil"	0.013077593722755
"121"	"goblet.cell"	"hematopoietic.stem.cell"	0.0128354725787631
"204"	"cd4.positive..alpha.beta.t.cell"	"myeloid.progenitor"	0.0127659574468085
"43"	"basal.cell"	"cd24.neutrophil"	0.0125
"202"	"b.cell"	"myeloid.progenitor"	0.0125
"101"	"goblet.cell"	"granulocyte"	0.0124826629680999
"214"	"mucus.secreting.cell"	"myeloid.progenitor"	0.0123927550047664
"299"	"smooth.muscle.cell"	"nk.cell"	0.0123626373626374
"31"	"ionocyte"	"cd8.positive..alpha.beta.t.cell"	0.0122217372326495
"111"	"ionocyte"	"granulocyte"	0.0121845082680592
"148"	"double.positive..alpha.beta.thymocyte"	"macrophage"	0.0121693121693122
"75"	"neutrophil"	"erythrocyte"	0.0120967741935484
"224"	"cd4.positive..alpha.beta.t.cell"	"naive.b.cell"	0.0120772946859903
"239"	"smooth.muscle.cell"	"naive.b.cell"	0.0118744698897371
"298"	"serous.cell.of.epithelium.of.trachea"	"nk.cell"	0.0118168389955687
"113"	"mast.cell"	"granulocyte"	0.0118025751072961
"70"	"fibroblast"	"erythrocyte"	0.0117302052785924
"141"	"goblet.cell"	"macrophage"	0.0113065326633166
"29"	"endothelial.cell"	"cd8.positive..alpha.beta.t.cell"	0.0112359550561798
"106"	"ciliated.cell"	"granulocyte"	0.0109649122807018
"63"	"basal.cell"	"erythrocyte"	0.0108991825613079
"246"	"ciliated.cell"	"nampt.neutrophil"	0.0107487027427724
"259"	"smooth.muscle.cell"	"nampt.neutrophil"	0.0107142857142857
"245"	"cd8.positive..alpha.beta.t.cell"	"nampt.neutrophil"	0.0106907894736842
"72"	"macrophage"	"erythrocyte"	0.0105448154657293
"247"	"connective.tissue.cell"	"nampt.neutrophil"	0.0104281009879254
"119"	"smooth.muscle.cell"	"granulocyte"	0.0101729399796541
"295"	"neutrophil"	"nk.cell"	0.0100671140939597
"169"	"endothelial.cell"	"memory.b.cell"	0.0100250626566416
"278"	"serous.cell.of.epithelium.of.trachea"	"neutrophil"	0.0100076982294072
"223"	"basal.cell"	"naive.b.cell"	0.00981266726137377
"221"	"goblet.cell"	"naive.b.cell"	0.00977198697068404
"26"	"ciliated.cell"	"cd8.positive..alpha.beta.t.cell"	0.00966608084358524
