"Tongue"	"Trachea"	"value"
"61"	"basal.cell"	"ciliated.cell"	0.0150909897913893
"159"	"endothelial.cell.of.artery"	"mucus.secreting.cell"	0.0150554675118859
"69"	"pericyte.cell"	"ciliated.cell"	0.0148654077942949
"68"	"keratinocyte"	"ciliated.cell"	0.0147633521493704
"28"	"endothelial.cell.of.lymphatic.vessel"	"basal.cell"	0.0146818923327896
"148"	"endothelial.cell.of.lymphatic.vessel"	"mast.cell"	0.0145513338722716
"177"	"pericyte.cell"	"neutrophil"	0.0144356955380577
"180"	"vein.endothelial.cell"	"neutrophil"	0.0138648180242634
"170"	"capillary.endothelial.cell"	"neutrophil"	0.0137382501807664
"4"	"endothelial.cell.of.lymphatic.vessel"	"goblet.cell"	0.0136186770428016
"15"	"endothelial.cell.of.artery"	"b.cell"	0.0135458167330677
"212"	"keratinocyte"	"serous.cell.of.epithelium.of.trachea"	0.0132013201320132
"121"	"basal.cell"	"ionocyte"	0.0131694468832309
"37"	"basal.cell"	"cd4.positive..alpha.beta.t.cell"	0.0130718954248366
"187"	"immune.cell"	"plasma.cell"	0.012987012987013
"221"	"epithelial.cell"	"smooth.muscle.cell"	0.012591815320042
"22"	"schwann.cell"	"b.cell"	0.0125379939209726
"160"	"endothelial.cell.of.lymphatic.vessel"	"mucus.secreting.cell"	0.0124164278892073
"58"	"schwann.cell"	"cd8.positive..alpha.beta.t.cell"	0.0122222222222222
"174"	"fibroblast"	"neutrophil"	0.0121428571428571
"155"	"tongue.muscle.cell"	"mast.cell"	0.0117762512266928
"134"	"capillary.endothelial.cell"	"macrophage"	0.011605415860735
"156"	"vein.endothelial.cell"	"mast.cell"	0.0115532734274711
"62"	"capillary.endothelial.cell"	"ciliated.cell"	0.0114649681528662
"33"	"pericyte.cell"	"basal.cell"	0.0114035087719298
"126"	"fibroblast"	"ionocyte"	0.0112923462986198
"52"	"endothelial.cell.of.lymphatic.vessel"	"cd8.positive..alpha.beta.t.cell"	0.010840108401084
"40"	"endothelial.cell.of.lymphatic.vessel"	"cd4.positive..alpha.beta.t.cell"	0.0106382978723404
"84"	"vein.endothelial.cell"	"connective.tissue.cell"	0.0103916866506795
"39"	"endothelial.cell.of.artery"	"cd4.positive..alpha.beta.t.cell"	0.0103537532355479
"50"	"capillary.endothelial.cell"	"cd8.positive..alpha.beta.t.cell"	0.0102857142857143
"111"	"endothelial.cell.of.artery"	"fibroblast"	0.0101966496722505
"169"	"basal.cell"	"neutrophil"	0.0100463678516229
"9"	"pericyte.cell"	"goblet.cell"	0.00955414012738853
"190"	"schwann.cell"	"plasma.cell"	0.00942236788201557
"206"	"capillary.endothelial.cell"	"serous.cell.of.epithelium.of.trachea"	0.00940438871473354
"141"	"pericyte.cell"	"macrophage"	0.00932994062765055
"152"	"keratinocyte"	"mast.cell"	0.0093167701863354
