"Bone marrow"	"Lung"	"value"
"542"	"neutrophil"	"smooth.muscle.cell"	0.00741163055872292
"433"	"cd4.positive..alpha.beta.t.cell"	"plasma.cell"	0.00735294117647059
"481"	"cd4.positive..alpha.beta.t.cell"	"respiratory.goblet.cell"	0.00735294117647059
"236"	"naive.b.cell"	"endothelial.cell.of.artery"	0.0072926162260711
"287"	"nk.cell"	"intermediate.monocyte"	0.0072463768115942
"350"	"neutrophil"	"mesothelial.cell"	0.00721153846153846
"33"	"cd4.positive..alpha.beta.t.cell"	"adventitial.cell"	0.00720461095100865
"512"	"plasma.cell"	"respiratory.mucous.cell"	0.00719424460431655
"289"	"cd4.positive..alpha.beta.t.cell"	"lung.ciliated.cell"	0.00708860759493671
"204"	"naive.b.cell"	"club.cell"	0.00708382526564345
"520"	"macrophage"	"serous.cell.of.epithelium.of.bronchus"	0.00707547169811321
"508"	"naive.b.cell"	"respiratory.mucous.cell"	0.0070281124497992
"109"	"nampt.neutrophil"	"basophil"	0.00696257615317668
"305"	"cd4.positive..alpha.beta.t.cell"	"lung.microvascular.endothelial.cell"	0.00694444444444444
"38"	"granulocyte"	"adventitial.cell"	0.00691244239631336
"20"	"erythrocyte"	"cd4.positive..alpha.beta.t.cell"	0.00690448791714614
"424"	"macrophage"	"pericyte.cell"	0.00690184049079755
"225"	"cd4.positive..alpha.beta.t.cell"	"endothelial.cell.of.artery"	0.00689655172413793
"84"	"erythrocyte"	"basal.cell"	0.00688073394495413
"586"	"monocyte"	"vascular.associated.smooth.muscle.cell"	0.00688073394495413
"51"	"cd24.neutrophil"	"alveolar.fibroblast"	0.00687876182287188
"309"	"erythroid.progenitor"	"lung.microvascular.endothelial.cell"	0.0068762278978389
"486"	"granulocyte"	"respiratory.goblet.cell"	0.00687285223367698
"577"	"cd4.positive..alpha.beta.t.cell"	"vascular.associated.smooth.muscle.cell"	0.00687285223367698
"304"	"plasma.cell"	"lung.ciliated.cell"	0.00683927699071812
"54"	"granulocyte"	"alveolar.fibroblast"	0.00680272108843537
"578"	"cd8.positive..alpha.beta.t.cell"	"vascular.associated.smooth.muscle.cell"	0.00673076923076923
"153"	"memory.b.cell"	"capillary.aerocyte"	0.00672645739910314
"513"	"cd4.positive..alpha.beta.t.cell"	"serous.cell.of.epithelium.of.bronchus"	0.00666666666666667
"570"	"monocyte"	"type.ii.pneumocyte"	0.00662251655629139
"44"	"naive.b.cell"	"adventitial.cell"	0.00656044985941893
"265"	"memory.b.cell"	"fibroblast"	0.00655469070053257
"256"	"plasma.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0065402223675605
"380"	"naive.b.cell"	"neutrophil"	0.0065359477124183
"331"	"myeloid.progenitor"	"macrophage"	0.00648748841519926
"60"	"naive.b.cell"	"alveolar.fibroblast"	0.00647548566142461
"319"	"nk.cell"	"lung.microvascular.endothelial.cell"	0.00645756457564576
"503"	"hematopoietic.stem.cell"	"respiratory.mucous.cell"	0.00641711229946524
"80"	"plasma.cell"	"b.cell"	0.00638977635782748
"112"	"plasma.cell"	"basophil"	0.00636942675159236
"5"	"erythroid.progenitor"	"cd8.positive..alpha.beta.t.cell"	0.0063441712926249
"202"	"monocyte"	"club.cell"	0.00632911392405063
"496"	"plasma.cell"	"respiratory.goblet.cell"	0.00625
"554"	"monocyte"	"type.i.pneumocyte"	0.00624442462087422
"266"	"monocyte"	"fibroblast"	0.00621375310687655
"241"	"cd4.positive..alpha.beta.t.cell"	"endothelial.cell.of.lymphatic.vessel"	0.00617283950617284
"524"	"naive.b.cell"	"serous.cell.of.epithelium.of.bronchus"	0.00616649537512847
"198"	"granulocyte"	"club.cell"	0.0061633281972265
"83"	"cd24.neutrophil"	"basal.cell"	0.00616016427104723
"538"	"monocyte"	"smooth.muscle.cell"	0.00602928509905254
"579"	"cd24.neutrophil"	"vascular.associated.smooth.muscle.cell"	0.00601956358164033
"494"	"neutrophil"	"respiratory.goblet.cell"	0.00598205383848455
"95"	"nk.cell"	"basal.cell"	0.00597779675491033
"138"	"monocyte"	"bronchial.vessel.endothelial.cell"	0.00592417061611374
"129"	"cd4.positive..alpha.beta.t.cell"	"bronchial.vessel.endothelial.cell"	0.00591715976331361
"576"	"plasma.cell"	"type.ii.pneumocyte"	0.00590841949778434
"525"	"nampt.neutrophil"	"serous.cell.of.epithelium.of.bronchus"	0.00586264656616415
"526"	"neutrophil"	"serous.cell.of.epithelium.of.bronchus"	0.00585774058577406
"348"	"naive.b.cell"	"mesothelial.cell"	0.00583657587548638
"361"	"memory.b.cell"	"myofibroblast.cell"	0.00580270793036751
"86"	"granulocyte"	"basal.cell"	0.00577200577200577
"42"	"monocyte"	"adventitial.cell"	0.00576368876080692
"125"	"nampt.neutrophil"	"bronchial.smooth.muscle.cell"	0.00575539568345324
"212"	"erythrocyte"	"dendritic.cell"	0.00574712643678161
"120"	"macrophage"	"bronchial.smooth.muscle.cell"	0.00574162679425837
"169"	"memory.b.cell"	"capillary.endothelial.cell"	0.00573394495412844
"402"	"cd8.positive..alpha.beta.t.cell"	"non.classical.monocyte"	0.00573065902578797
"600"	"macrophage"	"vein.endothelial.cell"	0.00572246065808298
"368"	"plasma.cell"	"myofibroblast.cell"	0.0056791292001893
"465"	"cd4.positive..alpha.beta.t.cell"	"pulmonary.ionocyte"	0.00560344827586207
"527"	"nk.cell"	"serous.cell.of.epithelium.of.bronchus"	0.00558659217877095
"230"	"granulocyte"	"endothelial.cell.of.artery"	0.00555555555555556
"585"	"memory.b.cell"	"vascular.associated.smooth.muscle.cell"	0.00554938956714761
"25"	"memory.b.cell"	"cd4.positive..alpha.beta.t.cell"	0.00552486187845304
"200"	"macrophage"	"club.cell"	0.00552486187845304
"13"	"nampt.neutrophil"	"cd8.positive..alpha.beta.t.cell"	0.00551615445232467
"246"	"granulocyte"	"endothelial.cell.of.lymphatic.vessel"	0.00551132884262094
"45"	"nampt.neutrophil"	"adventitial.cell"	0.00543056633048875
"195"	"cd24.neutrophil"	"club.cell"	0.00537056928034372
"432"	"plasma.cell"	"pericyte.cell"	0.00531443755535872
"592"	"plasma.cell"	"vascular.associated.smooth.muscle.cell"	0.00528541226215645
"47"	"nk.cell"	"adventitial.cell"	0.00519287833827893
"439"	"hematopoietic.stem.cell"	"plasma.cell"	0.00513698630136986
"185"	"memory.b.cell"	"classical.monocyte"	0.00505050505050505
"321"	"cd4.positive..alpha.beta.t.cell"	"macrophage"	0.00505050505050505
"561"	"cd4.positive..alpha.beta.t.cell"	"type.ii.pneumocyte"	0.00495049504950495
"67"	"cd24.neutrophil"	"b.cell"	0.00494559841740851
"310"	"granulocyte"	"lung.microvascular.endothelial.cell"	0.00494233937397035
"130"	"cd8.positive..alpha.beta.t.cell"	"bronchial.vessel.endothelial.cell"	0.00493583415597236
"509"	"nampt.neutrophil"	"respiratory.mucous.cell"	0.00492206726825267
"411"	"myeloid.progenitor"	"non.classical.monocyte"	0.00491159135559921
"166"	"granulocyte"	"capillary.endothelial.cell"	0.00490196078431373
"604"	"naive.b.cell"	"vein.endothelial.cell"	0.00485436893203883
"23"	"hematopoietic.stem.cell"	"cd4.positive..alpha.beta.t.cell"	0.00483091787439614
"458"	"monocyte"	"plasmacytoid.dendritic.cell"	0.0047142015321155
"205"	"nampt.neutrophil"	"club.cell"	0.00467289719626168
"206"	"neutrophil"	"club.cell"	0.00466853408029879
"34"	"cd8.positive..alpha.beta.t.cell"	"adventitial.cell"	0.00463499420625724
"504"	"macrophage"	"respiratory.mucous.cell"	0.0045766590389016
"337"	"cd4.positive..alpha.beta.t.cell"	"mesothelial.cell"	0.00457317073170732
"530"	"cd8.positive..alpha.beta.t.cell"	"smooth.muscle.cell"	0.00450788880540947
"29"	"nampt.neutrophil"	"cd4.positive..alpha.beta.t.cell"	0.0045004500450045
"491"	"myeloid.progenitor"	"respiratory.goblet.cell"	0.00446428571428571
"584"	"macrophage"	"vascular.associated.smooth.muscle.cell"	0.00444839857651246
"279"	"hematopoietic.stem.cell"	"intermediate.monocyte"	0.00442477876106195
"272"	"plasma.cell"	"fibroblast"	0.0044158972300281
"392"	"macrophage"	"nk.cell"	0.00426439232409382
"188"	"naive.b.cell"	"classical.monocyte"	0.00425079702444208
"277"	"erythroid.progenitor"	"intermediate.monocyte"	0.00423728813559322
"66"	"cd8.positive..alpha.beta.t.cell"	"b.cell"	0.004149377593361
"114"	"cd8.positive..alpha.beta.t.cell"	"bronchial.smooth.muscle.cell"	0.00414507772020725
"391"	"hematopoietic.stem.cell"	"nk.cell"	0.00412583806085611
"57"	"memory.b.cell"	"alveolar.fibroblast"	0.00407055630936228
"370"	"cd8.positive..alpha.beta.t.cell"	"neutrophil"	0.00405131667792032
"16"	"plasma.cell"	"cd8.positive..alpha.beta.t.cell"	0.00401069518716578
"493"	"nampt.neutrophil"	"respiratory.goblet.cell"	0.00398406374501992
"353"	"cd4.positive..alpha.beta.t.cell"	"myofibroblast.cell"	0.0039119804400978
"514"	"cd8.positive..alpha.beta.t.cell"	"serous.cell.of.epithelium.of.bronchus"	0.00390117035110533
"317"	"nampt.neutrophil"	"lung.microvascular.endothelial.cell"	0.00389105058365759
"318"	"neutrophil"	"lung.microvascular.endothelial.cell"	0.00388726919339164
"150"	"granulocyte"	"capillary.aerocyte"	0.00383877159309021
"187"	"myeloid.progenitor"	"classical.monocyte"	0.0037914691943128
"417"	"cd4.positive..alpha.beta.t.cell"	"pericyte.cell"	0.00377714825306893
"113"	"cd4.positive..alpha.beta.t.cell"	"bronchial.smooth.muscle.cell"	0.0037593984962406
"240"	"plasma.cell"	"endothelial.cell.of.artery"	0.00375469336670839
"257"	"cd4.positive..alpha.beta.t.cell"	"fibroblast"	0.00371747211895911
"316"	"naive.b.cell"	"lung.microvascular.endothelial.cell"	0.00371747211895911
"338"	"cd8.positive..alpha.beta.t.cell"	"mesothelial.cell"	0.00364077669902913
"121"	"memory.b.cell"	"bronchial.smooth.muscle.cell"	0.00363636363636364
"93"	"nampt.neutrophil"	"basal.cell"	0.00358744394618834
"94"	"neutrophil"	"basal.cell"	0.003584229390681
"407"	"hematopoietic.stem.cell"	"non.classical.monocyte"	0.00355450236966825
"298"	"monocyte"	"lung.ciliated.cell"	0.00353356890459364
"35"	"cd24.neutrophil"	"adventitial.cell"	0.00346921075455334
"482"	"cd8.positive..alpha.beta.t.cell"	"respiratory.goblet.cell"	0.00346620450606586
"128"	"plasma.cell"	"bronchial.smooth.muscle.cell"	0.00344827586206897
"529"	"cd4.positive..alpha.beta.t.cell"	"smooth.muscle.cell"	0.00343347639484979
"362"	"monocyte"	"myofibroblast.cell"	0.00342298288508557
"473"	"memory.b.cell"	"pulmonary.ionocyte"	0.00340136054421769
"224"	"plasma.cell"	"dendritic.cell"	0.0033955857385399
"96"	"plasma.cell"	"basal.cell"	0.00337837837837838
"537"	"memory.b.cell"	"smooth.muscle.cell"	0.00335570469798658
"306"	"cd8.positive..alpha.beta.t.cell"	"lung.microvascular.endothelial.cell"	0.00332778702163062
"191"	"nk.cell"	"classical.monocyte"	0.00327332242225859
"176"	"plasma.cell"	"capillary.endothelial.cell"	0.00326441784548422
"281"	"memory.b.cell"	"intermediate.monocyte"	0.0032258064516129
"598"	"granulocyte"	"vein.endothelial.cell"	0.00319488817891374
"160"	"plasma.cell"	"capillary.aerocyte"	0.00319148936170213
"436"	"erythrocyte"	"plasma.cell"	0.00318471337579618
"521"	"memory.b.cell"	"serous.cell.of.epithelium.of.bronchus"	0.00317965023847377
"385"	"cd4.positive..alpha.beta.t.cell"	"nk.cell"	0.00306936771025169
"346"	"monocyte"	"mesothelial.cell"	0.00304878048780488
"378"	"monocyte"	"neutrophil"	0.0030441400304414
"7"	"hematopoietic.stem.cell"	"cd8.positive..alpha.beta.t.cell"	0.00303336703741153
"393"	"memory.b.cell"	"nk.cell"	0.00301932367149758
"336"	"plasma.cell"	"macrophage"	0.00299850074962519
"27"	"myeloid.progenitor"	"cd4.positive..alpha.beta.t.cell"	0.00298507462686567
"9"	"memory.b.cell"	"cd8.positive..alpha.beta.t.cell"	0.00284090909090909
"495"	"nk.cell"	"respiratory.goblet.cell"	0.00281954887218045
"283"	"myeloid.progenitor"	"intermediate.monocyte"	0.00277520814061055
"379"	"myeloid.progenitor"	"neutrophil"	0.00277315585135885
"70"	"granulocyte"	"b.cell"	0.0027359781121751
"102"	"granulocyte"	"basophil"	0.00272851296043656
"207"	"nk.cell"	"club.cell"	0.0026525198938992
"274"	"cd8.positive..alpha.beta.t.cell"	"intermediate.monocyte"	0.0026281208935611
"484"	"erythrocyte"	"respiratory.goblet.cell"	0.00261437908496732
"474"	"monocyte"	"pulmonary.ionocyte"	0.00257953568357696
"492"	"naive.b.cell"	"respiratory.goblet.cell"	0.00255102040816327
"72"	"macrophage"	"b.cell"	0.00248138957816377
"349"	"nampt.neutrophil"	"mesothelial.cell"	0.00239425379090184
"489"	"memory.b.cell"	"respiratory.goblet.cell"	0.0022883295194508
"434"	"cd8.positive..alpha.beta.t.cell"	"plasma.cell"	0.00226757369614512
"593"	"cd4.positive..alpha.beta.t.cell"	"vein.endothelial.cell"	0.00221238938053097
"313"	"memory.b.cell"	"lung.microvascular.endothelial.cell"	0.00216919739696312
"447"	"nk.cell"	"plasma.cell"	0.0021551724137931
"374"	"granulocyte"	"neutrophil"	0.00201207243460765
"201"	"memory.b.cell"	"club.cell"	0.00198412698412698
"320"	"plasma.cell"	"lung.microvascular.endothelial.cell"	0.00197628458498024
"26"	"monocyte"	"cd4.positive..alpha.beta.t.cell"	0.00193423597678917
"608"	"plasma.cell"	"vein.endothelial.cell"	0.00190839694656489
"89"	"memory.b.cell"	"basal.cell"	0.00182481751824818
"400"	"plasma.cell"	"nk.cell"	0.00176159718144451
"77"	"nampt.neutrophil"	"b.cell"	0.00173460537727667
"181"	"erythroid.progenitor"	"classical.monocyte"	0.00172711571675302
"32"	"plasma.cell"	"cd4.positive..alpha.beta.t.cell"	0.00169491525423729
"594"	"cd8.positive..alpha.beta.t.cell"	"vein.endothelial.cell"	0.00161290322580645
"506"	"monocyte"	"respiratory.mucous.cell"	0.00159744408945687
"497"	"cd4.positive..alpha.beta.t.cell"	"respiratory.mucous.cell"	0.00159489633173844
"373"	"erythroid.progenitor"	"neutrophil"	0.00157397691500525
"194"	"cd8.positive..alpha.beta.t.cell"	"club.cell"	0.00155038759689922
"46"	"neutrophil"	"adventitial.cell"	0.00154440154440154
"505"	"memory.b.cell"	"respiratory.mucous.cell"	0.00152905198776758
"369"	"cd4.positive..alpha.beta.t.cell"	"neutrophil"	0.00151860288534548
"345"	"memory.b.cell"	"mesothelial.cell"	0.00145985401459854
"82"	"cd8.positive..alpha.beta.t.cell"	"basal.cell"	0.00145137880986938
"384"	"plasma.cell"	"neutrophil"	0.00143988480921526
"41"	"memory.b.cell"	"adventitial.cell"	0.00137931034482759
"178"	"cd8.positive..alpha.beta.t.cell"	"classical.monocyte"	0.00135685210312076
"24"	"macrophage"	"cd4.positive..alpha.beta.t.cell"	0.00130208333333333
"88"	"macrophage"	"basal.cell"	0.0012970168612192
"562"	"cd8.positive..alpha.beta.t.cell"	"type.ii.pneumocyte"	0.00128865979381443
"64"	"plasma.cell"	"alveolar.fibroblast"	0.00127551020408163
"183"	"hematopoietic.stem.cell"	"classical.monocyte"	0.00113378684807256
"8"	"macrophage"	"cd8.positive..alpha.beta.t.cell"	0.00107758620689655
"500"	"erythrocyte"	"respiratory.mucous.cell"	0.00101729399796541
"21"	"erythroid.progenitor"	"cd4.positive..alpha.beta.t.cell"	0.000902527075812274
"377"	"memory.b.cell"	"neutrophil"	0.000743494423791822
"375"	"hematopoietic.stem.cell"	"neutrophil"	0.000613120784794605
"394"	"monocyte"	"nk.cell"	0.000612745098039216
"10"	"monocyte"	"cd8.positive..alpha.beta.t.cell"	0
"22"	"granulocyte"	"cd4.positive..alpha.beta.t.cell"	0
"74"	"monocyte"	"b.cell"	0
"90"	"monocyte"	"basal.cell"	0
"177"	"cd4.positive..alpha.beta.t.cell"	"classical.monocyte"	0
"192"	"plasma.cell"	"classical.monocyte"	0
"208"	"plasma.cell"	"club.cell"	0
"273"	"cd4.positive..alpha.beta.t.cell"	"intermediate.monocyte"	0
"288"	"plasma.cell"	"intermediate.monocyte"	0
"401"	"cd4.positive..alpha.beta.t.cell"	"non.classical.monocyte"	0
"405"	"erythroid.progenitor"	"non.classical.monocyte"	0
"416"	"plasma.cell"	"non.classical.monocyte"	0
"435"	"cd24.neutrophil"	"plasma.cell"	0
"437"	"erythroid.progenitor"	"plasma.cell"	0
"438"	"granulocyte"	"plasma.cell"	0
"440"	"macrophage"	"plasma.cell"	0
"442"	"monocyte"	"plasma.cell"	0
"443"	"myeloid.progenitor"	"plasma.cell"	0
"445"	"nampt.neutrophil"	"plasma.cell"	0
"446"	"neutrophil"	"plasma.cell"	0
"488"	"macrophage"	"respiratory.goblet.cell"	0
"490"	"monocyte"	"respiratory.goblet.cell"	0
"522"	"monocyte"	"serous.cell.of.epithelium.of.bronchus"	0
"601"	"memory.b.cell"	"vein.endothelial.cell"	0
