"Bone marrow"	"Lung"	"value"
"119"	"hematopoietic.stem.cell"	"bronchial.smooth.muscle.cell"	0.0257826887661142
"299"	"myeloid.progenitor"	"lung.ciliated.cell"	0.0256622516556291
"343"	"hematopoietic.stem.cell"	"mesothelial.cell"	0.0253164556962025
"239"	"nk.cell"	"endothelial.cell.of.artery"	0.0251479289940828
"255"	"nk.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0251086431675519
"558"	"neutrophil"	"type.i.pneumocyte"	0.0249258160237389
"468"	"erythrocyte"	"pulmonary.ionocyte"	0.0247713414634146
"356"	"erythrocyte"	"myofibroblast.cell"	0.024670353041259
"427"	"myeloid.progenitor"	"pericyte.cell"	0.0244224422442244
"467"	"cd24.neutrophil"	"pulmonary.ionocyte"	0.0242201834862385
"389"	"erythroid.progenitor"	"nk.cell"	0.0239410681399632
"544"	"plasma.cell"	"smooth.muscle.cell"	0.0239273927392739
"565"	"erythroid.progenitor"	"type.ii.pneumocyte"	0.0239111870196413
"147"	"cd24.neutrophil"	"capillary.aerocyte"	0.0238828967642527
"367"	"nk.cell"	"myofibroblast.cell"	0.0238095238095238
"268"	"naive.b.cell"	"fibroblast"	0.0237226277372263
"214"	"granulocyte"	"dendritic.cell"	0.023598820058997
"419"	"cd24.neutrophil"	"pericyte.cell"	0.0235531628532974
"154"	"monocyte"	"capillary.aerocyte"	0.0235294117647059
"430"	"neutrophil"	"pericyte.cell"	0.0234134319162046
"243"	"cd24.neutrophil"	"endothelial.cell.of.lymphatic.vessel"	0.0233918128654971
"323"	"cd24.neutrophil"	"macrophage"	0.023278370514064
"123"	"myeloid.progenitor"	"bronchial.smooth.muscle.cell"	0.0229976209357653
"111"	"nk.cell"	"basophil"	0.0227081581160639
"261"	"erythroid.progenitor"	"fibroblast"	0.022688791059939
"387"	"cd24.neutrophil"	"nk.cell"	0.0224828934506354
"364"	"naive.b.cell"	"myofibroblast.cell"	0.0223157894736842
"59"	"myeloid.progenitor"	"alveolar.fibroblast"	0.022108843537415
"428"	"naive.b.cell"	"pericyte.cell"	0.0220326936744847
"457"	"memory.b.cell"	"plasmacytoid.dendritic.cell"	0.0218160377358491
"452"	"erythrocyte"	"plasmacytoid.dendritic.cell"	0.0218037661050545
"28"	"naive.b.cell"	"cd4.positive..alpha.beta.t.cell"	0.0217142857142857
"587"	"myeloid.progenitor"	"vascular.associated.smooth.muscle.cell"	0.0216579536967886
"376"	"macrophage"	"neutrophil"	0.021484375
"171"	"myeloid.progenitor"	"capillary.endothelial.cell"	0.0213577421815408
"101"	"erythroid.progenitor"	"basophil"	0.0213143872113677
"270"	"neutrophil"	"fibroblast"	0.021247892074199
"455"	"hematopoietic.stem.cell"	"plasmacytoid.dendritic.cell"	0.0212443095599393
"100"	"erythrocyte"	"basophil"	0.0211817168338907
"388"	"erythrocyte"	"nk.cell"	0.0210364289379169
"157"	"nampt.neutrophil"	"capillary.aerocyte"	0.0208623087621697
"254"	"neutrophil"	"endothelial.cell.of.lymphatic.vessel"	0.0207612456747405
"413"	"nampt.neutrophil"	"non.classical.monocyte"	0.0207581227436823
"263"	"hematopoietic.stem.cell"	"fibroblast"	0.0204613095238095
"174"	"neutrophil"	"capillary.endothelial.cell"	0.0204369274136716
"168"	"macrophage"	"capillary.endothelial.cell"	0.0204081632653061
"164"	"erythrocyte"	"capillary.endothelial.cell"	0.0203045685279188
"555"	"myeloid.progenitor"	"type.i.pneumocyte"	0.0201765447667087
"479"	"nk.cell"	"pulmonary.ionocyte"	0.0201365187713311
"478"	"neutrophil"	"pulmonary.ionocyte"	0.0198329853862213
"227"	"cd24.neutrophil"	"endothelial.cell.of.artery"	0.0197424892703863
"155"	"myeloid.progenitor"	"capillary.aerocyte"	0.0194902548725637
"536"	"macrophage"	"smooth.muscle.cell"	0.0193965517241379
"116"	"erythrocyte"	"bronchial.smooth.muscle.cell"	0.0193832599118943
"182"	"granulocyte"	"classical.monocyte"	0.0191518467852257
"551"	"hematopoietic.stem.cell"	"type.i.pneumocyte"	0.0190812720848057
"295"	"hematopoietic.stem.cell"	"lung.ciliated.cell"	0.0190349712262063
"429"	"nampt.neutrophil"	"pericyte.cell"	0.0190300798035605
"534"	"granulocyte"	"smooth.muscle.cell"	0.0189537528430629
"302"	"neutrophil"	"lung.ciliated.cell"	0.018905080740449
"471"	"hematopoietic.stem.cell"	"pulmonary.ionocyte"	0.0188679245283019
"395"	"myeloid.progenitor"	"nk.cell"	0.0187140115163148
"420"	"erythrocyte"	"pericyte.cell"	0.018664752333094
"591"	"nk.cell"	"vascular.associated.smooth.muscle.cell"	0.0185799601857996
"571"	"myeloid.progenitor"	"type.ii.pneumocyte"	0.0185528756957328
"278"	"granulocyte"	"intermediate.monocyte"	0.0185185185185185
"238"	"neutrophil"	"endothelial.cell.of.artery"	0.0184049079754601
"235"	"myeloid.progenitor"	"endothelial.cell.of.artery"	0.0183792815371763
"464"	"plasma.cell"	"plasmacytoid.dendritic.cell"	0.0183276059564719
"292"	"erythrocyte"	"lung.ciliated.cell"	0.0182370820668693
"372"	"erythrocyte"	"neutrophil"	0.0182370820668693
"602"	"monocyte"	"vein.endothelial.cell"	0.018018018018018
"414"	"neutrophil"	"non.classical.monocyte"	0.0179856115107914
"550"	"granulocyte"	"type.i.pneumocyte"	0.0179547228727557
"412"	"naive.b.cell"	"non.classical.monocyte"	0.0179171332586786
"134"	"granulocyte"	"bronchial.vessel.endothelial.cell"	0.0178748758689176
"211"	"cd24.neutrophil"	"dendritic.cell"	0.0177083333333333
"359"	"hematopoietic.stem.cell"	"myofibroblast.cell"	0.0176344086021505
"117"	"erythroid.progenitor"	"bronchial.smooth.muscle.cell"	0.0175566934893928
"172"	"naive.b.cell"	"capillary.endothelial.cell"	0.0174418604651163
"37"	"erythroid.progenitor"	"adventitial.cell"	0.0173638516179953
"418"	"cd8.positive..alpha.beta.t.cell"	"pericyte.cell"	0.0173553719008264
"581"	"erythroid.progenitor"	"vascular.associated.smooth.muscle.cell"	0.0173130193905817
"515"	"cd24.neutrophil"	"serous.cell.of.epithelium.of.bronchus"	0.0172413793103448
"291"	"cd24.neutrophil"	"lung.ciliated.cell"	0.0170407315045719
"115"	"cd24.neutrophil"	"bronchial.smooth.muscle.cell"	0.0169628432956381
"237"	"nampt.neutrophil"	"endothelial.cell.of.artery"	0.0168582375478927
"203"	"myeloid.progenitor"	"club.cell"	0.0168243953732913
"98"	"cd8.positive..alpha.beta.t.cell"	"basophil"	0.0167597765363128
"454"	"granulocyte"	"plasmacytoid.dendritic.cell"	0.0167567567567568
"253"	"nampt.neutrophil"	"endothelial.cell.of.lymphatic.vessel"	0.0167487684729064
"234"	"monocyte"	"endothelial.cell.of.artery"	0.0167364016736402
"110"	"neutrophil"	"basophil"	0.0166812993854258
"532"	"erythrocyte"	"smooth.muscle.cell"	0.0166666666666667
"146"	"cd8.positive..alpha.beta.t.cell"	"capillary.aerocyte"	0.0166340508806262
"158"	"neutrophil"	"capillary.aerocyte"	0.0166089965397924
"269"	"nampt.neutrophil"	"fibroblast"	0.01645399597045
"124"	"naive.b.cell"	"bronchial.smooth.muscle.cell"	0.0164217804667243
"552"	"macrophage"	"type.i.pneumocyte"	0.0162122328666175
"563"	"cd24.neutrophil"	"type.ii.pneumocyte"	0.0161904761904762
"517"	"erythroid.progenitor"	"serous.cell.of.epithelium.of.bronchus"	0.0161702127659574
"543"	"nk.cell"	"smooth.muscle.cell"	0.0161469933184855
"456"	"macrophage"	"plasmacytoid.dendritic.cell"	0.0161038961038961
"366"	"neutrophil"	"myofibroblast.cell"	0.01609812188578
"91"	"myeloid.progenitor"	"basal.cell"	0.0160804020100503
"127"	"nk.cell"	"bronchial.smooth.muscle.cell"	0.0160390516039052
"228"	"erythrocyte"	"endothelial.cell.of.artery"	0.0159027128157156
"300"	"naive.b.cell"	"lung.ciliated.cell"	0.0159003008165019
"461"	"nampt.neutrophil"	"plasmacytoid.dendritic.cell"	0.015880017644464
"87"	"hematopoietic.stem.cell"	"basal.cell"	0.0158150851581509
"406"	"granulocyte"	"non.classical.monocyte"	0.0157593123209169
"58"	"monocyte"	"alveolar.fibroblast"	0.0156918687589158
"218"	"monocyte"	"dendritic.cell"	0.0156862745098039
"444"	"naive.b.cell"	"plasma.cell"	0.0156494522691706
"518"	"granulocyte"	"serous.cell.of.epithelium.of.bronchus"	0.015645371577575
"580"	"erythrocyte"	"vascular.associated.smooth.muscle.cell"	0.015625
"223"	"nk.cell"	"dendritic.cell"	0.0155574762316335
"232"	"macrophage"	"endothelial.cell.of.artery"	0.0155440414507772
"6"	"granulocyte"	"cd8.positive..alpha.beta.t.cell"	0.0154577883472057
"199"	"hematopoietic.stem.cell"	"club.cell"	0.0154043645699615
"333"	"nampt.neutrophil"	"macrophage"	0.0153061224489796
"450"	"cd8.positive..alpha.beta.t.cell"	"plasmacytoid.dendritic.cell"	0.0151679306608884
"347"	"myeloid.progenitor"	"mesothelial.cell"	0.0150309460654288
"193"	"cd4.positive..alpha.beta.t.cell"	"club.cell"	0.0148619957537155
"135"	"hematopoietic.stem.cell"	"bronchial.vessel.endothelial.cell"	0.0148342059336824
"559"	"nk.cell"	"type.i.pneumocyte"	0.0147811256395679
"226"	"cd8.positive..alpha.beta.t.cell"	"endothelial.cell.of.artery"	0.0146892655367232
"284"	"naive.b.cell"	"intermediate.monocyte"	0.0146443514644351
"329"	"memory.b.cell"	"macrophage"	0.0146341463414634
"332"	"naive.b.cell"	"macrophage"	0.0146137787056367
"152"	"macrophage"	"capillary.aerocyte"	0.0144796380090498
"574"	"neutrophil"	"type.ii.pneumocyte"	0.0142857142857143
"485"	"erythroid.progenitor"	"respiratory.goblet.cell"	0.0141843971631206
"470"	"granulocyte"	"pulmonary.ionocyte"	0.014152850788516
"472"	"macrophage"	"pulmonary.ionocyte"	0.0141342756183746
"557"	"nampt.neutrophil"	"type.i.pneumocyte"	0.0141010575793184
"108"	"naive.b.cell"	"basophil"	0.0140997830802603
"162"	"cd8.positive..alpha.beta.t.cell"	"capillary.endothelial.cell"	0.0139442231075697
"156"	"naive.b.cell"	"capillary.aerocyte"	0.0138323840520749
"596"	"erythrocyte"	"vein.endothelial.cell"	0.0137844611528822
"85"	"erythroid.progenitor"	"basal.cell"	0.0136736554238833
"404"	"erythrocyte"	"non.classical.monocyte"	0.0136674259681093
"564"	"erythrocyte"	"type.ii.pneumocyte"	0.0136554621848739
"43"	"myeloid.progenitor"	"adventitial.cell"	0.0136518771331058
"221"	"nampt.neutrophil"	"dendritic.cell"	0.0136239782016349
"222"	"neutrophil"	"dendritic.cell"	0.0136116152450091
"507"	"myeloid.progenitor"	"respiratory.mucous.cell"	0.0136116152450091
"12"	"naive.b.cell"	"cd8.positive..alpha.beta.t.cell"	0.0134615384615385
"572"	"naive.b.cell"	"type.ii.pneumocyte"	0.0133882595262616
"426"	"monocyte"	"pericyte.cell"	0.0133587786259542
"140"	"naive.b.cell"	"bronchial.vessel.endothelial.cell"	0.0132340777502068
"315"	"myeloid.progenitor"	"lung.microvascular.endothelial.cell"	0.0131578947368421
"477"	"nampt.neutrophil"	"pulmonary.ionocyte"	0.0131396957123098
"180"	"erythrocyte"	"classical.monocyte"	0.0131291028446389
"303"	"nk.cell"	"lung.ciliated.cell"	0.0130218307162007
"340"	"erythrocyte"	"mesothelial.cell"	0.0129740518962076
"603"	"myeloid.progenitor"	"vein.endothelial.cell"	0.0129032258064516
"421"	"erythroid.progenitor"	"pericyte.cell"	0.0128676470588235
"397"	"nampt.neutrophil"	"nk.cell"	0.0127099409895597
"14"	"neutrophil"	"cd8.positive..alpha.beta.t.cell"	0.0126883425852498
"132"	"erythrocyte"	"bronchial.vessel.endothelial.cell"	0.0125944584382872
"573"	"nampt.neutrophil"	"type.ii.pneumocyte"	0.0125944584382872
"545"	"cd4.positive..alpha.beta.t.cell"	"type.i.pneumocyte"	0.0125560538116592
"501"	"erythroid.progenitor"	"respiratory.mucous.cell"	0.0124688279301746
"118"	"granulocyte"	"bronchial.smooth.muscle.cell"	0.012448132780083
"215"	"hematopoietic.stem.cell"	"dendritic.cell"	0.0121654501216545
"519"	"hematopoietic.stem.cell"	"serous.cell.of.epithelium.of.bronchus"	0.0121412803532009
"196"	"erythrocyte"	"club.cell"	0.0121359223300971
"335"	"nk.cell"	"macrophage"	0.0121163166397415
"556"	"naive.b.cell"	"type.i.pneumocyte"	0.0121130551816958
"105"	"memory.b.cell"	"basophil"	0.0120689655172414
"322"	"cd8.positive..alpha.beta.t.cell"	"macrophage"	0.0119047619047619
"149"	"erythroid.progenitor"	"capillary.aerocyte"	0.0117728531855956
"242"	"cd8.positive..alpha.beta.t.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0117574257425743
"40"	"macrophage"	"adventitial.cell"	0.011727078891258
"209"	"cd4.positive..alpha.beta.t.cell"	"dendritic.cell"	0.0116959064327485
"589"	"nampt.neutrophil"	"vascular.associated.smooth.muscle.cell"	0.0116518163125428
"81"	"cd4.positive..alpha.beta.t.cell"	"basal.cell"	0.0116279069767442
"145"	"cd4.positive..alpha.beta.t.cell"	"capillary.aerocyte"	0.0116144018583043
"566"	"granulocyte"	"type.ii.pneumocyte"	0.0116129032258065
"131"	"cd24.neutrophil"	"bronchial.vessel.endothelial.cell"	0.0116009280742459
"516"	"erythrocyte"	"serous.cell.of.epithelium.of.bronchus"	0.0115911485774499
"126"	"neutrophil"	"bronchial.smooth.muscle.cell"	0.0115690527838033
"3"	"cd24.neutrophil"	"cd8.positive..alpha.beta.t.cell"	0.0115658362989324
"229"	"erythroid.progenitor"	"endothelial.cell.of.artery"	0.0114942528735632
"354"	"cd8.positive..alpha.beta.t.cell"	"myofibroblast.cell"	0.011384335154827
