"Spleen"	"Tongue"	"value"
"222"	"classical.monocyte"	"schwann.cell"	0.0161974546856922
"207"	"naive.b.cell"	"pericyte.cell"	0.0160550458715596
"211"	"nk.cell"	"pericyte.cell"	0.0159914712153518
"247"	"endothelial.cell"	"tongue.muscle.cell"	0.0158730158730159
"172"	"cd8.positive..alpha.beta.t.cell"	"keratinocyte"	0.0157103825136612
"11"	"intermediate.monocyte"	"basal.cell"	0.0152173913043478
"236"	"plasma.cell"	"schwann.cell"	0.0151757188498403
"197"	"cd141.positive.myeloid.dendritic.cell"	"pericyte.cell"	0.0149425287356322
"7"	"endothelial.cell"	"basal.cell"	0.014937106918239
"78"	"classical.monocyte"	"endothelial.cell.of.lymphatic.vessel"	0.0149105367793241
"235"	"nk.cell"	"schwann.cell"	0.0148911798396334
"231"	"naive.b.cell"	"schwann.cell"	0.0148844496670584
"261"	"plasmacytoid.dendritic.cell"	"tongue.muscle.cell"	0.0148011100832562
"87"	"naive.b.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0145379023883697
"95"	"regulatory.t.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0144124168514412
"101"	"cd141.positive.myeloid.dendritic.cell"	"epithelial.cell"	0.0144
"22"	"platelet"	"basal.cell"	0.0143646408839779
"73"	"cd1c.positive.myeloid.dendritic.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0139026812313803
"93"	"plasmacytoid.dendritic.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0138142747505756
"129"	"hematopoietic.stem.cell"	"fibroblast"	0.0136674259681093
"259"	"nk.cell"	"tongue.muscle.cell"	0.0135970333745365
"105"	"hematopoietic.stem.cell"	"epithelial.cell"	0.0133444537114262
"252"	"macrophage"	"tongue.muscle.cell"	0.0132042253521127
"263"	"regulatory.t.cell"	"tongue.muscle.cell"	0.0131964809384164
"30"	"classical.monocyte"	"capillary.endothelial.cell"	0.0128865979381443
"147"	"cd8.positive..alpha.beta.memory.t.cell"	"immune.cell"	0.0128504672897196
"63"	"naive.b.cell"	"endothelial.cell.of.artery"	0.0126796280642434
"8"	"erythrocyte"	"basal.cell"	0.0125523012552301
"186"	"neutrophil"	"keratinocyte"	0.0125260960334029
"221"	"cd141.positive.myeloid.dendritic.cell"	"schwann.cell"	0.0125195618153365
"206"	"memory.b.cell"	"pericyte.cell"	0.0124137931034483
