"Tongue"	"Skeletal muscle"	"value"
"34"	"schwann.cell"	"cd8.positive..alpha.beta.t.cell"	0.0127956572314851
"198"	"fibroblast"	"smooth.muscle.cell"	0.0122377622377622
"206"	"capillary.endothelial.cell"	"t.cell"	0.012012012012012
"224"	"keratinocyte"	"tendon.cell"	0.01125
"114"	"fibroblast"	"mast.cell"	0.0112165660051769
"67"	"immune.cell"	"endothelial.cell.of.vascular.tree"	0.011208967173739
"146"	"capillary.endothelial.cell"	"mesothelial.cell"	0.0111287758346582
"49"	"basal.cell"	"endothelial.cell.of.lymphatic.vessel"	0.010989010989011
"166"	"schwann.cell"	"pericyte.cell"	0.010989010989011
"133"	"basal.cell"	"mesenchymal.stem.cell"	0.0109439124487004
"131"	"tongue.muscle.cell"	"mature.nk.t.cell"	0.0109090909090909
"117"	"pericyte.cell"	"mast.cell"	0.0108780108780109
"22"	"schwann.cell"	"cd4.positive..alpha.beta.t.cell"	0.0108390204737053
"128"	"keratinocyte"	"mature.nk.t.cell"	0.0106060606060606
"174"	"fibroblast"	"skeletal.muscle.satellite.stem.cell"	0.0105757931844888
"13"	"basal.cell"	"cd4.positive..alpha.beta.t.cell"	0.0105633802816901
"37"	"basal.cell"	"endothelial.cell.of.artery"	0.0105485232067511
"70"	"schwann.cell"	"endothelial.cell.of.vascular.tree"	0.0104283054003724
"23"	"tongue.muscle.cell"	"cd4.positive..alpha.beta.t.cell"	0.0104011887072808
"125"	"epithelial.cell"	"mature.nk.t.cell"	0.0103092783505155
"50"	"capillary.endothelial.cell"	"endothelial.cell.of.lymphatic.vessel"	0.00995024875621891
"68"	"keratinocyte"	"endothelial.cell.of.vascular.tree"	0.00986436498150432
"113"	"epithelial.cell"	"mast.cell"	0.00959692898272553
"10"	"schwann.cell"	"capillary.endothelial.cell"	0.00956090651558074
"162"	"fibroblast"	"pericyte.cell"	0.00952380952380952
"136"	"endothelial.cell.of.lymphatic.vessel"	"mesenchymal.stem.cell"	0.00944287063267233
"56"	"keratinocyte"	"endothelial.cell.of.lymphatic.vessel"	0.00936524453694069
"217"	"basal.cell"	"tendon.cell"	0.00930851063829787
"153"	"pericyte.cell"	"mesothelial.cell"	0.00926585887384177
"29"	"epithelial.cell"	"cd8.positive..alpha.beta.t.cell"	0.00920245398773006
"44"	"keratinocyte"	"endothelial.cell.of.artery"	0.00900900900900901
"54"	"fibroblast"	"endothelial.cell.of.lymphatic.vessel"	0.00881488736532811
"120"	"vein.endothelial.cell"	"mast.cell"	0.00872410032715376
"80"	"keratinocyte"	"erythrocyte"	0.00849256900212314
"105"	"pericyte.cell"	"macrophage"	0.0084911822338341
"158"	"capillary.endothelial.cell"	"pericyte.cell"	0.00832177531206657
"227"	"tongue.muscle.cell"	"tendon.cell"	0.00815850815850816
"76"	"endothelial.cell.of.lymphatic.vessel"	"erythrocyte"	0.00801068090787717
"57"	"pericyte.cell"	"endothelial.cell.of.lymphatic.vessel"	0.00782608695652174
"159"	"endothelial.cell.of.artery"	"pericyte.cell"	0.00766609880749574
"172"	"endothelial.cell.of.lymphatic.vessel"	"skeletal.muscle.satellite.stem.cell"	0.00746268656716418
"8"	"keratinocyte"	"capillary.endothelial.cell"	0.00736842105263158
"77"	"epithelial.cell"	"erythrocyte"	0.00728155339805825
"134"	"capillary.endothelial.cell"	"mesenchymal.stem.cell"	0.0072463768115942
"15"	"endothelial.cell.of.artery"	"cd4.positive..alpha.beta.t.cell"	0.00716204118173679
"177"	"pericyte.cell"	"skeletal.muscle.satellite.stem.cell"	0.00712830957230143
"73"	"basal.cell"	"erythrocyte"	0.00710900473933649
"194"	"capillary.endothelial.cell"	"smooth.muscle.cell"	0.00704845814977974
"219"	"endothelial.cell.of.artery"	"tendon.cell"	0.00691775557263643
"156"	"vein.endothelial.cell"	"mesothelial.cell"	0.00677637947725073
"193"	"basal.cell"	"smooth.muscle.cell"	0.00672430355427474
"109"	"basal.cell"	"mast.cell"	0.00663507109004739
"61"	"basal.cell"	"endothelial.cell.of.vascular.tree"	0.00654450261780105
"35"	"tongue.muscle.cell"	"cd8.positive..alpha.beta.t.cell"	0.00650195058517555
"20"	"keratinocyte"	"cd4.positive..alpha.beta.t.cell"	0.00645161290322581
"60"	"vein.endothelial.cell"	"endothelial.cell.of.lymphatic.vessel"	0.006426735218509
"140"	"keratinocyte"	"mesenchymal.stem.cell"	0.00637755102040816
