"Lung"	"Tongue"	"value"
"144"	"pulmonary.ionocyte"	"endothelial.cell.of.lymphatic.vessel"	0.0247093023255814
"19"	"lung.ciliated.cell"	"basal.cell"	0.0243436754176611
"378"	"type.ii.pneumocyte"	"schwann.cell"	0.0241874527588813
"409"	"plasmacytoid.dendritic.cell"	"tongue.muscle.cell"	0.0239209568382735
"131"	"fibroblast"	"endothelial.cell.of.lymphatic.vessel"	0.0238680238680239
"54"	"endothelial.cell.of.lymphatic.vessel"	"capillary.endothelial.cell"	0.0238237045860631
"125"	"capillary.endothelial.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0237366003062787
"346"	"alveolar.fibroblast"	"schwann.cell"	0.0236449618042925
"375"	"serous.cell.of.epithelium.of.bronchus"	"schwann.cell"	0.0234581914491109
"383"	"adventitial.cell"	"tongue.muscle.cell"	0.0234042553191489
"143"	"plasmacytoid.dendritic.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0233317778814746
"117"	"adventitial.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0232959447799827
"403"	"myofibroblast.cell"	"tongue.muscle.cell"	0.0229681978798587
"349"	"basophil"	"schwann.cell"	0.0226748654880861
"402"	"mesothelial.cell"	"tongue.muscle.cell"	0.0221729490022173
"388"	"bronchial.smooth.muscle.cell"	"tongue.muscle.cell"	0.0220941402497598
"389"	"bronchial.vessel.endothelial.cell"	"tongue.muscle.cell"	0.0220385674931129
"397"	"fibroblast"	"tongue.muscle.cell"	0.022011385199241
"345"	"adventitial.cell"	"schwann.cell"	0.0215249908792412
"138"	"neutrophil"	"endothelial.cell.of.lymphatic.vessel"	0.0214932126696833
"299"	"serous.cell.of.epithelium.of.bronchus"	"keratinocyte"	0.0214105793450882
"22"	"mesothelial.cell"	"basal.cell"	0.0212765957446809
"285"	"lung.ciliated.cell"	"keratinocyte"	0.0209205020920502
"135"	"macrophage"	"endothelial.cell.of.lymphatic.vessel"	0.0207156308851224
"152"	"vein.endothelial.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0206297502714441
"352"	"capillary.aerocyte"	"schwann.cell"	0.0206043956043956
"55"	"fibroblast"	"capillary.endothelial.cell"	0.0205479452054795
"364"	"mesothelial.cell"	"schwann.cell"	0.0203327171903882
"174"	"mesothelial.cell"	"epithelial.cell"	0.020253164556962
"183"	"respiratory.goblet.cell"	"epithelial.cell"	0.020109689213894
"137"	"myofibroblast.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0200803212851406
"198"	"bronchial.smooth.muscle.cell"	"fibroblast"	0.0200573065902579
"327"	"myofibroblast.cell"	"pericyte.cell"	0.0199916701374427
"140"	"non.classical.monocyte"	"endothelial.cell.of.lymphatic.vessel"	0.01998001998002
"307"	"adventitial.cell"	"pericyte.cell"	0.0195530726256983
"63"	"nk.cell"	"capillary.endothelial.cell"	0.0194594594594595
"123"	"bronchial.vessel.endothelial.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0190548780487805
"110"	"smooth.muscle.cell"	"endothelial.cell.of.artery"	0.0190010857763301
"211"	"macrophage"	"fibroblast"	0.0188679245283019
"288"	"mesothelial.cell"	"keratinocyte"	0.0188235294117647
"96"	"lung.microvascular.endothelial.cell"	"endothelial.cell.of.artery"	0.018716577540107
"148"	"smooth.muscle.cell"	"endothelial.cell.of.lymphatic.vessel"	0.018450184501845
"224"	"smooth.muscle.cell"	"fibroblast"	0.0184397163120567
"410"	"pulmonary.ionocyte"	"tongue.muscle.cell"	0.0184386033738721
"386"	"basal.cell"	"tongue.muscle.cell"	0.0181582360570687
"374"	"respiratory.mucous.cell"	"schwann.cell"	0.0179037672510257
"141"	"pericyte.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0177281680892974
"400"	"lung.microvascular.endothelial.cell"	"tongue.muscle.cell"	0.0174927113702624
"339"	"type.i.pneumocyte"	"pericyte.cell"	0.0173448965977318
"290"	"neutrophil"	"keratinocyte"	0.0173333333333333
"278"	"classical.monocyte"	"keratinocyte"	0.0170157068062827
"181"	"plasmacytoid.dendritic.cell"	"epithelial.cell"	0.0170142700329308
"73"	"type.i.pneumocyte"	"capillary.endothelial.cell"	0.0169366715758468
"321"	"fibroblast"	"pericyte.cell"	0.0169125584742713
"382"	"cd4.positive..alpha.beta.t.cell"	"tongue.muscle.cell"	0.0169050715214564
"83"	"basophil"	"endothelial.cell.of.artery"	0.0168404170008019
"187"	"type.i.pneumocyte"	"epithelial.cell"	0.0167330677290837
"129"	"endothelial.cell.of.artery"	"endothelial.cell.of.lymphatic.vessel"	0.0167084377610693
"363"	"macrophage"	"schwann.cell"	0.016195856873823
"62"	"neutrophil"	"capillary.endothelial.cell"	0.0161707632600259
"407"	"pericyte.cell"	"tongue.muscle.cell"	0.0160919540229885
"153"	"cd8.positive..alpha.beta.t.cell"	"epithelial.cell"	0.015990159901599
"428"	"capillary.aerocyte"	"vein.endothelial.cell"	0.015963511972634
"136"	"mesothelial.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0159574468085106
"36"	"type.ii.pneumocyte"	"basal.cell"	0.0159151193633952
"164"	"classical.monocyte"	"epithelial.cell"	0.0155807365439093
"97"	"macrophage"	"endothelial.cell.of.artery"	0.0155642023346304
