"Lung"	"Tongue"	"value"
"289"	"myofibroblast.cell"	"keratinocyte"	0.00399822301199467
"265"	"vascular.associated.smooth.muscle.cell"	"immune.cell"	0.00393700787401575
"52"	"dendritic.cell"	"capillary.endothelial.cell"	0.00390625
"394"	"dendritic.cell"	"tongue.muscle.cell"	0.00385109114249037
"448"	"pulmonary.ionocyte"	"vein.endothelial.cell"	0.00383959044368601
"291"	"nk.cell"	"keratinocyte"	0.00381679389312977
"277"	"capillary.endothelial.cell"	"keratinocyte"	0.00379867046533713
"432"	"dendritic.cell"	"vein.endothelial.cell"	0.0037243947858473
"1"	"cd8.positive..alpha.beta.t.cell"	"basal.cell"	0.00360144057623049
"362"	"lung.microvascular.endothelial.cell"	"schwann.cell"	0.0035615354174911
"241"	"club.cell"	"immune.cell"	0.00355555555555556
"3"	"adventitial.cell"	"basal.cell"	0.00351699882766706
"453"	"type.i.pneumocyte"	"vein.endothelial.cell"	0.00349344978165939
"425"	"basophil"	"vein.endothelial.cell"	0.00346020761245675
"267"	"cd8.positive..alpha.beta.t.cell"	"keratinocyte"	0.00339750849377123
"15"	"endothelial.cell.of.artery"	"basal.cell"	0.00339366515837104
"239"	"capillary.endothelial.cell"	"immune.cell"	0.00334224598930481
"262"	"smooth.muscle.cell"	"immune.cell"	0.00330760749724366
"310"	"basal.cell"	"pericyte.cell"	0.00327868852459016
"293"	"pericyte.cell"	"keratinocyte"	0.00315955766192733
"309"	"b.cell"	"pericyte.cell"	0.00315457413249211
"380"	"vein.endothelial.cell"	"schwann.cell"	0.00314218381775334
"286"	"lung.microvascular.endothelial.cell"	"keratinocyte"	0.003125
"69"	"respiratory.goblet.cell"	"capillary.endothelial.cell"	0.00302571860816944
"411"	"respiratory.goblet.cell"	"tongue.muscle.cell"	0.00297619047619048
"232"	"alveolar.fibroblast"	"immune.cell"	0.00294117647058824
"37"	"vascular.associated.smooth.muscle.cell"	"basal.cell"	0.00290416263310745
"303"	"vascular.associated.smooth.muscle.cell"	"keratinocyte"	0.00277008310249307
"236"	"bronchial.smooth.muscle.cell"	"immune.cell"	0.00276243093922652
"169"	"fibroblast"	"epithelial.cell"	0.00272373540856031
"199"	"bronchial.vessel.endothelial.cell"	"fibroblast"	0.00269299820466786
"344"	"cd4.positive..alpha.beta.t.cell"	"schwann.cell"	0.00267891312667432
"237"	"bronchial.vessel.endothelial.cell"	"immune.cell"	0.00267201068804275
"142"	"plasma.cell"	"endothelial.cell.of.lymphatic.vessel"	0.00263504611330698
"271"	"b.cell"	"keratinocyte"	0.00262123197903014
"452"	"smooth.muscle.cell"	"vein.endothelial.cell"	0.00252951096121417
"426"	"bronchial.smooth.muscle.cell"	"vein.endothelial.cell"	0.00244200244200244
"195"	"b.cell"	"fibroblast"	0.00243013365735115
"260"	"respiratory.mucous.cell"	"immune.cell"	0.00235109717868339
"28"	"plasma.cell"	"basal.cell"	0.00232558139534884
"70"	"respiratory.mucous.cell"	"capillary.endothelial.cell"	0.00227790432801822
"270"	"alveolar.fibroblast"	"keratinocyte"	0.00217864923747277
"8"	"bronchial.smooth.muscle.cell"	"basal.cell"	0.00209205020920502
"162"	"capillary.aerocyte"	"epithelial.cell"	0.00196850393700787
"189"	"vascular.associated.smooth.muscle.cell"	"epithelial.cell"	0.001953125
"408"	"plasma.cell"	"tongue.muscle.cell"	0.00186567164179104
"424"	"basal.cell"	"vein.endothelial.cell"	0.00184842883548983
"443"	"nk.cell"	"vein.endothelial.cell"	0.00181708055723804
"20"	"lung.microvascular.endothelial.cell"	"basal.cell"	0.00169204737732657
"38"	"vein.endothelial.cell"	"basal.cell"	0.00164203612479475
"439"	"macrophage"	"vein.endothelial.cell"	0.00162337662337662
"215"	"nk.cell"	"fibroblast"	0.00158061116965227
"304"	"vein.endothelial.cell"	"keratinocyte"	0.00151745068285281
"332"	"plasma.cell"	"pericyte.cell"	0.00149476831091181
"231"	"adventitial.cell"	"immune.cell"	0.00148367952522255
"178"	"non.classical.monocyte"	"epithelial.cell"	0.00147058823529412
"243"	"endothelial.cell.of.artery"	"immune.cell"	0.00145032632342277
"419"	"cd8.positive..alpha.beta.t.cell"	"vein.endothelial.cell"	0.00143266475644699
"210"	"lung.microvascular.endothelial.cell"	"fibroblast"	0.0014265335235378
"268"	"cd4.positive..alpha.beta.t.cell"	"keratinocyte"	0.00137931034482759
"422"	"alveolar.fibroblast"	"vein.endothelial.cell"	0.00136612021857923
"40"	"cd4.positive..alpha.beta.t.cell"	"capillary.endothelial.cell"	0.0012987012987013
"44"	"basal.cell"	"capillary.endothelial.cell"	0.00129366106080207
"406"	"non.classical.monocyte"	"tongue.muscle.cell"	0.00125628140703518
"324"	"lung.microvascular.endothelial.cell"	"pericyte.cell"	0.00120481927710843
"342"	"vein.endothelial.cell"	"pericyte.cell"	0.00117924528301887
"191"	"cd8.positive..alpha.beta.t.cell"	"fibroblast"	0.00105820105820106
"163"	"capillary.endothelial.cell"	"epithelial.cell"	0.00100401606425703
"116"	"cd4.positive..alpha.beta.t.cell"	"endothelial.cell.of.lymphatic.vessel"	0.00099502487562189
"259"	"respiratory.goblet.cell"	"immune.cell"	0.000942507068803016
"305"	"cd8.positive..alpha.beta.t.cell"	"pericyte.cell"	0.000931098696461825
"266"	"vein.endothelial.cell"	"immune.cell"	0.000906618313689937
"179"	"pericyte.cell"	"epithelial.cell"	0.000827129859387924
"2"	"cd4.positive..alpha.beta.t.cell"	"basal.cell"	0
"66"	"plasma.cell"	"capillary.endothelial.cell"	0
"156"	"alveolar.fibroblast"	"epithelial.cell"	0
"160"	"bronchial.smooth.muscle.cell"	"epithelial.cell"	0
"167"	"endothelial.cell.of.artery"	"epithelial.cell"	0
"190"	"vein.endothelial.cell"	"epithelial.cell"	0
"192"	"cd4.positive..alpha.beta.t.cell"	"fibroblast"	0
"218"	"plasma.cell"	"fibroblast"	0
"234"	"basal.cell"	"immune.cell"	0
"248"	"lung.microvascular.endothelial.cell"	"immune.cell"	0
"294"	"plasma.cell"	"keratinocyte"	0
"306"	"cd4.positive..alpha.beta.t.cell"	"pericyte.cell"	0
"420"	"cd4.positive..alpha.beta.t.cell"	"vein.endothelial.cell"	0
"446"	"plasma.cell"	"vein.endothelial.cell"	0
