"Bone marrow"	"Spleen"	"value"
"249"	"memory.b.cell"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	0
"250"	"monocyte"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	0
"256"	"plasma.cell"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	0
"259"	"cd24.neutrophil"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	0
"261"	"erythroid.progenitor"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	0
"262"	"granulocyte"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	0
"263"	"hematopoietic.stem.cell"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	0
"266"	"monocyte"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	0
"272"	"plasma.cell"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	0
"273"	"cd4.positive..alpha.beta.t.cell"	"neutrophil"	0
"288"	"plasma.cell"	"neutrophil"	0
"294"	"granulocyte"	"nk.cell"	0
"298"	"monocyte"	"nk.cell"	0
"305"	"cd4.positive..alpha.beta.t.cell"	"plasma.cell"	0
"306"	"cd8.positive..alpha.beta.t.cell"	"plasma.cell"	0
"314"	"monocyte"	"plasma.cell"	0
"358"	"granulocyte"	"regulatory.t.cell"	0
"374"	"granulocyte"	"type.i.nk.t.cell"	0
"375"	"hematopoietic.stem.cell"	"type.i.nk.t.cell"	0
