"Bone marrow"	"Spleen"	"value"
"106"	"monocyte"	"endothelial.cell"	0.02106149957877
"188"	"naive.b.cell"	"macrophage"	0.021018593371059
"155"	"myeloid.progenitor"	"innate.lymphoid.cell"	0.0199501246882793
"310"	"granulocyte"	"plasma.cell"	0.0198675496688742
"367"	"nk.cell"	"regulatory.t.cell"	0.019755409219191
"8"	"macrophage"	"cd1c.positive.myeloid.dendritic.cell"	0.0181818181818182
"179"	"cd24.neutrophil"	"macrophage"	0.0181543116490166
"361"	"memory.b.cell"	"regulatory.t.cell"	0.0178970917225951
"104"	"macrophage"	"endothelial.cell"	0.0178843226788432
"190"	"neutrophil"	"macrophage"	0.0171115674195756
"309"	"erythroid.progenitor"	"plasma.cell"	0.0167652859960552
"156"	"naive.b.cell"	"innate.lymphoid.cell"	0.0164383561643836
"187"	"myeloid.progenitor"	"macrophage"	0.0162361623616236
"181"	"erythroid.progenitor"	"macrophage"	0.015807560137457
"6"	"granulocyte"	"cd1c.positive.myeloid.dendritic.cell"	0.0157593123209169
"364"	"naive.b.cell"	"regulatory.t.cell"	0.0151706700379267
"316"	"naive.b.cell"	"plasma.cell"	0.0149253731343284
"11"	"myeloid.progenitor"	"cd1c.positive.myeloid.dendritic.cell"	0.0148809523809524
"189"	"nampt.neutrophil"	"macrophage"	0.014344262295082
"33"	"cd4.positive..alpha.beta.t.cell"	"cd8.positive..alpha.beta.memory.t.cell"	0.0140845070422535
"348"	"naive.b.cell"	"platelet"	0.0138203356367226
"93"	"nampt.neutrophil"	"classical.monocyte"	0.0134408602150538
"185"	"memory.b.cell"	"macrophage"	0.0132890365448505
"338"	"cd8.positive..alpha.beta.t.cell"	"platelet"	0.0131651124520022
"180"	"erythrocyte"	"macrophage"	0.0130293159609121
"102"	"granulocyte"	"endothelial.cell"	0.0128554733151539
"147"	"cd24.neutrophil"	"innate.lymphoid.cell"	0.012701100762066
"56"	"macrophage"	"cd8.positive..alpha.beta.t.cell"	0.0125744540039709
"94"	"neutrophil"	"classical.monocyte"	0.0125223613595707
"83"	"cd24.neutrophil"	"classical.monocyte"	0.0122448979591837
"331"	"myeloid.progenitor"	"plasmacytoid.dendritic.cell"	0.0122417750573833
"315"	"myeloid.progenitor"	"plasma.cell"	0.0119695321001088
"166"	"granulocyte"	"intermediate.monocyte"	0.0116896918172157
"142"	"neutrophil"	"hematopoietic.stem.cell"	0.0115361262902247
"149"	"erythroid.progenitor"	"innate.lymphoid.cell"	0.0114242193450114
"157"	"nampt.neutrophil"	"innate.lymphoid.cell"	0.0113636363636364
"191"	"nk.cell"	"macrophage"	0.0111329404060249
"322"	"cd8.positive..alpha.beta.t.cell"	"plasmacytoid.dendritic.cell"	0.0110998990918264
"219"	"myeloid.progenitor"	"memory.b.cell"	0.0110024449877751
"342"	"granulocyte"	"platelet"	0.0109051254089422
"195"	"cd24.neutrophil"	"mature.nk.t.cell"	0.0107015457788347
"132"	"erythrocyte"	"hematopoietic.stem.cell"	0.0106458481192335
"327"	"hematopoietic.stem.cell"	"plasmacytoid.dendritic.cell"	0.0105726872246696
"204"	"naive.b.cell"	"mature.nk.t.cell"	0.0105401844532279
"60"	"naive.b.cell"	"cd8.positive..alpha.beta.t.cell"	0.0103785103785104
"18"	"cd8.positive..alpha.beta.t.cell"	"cd4.positive..alpha.beta.memory.t.cell"	0.0100250626566416
"158"	"neutrophil"	"innate.lymphoid.cell"	0.00982615268329554
"268"	"naive.b.cell"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	0.00974930362116992
"182"	"granulocyte"	"macrophage"	0.00949667616334283
"98"	"cd8.positive..alpha.beta.t.cell"	"endothelial.cell"	0.00934215648112106
"240"	"plasma.cell"	"naive.b.cell"	0.00897666068222621
"146"	"cd8.positive..alpha.beta.t.cell"	"innate.lymphoid.cell"	0.0089086859688196
"335"	"nk.cell"	"plasmacytoid.dendritic.cell"	0.00880162491536899
"105"	"memory.b.cell"	"endothelial.cell"	0.00863842040312628
"346"	"monocyte"	"platelet"	0.00841346153846154
"77"	"nampt.neutrophil"	"cd141.positive.myeloid.dendritic.cell"	0.00837209302325581
"75"	"myeloid.progenitor"	"cd141.positive.myeloid.dendritic.cell"	0.00826446280991736
