"Spleen"	"Trachea"	"value"
"83"	"intermediate.monocyte"	"cd4.positive..alpha.beta.t.cell"	0.0045766590389016
"164"	"plasma.cell"	"connective.tissue.cell"	0.00455580865603645
"372"	"macrophage"	"plasma.cell"	0.00451977401129944
"105"	"hematopoietic.stem.cell"	"cd8.positive..alpha.beta.t.cell"	0.0045045045045045
"103"	"endothelial.cell"	"cd8.positive..alpha.beta.t.cell"	0.00447260529258293
"108"	"macrophage"	"cd8.positive..alpha.beta.t.cell"	0.00433651344319167
"425"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"serous.cell.of.epithelium.of.trachea"	0.00429184549356223
"362"	"cd4.positive..alpha.beta.memory.t.cell"	"plasma.cell"	0.00425531914893617
"85"	"mature.nk.t.cell"	"cd4.positive..alpha.beta.t.cell"	0.00407331975560081
"432"	"type.i.nk.t.cell"	"serous.cell.of.epithelium.of.trachea"	0.00404312668463612
"31"	"endothelial.cell"	"b.cell"	0.00382116927779901
"337"	"cd1c.positive.myeloid.dendritic.cell"	"neutrophil"	0.00379650721336371
"446"	"memory.b.cell"	"smooth.muscle.cell"	0.00379266750948167
"14"	"memory.b.cell"	"goblet.cell"	0.00378071833648393
"231"	"naive.b.cell"	"fibroblast"	0.00373134328358209
"405"	"plasmacytoid.dendritic.cell"	"secretory.cell"	0.00367647058823529
"288"	"type.i.nk.t.cell"	"macrophage"	0.00364963503649635
"406"	"platelet"	"secretory.cell"	0.00361881785283474
"353"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"neutrophil"	0.00352733686067019
"122"	"cd4.positive..alpha.beta.memory.t.cell"	"ciliated.cell"	0.00350701402805611
"232"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"fibroblast"	0.00344234079173838
"24"	"type.i.nk.t.cell"	"goblet.cell"	0.00342465753424658
"37"	"mature.nk.t.cell"	"b.cell"	0.00337837837837838
"216"	"type.i.nk.t.cell"	"endothelial.cell"	0.0033085194375517
"158"	"memory.b.cell"	"connective.tissue.cell"	0.00328947368421053
"257"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"ionocyte"	0.00328330206378987
"402"	"neutrophil"	"secretory.cell"	0.0032546786004882
"424"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"serous.cell.of.epithelium.of.trachea"	0.00324675324675325
"50"	"cd4.positive..alpha.beta.memory.t.cell"	"basal.cell"	0.00318471337579618
"332"	"plasma.cell"	"mucus.secreting.cell"	0.00307692307692308
"304"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"mast.cell"	0.00298507462686567
"240"	"type.i.nk.t.cell"	"fibroblast"	0.00282485875706215
"116"	"plasma.cell"	"cd8.positive..alpha.beta.t.cell"	0.00282087447108604
"79"	"endothelial.cell"	"cd4.positive..alpha.beta.t.cell"	0.00277888050813815
"239"	"regulatory.t.cell"	"fibroblast"	0.00269179004037685
"19"	"nk.cell"	"goblet.cell"	0.00267379679144385
"373"	"mature.nk.t.cell"	"plasma.cell"	0.00255102040816327
"349"	"mature.nk.t.cell"	"neutrophil"	0.00254885301614274
"449"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"smooth.muscle.cell"	0.00248756218905473
"242"	"cd4.positive..alpha.beta.memory.t.cell"	"ionocyte"	0.00247647350173353
"182"	"memory.b.cell"	"double.positive..alpha.beta.thymocyte"	0.00244648318042813
"212"	"plasma.cell"	"endothelial.cell"	0.00238473767885533
"2"	"cd4.positive..alpha.beta.memory.t.cell"	"goblet.cell"	0.00234192037470726
"284"	"plasma.cell"	"macrophage"	0.00229621125143513
"86"	"memory.b.cell"	"cd4.positive..alpha.beta.t.cell"	0.00228310502283105
"461"	"cd141.positive.myeloid.dendritic.cell"	"t.cell"	0.00228310502283105
"314"	"cd4.positive..alpha.beta.memory.t.cell"	"mucus.secreting.cell"	0.00224719101123596
"90"	"neutrophil"	"cd4.positive..alpha.beta.t.cell"	0.00222882615156018
"399"	"naive.b.cell"	"secretory.cell"	0.00210970464135021
"328"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"mucus.secreting.cell"	0.00210084033613445
"457"	"cd1c.positive.myeloid.dendritic.cell"	"t.cell"	0.00206185567010309
"462"	"classical.monocyte"	"t.cell"	0.00206185567010309
"84"	"macrophage"	"cd4.positive..alpha.beta.t.cell"	0.00202634245187437
"465"	"hematopoietic.stem.cell"	"t.cell"	0.00196463654223969
"195"	"cd8.positive..alpha.beta.memory.t.cell"	"endothelial.cell"	0.00193423597678917
"366"	"classical.monocyte"	"plasma.cell"	0.00187265917602996
"403"	"nk.cell"	"secretory.cell"	0.00184842883548983
"218"	"cd4.positive..alpha.beta.memory.t.cell"	"fibroblast"	0.00181488203266788
"379"	"nk.cell"	"plasma.cell"	0.00179533213644524
"146"	"cd4.positive..alpha.beta.memory.t.cell"	"connective.tissue.cell"	0.00179372197309417
"350"	"memory.b.cell"	"neutrophil"	0.00177935943060498
"368"	"erythrocyte"	"plasma.cell"	0.00175746924428822
"160"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"connective.tissue.cell"	0.00174520069808028
"206"	"memory.b.cell"	"endothelial.cell"	0.00173010380622837
"360"	"type.i.nk.t.cell"	"neutrophil"	0.00169635284139101
"367"	"endothelial.cell"	"plasma.cell"	0.00165152766308836
"110"	"memory.b.cell"	"cd8.positive..alpha.beta.t.cell"	0.00164744645799012
"356"	"plasma.cell"	"neutrophil"	0.00162999185004075
"78"	"classical.monocyte"	"cd4.positive..alpha.beta.t.cell"	0.00157728706624606
"267"	"cd8.positive..alpha.beta.memory.t.cell"	"macrophage"	0.00154559505409583
"233"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"fibroblast"	0.0015015015015015
"435"	"cd8.positive..alpha.beta.memory.t.cell"	"smooth.muscle.cell"	0.0014903129657228
"422"	"memory.b.cell"	"serous.cell.of.epithelium.of.trachea"	0.00145137880986938
"434"	"cd4.positive..alpha.beta.memory.t.cell"	"smooth.muscle.cell"	0.00144927536231884
"448"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"smooth.muscle.cell"	0.0013869625520111
"394"	"innate.lymphoid.cell"	"secretory.cell"	0.00138504155124654
"467"	"intermediate.monocyte"	"t.cell"	0.00137362637362637
"111"	"naive.b.cell"	"cd8.positive..alpha.beta.t.cell"	0.00131752305665349
"371"	"intermediate.monocyte"	"plasma.cell"	0.00128700128700129
"468"	"macrophage"	"t.cell"	0.00119189511323004
"456"	"type.i.nk.t.cell"	"smooth.muscle.cell"	0.00117924528301887
"396"	"macrophage"	"secretory.cell"	0.00114678899082569
"10"	"innate.lymphoid.cell"	"goblet.cell"	0.0010752688172043
"123"	"cd8.positive..alpha.beta.memory.t.cell"	"ciliated.cell"	0.00100908173562059
"339"	"cd8.positive..alpha.beta.memory.t.cell"	"neutrophil"	0.000997008973080758
"194"	"cd4.positive..alpha.beta.memory.t.cell"	"endothelial.cell"	0.00094876660341556
"208"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"endothelial.cell"	0.000921658986175115
"147"	"cd8.positive..alpha.beta.memory.t.cell"	"connective.tissue.cell"	0.000911577028258888
"474"	"neutrophil"	"t.cell"	0.000834028356964137
"243"	"cd8.positive..alpha.beta.memory.t.cell"	"ionocyte"	0.000499001996007984
"463"	"endothelial.cell"	"t.cell"	0.000420875420875421
"3"	"cd8.positive..alpha.beta.memory.t.cell"	"goblet.cell"	0
"23"	"regulatory.t.cell"	"goblet.cell"	0
"26"	"cd4.positive..alpha.beta.memory.t.cell"	"b.cell"	0
"27"	"cd8.positive..alpha.beta.memory.t.cell"	"b.cell"	0
"51"	"cd8.positive..alpha.beta.memory.t.cell"	"basal.cell"	0
"92"	"plasma.cell"	"cd4.positive..alpha.beta.t.cell"	0
"219"	"cd8.positive..alpha.beta.memory.t.cell"	"fibroblast"	0
"266"	"cd4.positive..alpha.beta.memory.t.cell"	"macrophage"	0
"280"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"macrophage"	0
"315"	"cd8.positive..alpha.beta.memory.t.cell"	"mucus.secreting.cell"	0
"326"	"memory.b.cell"	"mucus.secreting.cell"	0
"327"	"naive.b.cell"	"mucus.secreting.cell"	0
"338"	"cd4.positive..alpha.beta.memory.t.cell"	"neutrophil"	0
"352"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"neutrophil"	0
"376"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"plasma.cell"	0
"377"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"plasma.cell"	0
"378"	"neutrophil"	"plasma.cell"	0
"386"	"cd4.positive..alpha.beta.memory.t.cell"	"secretory.cell"	0
"387"	"cd8.positive..alpha.beta.memory.t.cell"	"secretory.cell"	0
"397"	"mature.nk.t.cell"	"secretory.cell"	0
"398"	"memory.b.cell"	"secretory.cell"	0
"400"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"secretory.cell"	0
"404"	"plasma.cell"	"secretory.cell"	0
"408"	"type.i.nk.t.cell"	"secretory.cell"	0
"410"	"cd4.positive..alpha.beta.memory.t.cell"	"serous.cell.of.epithelium.of.trachea"	0
"411"	"cd8.positive..alpha.beta.memory.t.cell"	"serous.cell.of.epithelium.of.trachea"	0
"464"	"erythrocyte"	"t.cell"	0
"470"	"memory.b.cell"	"t.cell"	0
"471"	"naive.b.cell"	"t.cell"	0
"476"	"plasma.cell"	"t.cell"	0
