"Trachea"	"Spleen"	"value"
"248"	"double.positive..alpha.beta.thymocyte"	"mature.nk.t.cell"	0.024818401937046
"230"	"fibroblast"	"macrophage"	0.0246598639455782
"178"	"serous.cell.of.epithelium.of.trachea"	"hematopoietic.stem.cell"	0.0245310245310245
"239"	"smooth.muscle.cell"	"macrophage"	0.024390243902439
"11"	"ionocyte"	"cd1c.positive.myeloid.dendritic.cell"	0.0242504409171076
"138"	"serous.cell.of.epithelium.of.trachea"	"endothelial.cell"	0.0239675516224189
"123"	"basal.cell"	"endothelial.cell"	0.0235934664246824
"364"	"cd4.positive..alpha.beta.t.cell"	"nk.cell"	0.0233281493001555
"3"	"basal.cell"	"cd1c.positive.myeloid.dendritic.cell"	0.0231277533039648
"79"	"smooth.muscle.cell"	"cd8.positive..alpha.beta.t.cell"	0.0223792697290931
"153"	"mast.cell"	"erythrocyte"	0.0220125786163522
"63"	"basal.cell"	"cd8.positive..alpha.beta.t.cell"	0.0219646125686394
"423"	"basal.cell"	"platelet"	0.0216748768472906
"208"	"double.positive..alpha.beta.thymocyte"	"intermediate.monocyte"	0.0216322517207473
"110"	"fibroblast"	"classical.monocyte"	0.021608643457383
"390"	"fibroblast"	"plasma.cell"	0.0215633423180593
"460"	"t.cell"	"regulatory.t.cell"	0.021505376344086
"430"	"fibroblast"	"platelet"	0.0214943705220061
"348"	"double.positive..alpha.beta.thymocyte"	"neutrophil"	0.0200080032012805
"351"	"ionocyte"	"neutrophil"	0.0198119543317663
"134"	"mucus.secreting.cell"	"endothelial.cell"	0.0197292069632495
"402"	"b.cell"	"plasmacytoid.dendritic.cell"	0.0196850393700787
"19"	"smooth.muscle.cell"	"cd1c.positive.myeloid.dendritic.cell"	0.01956745623069
"161"	"goblet.cell"	"hematopoietic.stem.cell"	0.0194017784963622
"209"	"endothelial.cell"	"intermediate.monocyte"	0.01914486279515
"473"	"mast.cell"	"type.i.nk.t.cell"	0.0191326530612245
"174"	"mucus.secreting.cell"	"hematopoietic.stem.cell"	0.0191235059760956
"12"	"macrophage"	"cd1c.positive.myeloid.dendritic.cell"	0.0189873417721519
"349"	"endothelial.cell"	"neutrophil"	0.0187192118226601
"276"	"plasma.cell"	"memory.b.cell"	0.018018018018018
"2"	"b.cell"	"cd1c.positive.myeloid.dendritic.cell"	0.0179806362378976
"328"	"double.positive..alpha.beta.thymocyte"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	0.0178791615289766
"253"	"mast.cell"	"mature.nk.t.cell"	0.0178571428571429
"198"	"serous.cell.of.epithelium.of.trachea"	"innate.lymphoid.cell"	0.0177404295051354
"410"	"fibroblast"	"plasmacytoid.dendritic.cell"	0.017683465959328
"149"	"endothelial.cell"	"erythrocyte"	0.0175824175824176
"211"	"ionocyte"	"intermediate.monocyte"	0.0174464710547185
"146"	"ciliated.cell"	"erythrocyte"	0.0174140182847192
"148"	"double.positive..alpha.beta.thymocyte"	"erythrocyte"	0.0174102285092492
"179"	"smooth.muscle.cell"	"hematopoietic.stem.cell"	0.0173564753004005
"113"	"mast.cell"	"classical.monocyte"	0.0173160173160173
"207"	"connective.tissue.cell"	"intermediate.monocyte"	0.0171673819742489
"73"	"mast.cell"	"cd8.positive..alpha.beta.t.cell"	0.0168878166465621
"107"	"connective.tissue.cell"	"classical.monocyte"	0.0165111270638909
"371"	"ionocyte"	"nk.cell"	0.0164644714038128
"214"	"mucus.secreting.cell"	"intermediate.monocyte"	0.0164609053497942
"226"	"ciliated.cell"	"macrophage"	0.0164561806352851
"111"	"ionocyte"	"classical.monocyte"	0.0161854768153981
"346"	"ciliated.cell"	"neutrophil"	0.0161725067385445
"83"	"basal.cell"	"cd141.positive.myeloid.dendritic.cell"	0.0161290322580645
"18"	"serous.cell.of.epithelium.of.trachea"	"cd1c.positive.myeloid.dendritic.cell"	0.0160550458715596
"438"	"serous.cell.of.epithelium.of.trachea"	"platelet"	0.016008004002001
"407"	"connective.tissue.cell"	"plasmacytoid.dendritic.cell"	0.0159857904085258
"324"	"cd4.positive..alpha.beta.t.cell"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	0.0157657657657658
"184"	"cd4.positive..alpha.beta.t.cell"	"innate.lymphoid.cell"	0.0157384987893462
"80"	"t.cell"	"cd8.positive..alpha.beta.t.cell"	0.0156636438582028
"406"	"ciliated.cell"	"plasmacytoid.dendritic.cell"	0.0156128024980484
"121"	"goblet.cell"	"endothelial.cell"	0.0155159038013964
"1"	"goblet.cell"	"cd1c.positive.myeloid.dendritic.cell"	0.0153631284916201
"206"	"ciliated.cell"	"intermediate.monocyte"	0.0151575588352613
"223"	"basal.cell"	"macrophage"	0.0150316455696203
"419"	"smooth.muscle.cell"	"plasmacytoid.dendritic.cell"	0.014948859166011
"81"	"goblet.cell"	"cd141.positive.myeloid.dendritic.cell"	0.0149253731343284
"132"	"macrophage"	"endothelial.cell"	0.0149200710479574
"159"	"smooth.muscle.cell"	"erythrocyte"	0.0148514851485149
"89"	"endothelial.cell"	"cd141.positive.myeloid.dendritic.cell"	0.0147515527950311
"203"	"basal.cell"	"intermediate.monocyte"	0.0147186147186147
"418"	"serous.cell.of.epithelium.of.trachea"	"plasmacytoid.dendritic.cell"	0.0145423438836612
"119"	"smooth.muscle.cell"	"classical.monocyte"	0.014344262295082
"67"	"connective.tissue.cell"	"cd8.positive..alpha.beta.t.cell"	0.0140712945590994
"425"	"cd8.positive..alpha.beta.t.cell"	"platelet"	0.014047866805411
"169"	"endothelial.cell"	"hematopoietic.stem.cell"	0.0139634801288937
"222"	"b.cell"	"macrophage"	0.013953488372093
"434"	"mucus.secreting.cell"	"platelet"	0.0139484978540773
"91"	"ionocyte"	"cd141.positive.myeloid.dendritic.cell"	0.0138084632516704
"199"	"smooth.muscle.cell"	"innate.lymphoid.cell"	0.0135823429541596
"375"	"neutrophil"	"nk.cell"	0.0135644310474755
"95"	"neutrophil"	"cd141.positive.myeloid.dendritic.cell"	0.0135135135135135
"147"	"connective.tissue.cell"	"erythrocyte"	0.013268156424581
"16"	"plasma.cell"	"cd1c.positive.myeloid.dendritic.cell"	0.0132575757575758
"451"	"ionocyte"	"regulatory.t.cell"	0.013254113345521
"305"	"cd8.positive..alpha.beta.t.cell"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	0.0132325141776938
"170"	"fibroblast"	"hematopoietic.stem.cell"	0.0131675201170446
"238"	"serous.cell.of.epithelium.of.trachea"	"macrophage"	0.0130718954248366
"135"	"neutrophil"	"endothelial.cell"	0.0129255989911728
"99"	"smooth.muscle.cell"	"cd141.positive.myeloid.dendritic.cell"	0.0128893662728249
"342"	"b.cell"	"neutrophil"	0.0125698324022346
"201"	"goblet.cell"	"intermediate.monocyte"	0.0125260960334029
"177"	"secretory.cell"	"hematopoietic.stem.cell"	0.0125
"369"	"endothelial.cell"	"nk.cell"	0.0125
"190"	"fibroblast"	"innate.lymphoid.cell"	0.0124760076775432
"347"	"connective.tissue.cell"	"neutrophil"	0.0123574144486692
"403"	"basal.cell"	"plasmacytoid.dendritic.cell"	0.0123558484349259
"453"	"mast.cell"	"regulatory.t.cell"	0.0121359223300971
"158"	"serous.cell.of.epithelium.of.trachea"	"erythrocyte"	0.0120879120879121
"60"	"t.cell"	"cd8.positive..alpha.beta.memory.t.cell"	0.0120481927710843
"362"	"b.cell"	"nk.cell"	0.012
"412"	"macrophage"	"plasmacytoid.dendritic.cell"	0.0119904076738609
"109"	"endothelial.cell"	"classical.monocyte"	0.0119581464872945
"13"	"mast.cell"	"cd1c.positive.myeloid.dendritic.cell"	0.0118406889128095
"142"	"b.cell"	"erythrocyte"	0.0118110236220472
"194"	"mucus.secreting.cell"	"innate.lymphoid.cell"	0.011727078891258
"228"	"double.positive..alpha.beta.thymocyte"	"macrophage"	0.0115526802218115
"143"	"basal.cell"	"erythrocyte"	0.0115424973767051
"7"	"connective.tissue.cell"	"cd1c.positive.myeloid.dendritic.cell"	0.0114285714285714
"422"	"b.cell"	"platelet"	0.0112903225806452
"293"	"mast.cell"	"naive.b.cell"	0.0112866817155756
"87"	"connective.tissue.cell"	"cd141.positive.myeloid.dendritic.cell"	0.0110782865583456
"14"	"mucus.secreting.cell"	"cd1c.positive.myeloid.dendritic.cell"	0.0108548168249661
"302"	"b.cell"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	0.0107991360691145
"218"	"serous.cell.of.epithelium.of.trachea"	"intermediate.monocyte"	0.0107430617726052
"183"	"basal.cell"	"innate.lymphoid.cell"	0.0107047279214987
"144"	"cd4.positive..alpha.beta.t.cell"	"erythrocyte"	0.0105580693815988
"354"	"mucus.secreting.cell"	"neutrophil"	0.010387811634349
"164"	"cd4.positive..alpha.beta.t.cell"	"hematopoietic.stem.cell"	0.010371650821089
"350"	"fibroblast"	"neutrophil"	0.0103292446739832
"221"	"goblet.cell"	"macrophage"	0.0102803738317757
"284"	"cd4.positive..alpha.beta.t.cell"	"naive.b.cell"	0.0102564102564103
"476"	"plasma.cell"	"type.i.nk.t.cell"	0.0102564102564103
"372"	"macrophage"	"nk.cell"	0.0102145045965271
"398"	"serous.cell.of.epithelium.of.trachea"	"plasma.cell"	0.0101910828025478
"210"	"fibroblast"	"intermediate.monocyte"	0.0101569713758079
"359"	"smooth.muscle.cell"	"neutrophil"	0.010077059869591
"90"	"fibroblast"	"cd141.positive.myeloid.dendritic.cell"	0.0100502512562814
"254"	"mucus.secreting.cell"	"mature.nk.t.cell"	0.0100502512562814
"366"	"ciliated.cell"	"nk.cell"	0.00999131190269331
"8"	"double.positive..alpha.beta.thymocyte"	"cd1c.positive.myeloid.dendritic.cell"	0.00990643918547056
"108"	"double.positive..alpha.beta.thymocyte"	"classical.monocyte"	0.00990643918547056
"292"	"macrophage"	"naive.b.cell"	0.00985761226725082
"75"	"neutrophil"	"cd8.positive..alpha.beta.t.cell"	0.009765625
"291"	"ionocyte"	"naive.b.cell"	0.00974745237040319
"98"	"serous.cell.of.epithelium.of.trachea"	"cd141.positive.myeloid.dendritic.cell"	0.00962695547533093
"442"	"b.cell"	"regulatory.t.cell"	0.00961538461538462
"77"	"secretory.cell"	"cd8.positive..alpha.beta.t.cell"	0.00957701516360734
"329"	"endothelial.cell"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	0.0094909404659189
"10"	"fibroblast"	"cd1c.positive.myeloid.dendritic.cell"	0.00948991696322657
"286"	"ciliated.cell"	"naive.b.cell"	0.00938757264193116
"466"	"ciliated.cell"	"type.i.nk.t.cell"	0.00934142923867352
"141"	"goblet.cell"	"erythrocyte"	0.00927152317880795
"270"	"fibroblast"	"memory.b.cell"	0.00924499229583975
