"Trachea"	"Spleen"	"value"
"370"	"fibroblast"	"nk.cell"	0.00459770114942529
"204"	"cd4.positive..alpha.beta.t.cell"	"intermediate.monocyte"	0.0045766590389016
"387"	"connective.tissue.cell"	"plasma.cell"	0.00455580865603645
"236"	"plasma.cell"	"macrophage"	0.00451977401129944
"165"	"cd8.positive..alpha.beta.t.cell"	"hematopoietic.stem.cell"	0.0045045045045045
"125"	"cd8.positive..alpha.beta.t.cell"	"endothelial.cell"	0.00447260529258293
"225"	"cd8.positive..alpha.beta.t.cell"	"macrophage"	0.00433651344319167
"338"	"serous.cell.of.epithelium.of.trachea"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	0.00429184549356223
"36"	"plasma.cell"	"cd4.positive..alpha.beta.memory.t.cell"	0.00425531914893617
"244"	"cd4.positive..alpha.beta.t.cell"	"mature.nk.t.cell"	0.00407331975560081
"478"	"serous.cell.of.epithelium.of.trachea"	"type.i.nk.t.cell"	0.00404312668463612
"122"	"b.cell"	"endothelial.cell"	0.00382116927779901
"15"	"neutrophil"	"cd1c.positive.myeloid.dendritic.cell"	0.00379650721336371
"279"	"smooth.muscle.cell"	"memory.b.cell"	0.00379266750948167
"261"	"goblet.cell"	"memory.b.cell"	0.00378071833648393
"290"	"fibroblast"	"naive.b.cell"	0.00373134328358209
"417"	"secretory.cell"	"plasmacytoid.dendritic.cell"	0.00367647058823529
"472"	"macrophage"	"type.i.nk.t.cell"	0.00364963503649635
"437"	"secretory.cell"	"platelet"	0.00361881785283474
"335"	"neutrophil"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	0.00352733686067019
"26"	"ciliated.cell"	"cd4.positive..alpha.beta.memory.t.cell"	0.00350701402805611
"310"	"fibroblast"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	0.00344234079173838
"461"	"goblet.cell"	"type.i.nk.t.cell"	0.00342465753424658
"242"	"b.cell"	"mature.nk.t.cell"	0.00337837837837838
"469"	"endothelial.cell"	"type.i.nk.t.cell"	0.0033085194375517
"267"	"connective.tissue.cell"	"memory.b.cell"	0.00328947368421053
"331"	"ionocyte"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	0.00328330206378987
"357"	"secretory.cell"	"neutrophil"	0.0032546786004882
"318"	"serous.cell.of.epithelium.of.trachea"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	0.00324675324675325
"23"	"basal.cell"	"cd4.positive..alpha.beta.memory.t.cell"	0.00318471337579618
"394"	"mucus.secreting.cell"	"plasma.cell"	0.00307692307692308
"313"	"mast.cell"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	0.00298507462686567
"470"	"fibroblast"	"type.i.nk.t.cell"	0.00282485875706215
"385"	"cd8.positive..alpha.beta.t.cell"	"plasma.cell"	0.00282087447108604
"124"	"cd4.positive..alpha.beta.t.cell"	"endothelial.cell"	0.00277888050813815
"450"	"fibroblast"	"regulatory.t.cell"	0.00269179004037685
"361"	"goblet.cell"	"nk.cell"	0.00267379679144385
"256"	"plasma.cell"	"mature.nk.t.cell"	0.00255102040816327
"255"	"neutrophil"	"mature.nk.t.cell"	0.00254885301614274
"339"	"smooth.muscle.cell"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	0.00248756218905473
"31"	"ionocyte"	"cd4.positive..alpha.beta.memory.t.cell"	0.00247647350173353
"268"	"double.positive..alpha.beta.thymocyte"	"memory.b.cell"	0.00244648318042813
"389"	"endothelial.cell"	"plasma.cell"	0.00238473767885533
"21"	"goblet.cell"	"cd4.positive..alpha.beta.memory.t.cell"	0.00234192037470726
"392"	"macrophage"	"plasma.cell"	0.00229621125143513
"100"	"t.cell"	"cd141.positive.myeloid.dendritic.cell"	0.00228310502283105
"264"	"cd4.positive..alpha.beta.t.cell"	"memory.b.cell"	0.00228310502283105
"34"	"mucus.secreting.cell"	"cd4.positive..alpha.beta.memory.t.cell"	0.00224719101123596
"344"	"cd4.positive..alpha.beta.t.cell"	"neutrophil"	0.00222882615156018
"297"	"secretory.cell"	"naive.b.cell"	0.00210970464135021
"314"	"mucus.secreting.cell"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	0.00210084033613445
"20"	"t.cell"	"cd1c.positive.myeloid.dendritic.cell"	0.00206185567010309
"120"	"t.cell"	"classical.monocyte"	0.00206185567010309
"224"	"cd4.positive..alpha.beta.t.cell"	"macrophage"	0.00202634245187437
"180"	"t.cell"	"hematopoietic.stem.cell"	0.00196463654223969
"49"	"endothelial.cell"	"cd8.positive..alpha.beta.memory.t.cell"	0.00193423597678917
"116"	"plasma.cell"	"classical.monocyte"	0.00187265917602996
"377"	"secretory.cell"	"nk.cell"	0.00184842883548983
"30"	"fibroblast"	"cd4.positive..alpha.beta.memory.t.cell"	0.00181488203266788
"376"	"plasma.cell"	"nk.cell"	0.00179533213644524
"27"	"connective.tissue.cell"	"cd4.positive..alpha.beta.memory.t.cell"	0.00179372197309417
"275"	"neutrophil"	"memory.b.cell"	0.00177935943060498
"156"	"plasma.cell"	"erythrocyte"	0.00175746924428822
"307"	"connective.tissue.cell"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	0.00174520069808028
"269"	"endothelial.cell"	"memory.b.cell"	0.00173010380622837
"475"	"neutrophil"	"type.i.nk.t.cell"	0.00169635284139101
"136"	"plasma.cell"	"endothelial.cell"	0.00165152766308836
"265"	"cd8.positive..alpha.beta.t.cell"	"memory.b.cell"	0.00164744645799012
"395"	"neutrophil"	"plasma.cell"	0.00162999185004075
"104"	"cd4.positive..alpha.beta.t.cell"	"classical.monocyte"	0.00157728706624606
"52"	"macrophage"	"cd8.positive..alpha.beta.memory.t.cell"	0.00154559505409583
"330"	"fibroblast"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	0.0015015015015015
"59"	"smooth.muscle.cell"	"cd8.positive..alpha.beta.memory.t.cell"	0.0014903129657228
"278"	"serous.cell.of.epithelium.of.trachea"	"memory.b.cell"	0.00145137880986938
"39"	"smooth.muscle.cell"	"cd4.positive..alpha.beta.memory.t.cell"	0.00144927536231884
"319"	"smooth.muscle.cell"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	0.0013869625520111
"197"	"secretory.cell"	"innate.lymphoid.cell"	0.00138504155124654
"220"	"t.cell"	"intermediate.monocyte"	0.00137362637362637
"285"	"cd8.positive..alpha.beta.t.cell"	"naive.b.cell"	0.00131752305665349
"216"	"plasma.cell"	"intermediate.monocyte"	0.00128700128700129
"240"	"t.cell"	"macrophage"	0.00119189511323004
"479"	"smooth.muscle.cell"	"type.i.nk.t.cell"	0.00117924528301887
"237"	"secretory.cell"	"macrophage"	0.00114678899082569
"181"	"goblet.cell"	"innate.lymphoid.cell"	0.0010752688172043
"46"	"ciliated.cell"	"cd8.positive..alpha.beta.memory.t.cell"	0.00100908173562059
"55"	"neutrophil"	"cd8.positive..alpha.beta.memory.t.cell"	0.000997008973080758
"29"	"endothelial.cell"	"cd4.positive..alpha.beta.memory.t.cell"	0.00094876660341556
"309"	"endothelial.cell"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	0.000921658986175115
"47"	"connective.tissue.cell"	"cd8.positive..alpha.beta.memory.t.cell"	0.000911577028258888
"360"	"t.cell"	"neutrophil"	0.000834028356964137
"51"	"ionocyte"	"cd8.positive..alpha.beta.memory.t.cell"	0.000499001996007984
"140"	"t.cell"	"endothelial.cell"	0.000420875420875421
"22"	"b.cell"	"cd4.positive..alpha.beta.memory.t.cell"	0
"32"	"macrophage"	"cd4.positive..alpha.beta.memory.t.cell"	0
"35"	"neutrophil"	"cd4.positive..alpha.beta.memory.t.cell"	0
"37"	"secretory.cell"	"cd4.positive..alpha.beta.memory.t.cell"	0
"38"	"serous.cell.of.epithelium.of.trachea"	"cd4.positive..alpha.beta.memory.t.cell"	0
"41"	"goblet.cell"	"cd8.positive..alpha.beta.memory.t.cell"	0
"42"	"b.cell"	"cd8.positive..alpha.beta.memory.t.cell"	0
"43"	"basal.cell"	"cd8.positive..alpha.beta.memory.t.cell"	0
"50"	"fibroblast"	"cd8.positive..alpha.beta.memory.t.cell"	0
"54"	"mucus.secreting.cell"	"cd8.positive..alpha.beta.memory.t.cell"	0
"57"	"secretory.cell"	"cd8.positive..alpha.beta.memory.t.cell"	0
"58"	"serous.cell.of.epithelium.of.trachea"	"cd8.positive..alpha.beta.memory.t.cell"	0
"160"	"t.cell"	"erythrocyte"	0
"257"	"secretory.cell"	"mature.nk.t.cell"	0
"274"	"mucus.secreting.cell"	"memory.b.cell"	0
"277"	"secretory.cell"	"memory.b.cell"	0
"280"	"t.cell"	"memory.b.cell"	0
"294"	"mucus.secreting.cell"	"naive.b.cell"	0
"300"	"t.cell"	"naive.b.cell"	0
"312"	"macrophage"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	0
"315"	"neutrophil"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	0
"316"	"plasma.cell"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	0
"317"	"secretory.cell"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	0
"336"	"plasma.cell"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	0
"356"	"plasma.cell"	"neutrophil"	0
"384"	"cd4.positive..alpha.beta.t.cell"	"plasma.cell"	0
"397"	"secretory.cell"	"plasma.cell"	0
"400"	"t.cell"	"plasma.cell"	0
"441"	"goblet.cell"	"regulatory.t.cell"	0
"477"	"secretory.cell"	"type.i.nk.t.cell"	0
