"Skeletal muscle"	"Spleen"	"value"
"252"	"endothelial.cell.of.lymphatic.vessel"	"memory.b.cell"	0.00407608695652174
"387"	"erythrocyte"	"plasmacytoid.dendritic.cell"	0.00407055630936228
"451"	"pericyte.cell"	"type.i.nk.t.cell"	0.00396825396825397
"291"	"endothelial.cell.of.vascular.tree"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	0.00389105058365759
"251"	"endothelial.cell.of.artery"	"memory.b.cell"	0.00387596899224806
"354"	"mesenchymal.stem.cell"	"nk.cell"	0.00387596899224806
"145"	"mesenchymal.stem.cell"	"erythrocyte"	0.00381679389312977
"244"	"slow.muscle.cell"	"mature.nk.t.cell"	0.00377928949357521
"366"	"endothelial.cell.of.lymphatic.vessel"	"plasma.cell"	0.00357568533969011
"2"	"cd4.positive..alpha.beta.t.cell"	"cd1c.positive.myeloid.dendritic.cell"	0.00340715502555366
"204"	"pericyte.cell"	"intermediate.monocyte"	0.00338218714768884
"56"	"t.cell"	"cd8.positive..alpha.beta.memory.t.cell"	0.00327332242225859
"449"	"mesenchymal.stem.cell"	"type.i.nk.t.cell"	0.00327332242225859
"298"	"mesothelial.cell"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	0.00325732899022801
"293"	"fast.muscle.cell"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	0.00323624595469256
"113"	"t.cell"	"classical.monocyte"	0.00323275862068966
"20"	"capillary.endothelial.cell"	"cd4.positive..alpha.beta.memory.t.cell"	0.00322061191626409
"211"	"cd4.positive..alpha.beta.t.cell"	"macrophage"	0.00319148936170213
"456"	"tendon.cell"	"type.i.nk.t.cell"	0.00316957210776545
"263"	"slow.muscle.cell"	"memory.b.cell"	0.0031496062992126
"234"	"endothelial.cell.of.vascular.tree"	"mature.nk.t.cell"	0.003125
"320"	"slow.muscle.cell"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	0.0031201248049922
"443"	"endothelial.cell.of.vascular.tree"	"type.i.nk.t.cell"	0.0031201248049922
"14"	"pericyte.cell"	"cd1c.positive.myeloid.dendritic.cell"	0.00310077519379845
"317"	"mesothelial.cell"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	0.00298507462686567
"312"	"fast.muscle.cell"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	0.0029673590504451
"368"	"erythrocyte"	"plasma.cell"	0.00289017341040462
"33"	"pericyte.cell"	"cd4.positive..alpha.beta.memory.t.cell"	0.00288184438040346
"71"	"pericyte.cell"	"cd8.positive..alpha.beta.t.cell"	0.00287976961843053
"55"	"smooth.muscle.cell"	"cd8.positive..alpha.beta.memory.t.cell"	0.00269179004037685
"313"	"macrophage"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	0.00264783759929391
"36"	"smooth.muscle.cell"	"cd4.positive..alpha.beta.memory.t.cell"	0.0026246719160105
"274"	"fast.muscle.cell"	"naive.b.cell"	0.00260642919200695
"29"	"mast.cell"	"cd4.positive..alpha.beta.memory.t.cell"	0.00257731958762887
"237"	"macrophage"	"mature.nk.t.cell"	0.0025531914893617
"446"	"macrophage"	"type.i.nk.t.cell"	0.00255102040816327
"357"	"skeletal.muscle.satellite.stem.cell"	"nk.cell"	0.00254452926208651
"442"	"endothelial.cell.of.lymphatic.vessel"	"type.i.nk.t.cell"	0.00252525252525253
"302"	"smooth.muscle.cell"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	0.00252206809583859
"301"	"slow.muscle.cell"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	0.00250208507089241
"427"	"macrophage"	"regulatory.t.cell"	0.00247729149463253
"381"	"capillary.endothelial.cell"	"plasmacytoid.dendritic.cell"	0.00246103363412633
"362"	"capillary.endothelial.cell"	"plasma.cell"	0.00241837968561064
"227"	"t.cell"	"macrophage"	0.00234009360374415
"117"	"cd8.positive..alpha.beta.t.cell"	"endothelial.cell"	0.00233644859813084
"453"	"slow.muscle.cell"	"type.i.nk.t.cell"	0.00226244343891403
"53"	"skeletal.muscle.satellite.stem.cell"	"cd8.positive..alpha.beta.memory.t.cell"	0.00224215246636771
"31"	"mesenchymal.stem.cell"	"cd4.positive..alpha.beta.memory.t.cell"	0.00220264317180617
"318"	"pericyte.cell"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	0.00216450216450216
"25"	"endothelial.cell.of.vascular.tree"	"cd4.positive..alpha.beta.memory.t.cell"	0.00206611570247934
"378"	"smooth.muscle.cell"	"plasma.cell"	0.00206611570247934
"159"	"erythrocyte"	"hematopoietic.stem.cell"	0.00205761316872428
"47"	"macrophage"	"cd8.positive..alpha.beta.memory.t.cell"	0.002
"255"	"fast.muscle.cell"	"memory.b.cell"	0.002
"242"	"pericyte.cell"	"mature.nk.t.cell"	0.00198412698412698
"304"	"tendon.cell"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	0.00198019801980198
"296"	"mature.nk.t.cell"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	0.00194363459669582
"445"	"fast.muscle.cell"	"type.i.nk.t.cell"	0.0018957345971564
"266"	"tendon.cell"	"memory.b.cell"	0.00173310225303293
"323"	"tendon.cell"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	0.00169779286926995
"39"	"capillary.endothelial.cell"	"cd8.positive..alpha.beta.memory.t.cell"	0.00165837479270315
"116"	"cd4.positive..alpha.beta.t.cell"	"endothelial.cell"	0.00161550888529887
"24"	"endothelial.cell.of.lymphatic.vessel"	"cd4.positive..alpha.beta.memory.t.cell"	0.0015748031496063
"286"	"capillary.endothelial.cell"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	0.00153139356814701
"42"	"endothelial.cell.of.artery"	"cd8.positive..alpha.beta.memory.t.cell"	0.00152905198776758
"23"	"endothelial.cell.of.artery"	"cd4.positive..alpha.beta.memory.t.cell"	0.00148588410104012
"197"	"erythrocyte"	"intermediate.monocyte"	0.00146627565982405
"289"	"endothelial.cell.of.artery"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	0.00142045454545455
"48"	"mast.cell"	"cd8.positive..alpha.beta.memory.t.cell"	0.00131926121372032
"216"	"erythrocyte"	"macrophage"	0.00126103404791929
"295"	"mast.cell"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	0.00123762376237624
"422"	"endothelial.cell.of.artery"	"regulatory.t.cell"	0.00115473441108545
"32"	"mesothelial.cell"	"cd4.positive..alpha.beta.memory.t.cell"	0.00112107623318386
"27"	"fast.muscle.cell"	"cd4.positive..alpha.beta.memory.t.cell"	0.00111358574610245
"18"	"t.cell"	"cd1c.positive.myeloid.dendritic.cell"	0.0010752688172043
"212"	"cd8.positive..alpha.beta.t.cell"	"macrophage"	0.000965250965250965
"236"	"fast.muscle.cell"	"mature.nk.t.cell"	0.000947867298578199
"330"	"erythrocyte"	"neutrophil"	0.000867302688638335
"35"	"slow.muscle.cell"	"cd4.positive..alpha.beta.memory.t.cell"	0.000854700854700855
"121"	"erythrocyte"	"endothelial.cell"	0.000429184549356223
"7"	"erythrocyte"	"cd1c.positive.myeloid.dendritic.cell"	0
"26"	"erythrocyte"	"cd4.positive..alpha.beta.memory.t.cell"	0
"28"	"macrophage"	"cd4.positive..alpha.beta.memory.t.cell"	0
"30"	"mature.nk.t.cell"	"cd4.positive..alpha.beta.memory.t.cell"	0
"34"	"skeletal.muscle.satellite.stem.cell"	"cd4.positive..alpha.beta.memory.t.cell"	0
"38"	"tendon.cell"	"cd4.positive..alpha.beta.memory.t.cell"	0
"43"	"endothelial.cell.of.lymphatic.vessel"	"cd8.positive..alpha.beta.memory.t.cell"	0
"44"	"endothelial.cell.of.vascular.tree"	"cd8.positive..alpha.beta.memory.t.cell"	0
"45"	"erythrocyte"	"cd8.positive..alpha.beta.memory.t.cell"	0
"46"	"fast.muscle.cell"	"cd8.positive..alpha.beta.memory.t.cell"	0
"50"	"mesenchymal.stem.cell"	"cd8.positive..alpha.beta.memory.t.cell"	0
"51"	"mesothelial.cell"	"cd8.positive..alpha.beta.memory.t.cell"	0
"54"	"slow.muscle.cell"	"cd8.positive..alpha.beta.memory.t.cell"	0
"57"	"tendon.cell"	"cd8.positive..alpha.beta.memory.t.cell"	0
"64"	"erythrocyte"	"cd8.positive..alpha.beta.t.cell"	0
"83"	"erythrocyte"	"cd141.positive.myeloid.dendritic.cell"	0
"102"	"erythrocyte"	"classical.monocyte"	0
"178"	"erythrocyte"	"innate.lymphoid.cell"	0
"192"	"cd4.positive..alpha.beta.t.cell"	"intermediate.monocyte"	0
"235"	"erythrocyte"	"mature.nk.t.cell"	0
"254"	"erythrocyte"	"memory.b.cell"	0
"273"	"erythrocyte"	"naive.b.cell"	0
"290"	"endothelial.cell.of.lymphatic.vessel"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	0
"292"	"erythrocyte"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	0
"294"	"macrophage"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	0
"300"	"skeletal.muscle.satellite.stem.cell"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	0
"311"	"erythrocyte"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	0
"321"	"smooth.muscle.cell"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	0
"349"	"erythrocyte"	"nk.cell"	0
"363"	"cd4.positive..alpha.beta.t.cell"	"plasma.cell"	0
"365"	"endothelial.cell.of.artery"	"plasma.cell"	0
"425"	"erythrocyte"	"regulatory.t.cell"	0
"444"	"erythrocyte"	"type.i.nk.t.cell"	0
