"Skeletal muscle"	"Spleen"	"value"
"60"	"cd8.positive..alpha.beta.t.cell"	"cd8.positive..alpha.beta.t.cell"	0.0236389684813754
"328"	"endothelial.cell.of.lymphatic.vessel"	"neutrophil"	0.0235878336436996
"412"	"mesothelial.cell"	"platelet"	0.0232049036777583
"149"	"slow.muscle.cell"	"erythrocyte"	0.0231135282121006
"128"	"pericyte.cell"	"endothelial.cell"	0.0229746070133011
"399"	"tendon.cell"	"plasmacytoid.dendritic.cell"	0.0228571428571429
"439"	"cd4.positive..alpha.beta.t.cell"	"type.i.nk.t.cell"	0.0228310502283105
"208"	"t.cell"	"intermediate.monocyte"	0.0226480836236934
"225"	"slow.muscle.cell"	"macrophage"	0.0224215246636771
"141"	"fast.muscle.cell"	"erythrocyte"	0.0223880597014925
"214"	"endothelial.cell.of.lymphatic.vessel"	"macrophage"	0.0222045995241872
"198"	"fast.muscle.cell"	"intermediate.monocyte"	0.0219858156028369
"190"	"tendon.cell"	"innate.lymphoid.cell"	0.0219435736677116
"324"	"capillary.endothelial.cell"	"neutrophil"	0.0218613366645846
"86"	"mast.cell"	"cd141.positive.myeloid.dendritic.cell"	0.0218253968253968
"413"	"pericyte.cell"	"platelet"	0.0216647662485747
"161"	"macrophage"	"hematopoietic.stem.cell"	0.0214876033057851
"340"	"smooth.muscle.cell"	"neutrophil"	0.021264367816092
"221"	"mesenchymal.stem.cell"	"macrophage"	0.0211981566820276
"405"	"endothelial.cell.of.vascular.tree"	"platelet"	0.0211752249867655
"10"	"mast.cell"	"cd1c.positive.myeloid.dendritic.cell"	0.0208530805687204
"124"	"mast.cell"	"endothelial.cell"	0.0206327372764787
"122"	"fast.muscle.cell"	"endothelial.cell"	0.0204823257350512
"169"	"smooth.muscle.cell"	"hematopoietic.stem.cell"	0.0204472843450479
"107"	"mesenchymal.stem.cell"	"classical.monocyte"	0.020297699594046
"194"	"endothelial.cell.of.artery"	"intermediate.monocyte"	0.0201342281879195
"75"	"t.cell"	"cd8.positive..alpha.beta.t.cell"	0.0200729927007299
"163"	"mature.nk.t.cell"	"hematopoietic.stem.cell"	0.0200333889816361
"123"	"macrophage"	"endothelial.cell"	0.020012706480305
"59"	"cd4.positive..alpha.beta.t.cell"	"cd8.positive..alpha.beta.t.cell"	0.0198624904507257
"276"	"mast.cell"	"naive.b.cell"	0.0197433366238894
"182"	"mature.nk.t.cell"	"innate.lymphoid.cell"	0.019674355495251
"417"	"t.cell"	"platelet"	0.0196463654223969
"206"	"slow.muscle.cell"	"intermediate.monocyte"	0.0196428571428571
"346"	"endothelial.cell.of.artery"	"nk.cell"	0.0194472876151484
"397"	"smooth.muscle.cell"	"plasmacytoid.dendritic.cell"	0.0194465220643231
"82"	"endothelial.cell.of.vascular.tree"	"cd141.positive.myeloid.dendritic.cell"	0.0193637621023513
"112"	"smooth.muscle.cell"	"classical.monocyte"	0.0191754554170662
"210"	"capillary.endothelial.cell"	"macrophage"	0.0191693290734824
"329"	"endothelial.cell.of.vascular.tree"	"neutrophil"	0.019047619047619
"184"	"mesothelial.cell"	"innate.lymphoid.cell"	0.018978102189781
"15"	"skeletal.muscle.satellite.stem.cell"	"cd1c.positive.myeloid.dendritic.cell"	0.018641810918775
"217"	"fast.muscle.cell"	"macrophage"	0.0183727034120735
"174"	"cd8.positive..alpha.beta.t.cell"	"innate.lymphoid.cell"	0.0183696900114811
"146"	"mesothelial.cell"	"erythrocyte"	0.0182572614107884
"230"	"cd4.positive..alpha.beta.t.cell"	"mature.nk.t.cell"	0.0182232346241458
"175"	"endothelial.cell.of.artery"	"innate.lymphoid.cell"	0.0181660899653979
"183"	"mesenchymal.stem.cell"	"innate.lymphoid.cell"	0.0180658873538789
"335"	"mesenchymal.stem.cell"	"neutrophil"	0.0180305131761442
"207"	"smooth.muscle.cell"	"intermediate.monocyte"	0.0179267342166797
"215"	"endothelial.cell.of.vascular.tree"	"macrophage"	0.0178890876565295
"9"	"macrophage"	"cd1c.positive.myeloid.dendritic.cell"	0.0177332305319969
"306"	"cd4.positive..alpha.beta.t.cell"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	0.0175879396984925
"80"	"endothelial.cell.of.artery"	"cd141.positive.myeloid.dendritic.cell"	0.0175824175824176
"275"	"macrophage"	"naive.b.cell"	0.0175438596491228
"288"	"cd8.positive..alpha.beta.t.cell"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	0.017156862745098
"336"	"mesothelial.cell"	"neutrophil"	0.0170757737459979
"429"	"mature.nk.t.cell"	"regulatory.t.cell"	0.0170502983802217
"187"	"slow.muscle.cell"	"innate.lymphoid.cell"	0.0170109356014581
"203"	"mesothelial.cell"	"intermediate.monocyte"	0.0170092133238838
"377"	"slow.muscle.cell"	"plasma.cell"	0.01698670605613
"156"	"endothelial.cell.of.artery"	"hematopoietic.stem.cell"	0.0168690958164642
"280"	"pericyte.cell"	"naive.b.cell"	0.0168634064080944
"185"	"pericyte.cell"	"innate.lymphoid.cell"	0.016726403823178
"147"	"pericyte.cell"	"erythrocyte"	0.0163934426229508
"339"	"slow.muscle.cell"	"neutrophil"	0.0162866449511401
"125"	"mature.nk.t.cell"	"endothelial.cell"	0.0162472124880535
"105"	"mast.cell"	"classical.monocyte"	0.0160377358490566
"372"	"mature.nk.t.cell"	"plasma.cell"	0.0160067396798652
"61"	"endothelial.cell.of.artery"	"cd8.positive..alpha.beta.t.cell"	0.0159574468085106
"269"	"cd8.positive..alpha.beta.t.cell"	"naive.b.cell"	0.0158982511923688
"164"	"mesenchymal.stem.cell"	"hematopoietic.stem.cell"	0.0157728706624606
"150"	"smooth.muscle.cell"	"erythrocyte"	0.0157261794634598
"70"	"mesothelial.cell"	"cd8.positive..alpha.beta.t.cell"	0.0157232704402516
"186"	"skeletal.muscle.satellite.stem.cell"	"innate.lymphoid.cell"	0.0157232704402516
"191"	"capillary.endothelial.cell"	"intermediate.monocyte"	0.015693112467306
"195"	"endothelial.cell.of.lymphatic.vessel"	"intermediate.monocyte"	0.0155172413793103
"411"	"mesenchymal.stem.cell"	"platelet"	0.0155080213903743
"224"	"skeletal.muscle.satellite.stem.cell"	"macrophage"	0.015426497277677
"108"	"mesothelial.cell"	"classical.monocyte"	0.0153321976149915
"228"	"tendon.cell"	"macrophage"	0.0153015301530153
"326"	"cd8.positive..alpha.beta.t.cell"	"neutrophil"	0.0152616279069767
"93"	"smooth.muscle.cell"	"cd141.positive.myeloid.dendritic.cell"	0.014985014985015
"268"	"cd4.positive..alpha.beta.t.cell"	"naive.b.cell"	0.0148975791433892
"134"	"capillary.endothelial.cell"	"erythrocyte"	0.0148462354188759
"196"	"endothelial.cell.of.vascular.tree"	"intermediate.monocyte"	0.0148221343873518
"418"	"tendon.cell"	"platelet"	0.014806980433633
"158"	"endothelial.cell.of.vascular.tree"	"hematopoietic.stem.cell"	0.014626635873749
"177"	"endothelial.cell.of.vascular.tree"	"innate.lymphoid.cell"	0.0143737166324435
"17"	"smooth.muscle.cell"	"cd1c.positive.myeloid.dendritic.cell"	0.0143129770992366
"223"	"pericyte.cell"	"macrophage"	0.0141843971631206
"137"	"endothelial.cell.of.artery"	"erythrocyte"	0.0140845070422535
"370"	"macrophage"	"plasma.cell"	0.0140495867768595
"171"	"tendon.cell"	"hematopoietic.stem.cell"	0.013953488372093
"95"	"tendon.cell"	"cd141.positive.myeloid.dendritic.cell"	0.0139470013947001
"374"	"mesothelial.cell"	"plasma.cell"	0.0138376383763838
"277"	"mature.nk.t.cell"	"naive.b.cell"	0.0137318255250404
"151"	"t.cell"	"erythrocyte"	0.0136411332633788
"13"	"mesothelial.cell"	"cd1c.positive.myeloid.dendritic.cell"	0.0136054421768707
"142"	"macrophage"	"erythrocyte"	0.0134629768137622
"11"	"mature.nk.t.cell"	"cd1c.positive.myeloid.dendritic.cell"	0.0132605304212168
