"Lung"	"Skeletal muscle"	"value"
"368"	"non.classical.monocyte"	"mast.cell"	0.0103189493433396
"448"	"pulmonary.ionocyte"	"mesenchymal.stem.cell"	0.0102888800949743
"633"	"nk.cell"	"smooth.muscle.cell"	0.0102755721625409
"323"	"lung.ciliated.cell"	"macrophage"	0.010192937750273
"213"	"myofibroblast.cell"	"endothelial.cell.of.vascular.tree"	0.0100877192982456
"542"	"capillary.aerocyte"	"skeletal.muscle.satellite.stem.cell"	0.0100824931255729
"185"	"serous.cell.of.epithelium.of.bronchus"	"endothelial.cell.of.lymphatic.vessel"	0.0100502512562814
"261"	"serous.cell.of.epithelium.of.bronchus"	"erythrocyte"	0.0099009900990099
"355"	"club.cell"	"mast.cell"	0.00989119683481701
"626"	"intermediate.monocyte"	"smooth.muscle.cell"	0.00988319856244385
"45"	"basophil"	"cd4.positive..alpha.beta.t.cell"	0.00985221674876847
"451"	"serous.cell.of.epithelium.of.bronchus"	"mesenchymal.stem.cell"	0.00980392156862745
"641"	"serous.cell.of.epithelium.of.bronchus"	"smooth.muscle.cell"	0.00980392156862745
"553"	"macrophage"	"skeletal.muscle.satellite.stem.cell"	0.00975609756097561
"601"	"respiratory.goblet.cell"	"slow.muscle.cell"	0.00974512743628186
"139"	"nk.cell"	"endothelial.cell.of.artery"	0.00974184120798831
"279"	"club.cell"	"fast.muscle.cell"	0.00972590627763042
"481"	"nk.cell"	"mesothelial.cell"	0.00969162995594714
"474"	"intermediate.monocyte"	"mesothelial.cell"	0.0096696212731668
"193"	"adventitial.cell"	"endothelial.cell.of.vascular.tree"	0.00957446808510638
"432"	"dendritic.cell"	"mesenchymal.stem.cell"	0.00956284153005465
"211"	"macrophage"	"endothelial.cell.of.vascular.tree"	0.00953516090584029
"511"	"fibroblast"	"pericyte.cell"	0.00952759031361651
"619"	"capillary.endothelial.cell"	"smooth.muscle.cell"	0.00951683748169839
"720"	"type.ii.pneumocyte"	"tendon.cell"	0.00951248513674197
"344"	"cd4.positive..alpha.beta.t.cell"	"mast.cell"	0.00950570342205323
"348"	"basal.cell"	"mast.cell"	0.00947867298578199
"189"	"vascular.associated.smooth.muscle.cell"	"endothelial.cell.of.lymphatic.vessel"	0.00946372239747634
"505"	"capillary.endothelial.cell"	"pericyte.cell"	0.00943396226415094
"308"	"alveolar.fibroblast"	"macrophage"	0.00942760942760943
"351"	"bronchial.vessel.endothelial.cell"	"mast.cell"	0.00942028985507246
"109"	"serous.cell.of.epithelium.of.bronchus"	"cd8.positive..alpha.beta.t.cell"	0.00938337801608579
"57"	"lung.ciliated.cell"	"cd4.positive..alpha.beta.t.cell"	0.00938271604938272
"73"	"type.i.pneumocyte"	"cd4.positive..alpha.beta.t.cell"	0.00937766410912191
"3"	"adventitial.cell"	"capillary.endothelial.cell"	0.00928505106778087
"504"	"capillary.aerocyte"	"pericyte.cell"	0.00923076923076923
"557"	"nk.cell"	"skeletal.muscle.satellite.stem.cell"	0.0091991341991342
"71"	"serous.cell.of.epithelium.of.bronchus"	"cd4.positive..alpha.beta.t.cell"	0.00918836140888208
"254"	"non.classical.monocyte"	"erythrocyte"	0.00917431192660551
"221"	"respiratory.goblet.cell"	"endothelial.cell.of.vascular.tree"	0.00916030534351145
"290"	"neutrophil"	"fast.muscle.cell"	0.00916030534351145
"196"	"basal.cell"	"endothelial.cell.of.vascular.tree"	0.00915032679738562
"667"	"macrophage"	"t.cell"	0.00913705583756345
"61"	"myofibroblast.cell"	"cd4.positive..alpha.beta.t.cell"	0.00909526089037817
"85"	"bronchial.vessel.endothelial.cell"	"cd8.positive..alpha.beta.t.cell"	0.00909090909090909
"552"	"lung.microvascular.endothelial.cell"	"skeletal.muscle.satellite.stem.cell"	0.00909090909090909
"585"	"endothelial.cell.of.artery"	"slow.muscle.cell"	0.00908540278619019
"186"	"smooth.muscle.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0089974293059126
"629"	"macrophage"	"smooth.muscle.cell"	0.00896057347670251
"227"	"vascular.associated.smooth.muscle.cell"	"endothelial.cell.of.vascular.tree"	0.00893655049151028
"250"	"mesothelial.cell"	"erythrocyte"	0.00892857142857143
"570"	"vein.endothelial.cell"	"skeletal.muscle.satellite.stem.cell"	0.00884955752212389
"477"	"macrophage"	"mesothelial.cell"	0.00884244372990354
"623"	"endothelial.cell.of.artery"	"smooth.muscle.cell"	0.00881410256410256
"416"	"type.ii.pneumocyte"	"mature.nk.t.cell"	0.00881057268722467
"148"	"smooth.muscle.cell"	"endothelial.cell.of.artery"	0.00878293601003764
"291"	"nk.cell"	"fast.muscle.cell"	0.00877963125548727
"395"	"endothelial.cell.of.artery"	"mature.nk.t.cell"	0.0087719298245614
"577"	"basophil"	"slow.muscle.cell"	0.00876601483479434
"195"	"b.cell"	"endothelial.cell.of.vascular.tree"	0.00873907615480649
"672"	"non.classical.monocyte"	"t.cell"	0.00866738894907909
"235"	"basophil"	"erythrocyte"	0.00865800865800866
"439"	"macrophage"	"mesenchymal.stem.cell"	0.00864197530864197
"336"	"respiratory.mucous.cell"	"macrophage"	0.00855920114122682
"442"	"neutrophil"	"mesenchymal.stem.cell"	0.00851900393184797
"8"	"bronchial.smooth.muscle.cell"	"capillary.endothelial.cell"	0.00848176420695505
"297"	"respiratory.goblet.cell"	"fast.muscle.cell"	0.00844277673545966
"157"	"b.cell"	"endothelial.cell.of.lymphatic.vessel"	0.00841219768664564
"693"	"bronchial.vessel.endothelial.cell"	"tendon.cell"	0.00832562442183164
"695"	"capillary.endothelial.cell"	"tendon.cell"	0.00832562442183164
"699"	"endothelial.cell.of.artery"	"tendon.cell"	0.00831600831600832
"713"	"plasmacytoid.dendritic.cell"	"tendon.cell"	0.00829015544041451
"350"	"bronchial.smooth.muscle.cell"	"mast.cell"	0.00825206301575394
"271"	"b.cell"	"fast.muscle.cell"	0.00825082508250825
"437"	"lung.ciliated.cell"	"mesenchymal.stem.cell"	0.00821542674577818
"13"	"club.cell"	"capillary.endothelial.cell"	0.00814901047729918
"50"	"classical.monocyte"	"cd4.positive..alpha.beta.t.cell"	0.00806451612903226
"659"	"club.cell"	"t.cell"	0.00806451612903226
"270"	"alveolar.fibroblast"	"fast.muscle.cell"	0.00805270863836018
"246"	"intermediate.monocyte"	"erythrocyte"	0.00804828973843058
"375"	"serous.cell.of.epithelium.of.bronchus"	"mast.cell"	0.00790861159929701
"558"	"non.classical.monocyte"	"skeletal.muscle.satellite.stem.cell"	0.00790513833992095
"241"	"club.cell"	"erythrocyte"	0.0078740157480315
"712"	"plasma.cell"	"tendon.cell"	0.00784313725490196
"298"	"respiratory.mucous.cell"	"fast.muscle.cell"	0.0078003120124805
"379"	"vascular.associated.smooth.muscle.cell"	"mast.cell"	0.00779588944011339
"108"	"respiratory.mucous.cell"	"cd8.positive..alpha.beta.t.cell"	0.00778210116731518
"408"	"plasma.cell"	"mature.nk.t.cell"	0.00775945683802134
"715"	"respiratory.goblet.cell"	"tendon.cell"	0.00773993808049536
"602"	"respiratory.mucous.cell"	"slow.muscle.cell"	0.0077319587628866
"147"	"serous.cell.of.epithelium.of.bronchus"	"endothelial.cell.of.artery"	0.00772946859903382
"458"	"cd4.positive..alpha.beta.t.cell"	"mesothelial.cell"	0.00770547945205479
"470"	"dendritic.cell"	"mesothelial.cell"	0.00770547945205479
"438"	"lung.microvascular.endothelial.cell"	"mesenchymal.stem.cell"	0.00769230769230769
"622"	"dendritic.cell"	"smooth.muscle.cell"	0.00769230769230769
"166"	"dendritic.cell"	"endothelial.cell.of.lymphatic.vessel"	0.00766703176341731
"280"	"dendritic.cell"	"fast.muscle.cell"	0.00766609880749574
"75"	"vascular.associated.smooth.muscle.cell"	"cd4.positive..alpha.beta.t.cell"	0.0075512405609493
"501"	"basophil"	"pericyte.cell"	0.00748502994011976
"92"	"endothelial.cell.of.lymphatic.vessel"	"cd8.positive..alpha.beta.t.cell"	0.00748129675810474
"543"	"capillary.endothelial.cell"	"skeletal.muscle.satellite.stem.cell"	0.00745573159366263
"220"	"pulmonary.ionocyte"	"endothelial.cell.of.vascular.tree"	0.00741029641185647
"615"	"basophil"	"smooth.muscle.cell"	0.00740055504162812
"417"	"vascular.associated.smooth.muscle.cell"	"mature.nk.t.cell"	0.00735294117647059
"514"	"lung.microvascular.endothelial.cell"	"pericyte.cell"	0.00735294117647059
"581"	"capillary.endothelial.cell"	"slow.muscle.cell"	0.00733220530174845
"4"	"alveolar.fibroblast"	"capillary.endothelial.cell"	0.00731930466605672
"319"	"endothelial.cell.of.artery"	"macrophage"	0.00730897009966777
"345"	"adventitial.cell"	"mast.cell"	0.0072992700729927
"471"	"endothelial.cell.of.artery"	"mesothelial.cell"	0.00725689404934688
"276"	"capillary.aerocyte"	"fast.muscle.cell"	0.00721784776902887
"644"	"type.ii.pneumocyte"	"smooth.muscle.cell"	0.00707964601769911
"170"	"intermediate.monocyte"	"endothelial.cell.of.lymphatic.vessel"	0.0070778564206269
"402"	"mesothelial.cell"	"mature.nk.t.cell"	0.00707213578500707
"36"	"type.ii.pneumocyte"	"capillary.endothelial.cell"	0.00707070707070707
"95"	"lung.ciliated.cell"	"cd8.positive..alpha.beta.t.cell"	0.00706547338671691
"226"	"type.ii.pneumocyte"	"endothelial.cell.of.vascular.tree"	0.00703399765533412
"44"	"basal.cell"	"cd4.positive..alpha.beta.t.cell"	0.00698080279232112
"530"	"type.ii.pneumocyte"	"pericyte.cell"	0.00697350069735007
"32"	"respiratory.mucous.cell"	"capillary.endothelial.cell"	0.00693756194251734
"203"	"club.cell"	"endothelial.cell.of.vascular.tree"	0.00691562932226833
"110"	"smooth.muscle.cell"	"cd8.positive..alpha.beta.t.cell"	0.00687547746371276
"64"	"non.classical.monocyte"	"cd4.positive..alpha.beta.t.cell"	0.00683760683760684
"507"	"club.cell"	"pericyte.cell"	0.00681431005110733
"263"	"type.i.pneumocyte"	"erythrocyte"	0.00680933852140078
"19"	"lung.ciliated.cell"	"capillary.endothelial.cell"	0.00677678949597628
"160"	"bronchial.smooth.muscle.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0067001675041876
"14"	"dendritic.cell"	"capillary.endothelial.cell"	0.00665926748057714
"533"	"cd8.positive..alpha.beta.t.cell"	"skeletal.muscle.satellite.stem.cell"	0.00663716814159292
"244"	"endothelial.cell.of.lymphatic.vessel"	"erythrocyte"	0.00659824046920821
"252"	"neutrophil"	"erythrocyte"	0.00657354149548069
"516"	"mesothelial.cell"	"pericyte.cell"	0.00651890482398957
"281"	"endothelial.cell.of.artery"	"fast.muscle.cell"	0.00649819494584838
"25"	"nk.cell"	"capillary.endothelial.cell"	0.00647088103534097
"89"	"club.cell"	"cd8.positive..alpha.beta.t.cell"	0.00642054574638844
"346"	"alveolar.fibroblast"	"mast.cell"	0.00641025641025641
"583"	"club.cell"	"slow.muscle.cell"	0.00640569395017794
"430"	"classical.monocyte"	"mesenchymal.stem.cell"	0.00636942675159236
"539"	"basophil"	"skeletal.muscle.satellite.stem.cell"	0.00636132315521628
"518"	"neutrophil"	"pericyte.cell"	0.00632466619817287
"357"	"endothelial.cell.of.artery"	"mast.cell"	0.00632411067193676
"68"	"pulmonary.ionocyte"	"cd4.positive..alpha.beta.t.cell"	0.00632111251580278
"209"	"lung.ciliated.cell"	"endothelial.cell.of.vascular.tree"	0.00629213483146067
"159"	"basophil"	"endothelial.cell.of.lymphatic.vessel"	0.00628272251308901
"563"	"respiratory.goblet.cell"	"skeletal.muscle.satellite.stem.cell"	0.00626959247648903
"628"	"lung.microvascular.endothelial.cell"	"smooth.muscle.cell"	0.00626304801670146
"513"	"lung.ciliated.cell"	"pericyte.cell"	0.00622307324078506
"197"	"basophil"	"endothelial.cell.of.vascular.tree"	0.0062111801242236
"383"	"adventitial.cell"	"mature.nk.t.cell"	0.00618556701030928
"362"	"lung.microvascular.endothelial.cell"	"mast.cell"	0.00617283950617284
"202"	"classical.monocyte"	"endothelial.cell.of.vascular.tree"	0.00613496932515337
"550"	"intermediate.monocyte"	"skeletal.muscle.satellite.stem.cell"	0.00609013398294762
"55"	"fibroblast"	"cd4.positive..alpha.beta.t.cell"	0.00607287449392713
"119"	"b.cell"	"endothelial.cell.of.artery"	0.00605449041372351
"121"	"basophil"	"endothelial.cell.of.artery"	0.00604229607250755
"249"	"macrophage"	"erythrocyte"	0.006
"682"	"type.ii.pneumocyte"	"t.cell"	0.006
"482"	"non.classical.monocyte"	"mesothelial.cell"	0.00590717299578059
"70"	"respiratory.mucous.cell"	"cd4.positive..alpha.beta.t.cell"	0.00589101620029455
"678"	"respiratory.mucous.cell"	"t.cell"	0.00588812561334642
"335"	"respiratory.goblet.cell"	"macrophage"	0.00588235294117647
"590"	"lung.microvascular.endothelial.cell"	"slow.muscle.cell"	0.00586940572267058
"564"	"respiratory.mucous.cell"	"skeletal.muscle.satellite.stem.cell"	0.00585480093676815
"463"	"basophil"	"mesothelial.cell"	0.00578034682080925
"412"	"respiratory.mucous.cell"	"mature.nk.t.cell"	0.00577617328519856
"525"	"respiratory.goblet.cell"	"pericyte.cell"	0.00575815738963532
"515"	"macrophage"	"pericyte.cell"	0.0056657223796034
"527"	"serous.cell.of.epithelium.of.bronchus"	"pericyte.cell"	0.00561009817671809
"697"	"club.cell"	"tendon.cell"	0.00560224089635854
"256"	"plasma.cell"	"erythrocyte"	0.00558659217877095
"317"	"club.cell"	"macrophage"	0.00556881463802705
"584"	"dendritic.cell"	"slow.muscle.cell"	0.0055286800276434
"111"	"type.i.pneumocyte"	"cd8.positive..alpha.beta.t.cell"	0.00550747442958301
"620"	"classical.monocyte"	"smooth.muscle.cell"	0.00548947849954254
"652"	"basal.cell"	"t.cell"	0.00547045951859956
"494"	"vein.endothelial.cell"	"mesothelial.cell"	0.00542986425339366
"526"	"respiratory.mucous.cell"	"pericyte.cell"	0.00542740841248304
"94"	"intermediate.monocyte"	"cd8.positive..alpha.beta.t.cell"	0.00540540540540541
"484"	"plasma.cell"	"mesothelial.cell"	0.00539374325782093
"97"	"macrophage"	"cd8.positive..alpha.beta.t.cell"	0.00539083557951483
"178"	"non.classical.monocyte"	"endothelial.cell.of.lymphatic.vessel"	0.00537634408602151
"217"	"pericyte.cell"	"endothelial.cell.of.vascular.tree"	0.00535987748851455
"112"	"type.ii.pneumocyte"	"cd8.positive..alpha.beta.t.cell"	0.00530503978779841
"433"	"endothelial.cell.of.artery"	"mesenchymal.stem.cell"	0.00529100529100529
"42"	"alveolar.fibroblast"	"cd4.positive..alpha.beta.t.cell"	0.00523560209424084
"547"	"endothelial.cell.of.artery"	"skeletal.muscle.satellite.stem.cell"	0.00523012552301255
"640"	"respiratory.mucous.cell"	"smooth.muscle.cell"	0.0052128583840139
"522"	"plasma.cell"	"pericyte.cell"	0.00519480519480519
"229"	"cd8.positive..alpha.beta.t.cell"	"erythrocyte"	0.00515463917525773
"268"	"cd4.positive..alpha.beta.t.cell"	"fast.muscle.cell"	0.00509770603228547
"33"	"serous.cell.of.epithelium.of.bronchus"	"capillary.endothelial.cell"	0.00506585612968592
"257"	"plasmacytoid.dendritic.cell"	"erythrocyte"	0.00498753117206983
"103"	"pericyte.cell"	"cd8.positive..alpha.beta.t.cell"	0.00497512437810945
"523"	"plasmacytoid.dendritic.cell"	"pericyte.cell"	0.00497237569060773
"468"	"classical.monocyte"	"mesothelial.cell"	0.00490998363338789
"574"	"alveolar.fibroblast"	"slow.muscle.cell"	0.0048750761730652
"326"	"mesothelial.cell"	"macrophage"	0.00486787204450626
"305"	"cd8.positive..alpha.beta.t.cell"	"macrophage"	0.00480109739368999
"508"	"dendritic.cell"	"pericyte.cell"	0.00476947535771065
"575"	"b.cell"	"slow.muscle.cell"	0.0047074646940148
"223"	"serous.cell.of.epithelium.of.bronchus"	"endothelial.cell.of.vascular.tree"	0.00470588235294118
"262"	"smooth.muscle.cell"	"erythrocyte"	0.00467289719626168
"520"	"non.classical.monocyte"	"pericyte.cell"	0.0046583850931677
"277"	"capillary.endothelial.cell"	"fast.muscle.cell"	0.0046449900464499
"59"	"macrophage"	"cd4.positive..alpha.beta.t.cell"	0.00462249614791988
"613"	"b.cell"	"smooth.muscle.cell"	0.00462107208872458
"54"	"endothelial.cell.of.lymphatic.vessel"	"cd4.positive..alpha.beta.t.cell"	0.00462046204620462
"650"	"alveolar.fibroblast"	"t.cell"	0.00452488687782805
"674"	"plasma.cell"	"t.cell"	0.00449101796407186
"680"	"smooth.muscle.cell"	"t.cell"	0.00449005772931366
"267"	"cd8.positive..alpha.beta.t.cell"	"fast.muscle.cell"	0.00448765893792072
"661"	"endothelial.cell.of.artery"	"t.cell"	0.00445632798573975
"47"	"bronchial.vessel.endothelial.cell"	"cd4.positive..alpha.beta.t.cell"	0.00443951165371809
"49"	"capillary.endothelial.cell"	"cd4.positive..alpha.beta.t.cell"	0.00443951165371809
"117"	"adventitial.cell"	"endothelial.cell.of.artery"	0.00441306266548985
"571"	"cd8.positive..alpha.beta.t.cell"	"slow.muscle.cell"	0.00435323383084577
"48"	"capillary.aerocyte"	"cd4.positive..alpha.beta.t.cell"	0.00433839479392625
"236"	"bronchial.smooth.muscle.cell"	"erythrocyte"	0.00426136363636364
"5"	"b.cell"	"capillary.endothelial.cell"	0.00424628450106157
"7"	"basophil"	"capillary.endothelial.cell"	0.00423728813559322
"60"	"mesothelial.cell"	"cd4.positive..alpha.beta.t.cell"	0.00421940928270042
"12"	"classical.monocyte"	"capillary.endothelial.cell"	0.00419287211740042
"194"	"alveolar.fibroblast"	"endothelial.cell.of.vascular.tree"	0.00417101147028154
"524"	"pulmonary.ionocyte"	"pericyte.cell"	0.00410509031198686
"18"	"intermediate.monocyte"	"capillary.endothelial.cell"	0.00408580183861083
"534"	"cd4.positive..alpha.beta.t.cell"	"skeletal.muscle.satellite.stem.cell"	0.00401606425702811
"679"	"serous.cell.of.epithelium.of.bronchus"	"t.cell"	0.00401203610832497
"237"	"bronchial.vessel.endothelial.cell"	"erythrocyte"	0.00398406374501992
"76"	"vein.endothelial.cell"	"cd4.positive..alpha.beta.t.cell"	0.00395256916996047
"386"	"basal.cell"	"mature.nk.t.cell"	0.00390015600624025
"264"	"type.ii.pneumocyte"	"erythrocyte"	0.00389863547758285
"710"	"non.classical.monocyte"	"tendon.cell"	0.00389105058365759
"423"	"b.cell"	"mesenchymal.stem.cell"	0.00387096774193548
"198"	"bronchial.smooth.muscle.cell"	"endothelial.cell.of.vascular.tree"	0.00382043935052531
"495"	"cd8.positive..alpha.beta.t.cell"	"pericyte.cell"	0.00380228136882129
"332"	"plasma.cell"	"macrophage"	0.00378787878787879
"634"	"non.classical.monocyte"	"smooth.muscle.cell"	0.00377714825306893
"31"	"respiratory.goblet.cell"	"capillary.endothelial.cell"	0.00376884422110553
"691"	"basophil"	"tendon.cell"	0.00376411543287327
"1"	"cd8.positive..alpha.beta.t.cell"	"capillary.endothelial.cell"	0.00376293508936971
"544"	"classical.monocyte"	"skeletal.muscle.satellite.stem.cell"	0.0037593984962406
"98"	"mesothelial.cell"	"cd8.positive..alpha.beta.t.cell"	0.00372670807453416
"436"	"intermediate.monocyte"	"mesenchymal.stem.cell"	0.00369458128078818
"370"	"plasma.cell"	"mast.cell"	0.00368550368550369
"304"	"vein.endothelial.cell"	"fast.muscle.cell"	0.00359389038634322
"115"	"cd8.positive..alpha.beta.t.cell"	"endothelial.cell.of.artery"	0.00359066427289048
"258"	"pulmonary.ionocyte"	"erythrocyte"	0.00358583594800538
"532"	"vein.endothelial.cell"	"pericyte.cell"	0.00354609929078014
"684"	"vein.endothelial.cell"	"t.cell"	0.00354191263282172
"80"	"alveolar.fibroblast"	"cd8.positive..alpha.beta.t.cell"	0.00349243306169965
"596"	"non.classical.monocyte"	"slow.muscle.cell"	0.00341296928327645
"6"	"basal.cell"	"capillary.endothelial.cell"	0.00330760749724366
"26"	"non.classical.monocyte"	"capillary.endothelial.cell"	0.00326441784548422
"253"	"nk.cell"	"erythrocyte"	0.00325732899022801
"191"	"cd8.positive..alpha.beta.t.cell"	"endothelial.cell.of.vascular.tree"	0.00323974082073434
"393"	"club.cell"	"mature.nk.t.cell"	0.00322841000807102
"655"	"bronchial.vessel.endothelial.cell"	"t.cell"	0.00321802091713596
"709"	"nk.cell"	"tendon.cell"	0.00321199143468951
"639"	"respiratory.goblet.cell"	"smooth.muscle.cell"	0.0032017075773746
"215"	"nk.cell"	"endothelial.cell.of.vascular.tree"	0.00319488817891374
"496"	"cd4.positive..alpha.beta.t.cell"	"pericyte.cell"	0.00317460317460317
"84"	"bronchial.smooth.muscle.cell"	"cd8.positive..alpha.beta.t.cell"	0.00316789862724393
"259"	"respiratory.goblet.cell"	"erythrocyte"	0.00316455696202532
"312"	"bronchial.smooth.muscle.cell"	"macrophage"	0.00316055625790139
"373"	"respiratory.goblet.cell"	"mast.cell"	0.00315457413249211
"683"	"vascular.associated.smooth.muscle.cell"	"t.cell"	0.00314465408805031
"116"	"cd4.positive..alpha.beta.t.cell"	"endothelial.cell.of.artery"	0.0031413612565445
"447"	"plasmacytoid.dendritic.cell"	"mesenchymal.stem.cell"	0.003125
"255"	"pericyte.cell"	"erythrocyte"	0.0031055900621118
"164"	"classical.monocyte"	"endothelial.cell.of.lymphatic.vessel"	0.00309917355371901
"140"	"non.classical.monocyte"	"endothelial.cell.of.artery"	0.00309278350515464
"56"	"intermediate.monocyte"	"cd4.positive..alpha.beta.t.cell"	0.00308641975308642
"646"	"vein.endothelial.cell"	"smooth.muscle.cell"	0.00306435137895812
"66"	"plasma.cell"	"cd4.positive..alpha.beta.t.cell"	0.00304878048780488
"704"	"lung.microvascular.endothelial.cell"	"tendon.cell"	0.00297176820208024
"86"	"capillary.aerocyte"	"cd8.positive..alpha.beta.t.cell"	0.00294985250737463
"102"	"non.classical.monocyte"	"cd8.positive..alpha.beta.t.cell"	0.00293685756240822
"722"	"vein.endothelial.cell"	"tendon.cell"	0.00289435600578871
"608"	"vein.endothelial.cell"	"slow.muscle.cell"	0.00288808664259928
"519"	"nk.cell"	"pericyte.cell"	0.00287026406429392
"572"	"cd4.positive..alpha.beta.t.cell"	"slow.muscle.cell"	0.00275671950379049
"286"	"lung.microvascular.endothelial.cell"	"fast.muscle.cell"	0.00273722627737226
"546"	"dendritic.cell"	"skeletal.muscle.satellite.stem.cell"	0.00267379679144385
"444"	"non.classical.monocyte"	"mesenchymal.stem.cell"	0.00265957446808511
"698"	"dendritic.cell"	"tendon.cell"	0.00264200792602378
"192"	"cd4.positive..alpha.beta.t.cell"	"endothelial.cell.of.vascular.tree"	0.00260756192959583
"708"	"neutrophil"	"tendon.cell"	0.00257234726688103
"216"	"non.classical.monocyte"	"endothelial.cell.of.vascular.tree"	0.00255754475703325
"411"	"respiratory.goblet.cell"	"mature.nk.t.cell"	0.00255754475703325
"53"	"endothelial.cell.of.artery"	"cd4.positive..alpha.beta.t.cell"	0.00255427841634738
"292"	"non.classical.monocyte"	"fast.muscle.cell"	0.00251046025104603
"72"	"smooth.muscle.cell"	"cd4.positive..alpha.beta.t.cell"	0.00245700245700246
"666"	"lung.microvascular.endothelial.cell"	"t.cell"	0.00240963855421687
"341"	"vascular.associated.smooth.muscle.cell"	"macrophage"	0.00240818783865141
"208"	"intermediate.monocyte"	"endothelial.cell.of.vascular.tree"	0.00237247924080664
"104"	"plasma.cell"	"cd8.positive..alpha.beta.t.cell"	0.0023696682464455
"230"	"cd4.positive..alpha.beta.t.cell"	"erythrocyte"	0.00235849056603774
"234"	"basal.cell"	"erythrocyte"	0.00234192037470726
"306"	"cd4.positive..alpha.beta.t.cell"	"macrophage"	0.00230414746543779
"457"	"cd8.positive..alpha.beta.t.cell"	"mesothelial.cell"	0.00224887556221889
"154"	"cd4.positive..alpha.beta.t.cell"	"endothelial.cell.of.lymphatic.vessel"	0.00217864923747277
"443"	"nk.cell"	"mesenchymal.stem.cell"	0.00216216216216216
"233"	"b.cell"	"erythrocyte"	0.00215982721382289
"294"	"plasma.cell"	"fast.muscle.cell"	0.00213675213675214
"247"	"lung.ciliated.cell"	"erythrocyte"	0.00211528291909043
"251"	"myofibroblast.cell"	"erythrocyte"	0.0020460358056266
"58"	"lung.microvascular.endothelial.cell"	"cd4.positive..alpha.beta.t.cell"	0.00204498977505112
"446"	"plasma.cell"	"mesenchymal.stem.cell"	0.00202839756592292
"380"	"vein.endothelial.cell"	"mast.cell"	0.00201207243460765
"87"	"capillary.endothelial.cell"	"cd8.positive..alpha.beta.t.cell"	0.00200601805416249
"113"	"vascular.associated.smooth.muscle.cell"	"cd8.positive..alpha.beta.t.cell"	0.00194931773879142
"22"	"mesothelial.cell"	"capillary.endothelial.cell"	0.00191387559808612
"668"	"mesothelial.cell"	"t.cell"	0.00189753320683112
"51"	"club.cell"	"cd4.positive..alpha.beta.t.cell"	0.0018796992481203
"427"	"bronchial.vessel.endothelial.cell"	"mesenchymal.stem.cell"	0.00187265917602996
"649"	"adventitial.cell"	"t.cell"	0.00182815356489945
"107"	"respiratory.goblet.cell"	"cd8.positive..alpha.beta.t.cell"	0.00178890876565295
"654"	"bronchial.smooth.muscle.cell"	"t.cell"	0.00167224080267559
"231"	"adventitial.cell"	"erythrocyte"	0.00165562913907285
"598"	"plasma.cell"	"slow.muscle.cell"	0.00165562913907285
"418"	"vein.endothelial.cell"	"mature.nk.t.cell"	0.00164473684210526
"232"	"alveolar.fibroblast"	"erythrocyte"	0.00161812297734628
"342"	"vein.endothelial.cell"	"macrophage"	0.00161681487469685
"243"	"endothelial.cell.of.artery"	"erythrocyte"	0.0015748031496063
"28"	"plasma.cell"	"capillary.endothelial.cell"	0.00151285930408472
"82"	"basal.cell"	"cd8.positive..alpha.beta.t.cell"	0.00149253731343284
"180"	"plasma.cell"	"endothelial.cell.of.lymphatic.vessel"	0.00148367952522255
"506"	"classical.monocyte"	"pericyte.cell"	0.00146627565982405
"512"	"intermediate.monocyte"	"pericyte.cell"	0.00141442715700141
"238"	"capillary.aerocyte"	"erythrocyte"	0.00128865979381443
"245"	"fibroblast"	"erythrocyte"	0.00128589798542649
"425"	"basophil"	"mesenchymal.stem.cell"	0.00128369704749679
"265"	"vascular.associated.smooth.muscle.cell"	"erythrocyte"	0.00127551020408163
"689"	"b.cell"	"tendon.cell"	0.00125470514429109
"636"	"plasma.cell"	"smooth.muscle.cell"	0.00124688279301746
"677"	"respiratory.goblet.cell"	"t.cell"	0.00123915737298637
"696"	"classical.monocyte"	"tendon.cell"	0.00123609394313968
"79"	"adventitial.cell"	"cd8.positive..alpha.beta.t.cell"	0.00118063754427391
"46"	"bronchial.smooth.muscle.cell"	"cd4.positive..alpha.beta.t.cell"	0.00116959064327485
"419"	"cd8.positive..alpha.beta.t.cell"	"mesenchymal.stem.cell"	0.00111358574610245
"2"	"cd4.positive..alpha.beta.t.cell"	"capillary.endothelial.cell"	0.0011037527593819
"400"	"lung.microvascular.endothelial.cell"	"mature.nk.t.cell"	0.000834028356964137
"324"	"lung.microvascular.endothelial.cell"	"macrophage"	0.000819672131147541
"310"	"basal.cell"	"macrophage"	0.000765110941086458
"384"	"alveolar.fibroblast"	"mature.nk.t.cell"	0.000677048070412999
"41"	"adventitial.cell"	"cd4.positive..alpha.beta.t.cell"	0
"69"	"respiratory.goblet.cell"	"cd4.positive..alpha.beta.t.cell"	0
"74"	"type.ii.pneumocyte"	"cd4.positive..alpha.beta.t.cell"	0
"91"	"endothelial.cell.of.artery"	"cd8.positive..alpha.beta.t.cell"	0
"96"	"lung.microvascular.endothelial.cell"	"cd8.positive..alpha.beta.t.cell"	0
"114"	"vein.endothelial.cell"	"cd8.positive..alpha.beta.t.cell"	0
"126"	"classical.monocyte"	"endothelial.cell.of.artery"	0
"132"	"intermediate.monocyte"	"endothelial.cell.of.artery"	0
