"Tongue"	"Bone marrow"	"value"
"22"	"schwann.cell"	"cd8.positive..alpha.beta.t.cell"	0.013092029264536
"95"	"tongue.muscle.cell"	"macrophage"	0.0127314814814815
"50"	"capillary.endothelial.cell"	"erythroid.progenitor"	0.0126156433978133
"164"	"keratinocyte"	"neutrophil"	0.0121422376409367
"16"	"endothelial.cell.of.lymphatic.vessel"	"cd8.positive..alpha.beta.t.cell"	0.0119402985074627
"150"	"fibroblast"	"nampt.neutrophil"	0.0115511551155116
"2"	"capillary.endothelial.cell"	"cd4.positive..alpha.beta.t.cell"	0.0115321252059308
"156"	"vein.endothelial.cell"	"nampt.neutrophil"	0.0113636363636364
"190"	"schwann.cell"	"plasma.cell"	0.0111687275628241
"67"	"immune.cell"	"granulocyte"	0.011063829787234
"184"	"endothelial.cell.of.lymphatic.vessel"	"plasma.cell"	0.0109769484083425
"112"	"endothelial.cell.of.lymphatic.vessel"	"monocyte"	0.0107270560190703
"117"	"pericyte.cell"	"monocyte"	0.0106809078771696
"132"	"vein.endothelial.cell"	"myeloid.progenitor"	0.0104408352668213
"100"	"endothelial.cell.of.lymphatic.vessel"	"memory.b.cell"	0.0103806228373702
"30"	"fibroblast"	"cd24.neutrophil"	0.0102230483271375
"174"	"fibroblast"	"nk.cell"	0.0102201257861635
"186"	"fibroblast"	"plasma.cell"	0.0100864553314121
"66"	"fibroblast"	"granulocyte"	0.0100502512562814
"155"	"tongue.muscle.cell"	"nampt.neutrophil"	0.00991735537190083
"118"	"schwann.cell"	"monocyte"	0.00943009430094301
"187"	"immune.cell"	"plasma.cell"	0.00930232558139535
"99"	"endothelial.cell.of.artery"	"memory.b.cell"	0.00919963201471941
"162"	"fibroblast"	"neutrophil"	0.00904605263157895
"105"	"pericyte.cell"	"memory.b.cell"	0.0089974293059126
"15"	"endothelial.cell.of.artery"	"cd8.positive..alpha.beta.t.cell"	0.00896495517522412
"64"	"endothelial.cell.of.lymphatic.vessel"	"granulocyte"	0.00886699507389163
"183"	"endothelial.cell.of.artery"	"plasma.cell"	0.0088339222614841
"69"	"pericyte.cell"	"granulocyte"	0.00864864864864865
"189"	"pericyte.cell"	"plasma.cell"	0.00850546780072904
"73"	"basal.cell"	"hematopoietic.stem.cell"	0.00848484848484849
"87"	"endothelial.cell.of.artery"	"macrophage"	0.00840336134453781
"79"	"immune.cell"	"hematopoietic.stem.cell"	0.00836501901140684
"42"	"fibroblast"	"erythrocyte"	0.00818833162743091
"145"	"basal.cell"	"nampt.neutrophil"	0.00813008130081301
"63"	"endothelial.cell.of.artery"	"granulocyte"	0.00809716599190283
"119"	"tongue.muscle.cell"	"monocyte"	0.00807754442649435
"127"	"immune.cell"	"myeloid.progenitor"	0.00805369127516779
"138"	"fibroblast"	"naive.b.cell"	0.00803212851405622
"80"	"keratinocyte"	"hematopoietic.stem.cell"	0.008
"106"	"schwann.cell"	"memory.b.cell"	0.00768919465803319
"44"	"keratinocyte"	"erythrocyte"	0.00762527233115468
"128"	"keratinocyte"	"myeloid.progenitor"	0.00761904761904762
"111"	"endothelial.cell.of.artery"	"monocyte"	0.00754005655042413
"33"	"pericyte.cell"	"cd24.neutrophil"	0.00745650372825186
"108"	"vein.endothelial.cell"	"memory.b.cell"	0.00738916256157635
"77"	"epithelial.cell"	"hematopoietic.stem.cell"	0.00735294117647059
"60"	"vein.endothelial.cell"	"erythroid.progenitor"	0.00725388601036269
"168"	"vein.endothelial.cell"	"neutrophil"	0.00719424460431655
"93"	"pericyte.cell"	"macrophage"	0.00699300699300699
"181"	"basal.cell"	"plasma.cell"	0.00681431005110733
"180"	"vein.endothelial.cell"	"nk.cell"	0.00678952473326867
"144"	"vein.endothelial.cell"	"naive.b.cell"	0.00664893617021277
"3"	"endothelial.cell.of.artery"	"cd4.positive..alpha.beta.t.cell"	0.00658513640639699
"167"	"tongue.muscle.cell"	"neutrophil"	0.0065843621399177
"85"	"basal.cell"	"macrophage"	0.00654450261780105
"11"	"tongue.muscle.cell"	"cd4.positive..alpha.beta.t.cell"	0.00644122383252818
"6"	"fibroblast"	"cd4.positive..alpha.beta.t.cell"	0.0064
"47"	"tongue.muscle.cell"	"erythrocyte"	0.00615384615384615
