"Tongue"	"Lung"	"value"
"439"	"immune.cell"	"vascular.associated.smooth.muscle.cell"	0.00393700787401575
"158"	"capillary.endothelial.cell"	"dendritic.cell"	0.00390625
"167"	"tongue.muscle.cell"	"dendritic.cell"	0.00385109114249037
"360"	"vein.endothelial.cell"	"pulmonary.ionocyte"	0.00383959044368601
"296"	"keratinocyte"	"nk.cell"	0.00381679389312977
"128"	"keratinocyte"	"capillary.endothelial.cell"	0.00379867046533713
"168"	"vein.endothelial.cell"	"dendritic.cell"	0.0037243947858473
"1"	"basal.cell"	"cd8.positive..alpha.beta.t.cell"	0.00360144057623049
"238"	"schwann.cell"	"lung.microvascular.endothelial.cell"	0.0035615354174911
"151"	"immune.cell"	"club.cell"	0.00355555555555556
"25"	"basal.cell"	"adventitial.cell"	0.00351699882766706
"420"	"vein.endothelial.cell"	"type.i.pneumocyte"	0.00349344978165939
"84"	"vein.endothelial.cell"	"basophil"	0.00346020761245675
"8"	"keratinocyte"	"cd8.positive..alpha.beta.t.cell"	0.00339750849377123
"169"	"basal.cell"	"endothelial.cell.of.artery"	0.00339366515837104
"127"	"immune.cell"	"capillary.endothelial.cell"	0.00334224598930481
"403"	"immune.cell"	"smooth.muscle.cell"	0.00330760749724366
"69"	"pericyte.cell"	"basal.cell"	0.00327868852459016
"320"	"keratinocyte"	"pericyte.cell"	0.00315955766192733
"57"	"pericyte.cell"	"b.cell"	0.00315457413249211
"454"	"schwann.cell"	"vein.endothelial.cell"	0.00314218381775334
"236"	"keratinocyte"	"lung.microvascular.endothelial.cell"	0.003125
"362"	"capillary.endothelial.cell"	"respiratory.goblet.cell"	0.00302571860816944
"371"	"tongue.muscle.cell"	"respiratory.goblet.cell"	0.00297619047619048
"43"	"immune.cell"	"alveolar.fibroblast"	0.00294117647058824
"433"	"basal.cell"	"vascular.associated.smooth.muscle.cell"	0.00290416263310745
"440"	"keratinocyte"	"vascular.associated.smooth.muscle.cell"	0.00277008310249307
"91"	"immune.cell"	"bronchial.smooth.muscle.cell"	0.00276243093922652
"197"	"epithelial.cell"	"fibroblast"	0.00272373540856031
"102"	"fibroblast"	"bronchial.vessel.endothelial.cell"	0.00269299820466786
"22"	"schwann.cell"	"cd4.positive..alpha.beta.t.cell"	0.00267891312667432
"103"	"immune.cell"	"bronchial.vessel.endothelial.cell"	0.00267201068804275
"328"	"endothelial.cell.of.lymphatic.vessel"	"plasma.cell"	0.00263504611330698
"56"	"keratinocyte"	"b.cell"	0.00262123197903014
"408"	"vein.endothelial.cell"	"smooth.muscle.cell"	0.00252951096121417
"96"	"vein.endothelial.cell"	"bronchial.smooth.muscle.cell"	0.00244200244200244
"54"	"fibroblast"	"b.cell"	0.00243013365735115
"379"	"immune.cell"	"respiratory.mucous.cell"	0.00235109717868339
"325"	"basal.cell"	"plasma.cell"	0.00232558139534884
"374"	"capillary.endothelial.cell"	"respiratory.mucous.cell"	0.00227790432801822
"44"	"keratinocyte"	"alveolar.fibroblast"	0.00217864923747277
"85"	"basal.cell"	"bronchial.smooth.muscle.cell"	0.00209205020920502
"113"	"epithelial.cell"	"capillary.aerocyte"	0.00196850393700787
"437"	"epithelial.cell"	"vascular.associated.smooth.muscle.cell"	0.001953125
"335"	"tongue.muscle.cell"	"plasma.cell"	0.00186567164179104
"72"	"vein.endothelial.cell"	"basal.cell"	0.00184842883548983
"300"	"vein.endothelial.cell"	"nk.cell"	0.00181708055723804
"229"	"basal.cell"	"lung.microvascular.endothelial.cell"	0.00169204737732657
"445"	"basal.cell"	"vein.endothelial.cell"	0.00164203612479475
"252"	"vein.endothelial.cell"	"macrophage"	0.00162337662337662
"294"	"fibroblast"	"nk.cell"	0.00158061116965227
"452"	"keratinocyte"	"vein.endothelial.cell"	0.00151745068285281
"333"	"pericyte.cell"	"plasma.cell"	0.00149476831091181
"31"	"immune.cell"	"adventitial.cell"	0.00148367952522255
"305"	"epithelial.cell"	"non.classical.monocyte"	0.00147058823529412
"175"	"immune.cell"	"endothelial.cell.of.artery"	0.00145032632342277
"12"	"vein.endothelial.cell"	"cd8.positive..alpha.beta.t.cell"	0.00143266475644699
"234"	"fibroblast"	"lung.microvascular.endothelial.cell"	0.0014265335235378
"20"	"keratinocyte"	"cd4.positive..alpha.beta.t.cell"	0.00137931034482759
"48"	"vein.endothelial.cell"	"alveolar.fibroblast"	0.00136612021857923
"14"	"capillary.endothelial.cell"	"cd4.positive..alpha.beta.t.cell"	0.0012987012987013
"62"	"capillary.endothelial.cell"	"basal.cell"	0.00129366106080207
"311"	"tongue.muscle.cell"	"non.classical.monocyte"	0.00125628140703518
"237"	"pericyte.cell"	"lung.microvascular.endothelial.cell"	0.00120481927710843
"453"	"pericyte.cell"	"vein.endothelial.cell"	0.00117924528301887
"6"	"fibroblast"	"cd8.positive..alpha.beta.t.cell"	0.00105820105820106
"125"	"epithelial.cell"	"capillary.endothelial.cell"	0.00100401606425703
"16"	"endothelial.cell.of.lymphatic.vessel"	"cd4.positive..alpha.beta.t.cell"	0.00099502487562189
"367"	"immune.cell"	"respiratory.goblet.cell"	0.000942507068803016
"9"	"pericyte.cell"	"cd8.positive..alpha.beta.t.cell"	0.000931098696461825
"451"	"immune.cell"	"vein.endothelial.cell"	0.000906618313689937
"317"	"epithelial.cell"	"pericyte.cell"	0.000827129859387924
"13"	"basal.cell"	"cd4.positive..alpha.beta.t.cell"	0
"18"	"fibroblast"	"cd4.positive..alpha.beta.t.cell"	0
"21"	"pericyte.cell"	"cd4.positive..alpha.beta.t.cell"	0
"24"	"vein.endothelial.cell"	"cd4.positive..alpha.beta.t.cell"	0
"41"	"epithelial.cell"	"alveolar.fibroblast"	0
"67"	"immune.cell"	"basal.cell"	0
"89"	"epithelial.cell"	"bronchial.smooth.muscle.cell"	0
"173"	"epithelial.cell"	"endothelial.cell.of.artery"	0
"235"	"immune.cell"	"lung.microvascular.endothelial.cell"	0
"326"	"capillary.endothelial.cell"	"plasma.cell"	0
"330"	"fibroblast"	"plasma.cell"	0
"332"	"keratinocyte"	"plasma.cell"	0
"336"	"vein.endothelial.cell"	"plasma.cell"	0
"449"	"epithelial.cell"	"vein.endothelial.cell"	0
