"Tongue"	"Lung"	"value"
"352"	"endothelial.cell.of.lymphatic.vessel"	"pulmonary.ionocyte"	0.0247093023255814
"217"	"basal.cell"	"lung.ciliated.cell"	0.0243436754176611
"430"	"schwann.cell"	"type.ii.pneumocyte"	0.0241874527588813
"347"	"tongue.muscle.cell"	"plasmacytoid.dendritic.cell"	0.0239209568382735
"196"	"endothelial.cell.of.lymphatic.vessel"	"fibroblast"	0.0238680238680239
"182"	"capillary.endothelial.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0238237045860631
"124"	"endothelial.cell.of.lymphatic.vessel"	"capillary.endothelial.cell"	0.0237366003062787
"46"	"schwann.cell"	"alveolar.fibroblast"	0.0236449618042925
"394"	"schwann.cell"	"serous.cell.of.epithelium.of.bronchus"	0.0234581914491109
"35"	"tongue.muscle.cell"	"adventitial.cell"	0.0234042553191489
"340"	"endothelial.cell.of.lymphatic.vessel"	"plasmacytoid.dendritic.cell"	0.0233317778814746
"28"	"endothelial.cell.of.lymphatic.vessel"	"adventitial.cell"	0.0232959447799827
"275"	"tongue.muscle.cell"	"myofibroblast.cell"	0.0229681978798587
"82"	"schwann.cell"	"basophil"	0.0226748654880861
"263"	"tongue.muscle.cell"	"mesothelial.cell"	0.0221729490022173
"95"	"tongue.muscle.cell"	"bronchial.smooth.muscle.cell"	0.0220941402497598
"107"	"tongue.muscle.cell"	"bronchial.vessel.endothelial.cell"	0.0220385674931129
"203"	"tongue.muscle.cell"	"fibroblast"	0.022011385199241
"34"	"schwann.cell"	"adventitial.cell"	0.0215249908792412
"280"	"endothelial.cell.of.lymphatic.vessel"	"neutrophil"	0.0214932126696833
"392"	"keratinocyte"	"serous.cell.of.epithelium.of.bronchus"	0.0214105793450882
"253"	"basal.cell"	"mesothelial.cell"	0.0212765957446809
"224"	"keratinocyte"	"lung.ciliated.cell"	0.0209205020920502
"244"	"endothelial.cell.of.lymphatic.vessel"	"macrophage"	0.0207156308851224
"448"	"endothelial.cell.of.lymphatic.vessel"	"vein.endothelial.cell"	0.0206297502714441
"118"	"schwann.cell"	"capillary.aerocyte"	0.0206043956043956
"194"	"capillary.endothelial.cell"	"fibroblast"	0.0205479452054795
"262"	"schwann.cell"	"mesothelial.cell"	0.0203327171903882
"257"	"epithelial.cell"	"mesothelial.cell"	0.020253164556962
"365"	"epithelial.cell"	"respiratory.goblet.cell"	0.020109689213894
"268"	"endothelial.cell.of.lymphatic.vessel"	"myofibroblast.cell"	0.0200803212851406
"90"	"fibroblast"	"bronchial.smooth.muscle.cell"	0.0200573065902579
"273"	"pericyte.cell"	"myofibroblast.cell"	0.0199916701374427
"304"	"endothelial.cell.of.lymphatic.vessel"	"non.classical.monocyte"	0.01998001998002
"33"	"pericyte.cell"	"adventitial.cell"	0.0195530726256983
"290"	"capillary.endothelial.cell"	"nk.cell"	0.0194594594594595
"100"	"endothelial.cell.of.lymphatic.vessel"	"bronchial.vessel.endothelial.cell"	0.0190548780487805
"399"	"endothelial.cell.of.artery"	"smooth.muscle.cell"	0.0190010857763301
"246"	"fibroblast"	"macrophage"	0.0188679245283019
"260"	"keratinocyte"	"mesothelial.cell"	0.0188235294117647
"231"	"endothelial.cell.of.artery"	"lung.microvascular.endothelial.cell"	0.018716577540107
"400"	"endothelial.cell.of.lymphatic.vessel"	"smooth.muscle.cell"	0.018450184501845
"402"	"fibroblast"	"smooth.muscle.cell"	0.0184397163120567
"359"	"tongue.muscle.cell"	"pulmonary.ionocyte"	0.0184386033738721
"71"	"tongue.muscle.cell"	"basal.cell"	0.0181582360570687
"382"	"schwann.cell"	"respiratory.mucous.cell"	0.0179037672510257
"316"	"endothelial.cell.of.lymphatic.vessel"	"pericyte.cell"	0.0177281680892974
"239"	"tongue.muscle.cell"	"lung.microvascular.endothelial.cell"	0.0174927113702624
"417"	"pericyte.cell"	"type.i.pneumocyte"	0.0173448965977318
"284"	"keratinocyte"	"neutrophil"	0.0173333333333333
"140"	"keratinocyte"	"classical.monocyte"	0.0170157068062827
"341"	"epithelial.cell"	"plasmacytoid.dendritic.cell"	0.0170142700329308
"410"	"capillary.endothelial.cell"	"type.i.pneumocyte"	0.0169366715758468
"201"	"pericyte.cell"	"fibroblast"	0.0169125584742713
"23"	"tongue.muscle.cell"	"cd4.positive..alpha.beta.t.cell"	0.0169050715214564
"75"	"endothelial.cell.of.artery"	"basophil"	0.0168404170008019
"413"	"epithelial.cell"	"type.i.pneumocyte"	0.0167330677290837
"172"	"endothelial.cell.of.lymphatic.vessel"	"endothelial.cell.of.artery"	0.0167084377610693
