"Bone marrow"	"Skeletal muscle"	"value"
"271"	"nk.cell"	"smooth.muscle.cell"	0.0184331797235023
"4"	"erythrocyte"	"capillary.endothelial.cell"	0.0184162062615101
"44"	"naive.b.cell"	"cd8.positive..alpha.beta.t.cell"	0.0183908045977011
"46"	"neutrophil"	"cd8.positive..alpha.beta.t.cell"	0.0183654729109275
"69"	"erythroid.progenitor"	"endothelial.cell.of.lymphatic.vessel"	0.018058690744921
"35"	"cd24.neutrophil"	"cd8.positive..alpha.beta.t.cell"	0.0178571428571429
"10"	"monocyte"	"capillary.endothelial.cell"	0.0176630434782609
"132"	"erythrocyte"	"macrophage"	0.0175913396481732
"186"	"monocyte"	"mesenchymal.stem.cell"	0.0175131348511384
"14"	"neutrophil"	"capillary.endothelial.cell"	0.0173584905660377
"8"	"macrophage"	"capillary.endothelial.cell"	0.017293997965412
"12"	"naive.b.cell"	"capillary.endothelial.cell"	0.0171790235081374
"184"	"macrophage"	"mesenchymal.stem.cell"	0.0171149144254279
"206"	"neutrophil"	"mesothelial.cell"	0.0169704588309239
"231"	"hematopoietic.stem.cell"	"skeletal.muscle.satellite.stem.cell"	0.0168350168350168
"299"	"myeloid.progenitor"	"tendon.cell"	0.0167753960857409
"2"	"cd8.positive..alpha.beta.t.cell"	"capillary.endothelial.cell"	0.0166112956810631
"45"	"nampt.neutrophil"	"cd8.positive..alpha.beta.t.cell"	0.0165137614678899
"79"	"nk.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0164756446991404
"11"	"myeloid.progenitor"	"capillary.endothelial.cell"	0.0164068908941756
"247"	"hematopoietic.stem.cell"	"slow.muscle.cell"	0.016403785488959
"293"	"erythroid.progenitor"	"tendon.cell"	0.0161977834612106
"83"	"cd24.neutrophil"	"endothelial.cell.of.vascular.tree"	0.0161443494776828
"148"	"erythrocyte"	"mast.cell"	0.016116035455278
"212"	"erythrocyte"	"pericyte.cell"	0.0158924205378973
"219"	"myeloid.progenitor"	"pericyte.cell"	0.0158061116965227
"28"	"naive.b.cell"	"cd4.positive..alpha.beta.t.cell"	0.0153846153846154
"63"	"nk.cell"	"endothelial.cell.of.artery"	0.0153310104529617
"94"	"neutrophil"	"endothelial.cell.of.vascular.tree"	0.0151006711409396
"269"	"nampt.neutrophil"	"smooth.muscle.cell"	0.0150068212824011
"254"	"neutrophil"	"slow.muscle.cell"	0.0149892933618844
"90"	"monocyte"	"endothelial.cell.of.vascular.tree"	0.0149501661129568
"60"	"naive.b.cell"	"endothelial.cell.of.artery"	0.0146678170836928
"74"	"monocyte"	"endothelial.cell.of.lymphatic.vessel"	0.014647137150466
"260"	"erythrocyte"	"smooth.muscle.cell"	0.0146460537021969
"53"	"erythroid.progenitor"	"endothelial.cell.of.artery"	0.0145878920495988
"255"	"nk.cell"	"slow.muscle.cell"	0.0145379023883697
"227"	"cd24.neutrophil"	"skeletal.muscle.satellite.stem.cell"	0.0144787644787645
"118"	"granulocyte"	"fast.muscle.cell"	0.0143581081081081
"31"	"nk.cell"	"cd4.positive..alpha.beta.t.cell"	0.0141776937618147
"30"	"neutrophil"	"cd4.positive..alpha.beta.t.cell"	0.013986013986014
"246"	"granulocyte"	"slow.muscle.cell"	0.0137646249139711
"1"	"cd4.positive..alpha.beta.t.cell"	"capillary.endothelial.cell"	0.0135135135135135
"77"	"nampt.neutrophil"	"endothelial.cell.of.lymphatic.vessel"	0.0134128166915052
"182"	"granulocyte"	"mesenchymal.stem.cell"	0.0133868808567604
"213"	"erythroid.progenitor"	"pericyte.cell"	0.0133206470028544
"144"	"plasma.cell"	"macrophage"	0.0132890365448505
"6"	"granulocyte"	"capillary.endothelial.cell"	0.0131434830230011
"126"	"neutrophil"	"fast.muscle.cell"	0.0131004366812227
"115"	"cd24.neutrophil"	"fast.muscle.cell"	0.0129692832764505
"189"	"nampt.neutrophil"	"mesenchymal.stem.cell"	0.0128865979381443
"37"	"erythroid.progenitor"	"cd8.positive..alpha.beta.t.cell"	0.0128794848206072
"36"	"erythrocyte"	"cd8.positive..alpha.beta.t.cell"	0.0128504672897196
"253"	"nampt.neutrophil"	"slow.muscle.cell"	0.0128273650454303
"73"	"memory.b.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0128205128205128
"228"	"erythrocyte"	"skeletal.muscle.satellite.stem.cell"	0.0128068303094984
"176"	"plasma.cell"	"mature.nk.t.cell"	0.0126689189189189
"58"	"monocyte"	"endothelial.cell.of.artery"	0.0126582278481013
"179"	"cd24.neutrophil"	"mesenchymal.stem.cell"	0.0126582278481013
"236"	"naive.b.cell"	"skeletal.muscle.satellite.stem.cell"	0.0125523012552301
"214"	"granulocyte"	"pericyte.cell"	0.0124610591900312
"150"	"granulocyte"	"mast.cell"	0.0121836925960637
"207"	"nk.cell"	"mesothelial.cell"	0.0120772946859903
"153"	"memory.b.cell"	"mast.cell"	0.011943539630836
"237"	"nampt.neutrophil"	"skeletal.muscle.satellite.stem.cell"	0.0119047619047619
"88"	"macrophage"	"endothelial.cell.of.vascular.tree"	0.0117370892018779
"164"	"erythrocyte"	"mature.nk.t.cell"	0.0115961800818554
"56"	"macrophage"	"endothelial.cell.of.artery"	0.0115495668912416
"264"	"macrophage"	"smooth.muscle.cell"	0.0115248226950355
"243"	"cd24.neutrophil"	"slow.muscle.cell"	0.0115207373271889
"262"	"granulocyte"	"smooth.muscle.cell"	0.0113851992409867
"221"	"nampt.neutrophil"	"pericyte.cell"	0.0113207547169811
"183"	"hematopoietic.stem.cell"	"mesenchymal.stem.cell"	0.0112994350282486
"205"	"nampt.neutrophil"	"mesothelial.cell"	0.0112570356472795
"208"	"plasma.cell"	"mesothelial.cell"	0.0111111111111111
"168"	"macrophage"	"mature.nk.t.cell"	0.0110132158590308
"296"	"macrophage"	"tendon.cell"	0.0106761565836299
"218"	"monocyte"	"pericyte.cell"	0.0106609808102345
"143"	"nk.cell"	"macrophage"	0.0106442577030812
"119"	"hematopoietic.stem.cell"	"fast.muscle.cell"	0.0105660377358491
"188"	"naive.b.cell"	"mesenchymal.stem.cell"	0.0105596620908131
"50"	"cd8.positive..alpha.beta.t.cell"	"endothelial.cell.of.artery"	0.0104275286757039
"300"	"naive.b.cell"	"tendon.cell"	0.0103412616339193
"22"	"granulocyte"	"cd4.positive..alpha.beta.t.cell"	0.0102389078498294
"238"	"neutrophil"	"skeletal.muscle.satellite.stem.cell"	0.0101781170483461
"171"	"myeloid.progenitor"	"mature.nk.t.cell"	0.01
"202"	"monocyte"	"mesothelial.cell"	0.00991080277502478
"139"	"myeloid.progenitor"	"macrophage"	0.00987045033929673
"5"	"erythroid.progenitor"	"capillary.endothelial.cell"	0.00979653353428787
"80"	"plasma.cell"	"endothelial.cell.of.lymphatic.vessel"	0.00967351874244256
"303"	"nk.cell"	"tendon.cell"	0.00963081861958266
"258"	"cd8.positive..alpha.beta.t.cell"	"smooth.muscle.cell"	0.00953288846520496
"220"	"naive.b.cell"	"pericyte.cell"	0.00950118764845606
"84"	"erythrocyte"	"endothelial.cell.of.vascular.tree"	0.00938477580813347
"54"	"granulocyte"	"endothelial.cell.of.artery"	0.0093071354705274
"198"	"granulocyte"	"mesothelial.cell"	0.00929054054054054
"192"	"plasma.cell"	"mesenchymal.stem.cell"	0.00925925925925926
"64"	"plasma.cell"	"endothelial.cell.of.artery"	0.0092485549132948
"20"	"erythrocyte"	"cd4.positive..alpha.beta.t.cell"	0.00913838120104439
"9"	"memory.b.cell"	"capillary.endothelial.cell"	0.00909090909090909
"82"	"cd8.positive..alpha.beta.t.cell"	"endothelial.cell.of.vascular.tree"	0.00905562742561449
"252"	"naive.b.cell"	"slow.muscle.cell"	0.00904704463208685
"21"	"erythroid.progenitor"	"cd4.positive..alpha.beta.t.cell"	0.00901803607214429
"281"	"memory.b.cell"	"t.cell"	0.00898587933247754
"191"	"nk.cell"	"mesenchymal.stem.cell"	0.00896495517522412
"72"	"macrophage"	"endothelial.cell.of.lymphatic.vessel"	0.00896414342629482
"29"	"nampt.neutrophil"	"cd4.positive..alpha.beta.t.cell"	0.00895522388059702
