"Skeletal muscle"	"Lung"	"value"
"301"	"slow.muscle.cell"	"endothelial.cell.of.lymphatic.vessel"	0.036222509702458
"177"	"endothelial.cell.of.vascular.tree"	"capillary.aerocyte"	0.0350877192982456
"30"	"mature.nk.t.cell"	"cd4.positive..alpha.beta.t.cell"	0.0346494762288477
"568"	"smooth.muscle.cell"	"pulmonary.ionocyte"	0.0339595375722543
"542"	"mast.cell"	"plasmacytoid.dendritic.cell"	0.0335477941176471
"540"	"fast.muscle.cell"	"plasmacytoid.dendritic.cell"	0.033129904097646
"358"	"slow.muscle.cell"	"lung.ciliated.cell"	0.0328389830508475
"323"	"tendon.cell"	"fibroblast"	0.0320834943950522
"314"	"mast.cell"	"fibroblast"	0.0319333564734467
"562"	"mature.nk.t.cell"	"pulmonary.ionocyte"	0.0316350316350316
"646"	"tendon.cell"	"smooth.muscle.cell"	0.0314787701317716
"291"	"endothelial.cell.of.vascular.tree"	"endothelial.cell.of.lymphatic.vessel"	0.0312312312312312
"561"	"mast.cell"	"pulmonary.ionocyte"	0.0311939763356042
"350"	"fast.muscle.cell"	"lung.ciliated.cell"	0.0310921103769918
"650"	"endothelial.cell.of.artery"	"type.i.pneumocyte"	0.0309007232084155
"466"	"mast.cell"	"nk.cell"	0.0307765151515152
"700"	"slow.muscle.cell"	"vascular.associated.smooth.muscle.cell"	0.030664395229983
"550"	"t.cell"	"plasmacytoid.dendritic.cell"	0.0303772660460559
"78"	"cd4.positive..alpha.beta.t.cell"	"b.cell"	0.0302521008403361
"79"	"cd8.positive..alpha.beta.t.cell"	"b.cell"	0.0291120815138282
"308"	"endothelial.cell.of.artery"	"fibroblast"	0.0290530846484935
"320"	"slow.muscle.cell"	"fibroblast"	0.0290431060837664
"708"	"endothelial.cell.of.lymphatic.vessel"	"vein.endothelial.cell"	0.0289156626506024
"390"	"mast.cell"	"macrophage"	0.0288808664259928
"545"	"mesothelial.cell"	"plasmacytoid.dendritic.cell"	0.0287206266318538
"692"	"fast.muscle.cell"	"vascular.associated.smooth.muscle.cell"	0.0286666666666667
"435"	"smooth.muscle.cell"	"myofibroblast.cell"	0.0282755874153724
"428"	"mast.cell"	"myofibroblast.cell"	0.0281188118811881
