"Skeletal muscle"	"Lung"	"value"
"485"	"mast.cell"	"non.classical.monocyte"	0.0103189493433396
"563"	"mesenchymal.stem.cell"	"pulmonary.ionocyte"	0.0102888800949743
"473"	"smooth.muscle.cell"	"nk.cell"	0.0102755721625409
"351"	"macrophage"	"lung.ciliated.cell"	0.010192937750273
"424"	"endothelial.cell.of.vascular.tree"	"myofibroblast.cell"	0.0100877192982456
"186"	"skeletal.muscle.satellite.stem.cell"	"capillary.aerocyte"	0.0100824931255729
"613"	"endothelial.cell.of.lymphatic.vessel"	"serous.cell.of.epithelium.of.bronchus"	0.0100502512562814
"615"	"erythrocyte"	"serous.cell.of.epithelium.of.bronchus"	0.0099009900990099
"238"	"mast.cell"	"club.cell"	0.00989119683481701
"340"	"smooth.muscle.cell"	"intermediate.monocyte"	0.00988319856244385
"116"	"cd4.positive..alpha.beta.t.cell"	"basophil"	0.00985221674876847
"620"	"mesenchymal.stem.cell"	"serous.cell.of.epithelium.of.bronchus"	0.00980392156862745
"625"	"smooth.muscle.cell"	"serous.cell.of.epithelium.of.bronchus"	0.00980392156862745
"395"	"skeletal.muscle.satellite.stem.cell"	"macrophage"	0.00975609756097561
"586"	"slow.muscle.cell"	"respiratory.goblet.cell"	0.00974512743628186
"460"	"endothelial.cell.of.artery"	"nk.cell"	0.00974184120798831
"236"	"fast.muscle.cell"	"club.cell"	0.00972590627763042
"469"	"mesothelial.cell"	"nk.cell"	0.00969162995594714
"336"	"mesothelial.cell"	"intermediate.monocyte"	0.0096696212731668
"44"	"endothelial.cell.of.vascular.tree"	"adventitial.cell"	0.00957446808510638
"259"	"mesenchymal.stem.cell"	"dendritic.cell"	0.00956284153005465
"386"	"endothelial.cell.of.vascular.tree"	"macrophage"	0.00953516090584029
"318"	"pericyte.cell"	"fibroblast"	0.00952759031361651
"207"	"smooth.muscle.cell"	"capillary.endothelial.cell"	0.00951683748169839
"684"	"tendon.cell"	"type.ii.pneumocyte"	0.00951248513674197
"29"	"mast.cell"	"cd4.positive..alpha.beta.t.cell"	0.00950570342205323
"105"	"mast.cell"	"basal.cell"	0.00947867298578199
"689"	"endothelial.cell.of.lymphatic.vessel"	"vascular.associated.smooth.muscle.cell"	0.00946372239747634
"204"	"pericyte.cell"	"capillary.endothelial.cell"	0.00943396226415094
"66"	"macrophage"	"alveolar.fibroblast"	0.00942760942760943
"162"	"mast.cell"	"bronchial.vessel.endothelial.cell"	0.00942028985507246
"611"	"cd8.positive..alpha.beta.t.cell"	"serous.cell.of.epithelium.of.bronchus"	0.00938337801608579
"344"	"cd4.positive..alpha.beta.t.cell"	"lung.ciliated.cell"	0.00938271604938272
"648"	"cd4.positive..alpha.beta.t.cell"	"type.i.pneumocyte"	0.00937766410912191
"39"	"capillary.endothelial.cell"	"adventitial.cell"	0.00928505106778087
"185"	"pericyte.cell"	"capillary.aerocyte"	0.00923076923076923
"471"	"skeletal.muscle.satellite.stem.cell"	"nk.cell"	0.0091991341991342
"610"	"cd4.positive..alpha.beta.t.cell"	"serous.cell.of.epithelium.of.bronchus"	0.00918836140888208
"482"	"erythrocyte"	"non.classical.monocyte"	0.00917431192660551
"445"	"fast.muscle.cell"	"neutrophil"	0.00916030534351145
"576"	"endothelial.cell.of.vascular.tree"	"respiratory.goblet.cell"	0.00916030534351145
"101"	"endothelial.cell.of.vascular.tree"	"basal.cell"	0.00915032679738562
"398"	"t.cell"	"macrophage"	0.00913705583756345
"420"	"cd4.positive..alpha.beta.t.cell"	"myofibroblast.cell"	0.00909526089037817
"155"	"cd8.positive..alpha.beta.t.cell"	"bronchial.vessel.endothelial.cell"	0.00909090909090909
"376"	"skeletal.muscle.satellite.stem.cell"	"lung.microvascular.endothelial.cell"	0.00909090909090909
"282"	"slow.muscle.cell"	"endothelial.cell.of.artery"	0.00908540278619019
"632"	"endothelial.cell.of.lymphatic.vessel"	"smooth.muscle.cell"	0.0089974293059126
"397"	"smooth.muscle.cell"	"macrophage"	0.00896057347670251
"690"	"endothelial.cell.of.vascular.tree"	"vascular.associated.smooth.muscle.cell"	0.00893655049151028
"406"	"erythrocyte"	"mesothelial.cell"	0.00892857142857143
"718"	"skeletal.muscle.satellite.stem.cell"	"vein.endothelial.cell"	0.00884955752212389
"393"	"mesothelial.cell"	"macrophage"	0.00884244372990354
"283"	"smooth.muscle.cell"	"endothelial.cell.of.artery"	0.00881410256410256
"676"	"mature.nk.t.cell"	"type.ii.pneumocyte"	0.00881057268722467
"631"	"endothelial.cell.of.artery"	"smooth.muscle.cell"	0.00878293601003764
"464"	"fast.muscle.cell"	"nk.cell"	0.00877963125548727
"277"	"mature.nk.t.cell"	"endothelial.cell.of.artery"	0.0087719298245614
"130"	"slow.muscle.cell"	"basophil"	0.00876601483479434
"82"	"endothelial.cell.of.vascular.tree"	"b.cell"	0.00873907615480649
"493"	"t.cell"	"non.classical.monocyte"	0.00866738894907909
"121"	"erythrocyte"	"basophil"	0.00865800865800866
"392"	"mesenchymal.stem.cell"	"macrophage"	0.00864197530864197
"598"	"macrophage"	"respiratory.mucous.cell"	0.00855920114122682
"449"	"mesenchymal.stem.cell"	"neutrophil"	0.00851900393184797
"134"	"capillary.endothelial.cell"	"bronchial.smooth.muscle.cell"	0.00848176420695505
"578"	"fast.muscle.cell"	"respiratory.goblet.cell"	0.00844277673545966
"81"	"endothelial.cell.of.lymphatic.vessel"	"b.cell"	0.00841219768664564
"171"	"tendon.cell"	"bronchial.vessel.endothelial.cell"	0.00832562442183164
"209"	"tendon.cell"	"capillary.endothelial.cell"	0.00832562442183164
"285"	"tendon.cell"	"endothelial.cell.of.artery"	0.00831600831600832
"551"	"tendon.cell"	"plasmacytoid.dendritic.cell"	0.00829015544041451
"143"	"mast.cell"	"bronchial.smooth.muscle.cell"	0.00825206301575394
"84"	"fast.muscle.cell"	"b.cell"	0.00825082508250825
"354"	"mesenchymal.stem.cell"	"lung.ciliated.cell"	0.00821542674577818
"229"	"capillary.endothelial.cell"	"club.cell"	0.00814901047729918
"211"	"cd4.positive..alpha.beta.t.cell"	"classical.monocyte"	0.00806451612903226
"246"	"t.cell"	"club.cell"	0.00806451612903226
"65"	"fast.muscle.cell"	"alveolar.fibroblast"	0.00805270863836018
"330"	"erythrocyte"	"intermediate.monocyte"	0.00804828973843058
"618"	"mast.cell"	"serous.cell.of.epithelium.of.bronchus"	0.00790861159929701
"490"	"skeletal.muscle.satellite.stem.cell"	"non.classical.monocyte"	0.00790513833992095
"235"	"erythrocyte"	"club.cell"	0.0078740157480315
"532"	"tendon.cell"	"plasma.cell"	0.00784313725490196
"597"	"fast.muscle.cell"	"respiratory.mucous.cell"	0.0078003120124805
"694"	"mast.cell"	"vascular.associated.smooth.muscle.cell"	0.00779588944011339
"592"	"cd8.positive..alpha.beta.t.cell"	"respiratory.mucous.cell"	0.00778210116731518
"524"	"mature.nk.t.cell"	"plasma.cell"	0.00775945683802134
"589"	"tendon.cell"	"respiratory.goblet.cell"	0.00773993808049536
"605"	"slow.muscle.cell"	"respiratory.mucous.cell"	0.0077319587628866
"612"	"endothelial.cell.of.artery"	"serous.cell.of.epithelium.of.bronchus"	0.00772946859903382
"32"	"mesothelial.cell"	"cd4.positive..alpha.beta.t.cell"	0.00770547945205479
"260"	"mesothelial.cell"	"dendritic.cell"	0.00770547945205479
"264"	"smooth.muscle.cell"	"dendritic.cell"	0.00769230769230769
"373"	"mesenchymal.stem.cell"	"lung.microvascular.endothelial.cell"	0.00769230769230769
"252"	"endothelial.cell.of.lymphatic.vessel"	"dendritic.cell"	0.00766703176341731
"255"	"fast.muscle.cell"	"dendritic.cell"	0.00766609880749574
"686"	"cd4.positive..alpha.beta.t.cell"	"vascular.associated.smooth.muscle.cell"	0.0075512405609493
"128"	"pericyte.cell"	"basophil"	0.00748502994011976
"288"	"cd8.positive..alpha.beta.t.cell"	"endothelial.cell.of.lymphatic.vessel"	0.00748129675810474
"205"	"skeletal.muscle.satellite.stem.cell"	"capillary.endothelial.cell"	0.00745573159366263
"557"	"endothelial.cell.of.vascular.tree"	"pulmonary.ionocyte"	0.00741029641185647
"131"	"smooth.muscle.cell"	"basophil"	0.00740055504162812
"375"	"pericyte.cell"	"lung.microvascular.endothelial.cell"	0.00735294117647059
"695"	"mature.nk.t.cell"	"vascular.associated.smooth.muscle.cell"	0.00735294117647059
"206"	"slow.muscle.cell"	"capillary.endothelial.cell"	0.00733220530174845
"58"	"capillary.endothelial.cell"	"alveolar.fibroblast"	0.00731930466605672
"275"	"macrophage"	"endothelial.cell.of.artery"	0.00730897009966777
"48"	"mast.cell"	"adventitial.cell"	0.0072992700729927
"279"	"mesothelial.cell"	"endothelial.cell.of.artery"	0.00725689404934688
"179"	"fast.muscle.cell"	"capillary.aerocyte"	0.00721784776902887
"682"	"smooth.muscle.cell"	"type.ii.pneumocyte"	0.00707964601769911
"328"	"endothelial.cell.of.lymphatic.vessel"	"intermediate.monocyte"	0.0070778564206269
"410"	"mature.nk.t.cell"	"mesothelial.cell"	0.00707213578500707
"666"	"capillary.endothelial.cell"	"type.ii.pneumocyte"	0.00707070707070707
"345"	"cd8.positive..alpha.beta.t.cell"	"lung.ciliated.cell"	0.00706547338671691
"671"	"endothelial.cell.of.vascular.tree"	"type.ii.pneumocyte"	0.00703399765533412
"97"	"cd4.positive..alpha.beta.t.cell"	"basal.cell"	0.00698080279232112
"679"	"pericyte.cell"	"type.ii.pneumocyte"	0.00697350069735007
"590"	"capillary.endothelial.cell"	"respiratory.mucous.cell"	0.00693756194251734
"234"	"endothelial.cell.of.vascular.tree"	"club.cell"	0.00691562932226833
"630"	"cd8.positive..alpha.beta.t.cell"	"smooth.muscle.cell"	0.00687547746371276
"477"	"cd4.positive..alpha.beta.t.cell"	"non.classical.monocyte"	0.00683760683760684
"242"	"pericyte.cell"	"club.cell"	0.00681431005110733
"653"	"erythrocyte"	"type.i.pneumocyte"	0.00680933852140078
"343"	"capillary.endothelial.cell"	"lung.ciliated.cell"	0.00677678949597628
"138"	"endothelial.cell.of.lymphatic.vessel"	"bronchial.smooth.muscle.cell"	0.0067001675041876
"248"	"capillary.endothelial.cell"	"dendritic.cell"	0.00665926748057714
"15"	"skeletal.muscle.satellite.stem.cell"	"cd8.positive..alpha.beta.t.cell"	0.00663716814159292
"292"	"erythrocyte"	"endothelial.cell.of.lymphatic.vessel"	0.00659824046920821
"444"	"erythrocyte"	"neutrophil"	0.00657354149548069
"413"	"pericyte.cell"	"mesothelial.cell"	0.00651890482398957
"274"	"fast.muscle.cell"	"endothelial.cell.of.artery"	0.00649819494584838
"457"	"capillary.endothelial.cell"	"nk.cell"	0.00647088103534097
"231"	"cd8.positive..alpha.beta.t.cell"	"club.cell"	0.00642054574638844
"67"	"mast.cell"	"alveolar.fibroblast"	0.00641025641025641
"244"	"slow.muscle.cell"	"club.cell"	0.00640569395017794
"221"	"mesenchymal.stem.cell"	"classical.monocyte"	0.00636942675159236
"129"	"skeletal.muscle.satellite.stem.cell"	"basophil"	0.00636132315521628
"451"	"pericyte.cell"	"neutrophil"	0.00632466619817287
"276"	"mast.cell"	"endothelial.cell.of.artery"	0.00632411067193676
"553"	"cd4.positive..alpha.beta.t.cell"	"pulmonary.ionocyte"	0.00632111251580278
"348"	"endothelial.cell.of.vascular.tree"	"lung.ciliated.cell"	0.00629213483146067
"119"	"endothelial.cell.of.lymphatic.vessel"	"basophil"	0.00628272251308901
"585"	"skeletal.muscle.satellite.stem.cell"	"respiratory.goblet.cell"	0.00626959247648903
"378"	"smooth.muscle.cell"	"lung.microvascular.endothelial.cell"	0.00626304801670146
"356"	"pericyte.cell"	"lung.ciliated.cell"	0.00622307324078506
"120"	"endothelial.cell.of.vascular.tree"	"basophil"	0.0062111801242236
"49"	"mature.nk.t.cell"	"adventitial.cell"	0.00618556701030928
"371"	"mast.cell"	"lung.microvascular.endothelial.cell"	0.00617283950617284
"215"	"endothelial.cell.of.vascular.tree"	"classical.monocyte"	0.00613496932515337
"338"	"skeletal.muscle.satellite.stem.cell"	"intermediate.monocyte"	0.00609013398294762
"306"	"cd4.positive..alpha.beta.t.cell"	"fibroblast"	0.00607287449392713
"80"	"endothelial.cell.of.artery"	"b.cell"	0.00605449041372351
"118"	"endothelial.cell.of.artery"	"basophil"	0.00604229607250755
"387"	"erythrocyte"	"macrophage"	0.006
"683"	"t.cell"	"type.ii.pneumocyte"	0.006
"488"	"mesothelial.cell"	"non.classical.monocyte"	0.00590717299578059
"591"	"cd4.positive..alpha.beta.t.cell"	"respiratory.mucous.cell"	0.00589101620029455
"607"	"t.cell"	"respiratory.mucous.cell"	0.00588812561334642
"579"	"macrophage"	"respiratory.goblet.cell"	0.00588235294117647
"377"	"slow.muscle.cell"	"lung.microvascular.endothelial.cell"	0.00586940572267058
"604"	"skeletal.muscle.satellite.stem.cell"	"respiratory.mucous.cell"	0.00585480093676815
"127"	"mesothelial.cell"	"basophil"	0.00578034682080925
"600"	"mature.nk.t.cell"	"respiratory.mucous.cell"	0.00577617328519856
"584"	"pericyte.cell"	"respiratory.goblet.cell"	0.00575815738963532
"394"	"pericyte.cell"	"macrophage"	0.0056657223796034
"622"	"pericyte.cell"	"serous.cell.of.epithelium.of.bronchus"	0.00561009817671809
"247"	"tendon.cell"	"club.cell"	0.00560224089635854
"520"	"erythrocyte"	"plasma.cell"	0.00558659217877095
"237"	"macrophage"	"club.cell"	0.00556881463802705
"263"	"slow.muscle.cell"	"dendritic.cell"	0.0055286800276434
"649"	"cd8.positive..alpha.beta.t.cell"	"type.i.pneumocyte"	0.00550747442958301
"226"	"smooth.muscle.cell"	"classical.monocyte"	0.00548947849954254
"113"	"t.cell"	"basal.cell"	0.00547045951859956
"716"	"mesothelial.cell"	"vein.endothelial.cell"	0.00542986425339366
"603"	"pericyte.cell"	"respiratory.mucous.cell"	0.00542740841248304
"326"	"cd8.positive..alpha.beta.t.cell"	"intermediate.monocyte"	0.00540540540540541
"526"	"mesothelial.cell"	"plasma.cell"	0.00539374325782093
"383"	"cd8.positive..alpha.beta.t.cell"	"macrophage"	0.00539083557951483
"480"	"endothelial.cell.of.lymphatic.vessel"	"non.classical.monocyte"	0.00537634408602151
"500"	"endothelial.cell.of.vascular.tree"	"pericyte.cell"	0.00535987748851455
"668"	"cd8.positive..alpha.beta.t.cell"	"type.ii.pneumocyte"	0.00530503978779841
"278"	"mesenchymal.stem.cell"	"endothelial.cell.of.artery"	0.00529100529100529
"59"	"cd4.positive..alpha.beta.t.cell"	"alveolar.fibroblast"	0.00523560209424084
"281"	"skeletal.muscle.satellite.stem.cell"	"endothelial.cell.of.artery"	0.00523012552301255
"606"	"smooth.muscle.cell"	"respiratory.mucous.cell"	0.0052128583840139
"527"	"pericyte.cell"	"plasma.cell"	0.00519480519480519
"7"	"erythrocyte"	"cd8.positive..alpha.beta.t.cell"	0.00515463917525773
"27"	"fast.muscle.cell"	"cd4.positive..alpha.beta.t.cell"	0.00509770603228547
"609"	"capillary.endothelial.cell"	"serous.cell.of.epithelium.of.bronchus"	0.00506585612968592
"539"	"erythrocyte"	"plasmacytoid.dendritic.cell"	0.00498753117206983
"497"	"cd8.positive..alpha.beta.t.cell"	"pericyte.cell"	0.00497512437810945
"546"	"pericyte.cell"	"plasmacytoid.dendritic.cell"	0.00497237569060773
"222"	"mesothelial.cell"	"classical.monocyte"	0.00490998363338789
"73"	"slow.muscle.cell"	"alveolar.fibroblast"	0.0048750761730652
"408"	"macrophage"	"mesothelial.cell"	0.00486787204450626
"9"	"macrophage"	"cd8.positive..alpha.beta.t.cell"	0.00480109739368999
"261"	"pericyte.cell"	"dendritic.cell"	0.00476947535771065
"92"	"slow.muscle.cell"	"b.cell"	0.0047074646940148
"614"	"endothelial.cell.of.vascular.tree"	"serous.cell.of.epithelium.of.bronchus"	0.00470588235294118
"634"	"erythrocyte"	"smooth.muscle.cell"	0.00467289719626168
"489"	"pericyte.cell"	"non.classical.monocyte"	0.0046583850931677
"198"	"fast.muscle.cell"	"capillary.endothelial.cell"	0.0046449900464499
"382"	"cd4.positive..alpha.beta.t.cell"	"macrophage"	0.00462249614791988
"93"	"smooth.muscle.cell"	"b.cell"	0.00462107208872458
"287"	"cd4.positive..alpha.beta.t.cell"	"endothelial.cell.of.lymphatic.vessel"	0.00462046204620462
"75"	"t.cell"	"alveolar.fibroblast"	0.00452488687782805
"531"	"t.cell"	"plasma.cell"	0.00449101796407186
"645"	"t.cell"	"smooth.muscle.cell"	0.00449005772931366
"8"	"fast.muscle.cell"	"cd8.positive..alpha.beta.t.cell"	0.00448765893792072
"284"	"t.cell"	"endothelial.cell.of.artery"	0.00445632798573975
"154"	"cd4.positive..alpha.beta.t.cell"	"bronchial.vessel.endothelial.cell"	0.00443951165371809
"192"	"cd4.positive..alpha.beta.t.cell"	"capillary.endothelial.cell"	0.00443951165371809
"42"	"endothelial.cell.of.artery"	"adventitial.cell"	0.00441306266548985
"16"	"slow.muscle.cell"	"cd8.positive..alpha.beta.t.cell"	0.00435323383084577
"173"	"cd4.positive..alpha.beta.t.cell"	"capillary.aerocyte"	0.00433839479392625
"140"	"erythrocyte"	"bronchial.smooth.muscle.cell"	0.00426136363636364
"77"	"capillary.endothelial.cell"	"b.cell"	0.00424628450106157
"115"	"capillary.endothelial.cell"	"basophil"	0.00423728813559322
"401"	"cd4.positive..alpha.beta.t.cell"	"mesothelial.cell"	0.00421940928270042
"210"	"capillary.endothelial.cell"	"classical.monocyte"	0.00419287211740042
"63"	"endothelial.cell.of.vascular.tree"	"alveolar.fibroblast"	0.00417101147028154
"565"	"pericyte.cell"	"pulmonary.ionocyte"	0.00410509031198686
"324"	"capillary.endothelial.cell"	"intermediate.monocyte"	0.00408580183861083
"34"	"skeletal.muscle.satellite.stem.cell"	"cd4.positive..alpha.beta.t.cell"	0.00401606425702811
"626"	"t.cell"	"serous.cell.of.epithelium.of.bronchus"	0.00401203610832497
"159"	"erythrocyte"	"bronchial.vessel.endothelial.cell"	0.00398406374501992
"705"	"cd4.positive..alpha.beta.t.cell"	"vein.endothelial.cell"	0.00395256916996047
"106"	"mature.nk.t.cell"	"basal.cell"	0.00390015600624025
"672"	"erythrocyte"	"type.ii.pneumocyte"	0.00389863547758285
"494"	"tendon.cell"	"non.classical.monocyte"	0.00389105058365759
"88"	"mesenchymal.stem.cell"	"b.cell"	0.00387096774193548
"139"	"endothelial.cell.of.vascular.tree"	"bronchial.smooth.muscle.cell"	0.00382043935052531
"14"	"pericyte.cell"	"cd8.positive..alpha.beta.t.cell"	0.00380228136882129
"522"	"macrophage"	"plasma.cell"	0.00378787878787879
"492"	"smooth.muscle.cell"	"non.classical.monocyte"	0.00377714825306893
"571"	"capillary.endothelial.cell"	"respiratory.goblet.cell"	0.00376884422110553
"133"	"tendon.cell"	"basophil"	0.00376411543287327
"1"	"capillary.endothelial.cell"	"cd8.positive..alpha.beta.t.cell"	0.00376293508936971
"224"	"skeletal.muscle.satellite.stem.cell"	"classical.monocyte"	0.0037593984962406
"402"	"cd8.positive..alpha.beta.t.cell"	"mesothelial.cell"	0.00372670807453416
"335"	"mesenchymal.stem.cell"	"intermediate.monocyte"	0.00369458128078818
"523"	"mast.cell"	"plasma.cell"	0.00368550368550369
"711"	"fast.muscle.cell"	"vein.endothelial.cell"	0.00359389038634322
"4"	"endothelial.cell.of.artery"	"cd8.positive..alpha.beta.t.cell"	0.00359066427289048
"558"	"erythrocyte"	"pulmonary.ionocyte"	0.00358583594800538
"717"	"pericyte.cell"	"vein.endothelial.cell"	0.00354609929078014
"721"	"t.cell"	"vein.endothelial.cell"	0.00354191263282172
"60"	"cd8.positive..alpha.beta.t.cell"	"alveolar.fibroblast"	0.00349243306169965
"491"	"slow.muscle.cell"	"non.classical.monocyte"	0.00341296928327645
"96"	"capillary.endothelial.cell"	"basal.cell"	0.00330760749724366
"476"	"capillary.endothelial.cell"	"non.classical.monocyte"	0.00326441784548422
"463"	"erythrocyte"	"nk.cell"	0.00325732899022801
"6"	"endothelial.cell.of.vascular.tree"	"cd8.positive..alpha.beta.t.cell"	0.00323974082073434
"239"	"mature.nk.t.cell"	"club.cell"	0.00322841000807102
"170"	"t.cell"	"bronchial.vessel.endothelial.cell"	0.00321802091713596
"475"	"tendon.cell"	"nk.cell"	0.00321199143468951
"587"	"smooth.muscle.cell"	"respiratory.goblet.cell"	0.0032017075773746
"462"	"endothelial.cell.of.vascular.tree"	"nk.cell"	0.00319488817891374
"33"	"pericyte.cell"	"cd4.positive..alpha.beta.t.cell"	0.00317460317460317
"136"	"cd8.positive..alpha.beta.t.cell"	"bronchial.smooth.muscle.cell"	0.00316789862724393
"577"	"erythrocyte"	"respiratory.goblet.cell"	0.00316455696202532
"142"	"macrophage"	"bronchial.smooth.muscle.cell"	0.00316055625790139
"580"	"mast.cell"	"respiratory.goblet.cell"	0.00315457413249211
"702"	"t.cell"	"vascular.associated.smooth.muscle.cell"	0.00314465408805031
"23"	"endothelial.cell.of.artery"	"cd4.positive..alpha.beta.t.cell"	0.0031413612565445
"544"	"mesenchymal.stem.cell"	"plasmacytoid.dendritic.cell"	0.003125
"501"	"erythrocyte"	"pericyte.cell"	0.0031055900621118
"214"	"endothelial.cell.of.lymphatic.vessel"	"classical.monocyte"	0.00309917355371901
"479"	"endothelial.cell.of.artery"	"non.classical.monocyte"	0.00309278350515464
"325"	"cd4.positive..alpha.beta.t.cell"	"intermediate.monocyte"	0.00308641975308642
"720"	"smooth.muscle.cell"	"vein.endothelial.cell"	0.00306435137895812
"515"	"cd4.positive..alpha.beta.t.cell"	"plasma.cell"	0.00304878048780488
"380"	"tendon.cell"	"lung.microvascular.endothelial.cell"	0.00297176820208024
"174"	"cd8.positive..alpha.beta.t.cell"	"capillary.aerocyte"	0.00294985250737463
"478"	"cd8.positive..alpha.beta.t.cell"	"non.classical.monocyte"	0.00293685756240822
"722"	"tendon.cell"	"vein.endothelial.cell"	0.00289435600578871
"719"	"slow.muscle.cell"	"vein.endothelial.cell"	0.00288808664259928
"470"	"pericyte.cell"	"nk.cell"	0.00287026406429392
"35"	"slow.muscle.cell"	"cd4.positive..alpha.beta.t.cell"	0.00275671950379049
"369"	"fast.muscle.cell"	"lung.microvascular.endothelial.cell"	0.00273722627737226
"262"	"skeletal.muscle.satellite.stem.cell"	"dendritic.cell"	0.00267379679144385
"487"	"mesenchymal.stem.cell"	"non.classical.monocyte"	0.00265957446808511
"266"	"tendon.cell"	"dendritic.cell"	0.00264200792602378
"25"	"endothelial.cell.of.vascular.tree"	"cd4.positive..alpha.beta.t.cell"	0.00260756192959583
"456"	"tendon.cell"	"neutrophil"	0.00257234726688103
"481"	"endothelial.cell.of.vascular.tree"	"non.classical.monocyte"	0.00255754475703325
"581"	"mature.nk.t.cell"	"respiratory.goblet.cell"	0.00255754475703325
"268"	"cd4.positive..alpha.beta.t.cell"	"endothelial.cell.of.artery"	0.00255427841634738
"483"	"fast.muscle.cell"	"non.classical.monocyte"	0.00251046025104603
"629"	"cd4.positive..alpha.beta.t.cell"	"smooth.muscle.cell"	0.00245700245700246
"379"	"t.cell"	"lung.microvascular.endothelial.cell"	0.00240963855421687
"693"	"macrophage"	"vascular.associated.smooth.muscle.cell"	0.00240818783865141
"329"	"endothelial.cell.of.vascular.tree"	"intermediate.monocyte"	0.00237247924080664
"516"	"cd8.positive..alpha.beta.t.cell"	"plasma.cell"	0.0023696682464455
"26"	"erythrocyte"	"cd4.positive..alpha.beta.t.cell"	0.00235849056603774
"102"	"erythrocyte"	"basal.cell"	0.00234192037470726
"28"	"macrophage"	"cd4.positive..alpha.beta.t.cell"	0.00230414746543779
"13"	"mesothelial.cell"	"cd8.positive..alpha.beta.t.cell"	0.00224887556221889
"24"	"endothelial.cell.of.lymphatic.vessel"	"cd4.positive..alpha.beta.t.cell"	0.00217864923747277
"468"	"mesenchymal.stem.cell"	"nk.cell"	0.00216216216216216
"83"	"erythrocyte"	"b.cell"	0.00215982721382289
"521"	"fast.muscle.cell"	"plasma.cell"	0.00213675213675214
"349"	"erythrocyte"	"lung.ciliated.cell"	0.00211528291909043
"425"	"erythrocyte"	"myofibroblast.cell"	0.0020460358056266
"363"	"cd4.positive..alpha.beta.t.cell"	"lung.microvascular.endothelial.cell"	0.00204498977505112
"525"	"mesenchymal.stem.cell"	"plasma.cell"	0.00202839756592292
"713"	"mast.cell"	"vein.endothelial.cell"	0.00201207243460765
"193"	"cd8.positive..alpha.beta.t.cell"	"capillary.endothelial.cell"	0.00200601805416249
"687"	"cd8.positive..alpha.beta.t.cell"	"vascular.associated.smooth.muscle.cell"	0.00194931773879142
"400"	"capillary.endothelial.cell"	"mesothelial.cell"	0.00191387559808612
"417"	"t.cell"	"mesothelial.cell"	0.00189753320683112
"230"	"cd4.positive..alpha.beta.t.cell"	"club.cell"	0.0018796992481203
"164"	"mesenchymal.stem.cell"	"bronchial.vessel.endothelial.cell"	0.00187265917602996
"56"	"t.cell"	"adventitial.cell"	0.00182815356489945
"573"	"cd8.positive..alpha.beta.t.cell"	"respiratory.goblet.cell"	0.00178890876565295
"151"	"t.cell"	"bronchial.smooth.muscle.cell"	0.00167224080267559
"45"	"erythrocyte"	"adventitial.cell"	0.00165562913907285
"529"	"slow.muscle.cell"	"plasma.cell"	0.00165562913907285
"714"	"mature.nk.t.cell"	"vein.endothelial.cell"	0.00164473684210526
"64"	"erythrocyte"	"alveolar.fibroblast"	0.00161812297734628
"712"	"macrophage"	"vein.endothelial.cell"	0.00161681487469685
"273"	"erythrocyte"	"endothelial.cell.of.artery"	0.0015748031496063
"514"	"capillary.endothelial.cell"	"plasma.cell"	0.00151285930408472
"98"	"cd8.positive..alpha.beta.t.cell"	"basal.cell"	0.00149253731343284
"518"	"endothelial.cell.of.lymphatic.vessel"	"plasma.cell"	0.00148367952522255
"223"	"pericyte.cell"	"classical.monocyte"	0.00146627565982405
"337"	"pericyte.cell"	"intermediate.monocyte"	0.00141442715700141
"178"	"erythrocyte"	"capillary.aerocyte"	0.00128865979381443
"311"	"erythrocyte"	"fibroblast"	0.00128589798542649
"126"	"mesenchymal.stem.cell"	"basophil"	0.00128369704749679
"691"	"erythrocyte"	"vascular.associated.smooth.muscle.cell"	0.00127551020408163
"95"	"tendon.cell"	"b.cell"	0.00125470514429109
"530"	"smooth.muscle.cell"	"plasma.cell"	0.00124688279301746
"588"	"t.cell"	"respiratory.goblet.cell"	0.00123915737298637
"228"	"tendon.cell"	"classical.monocyte"	0.00123609394313968
"41"	"cd8.positive..alpha.beta.t.cell"	"adventitial.cell"	0.00118063754427391
"135"	"cd4.positive..alpha.beta.t.cell"	"bronchial.smooth.muscle.cell"	0.00116959064327485
"12"	"mesenchymal.stem.cell"	"cd8.positive..alpha.beta.t.cell"	0.00111358574610245
"20"	"capillary.endothelial.cell"	"cd4.positive..alpha.beta.t.cell"	0.0011037527593819
"372"	"mature.nk.t.cell"	"lung.microvascular.endothelial.cell"	0.000834028356964137
"370"	"macrophage"	"lung.microvascular.endothelial.cell"	0.000819672131147541
"104"	"macrophage"	"basal.cell"	0.000765110941086458
"68"	"mature.nk.t.cell"	"alveolar.fibroblast"	0.000677048070412999
"5"	"endothelial.cell.of.lymphatic.vessel"	"cd8.positive..alpha.beta.t.cell"	0
"17"	"smooth.muscle.cell"	"cd8.positive..alpha.beta.t.cell"	0
"19"	"tendon.cell"	"cd8.positive..alpha.beta.t.cell"	0
"31"	"mesenchymal.stem.cell"	"cd4.positive..alpha.beta.t.cell"	0
"36"	"smooth.muscle.cell"	"cd4.positive..alpha.beta.t.cell"	0
"38"	"tendon.cell"	"cd4.positive..alpha.beta.t.cell"	0
"40"	"cd4.positive..alpha.beta.t.cell"	"adventitial.cell"	0
"90"	"pericyte.cell"	"b.cell"	0
