"Bone marrow"	"Trachea"	"value"
"283"	"myeloid.progenitor"	"serous.cell.of.epithelium.of.trachea"	0.0177664974619289
"284"	"naive.b.cell"	"serous.cell.of.epithelium.of.trachea"	0.0177570093457944
"140"	"naive.b.cell"	"endothelial.cell"	0.0176470588235294
"277"	"erythroid.progenitor"	"serous.cell.of.epithelium.of.trachea"	0.0171606864274571
"124"	"naive.b.cell"	"double.positive..alpha.beta.thymocyte"	0.0169660678642715
"154"	"monocyte"	"fibroblast"	0.0164917541229385
"275"	"cd24.neutrophil"	"serous.cell.of.epithelium.of.trachea"	0.0164787510841284
"212"	"erythrocyte"	"mucus.secreting.cell"	0.0164113785557987
"53"	"erythroid.progenitor"	"cd4.positive..alpha.beta.t.cell"	0.0164092664092664
"194"	"cd8.positive..alpha.beta.t.cell"	"mast.cell"	0.0162866449511401
"298"	"monocyte"	"smooth.muscle.cell"	0.0161691542288557
"149"	"erythroid.progenitor"	"fibroblast"	0.0160128102481986
"11"	"myeloid.progenitor"	"goblet.cell"	0.0155642023346304
"189"	"nampt.neutrophil"	"macrophage"	0.0153284671532847
"125"	"nampt.neutrophil"	"double.positive..alpha.beta.thymocyte"	0.0152740341419587
"261"	"erythroid.progenitor"	"secretory.cell"	0.0151679306608884
"204"	"naive.b.cell"	"mast.cell"	0.0150976909413854
"3"	"cd24.neutrophil"	"goblet.cell"	0.0150300601202405
"200"	"macrophage"	"mast.cell"	0.0149551345962114
"110"	"neutrophil"	"connective.tissue.cell"	0.0148760330578512
"191"	"nk.cell"	"macrophage"	0.0146955913226032
"292"	"erythrocyte"	"smooth.muscle.cell"	0.0146931719965428
"202"	"monocyte"	"mast.cell"	0.0145502645502645
"104"	"macrophage"	"connective.tissue.cell"	0.0142566191446029
"296"	"macrophage"	"smooth.muscle.cell"	0.0142450142450142
"276"	"erythrocyte"	"serous.cell.of.epithelium.of.trachea"	0.014218009478673
"222"	"neutrophil"	"mucus.secreting.cell"	0.0138528138528139
"101"	"erythroid.progenitor"	"connective.tissue.cell"	0.0138197899391929
"173"	"nampt.neutrophil"	"ionocyte"	0.0136481003319808
"262"	"granulocyte"	"secretory.cell"	0.0135922330097087
"160"	"plasma.cell"	"fibroblast"	0.0134952766531714
"68"	"erythrocyte"	"cd8.positive..alpha.beta.t.cell"	0.0133333333333333
"5"	"erythroid.progenitor"	"goblet.cell"	0.0132743362831858
"20"	"erythrocyte"	"b.cell"	0.013215859030837
"30"	"neutrophil"	"b.cell"	0.013077593722755
"7"	"hematopoietic.stem.cell"	"goblet.cell"	0.0128354725787631
"59"	"myeloid.progenitor"	"cd4.positive..alpha.beta.t.cell"	0.0127659574468085
"27"	"myeloid.progenitor"	"b.cell"	0.0125
"35"	"cd24.neutrophil"	"basal.cell"	0.0125
"6"	"granulocyte"	"goblet.cell"	0.0124826629680999
"219"	"myeloid.progenitor"	"mucus.secreting.cell"	0.0123927550047664
"303"	"nk.cell"	"smooth.muscle.cell"	0.0123626373626374
"162"	"cd8.positive..alpha.beta.t.cell"	"ionocyte"	0.0122217372326495
"166"	"granulocyte"	"ionocyte"	0.0121845082680592
"120"	"macrophage"	"double.positive..alpha.beta.thymocyte"	0.0121693121693122
"228"	"erythrocyte"	"neutrophil"	0.0120967741935484
"60"	"naive.b.cell"	"cd4.positive..alpha.beta.t.cell"	0.0120772946859903
"300"	"naive.b.cell"	"smooth.muscle.cell"	0.0118744698897371
"287"	"nk.cell"	"serous.cell.of.epithelium.of.trachea"	0.0118168389955687
"198"	"granulocyte"	"mast.cell"	0.0118025751072961
"148"	"erythrocyte"	"fibroblast"	0.0117302052785924
"8"	"macrophage"	"goblet.cell"	0.0113065326633166
"130"	"cd8.positive..alpha.beta.t.cell"	"endothelial.cell"	0.0112359550561798
"86"	"granulocyte"	"ciliated.cell"	0.0109649122807018
"36"	"erythrocyte"	"basal.cell"	0.0108991825613079
"93"	"nampt.neutrophil"	"ciliated.cell"	0.0107487027427724
"301"	"nampt.neutrophil"	"smooth.muscle.cell"	0.0107142857142857
"77"	"nampt.neutrophil"	"cd8.positive..alpha.beta.t.cell"	0.0106907894736842
"180"	"erythrocyte"	"macrophage"	0.0105448154657293
"109"	"nampt.neutrophil"	"connective.tissue.cell"	0.0104281009879254
"294"	"granulocyte"	"smooth.muscle.cell"	0.0101729399796541
"239"	"nk.cell"	"neutrophil"	0.0100671140939597
"137"	"memory.b.cell"	"endothelial.cell"	0.0100250626566416
"286"	"neutrophil"	"serous.cell.of.epithelium.of.trachea"	0.0100076982294072
"44"	"naive.b.cell"	"basal.cell"	0.00981266726137377
"12"	"naive.b.cell"	"goblet.cell"	0.00977198697068404
"82"	"cd8.positive..alpha.beta.t.cell"	"ciliated.cell"	0.00966608084358524
"129"	"cd4.positive..alpha.beta.t.cell"	"endothelial.cell"	0.00939368061485909
"302"	"neutrophil"	"smooth.muscle.cell"	0.00926585887384177
"183"	"hematopoietic.stem.cell"	"macrophage"	0.00911577028258888
"10"	"monocyte"	"goblet.cell"	0.00910746812386157
"78"	"neutrophil"	"cd8.positive..alpha.beta.t.cell"	0.00902378999179656
"161"	"cd4.positive..alpha.beta.t.cell"	"ionocyte"	0.00891181988742964
"89"	"memory.b.cell"	"ciliated.cell"	0.00888681010289991
"201"	"memory.b.cell"	"mast.cell"	0.00888324873096447
"4"	"erythrocyte"	"goblet.cell"	0.008859357696567
"14"	"neutrophil"	"goblet.cell"	0.00874890638670166
"257"	"cd4.positive..alpha.beta.t.cell"	"secretory.cell"	0.00872093023255814
"291"	"cd24.neutrophil"	"smooth.muscle.cell"	0.00869565217391304
"52"	"erythrocyte"	"cd4.positive..alpha.beta.t.cell"	0.00862068965517241
"102"	"granulocyte"	"connective.tissue.cell"	0.00852878464818763
"220"	"naive.b.cell"	"mucus.secreting.cell"	0.00851063829787234
"88"	"macrophage"	"ciliated.cell"	0.00847457627118644
"178"	"cd8.positive..alpha.beta.t.cell"	"macrophage"	0.00838574423480084
"121"	"memory.b.cell"	"double.positive..alpha.beta.thymocyte"	0.00835322195704057
"31"	"nk.cell"	"b.cell"	0.00826446280991736
"57"	"memory.b.cell"	"cd4.positive..alpha.beta.t.cell"	0.00823045267489712
"119"	"hematopoietic.stem.cell"	"double.positive..alpha.beta.thymocyte"	0.00816326530612245
"40"	"macrophage"	"basal.cell"	0.00800800800800801
"76"	"naive.b.cell"	"cd8.positive..alpha.beta.t.cell"	0.00800800800800801
"234"	"monocyte"	"neutrophil"	0.00789473684210526
"47"	"nk.cell"	"basal.cell"	0.00784593437945792
"29"	"nampt.neutrophil"	"b.cell"	0.0078125
"285"	"nampt.neutrophil"	"serous.cell.of.epithelium.of.trachea"	0.00768639508070715
"156"	"naive.b.cell"	"fibroblast"	0.00764818355640535
"259"	"cd24.neutrophil"	"secretory.cell"	0.00750938673341677
"70"	"granulocyte"	"cd8.positive..alpha.beta.t.cell"	0.00749063670411985
"246"	"granulocyte"	"plasma.cell"	0.00749063670411985
"46"	"neutrophil"	"basal.cell"	0.00743494423791822
"67"	"cd24.neutrophil"	"cd8.positive..alpha.beta.t.cell"	0.00739371534195933
"1"	"cd4.positive..alpha.beta.t.cell"	"goblet.cell"	0.00725952813067151
"208"	"plasma.cell"	"mast.cell"	0.00719424460431655
"157"	"nampt.neutrophil"	"fibroblast"	0.00710339384372534
"187"	"myeloid.progenitor"	"macrophage"	0.00706436420722135
"169"	"memory.b.cell"	"ionocyte"	0.00693481276005548
"213"	"erythroid.progenitor"	"mucus.secreting.cell"	0.00692640692640693
"9"	"memory.b.cell"	"goblet.cell"	0.0069204152249135
"72"	"macrophage"	"cd8.positive..alpha.beta.t.cell"	0.00684931506849315
"22"	"granulocyte"	"b.cell"	0.00681198910081744
"278"	"granulocyte"	"serous.cell.of.epithelium.of.trachea"	0.00679501698754247
"304"	"plasma.cell"	"smooth.muscle.cell"	0.00678733031674208
"134"	"granulocyte"	"endothelial.cell"	0.00667655786350148
"33"	"cd4.positive..alpha.beta.t.cell"	"basal.cell"	0.00664893617021277
"193"	"cd4.positive..alpha.beta.t.cell"	"mast.cell"	0.00655307994757536
"223"	"nk.cell"	"mucus.secreting.cell"	0.00655200655200655
"97"	"cd4.positive..alpha.beta.t.cell"	"connective.tissue.cell"	0.00647249190938511
"98"	"cd8.positive..alpha.beta.t.cell"	"connective.tissue.cell"	0.00641482537419815
"288"	"plasma.cell"	"serous.cell.of.epithelium.of.trachea"	0.00640204865556978
"96"	"plasma.cell"	"ciliated.cell"	0.00639853747714808
"177"	"cd4.positive..alpha.beta.t.cell"	"macrophage"	0.00633713561470215
"280"	"macrophage"	"serous.cell.of.epithelium.of.trachea"	0.00626304801670146
"147"	"cd24.neutrophil"	"fibroblast"	0.00619469026548673
"247"	"hematopoietic.stem.cell"	"plasma.cell"	0.00595238095238095
"150"	"granulocyte"	"fibroblast"	0.00588928150765607
"274"	"cd8.positive..alpha.beta.t.cell"	"serous.cell.of.epithelium.of.trachea"	0.00570125427594071
"215"	"hematopoietic.stem.cell"	"mucus.secreting.cell"	0.00567536889897843
"81"	"cd4.positive..alpha.beta.t.cell"	"ciliated.cell"	0.0056657223796034
"144"	"plasma.cell"	"endothelial.cell"	0.00561347233360064
"244"	"erythrocyte"	"plasma.cell"	0.00559440559440559
"309"	"erythroid.progenitor"	"t.cell"	0.00556173526140156
"158"	"neutrophil"	"fibroblast"	0.00551181102362205
"42"	"monocyte"	"basal.cell"	0.00531914893617021
"236"	"naive.b.cell"	"neutrophil"	0.005273566249176
"13"	"nampt.neutrophil"	"goblet.cell"	0.00523560209424084
"24"	"macrophage"	"b.cell"	0.00493827160493827
"255"	"nk.cell"	"plasma.cell"	0.00493096646942801
"19"	"cd24.neutrophil"	"b.cell"	0.00491642084562439
"243"	"cd24.neutrophil"	"plasma.cell"	0.00489596083231334
"48"	"plasma.cell"	"basal.cell"	0.00484848484848485
"297"	"memory.b.cell"	"smooth.muscle.cell"	0.00475624256837099
"32"	"plasma.cell"	"b.cell"	0.004739336492891
"90"	"monocyte"	"ciliated.cell"	0.0047192071731949
"128"	"plasma.cell"	"double.positive..alpha.beta.thymocyte"	0.00463231036479444
"23"	"hematopoietic.stem.cell"	"b.cell"	0.00458190148911798
"112"	"plasma.cell"	"connective.tissue.cell"	0.00458015267175573
"73"	"memory.b.cell"	"cd8.positive..alpha.beta.t.cell"	0.00457317073170732
"159"	"nk.cell"	"fibroblast"	0.00451467268623025
"45"	"nampt.neutrophil"	"basal.cell"	0.00445103857566766
"51"	"cd24.neutrophil"	"cd4.positive..alpha.beta.t.cell"	0.00436205016357688
"181"	"erythroid.progenitor"	"macrophage"	0.00435413642960813
"21"	"erythroid.progenitor"	"b.cell"	0.00435161009573542
"221"	"nampt.neutrophil"	"mucus.secreting.cell"	0.00429184549356223
"153"	"memory.b.cell"	"fibroblast"	0.0042674253200569
"310"	"granulocyte"	"t.cell"	0.00410677618069815
"176"	"plasma.cell"	"ionocyte"	0.0040650406504065
"258"	"cd8.positive..alpha.beta.t.cell"	"secretory.cell"	0.00389863547758285
"242"	"cd8.positive..alpha.beta.t.cell"	"plasma.cell"	0.00378071833648393
"315"	"myeloid.progenitor"	"t.cell"	0.00375
"267"	"myeloid.progenitor"	"secretory.cell"	0.00360144057623049
"75"	"myeloid.progenitor"	"cd8.positive..alpha.beta.t.cell"	0.0035810205908684
"146"	"cd8.positive..alpha.beta.t.cell"	"fibroblast"	0.00355450236966825
"218"	"monocyte"	"mucus.secreting.cell"	0.00350877192982456
"233"	"memory.b.cell"	"neutrophil"	0.00341005967604433
"264"	"macrophage"	"secretory.cell"	0.00336134453781513
"69"	"erythroid.progenitor"	"cd8.positive..alpha.beta.t.cell"	0.00328407224958949
"314"	"monocyte"	"t.cell"	0.00320512820512821
"270"	"neutrophil"	"secretory.cell"	0.00318471337579618
"245"	"erythroid.progenitor"	"plasma.cell"	0.00315789473684211
"254"	"neutrophil"	"plasma.cell"	0.00313152400835073
"224"	"plasma.cell"	"mucus.secreting.cell"	0.0031104199066874
"290"	"cd8.positive..alpha.beta.t.cell"	"smooth.muscle.cell"	0.00305188199389624
"263"	"hematopoietic.stem.cell"	"secretory.cell"	0.00303951367781155
"122"	"monocyte"	"double.positive..alpha.beta.thymocyte"	0.00301750150875075
"308"	"erythrocyte"	"t.cell"	0.0029940119760479
"145"	"cd4.positive..alpha.beta.t.cell"	"fibroblast"	0.00295420974889217
"260"	"erythrocyte"	"secretory.cell"	0.00285306704707561
"61"	"nampt.neutrophil"	"cd4.positive..alpha.beta.t.cell"	0.00283822138126774
"62"	"neutrophil"	"cd4.positive..alpha.beta.t.cell"	0.00283553875236295
"282"	"monocyte"	"serous.cell.of.epithelium.of.trachea"	0.00281293952180028
"273"	"cd4.positive..alpha.beta.t.cell"	"serous.cell.of.epithelium.of.trachea"	0.00280898876404494
"241"	"cd4.positive..alpha.beta.t.cell"	"plasma.cell"	0.00276243093922652
"18"	"cd8.positive..alpha.beta.t.cell"	"b.cell"	0.00273972602739726
"210"	"cd8.positive..alpha.beta.t.cell"	"mucus.secreting.cell"	0.0027063599458728
"55"	"hematopoietic.stem.cell"	"cd4.positive..alpha.beta.t.cell"	0.00258397932816537
"15"	"nk.cell"	"goblet.cell"	0.00248344370860927
"272"	"plasma.cell"	"secretory.cell"	0.00239234449760766
"105"	"memory.b.cell"	"connective.tissue.cell"	0.00236593059936909
"251"	"myeloid.progenitor"	"plasma.cell"	0.00235294117647059
"170"	"monocyte"	"ionocyte"	0.00233100233100233
"192"	"plasma.cell"	"macrophage"	0.00231481481481481
"58"	"monocyte"	"cd4.positive..alpha.beta.t.cell"	0.00216919739696312
