"Trachea"	"Tongue"	"value"
"6"	"ciliated.cell"	"basal.cell"	0.0150909897913893
"54"	"mucus.secreting.cell"	"endothelial.cell.of.artery"	0.0150554675118859
"166"	"ciliated.cell"	"pericyte.cell"	0.0148654077942949
"146"	"ciliated.cell"	"keratinocyte"	0.0147633521493704
"63"	"basal.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0146818923327896
"73"	"mast.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0145513338722716
"175"	"neutrophil"	"pericyte.cell"	0.0144356955380577
"235"	"neutrophil"	"vein.endothelial.cell"	0.0138648180242634
"35"	"neutrophil"	"capillary.endothelial.cell"	0.0137382501807664
"61"	"goblet.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0136186770428016
"42"	"b.cell"	"endothelial.cell.of.artery"	0.0135458167330677
"158"	"serous.cell.of.epithelium.of.trachea"	"keratinocyte"	0.0132013201320132
"11"	"ionocyte"	"basal.cell"	0.0131694468832309
"4"	"cd4.positive..alpha.beta.t.cell"	"basal.cell"	0.0130718954248366
"136"	"plasma.cell"	"immune.cell"	0.012987012987013
"99"	"smooth.muscle.cell"	"epithelial.cell"	0.012591815320042
"182"	"b.cell"	"schwann.cell"	0.0125379939209726
"74"	"mucus.secreting.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0124164278892073
"185"	"cd8.positive..alpha.beta.t.cell"	"schwann.cell"	0.0122222222222222
"115"	"neutrophil"	"fibroblast"	0.0121428571428571
"213"	"mast.cell"	"tongue.muscle.cell"	0.0117762512266928
"32"	"macrophage"	"capillary.endothelial.cell"	0.011605415860735
"233"	"mast.cell"	"vein.endothelial.cell"	0.0115532734274711
"26"	"ciliated.cell"	"capillary.endothelial.cell"	0.0114649681528662
"163"	"basal.cell"	"pericyte.cell"	0.0114035087719298
"111"	"ionocyte"	"fibroblast"	0.0112923462986198
"65"	"cd8.positive..alpha.beta.t.cell"	"endothelial.cell.of.lymphatic.vessel"	0.010840108401084
"64"	"cd4.positive..alpha.beta.t.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0106382978723404
"227"	"connective.tissue.cell"	"vein.endothelial.cell"	0.0103916866506795
"44"	"cd4.positive..alpha.beta.t.cell"	"endothelial.cell.of.artery"	0.0103537532355479
"25"	"cd8.positive..alpha.beta.t.cell"	"capillary.endothelial.cell"	0.0102857142857143
"50"	"fibroblast"	"endothelial.cell.of.artery"	0.0101966496722505
"15"	"neutrophil"	"basal.cell"	0.0100463678516229
"161"	"goblet.cell"	"pericyte.cell"	0.00955414012738853
"196"	"plasma.cell"	"schwann.cell"	0.00942236788201557
"38"	"serous.cell.of.epithelium.of.trachea"	"capillary.endothelial.cell"	0.00940438871473354
"172"	"macrophage"	"pericyte.cell"	0.00932994062765055
"153"	"mast.cell"	"keratinocyte"	0.0093167701863354
"218"	"serous.cell.of.epithelium.of.trachea"	"tongue.muscle.cell"	0.00929752066115703
"23"	"basal.cell"	"capillary.endothelial.cell"	0.009
"113"	"mast.cell"	"fibroblast"	0.0087719298245614
"21"	"goblet.cell"	"capillary.endothelial.cell"	0.00875
"212"	"macrophage"	"tongue.muscle.cell"	0.00858778625954199
"215"	"neutrophil"	"tongue.muscle.cell"	0.00856531049250535
"95"	"neutrophil"	"epithelial.cell"	0.00855365474339036
"12"	"macrophage"	"basal.cell"	0.00848356309650053
"106"	"ciliated.cell"	"fibroblast"	0.00841396718552798
"168"	"double.positive..alpha.beta.thymocyte"	"pericyte.cell"	0.00832517140058766
"131"	"ionocyte"	"immune.cell"	0.00827635840230299
"238"	"serous.cell.of.epithelium.of.trachea"	"vein.endothelial.cell"	0.00824175824175824
"184"	"cd4.positive..alpha.beta.t.cell"	"schwann.cell"	0.00786163522012579
"16"	"plasma.cell"	"basal.cell"	0.00775193798449612
"57"	"secretory.cell"	"endothelial.cell.of.artery"	0.00764087870105062
"13"	"mast.cell"	"basal.cell"	0.00762527233115468
"30"	"fibroblast"	"capillary.endothelial.cell"	0.00757575757575758
"232"	"macrophage"	"vein.endothelial.cell"	0.00742574257425743
"162"	"b.cell"	"pericyte.cell"	0.00734522560335782
"230"	"fibroblast"	"vein.endothelial.cell"	0.00720461095100865
"86"	"ciliated.cell"	"epithelial.cell"	0.0070765148164529
"24"	"cd4.positive..alpha.beta.t.cell"	"capillary.endothelial.cell"	0.00704225352112676
"2"	"b.cell"	"basal.cell"	0.00698324022346369
"234"	"mucus.secreting.cell"	"vein.endothelial.cell"	0.0067911714770798
"205"	"cd8.positive..alpha.beta.t.cell"	"tongue.muscle.cell"	0.00674915635545557
"59"	"smooth.muscle.cell"	"endothelial.cell.of.artery"	0.00659630606860158
"39"	"smooth.muscle.cell"	"capillary.endothelial.cell"	0.00658513640639699
"148"	"double.positive..alpha.beta.thymocyte"	"keratinocyte"	0.00645855758880517
"169"	"endothelial.cell"	"pericyte.cell"	0.00637755102040816
"174"	"mucus.secreting.cell"	"pericyte.cell"	0.00623052959501558
"22"	"b.cell"	"capillary.endothelial.cell"	0.0061652281134402
"126"	"ciliated.cell"	"immune.cell"	0.00615050651230101
"34"	"mucus.secreting.cell"	"capillary.endothelial.cell"	0.00609756097560976
"8"	"double.positive..alpha.beta.thymocyte"	"basal.cell"	0.00608070757324489
"214"	"mucus.secreting.cell"	"tongue.muscle.cell"	0.00601684717208183
"45"	"cd8.positive..alpha.beta.t.cell"	"endothelial.cell.of.artery"	0.00600600600600601
"150"	"fibroblast"	"keratinocyte"	0.00567536889897843
"56"	"plasma.cell"	"endothelial.cell.of.artery"	0.00563380281690141
"40"	"t.cell"	"capillary.endothelial.cell"	0.00532859680284192
"142"	"b.cell"	"keratinocyte"	0.00521512385919166
"231"	"ionocyte"	"vein.endothelial.cell"	0.00509259259259259
"37"	"secretory.cell"	"capillary.endothelial.cell"	0.00503355704697987
"201"	"goblet.cell"	"tongue.muscle.cell"	0.00491400491400491
"117"	"secretory.cell"	"fibroblast"	0.00490998363338789
"165"	"cd8.positive..alpha.beta.t.cell"	"pericyte.cell"	0.00488758553274682
"216"	"plasma.cell"	"tongue.muscle.cell"	0.00481540930979133
"10"	"fibroblast"	"basal.cell"	0.00480769230769231
"145"	"cd8.positive..alpha.beta.t.cell"	"keratinocyte"	0.00479041916167665
"76"	"plasma.cell"	"endothelial.cell.of.lymphatic.vessel"	0.00472813238770686
"98"	"serous.cell.of.epithelium.of.trachea"	"epithelial.cell"	0.00466744457409568
"200"	"t.cell"	"schwann.cell"	0.0045757071547421
"93"	"mast.cell"	"epithelial.cell"	0.00439077936333699
"149"	"endothelial.cell"	"keratinocyte"	0.00433839479392625
"152"	"macrophage"	"keratinocyte"	0.00401203610832497
"176"	"plasma.cell"	"pericyte.cell"	0.00396825396825397
"103"	"basal.cell"	"fibroblast"	0.00392156862745098
"101"	"goblet.cell"	"fibroblast"	0.00366300366300366
"108"	"double.positive..alpha.beta.thymocyte"	"fibroblast"	0.00364014560582423
"77"	"secretory.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0036101083032491
"239"	"smooth.muscle.cell"	"vein.endothelial.cell"	0.00359281437125748
"114"	"mucus.secreting.cell"	"fibroblast"	0.003584229390681
"7"	"connective.tissue.cell"	"basal.cell"	0.00358166189111748
"156"	"plasma.cell"	"keratinocyte"	0.00352112676056338
"164"	"cd4.positive..alpha.beta.t.cell"	"pericyte.cell"	0.00350467289719626
"221"	"goblet.cell"	"vein.endothelial.cell"	0.00349040139616056
"220"	"t.cell"	"tongue.muscle.cell"	0.00347826086956522
"209"	"endothelial.cell"	"tongue.muscle.cell"	0.00347222222222222
"222"	"b.cell"	"vein.endothelial.cell"	0.00343642611683849
"217"	"secretory.cell"	"tongue.muscle.cell"	0.00328947368421053
"92"	"macrophage"	"epithelial.cell"	0.00319829424307036
"118"	"serous.cell.of.epithelium.of.trachea"	"fibroblast"	0.00306748466257669
"130"	"fibroblast"	"immune.cell"	0.00301659125188537
"240"	"t.cell"	"vein.endothelial.cell"	0.003003003003003
"60"	"t.cell"	"endothelial.cell.of.artery"	0.00294406280667321
"159"	"smooth.muscle.cell"	"keratinocyte"	0.00293542074363992
"226"	"ciliated.cell"	"vein.endothelial.cell"	0.00279850746268657
"223"	"basal.cell"	"vein.endothelial.cell"	0.00258064516129032
"5"	"cd8.positive..alpha.beta.t.cell"	"basal.cell"	0.00254129606099111
"134"	"mucus.secreting.cell"	"immune.cell"	0.00245700245700246
"102"	"b.cell"	"fibroblast"	0.00241254523522316
"228"	"double.positive..alpha.beta.thymocyte"	"vein.endothelial.cell"	0.00238237045860631
"138"	"serous.cell.of.epithelium.of.trachea"	"immune.cell"	0.00220264317180617
"100"	"t.cell"	"epithelial.cell"	0.00217391304347826
"87"	"connective.tissue.cell"	"epithelial.cell"	0.00216138328530259
"20"	"t.cell"	"basal.cell"	0.00212765957446809
"19"	"smooth.muscle.cell"	"basal.cell"	0.00205549845837616
"197"	"secretory.cell"	"schwann.cell"	0.00204666393778142
"36"	"plasma.cell"	"capillary.endothelial.cell"	0.00162866449511401
"116"	"plasma.cell"	"fibroblast"	0.00158982511923688
"127"	"connective.tissue.cell"	"immune.cell"	0.00158562367864693
"225"	"cd8.positive..alpha.beta.t.cell"	"vein.endothelial.cell"	0.00153609831029186
"123"	"basal.cell"	"immune.cell"	0.00142247510668563
"94"	"mucus.secreting.cell"	"epithelial.cell"	0.00139082058414465
"109"	"endothelial.cell"	"fibroblast"	0.00138217000691085
"147"	"connective.tissue.cell"	"keratinocyte"	0.00138026224982747
"85"	"cd8.positive..alpha.beta.t.cell"	"epithelial.cell"	0.0012853470437018
"80"	"t.cell"	"endothelial.cell.of.lymphatic.vessel"	0.00125
"90"	"fibroblast"	"epithelial.cell"	0.00121212121212121
"105"	"cd8.positive..alpha.beta.t.cell"	"fibroblast"	0.00111358574610245
"89"	"endothelial.cell"	"epithelial.cell"	0.000753012048192771
"9"	"endothelial.cell"	"basal.cell"	0.000747384155455904
"129"	"endothelial.cell"	"immune.cell"	0.000545851528384279
"104"	"cd4.positive..alpha.beta.t.cell"	"fibroblast"	0
"120"	"t.cell"	"fibroblast"	0
"121"	"goblet.cell"	"immune.cell"	0
"137"	"secretory.cell"	"immune.cell"	0
"139"	"smooth.muscle.cell"	"immune.cell"	0
"144"	"cd4.positive..alpha.beta.t.cell"	"keratinocyte"	0
"160"	"t.cell"	"keratinocyte"	0
"177"	"secretory.cell"	"pericyte.cell"	0
"180"	"t.cell"	"pericyte.cell"	0
"224"	"cd4.positive..alpha.beta.t.cell"	"vein.endothelial.cell"	0
"236"	"plasma.cell"	"vein.endothelial.cell"	0
"237"	"secretory.cell"	"vein.endothelial.cell"	0
