"Tongue"	"Spleen"	"value"
"70"	"schwann.cell"	"classical.monocyte"	0.0161974546856922
"177"	"pericyte.cell"	"naive.b.cell"	0.0160550458715596
"225"	"pericyte.cell"	"nk.cell"	0.0159914712153518
"83"	"tongue.muscle.cell"	"endothelial.cell"	0.0158730158730159
"44"	"keratinocyte"	"cd8.positive..alpha.beta.t.cell"	0.0157103825136612
"121"	"basal.cell"	"intermediate.monocyte"	0.0152173913043478
"238"	"schwann.cell"	"plasma.cell"	0.0151757188498403
"57"	"pericyte.cell"	"cd141.positive.myeloid.dendritic.cell"	0.0149425287356322
"73"	"basal.cell"	"endothelial.cell"	0.014937106918239
"64"	"endothelial.cell.of.lymphatic.vessel"	"classical.monocyte"	0.0149105367793241
"226"	"schwann.cell"	"nk.cell"	0.0148911798396334
"178"	"schwann.cell"	"naive.b.cell"	0.0148844496670584
"251"	"tongue.muscle.cell"	"plasmacytoid.dendritic.cell"	0.0148011100832562
"172"	"endothelial.cell.of.lymphatic.vessel"	"naive.b.cell"	0.0145379023883697
"268"	"endothelial.cell.of.lymphatic.vessel"	"regulatory.t.cell"	0.0144124168514412
"53"	"epithelial.cell"	"cd141.positive.myeloid.dendritic.cell"	0.0144
"253"	"basal.cell"	"platelet"	0.0143646408839779
"4"	"endothelial.cell.of.lymphatic.vessel"	"cd1c.positive.myeloid.dendritic.cell"	0.0139026812313803
"244"	"endothelial.cell.of.lymphatic.vessel"	"plasmacytoid.dendritic.cell"	0.0138142747505756
"102"	"fibroblast"	"hematopoietic.stem.cell"	0.0136674259681093
"227"	"tongue.muscle.cell"	"nk.cell"	0.0135970333745365
"101"	"epithelial.cell"	"hematopoietic.stem.cell"	0.0133444537114262
"143"	"tongue.muscle.cell"	"macrophage"	0.0132042253521127
"275"	"tongue.muscle.cell"	"regulatory.t.cell"	0.0131964809384164
"62"	"capillary.endothelial.cell"	"classical.monocyte"	0.0128865979381443
"31"	"immune.cell"	"cd8.positive..alpha.beta.memory.t.cell"	0.0128504672897196
"171"	"endothelial.cell.of.artery"	"naive.b.cell"	0.0126796280642434
"85"	"basal.cell"	"erythrocyte"	0.0125523012552301
"212"	"keratinocyte"	"neutrophil"	0.0125260960334029
"58"	"schwann.cell"	"cd141.positive.myeloid.dendritic.cell"	0.0125195618153365
"165"	"pericyte.cell"	"memory.b.cell"	0.0124137931034483
"274"	"schwann.cell"	"regulatory.t.cell"	0.0124099279423539
"179"	"tongue.muscle.cell"	"naive.b.cell"	0.0120967741935484
"69"	"pericyte.cell"	"classical.monocyte"	0.0119695321001088
"264"	"vein.endothelial.cell"	"platelet"	0.0119118522930316
"194"	"capillary.endothelial.cell"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	0.0117647058823529
"105"	"pericyte.cell"	"hematopoietic.stem.cell"	0.0117484450587422
"61"	"basal.cell"	"classical.monocyte"	0.0117130307467057
"133"	"basal.cell"	"macrophage"	0.0116166505324298
"205"	"basal.cell"	"neutrophil"	0.0115190784737221
"286"	"schwann.cell"	"type.i.nk.t.cell"	0.0113544201135442
"218"	"capillary.endothelial.cell"	"nk.cell"	0.01125
"216"	"vein.endothelial.cell"	"neutrophil"	0.0111642743221691
"104"	"keratinocyte"	"hematopoietic.stem.cell"	0.0111022997620936
"257"	"epithelial.cell"	"platelet"	0.0110741971207087
"51"	"endothelial.cell.of.artery"	"cd141.positive.myeloid.dendritic.cell"	0.0109983079526227
"263"	"tongue.muscle.cell"	"platelet"	0.0109318063508589
"170"	"capillary.endothelial.cell"	"naive.b.cell"	0.0108991825613079
"248"	"keratinocyte"	"plasmacytoid.dendritic.cell"	0.0106796116504854
"267"	"endothelial.cell.of.artery"	"regulatory.t.cell"	0.0106761565836299
"161"	"epithelial.cell"	"memory.b.cell"	0.0104166666666667
"80"	"keratinocyte"	"endothelial.cell"	0.0103646833013436
"2"	"capillary.endothelial.cell"	"cd1c.positive.myeloid.dendritic.cell"	0.0102827763496144
"7"	"immune.cell"	"cd1c.positive.myeloid.dendritic.cell"	0.010230179028133
"163"	"immune.cell"	"memory.b.cell"	0.0102145045965271
"154"	"schwann.cell"	"mature.nk.t.cell"	0.010129659643436
"246"	"fibroblast"	"plasmacytoid.dendritic.cell"	0.0100917431192661
"279"	"endothelial.cell.of.artery"	"type.i.nk.t.cell"	0.0100917431192661
"215"	"tongue.muscle.cell"	"neutrophil"	0.0100267379679144
