"1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11" "12" "13" "14" "15"
"0610007C21Rik" -0.709216039338473 0.287603629334374 2.58978477587075 1.76305971723418 -0.792450150657814 -0.440916072052737 -1.15866719722043 0.515618031757464 0.251604341754648 -0.320749914961823 -0.0349220811902628 -0.620330064951783 -0.3216609799233 -0.46136835534571 -0.547389640309086
"0610007L01Rik" 0.248259655970879 -0.326845946521348 -0.356830012900419 3.56535680010555 -0.166581281335771 -0.307021625736609 -0.314069879181799 -0.169474535478197 -0.385807706198345 -0.14397281751298 -0.299322264400733 -0.217787752437722 -0.45479084447594 -0.382660460742901 -0.288451329153667
"0610007P08Rik" -1.77975692116386 -0.995299390348095 0.402065392457564 1.79540766045855 0.253184532464476 -1.02559639562569 -1.16225047648929 0.302561086683773 0.583087732488302 -0.727365594140649 -0.098208400533389 1.47566360279591 0.862256094344779 -0.157452217142398 0.271703293750019
"0610007P14Rik" -1.30460449927942 -0.59166754791875 2.49415193783108 -0.762404322046045 1.47881060144518 -0.939670488603525 -0.583784837994334 -0.289647919257954 -0.000217454521055588 1.16279667849893 0.137838523364972 -0.0811023460665311 -0.390134773201831 -0.348036781761608 0.0176732295108928
"0610007P22Rik" -1.79443955718805 -0.405855225189634 -1.07372964077921 -0.459176671936579 0.424983768953876 -0.65708220084044 -0.802404541507743 1.04437336605783 -1.00903788398033 1.82503420575027 -0.0318201253609742 0.609977022269438 1.2754347293222 0.545313437695973 0.508429316733369
"0610009B22Rik" 1.05236250034533 0.835702129374997 0.750621835572914 2.22607652433299 0.563262633676413 0.39725213459888 -0.338316838787452 -0.692477019617483 -0.023271579695357 -0.13942532520848 -0.273663757622447 -1.26491413254306 -0.385004678867533 -1.57311558773688 -1.13508883782283
"0610009D07Rik" 1.24876982099626 0.397150399787391 -0.346110157309226 -1.59325824009302 2.31959167430111 -0.584666479417467 -0.856295035592112 0.723610132032735 0.273940935050278 -0.632809198125136 -0.0597852068477316 0.9858272960005 -0.548228993689134 -0.742829284119623 -0.584907662974818
"0610009L18Rik" 3.45629577967917 -0.352520951557698 -0.0233325586670849 -0.422708107683943 -0.620713694315903 -0.057720794044509 -0.425961108264501 0.0893421527025849 0.565576314020307 -0.301440237194366 -0.34514970262603 -0.235620963901606 -0.457769456848512 -0.417014681067912 -0.45126199023
"0610009O20Rik" -2.05522482560736 -1.51619262134344 0.784257378175598 -0.912108605705389 1.61375011838667 1.56447863500173 -0.434854533873544 -0.10715558339496 -0.0814632501673863 0.820256563240581 0.210456022861883 -8.71717095492084e-05 0.211034886105664 -0.0977779202558286 0.000630908285326618
"0610010K14Rik" -1.91492869147014 -0.95155426027525 -0.0134731768372556 -0.90335772736496 1.9641364802121 -0.113344931407939 -1.06599018607979 0.177969093748019 0.38408207644042 -0.039528959734663 0.375573758782631 1.77950588408016 -0.0730063462969832 0.0685548672639087 0.32536211893974
"0610011F06Rik" -2.11295310647583 -0.722310609471229 -1.11443055903643 1.66960395020326 -0.110744137930031 -1.05386630298463 -0.279718938205021 0.589488844901601 0.477132254543993 0.648812316673442 0.185197967506459 1.05229027819839 1.23897840793411 -0.255687068965902 -0.211793296892182
"0610012G03Rik" 0.987371205791388 1.30367772623876 1.27822174491608 -2.43823445683032 0.327625372038126 0.823809532225824 -0.711219411238882 -0.105471545976806 -0.331059781367782 0.995453354040099 -0.483832114647921 -0.75971010474668 -0.00506049445910328 -0.173076434091499 -0.708494591891285
"0610030E20Rik" -2.06990524281156 -1.24964632035793 -0.880250651474087 -0.757989733866464 -0.00884473932916524 1.19441235352055 -0.476141566000339 0.293054897668099 0.469419006506244 1.99970783454399 0.710104056005375 0.399589808130389 -0.0799170643110765 0.0390613261388516 0.41734603563712
"0610031J06Rik" -1.31007345927671 0.310765410952183 0.571369707283395 2.31426830893837 -0.936425681402394 -0.826297200999338 -0.597528175539155 0.889463928125553 -0.146222661387904 0.974038514203862 -0.275670187234272 1.09928979801181 -0.430142282665562 -0.912711316342524 -0.724124702667318
"0610037L13Rik" 2.64241921588427 0.0835336132872512 1.93984414980505 -1.16293330413555 -0.357586541646562 -0.238507648196173 -0.11129823632836 -0.735027744908859 -0.720964436843777 0.167438310258158 -0.0637270895395718 -0.555404313043144 -0.273228160312887 -0.437608931324584 -0.176948882955264
"0610037P05Rik" 2.58585413836832 -1.325693778864 -0.0630862892520972 -1.05927744398788 -0.00624848054851065 0.0454065820423694 -1.52695669326165 0.669097409496777 0.39616832693223 -0.657786631759414 0.0138573370974729 0.949730452325601 0.061475220128015 -0.314636782299838 0.232096633582594
