"1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11" "12" "13" "14" "15"
"0610007C21Rik" 0.515999001663994 0.778527773082096 1.38484485025894 1.16711327777364 0.494077936428758 0.586660188432931 0.397628684545064 0.838579097122946 0.769046771615887 0.618307912267587 0.693585349496579 0.539408577523494 0.618067968401575 0.581273744952388 0.55861863192948
"0610007L01Rik" 0.657989272934276 0.250649161747398 0.229411822240085 3.0074477265715 0.364162621280951 0.264690480415945 0.259698290582295 0.362113365528685 0.208887284209565 0.38017591367009 0.270143841831714 0.327893717723472 0.160027389445464 0.211116438834729 0.27784358941382
"0610007P08Rik" 0 0.0479421652278201 0.133342190938759 0.218496380435726 0.124243328975351 0.0460905620805903 0.0377389403975074 0.12726097980764 0.144405381226008 0.064316953949061 0.102767930509671 0.198955204730351 0.161466771046034 0.0991472413926422 0.125375104091899
"0610007P14Rik" 0.200084035294824 0.384762565301834 1.18411039740342 0.340535068881865 0.921097314547739 0.294616204671877 0.386804495206764 0.462997451216903 0.537971251725968 0.839237359554416 0.573733144844303 0.517018904057797 0.43696742929706 0.447872454153171 0.542605638008702
"0610007P22Rik" 0 0.201690098213723 0.104682193565374 0.193945226272231 0.322368399464198 0.165199701321497 0.144091817207859 0.412333946239931 0.114078588499203 0.525723934734598 0.256018218070333 0.349238432900622 0.445895313724986 0.339846129946502 0.334488758551731
"0610009B22Rik" 0.295168098231943 0.276239196266581 0.268806011631333 0.397711621054928 0.252437056159117 0.237933266434278 0.173669031476892 0.142727224662187 0.201193496598494 0.191045526981898 0.179317557922453 0.0927152822687778 0.16959006888723 0.0657887377197304 0.104057690044493
"0610009D07Rik" 2.39958333122826 2.07055002035964 1.78338244779253 1.30153192559646 2.81330811364719 1.69121337022441 1.58626644095201 2.19668162784869 2.02294657555414 1.67261285720638 1.89400750411277 2.29799235360037 1.70529142700698 1.63010528603635 1.6911201860832
"0610009L18Rik" 0.630987410652587 0.0776187906790316 0.125445330924783 0.0674215634386346 0.0386540784286639 0.120449193883568 0.0669489472512308 0.141815414847489 0.211005680283829 0.0850401150453844 0.078689731639605 0.09460274906003 0.0623276322335729 0.0682487399219752 0.0632730775191591
"0610009O20Rik" 0 0.0305699396303458 0.161034533492523 0.0648291392544752 0.208077257083945 0.205282941158736 0.0918954778680637 0.11048015064608 0.111937230704594 0.163076142334208 0.128492743497425 0.116552282989285 0.128525572360481 0.111011982684629 0.116593007201901
"0610010K14Rik" 0.273620269789586 0.569608195751938 0.857824973445469 0.584416136831503 1.46542733634723 0.827140296189781 0.534448810950273 0.916643848824772 0.979970165452638 0.849819573998067 0.977356063172765 1.40870128524112 0.83953395514172 0.883027334913728 0.961928999037554
"0610011F06Rik" 0 0.279220409207903 0.200488533106021 0.759481413442439 0.402013895534822 0.212648938382417 0.368086259222662 0.542610303618324 0.520050764984613 0.554521577795149 0.461434685536432 0.63553397441472 0.673018184836411 0.372911502502247 0.381724721590907
"0610012G03Rik" 0.977743562506455 1.03342567376166 1.02894444213192 0.374705233252995 0.861602925053745 0.948950418148622 0.678726294127817 0.785361212618968 0.745649008130931 0.979166331399519 0.718755202570457 0.670190067347148 0.803037419021394 0.77346015254574 0.679205967116691
"0610030E20Rik" 0 0.145459686501014 0.210966048845659 0.232647050124297 0.365495828804128 0.578874061841191 0.282628275584248 0.41903285882025 0.450308188206353 0.721680223412661 0.492989798716483 0.437925106442383 0.352892298592177 0.373991196637044 0.441073886926043
"0610031J06Rik" 0.389116964742565 0.888367089327093 0.968638317886813 1.50548523092485 0.50420780016172 0.538129529564573 0.608594871036764 1.0666175694349 0.747605810559628 1.09266819877988 0.707733436696314 1.13124804789015 0.660153005164576 0.511512289169262 0.569600660630285
"0610037L13Rik" 0.778930694330429 0.332422697741266 0.656336161425109 0.114922765134559 0.255450254567292 0.276228705193075 0.298425875548301 0.189589351943193 0.192043302797105 0.347063492199165 0.306726714564533 0.220932409491929 0.270170213836505 0.241486896118932 0.286970287744606
"0610037P05Rik" 0.783495998691702 0.142642054712676 0.349503125198492 0.186290748927473 0.358815227375319 0.367278207067325 0.109667862603146 0.46946146930907 0.424745749934264 0.252069559754366 0.362109292233527 0.515439377828452 0.369910834944947 0.308289997048044 0.397864833733491
"0610040J01Rik" 0.494783655610533 0.0747267950552915 0 0 0.00363450673383235 0.0234516421400302 0.0860121129255274 0 0.0286225402504472 0 0.00134885266896165 0 0 0 0
"0910001L09Rik" 1.76056583919299 2.25662943941565 2.27178927465534 1.52273249068122 1.23657270645784 1.0284842065015 0.915086835895685 1.68207535363745 1.86012645897739 1.70488829253899 1.11679285508324 1.66540877234732 1.06817368150417 0.866862124152761 0.742499702173696
"1100001G20Rik" 0 0.0361861966640642 0.0397886427298192 0 0.60035359612933 0 0.0512920418139282 0.0236170448936406 3.08575180419002 0 0.0835828868909605 0.0266892991923818 0 0.00935182492114824 0.00812688922729062
"1110001A16Rik" 0.152984732123734 0.245208601176017 0.544688960667114 0.346454184912678 0.424901827961245 0.382356023104644 0.351670103868378 0.676547597834706 0.404615830659409 0.527035035697067 0.445317860030813 0.55792908017139 0.256956206312071 0.306948800979536 0.309429536279354
"1110001J03Rik" 0.273620269789586 0.711490649300129 0.367404955833873 1.02190883105734 0.847170089775055 0.487078970585942 0.319491436776773 0.909659471533958 0.561831153293034 0.721026268409815 0.817168859360862 0.565335538382409 0.643629943480748 0.525393423064131 0.559061805356779
