"1" "2" "3" "4" "5" "6" "7" "8" "9" "10"
"0610007C21Rik" -0.940968233040411 -1.34957039890892 -0.497896839999657 -0.632298448966931 0.836154750400406 1.48994932381668 -0.384163822475869 -0.0324397316295976 -0.0916981177883239 1.60293151859263
"0610007L01Rik" 2.62135951891435 -0.0761491900311432 -0.424879149312236 -0.387407923571817 0.0837760778446186 0.508228817851951 -0.278086880293539 -0.864066378715593 -0.55056969915507 -0.632205193531521
"0610007N19Rik" -0.377101665748288 -0.377101665748288 -0.279478819612623 -0.317720836194071 -0.352436771609045 2.8411048498748 -0.352841069590907 -0.278558115007185 -0.18080917203416 -0.325056734330228
"0610007P14Rik" -0.539725853313609 0.180115787884761 1.30414025088645 1.03277255862909 -1.07562088647504 -0.143786938361044 1.66194349597139 -0.797088475391868 -0.718764294768938 -0.90398564506119
"0610007P22Rik" -2.28131459799 -0.564581569239026 -0.224989655687983 -0.693768104902304 0.316419835409024 0.796636509854835 0.399789610710362 0.353226996122828 0.701036905063325 1.19754407065893
"0610009B22Rik" -1.77508376447143 0.101540959707538 0.464290218027987 -0.0280889091471754 1.00496010578644 0.409700569645057 -0.820801387501991 -0.677532380376317 -0.443872278892808 1.76488686722271
"0610009D07Rik" -1.53747429366697 -1.08287464323765 0.484402482679146 -0.107102881988455 -0.0888728092416162 2.20815825174325 0.16293374014581 -0.453739286858089 0.294510333544978 0.120059106879598
"0610009O20Rik" -0.928240507195253 -1.41523949832329 1.91430174525772 -0.701364358029973 -0.672875604571728 0.971627754851012 -0.0822057390708706 -0.0771015101269601 0.69346518741888 0.297632529790459
"0610010K14Rik" 0.131703518558245 -1.26978259593753 2.6159371858151 -0.506675486979484 -0.276398627326476 -0.14489930067368 -0.170518807082517 -0.0454183511820559 -0.374539367070425 0.0405918318788162
"0610011F06Rik" -1.07628816923118 -0.80041753123581 -0.148172436713173 -0.278314287908945 -0.328970227226011 2.62306185827771 0.273198147067572 0.0116905705459048 -0.142548500384816 -0.133239423191251
"0610011L14Rik" 1.52371815845024 1.8562579885521 -0.494285456333105 -0.07241324715821 0.3113466985408 -1.33902685543962 -0.344775993196682 -0.684068448253104 -0.709993833800404 -0.0467590113620143
"0610012G03Rik" -2.03651167921655 0.896837483706117 -0.684965301341156 1.4395392222736 -0.47308158486214 0.987777251714285 0.439644281008225 -0.152231324855088 -0.252846791240129 -0.164161557187165
"0610030E20Rik" -0.108504485253257 -0.877399898232777 1.3357889211657 0.040168783677786 -0.478111119839787 -1.49444478436175 0.688218359402103 -0.91598134282721 0.19123568798931 1.61902987827988
"0610031J06Rik" 0.785041403037913 -1.63646660070643 -0.985001709512673 -0.247706624555587 0.400246855152731 1.13504996762972 -0.657429571283282 -0.333722598968275 -0.0949323949681551 1.63492127417404
"0610037L13Rik" -2.42223537061029 -0.488200800867428 2.74998820318538e-05 0.178034523112004 0.796095456892313 1.40651342471025 0.134952962472574 0.130908670164104 -0.168480836527624 0.432384470772072
"0610037P05Rik" -1.43450940161008 -1.30010171820543 2.00253823701166 -0.362763277619201 -0.0703944367743511 0.0267708365244731 -0.121597478027974 -0.0780854064432689 0.362237889278972 0.975904755865201
"0610040J01Rik" -0.632791610127825 2.65561598089263 -0.19745052561328 -0.578287699761757 -0.13783561297361 0.0105550406914489 -0.547947456881674 0.491388526595524 -0.37701205076299 -0.68623459205847
"0910001L09Rik" -2.11097259729715 0.486082595949861 -0.86470499580243 1.57908329710133 -0.231816809762997 0.255093698102991 0.469701823594801 -0.0731422660035975 -0.30290369282646 0.793578946943647
"1110001A16Rik" -1.80212626937992 0.450827232658191 0.767137348727801 1.38654661391784 -0.201918207275622 -1.00995419464887 1.02339517009009 -0.934275836255935 0.106429221194451 0.213938920971975
"1110001J03Rik" -1.33852461861561 0.154673427209135 1.06442614988836 0.123803891085584 -1.33198702564371 0.152036893185916 1.23442124473058 1.12351785224849 0.0227004034037203 -1.20506821749247
"1110002B05Rik" 1.03568847492297 -0.995705559607089 1.16768099022459 1.0392559752578 0.0349282002515331 -0.462463138224292 -1.62140085062696 0.953923207386903 -0.382381449276988 -0.769525850308471
"1110003E01Rik" 2.70761452955743 -0.729514715855073 -0.643316372203266 0.0482238726510183 0.0433213330241571 -0.269753849054101 -0.527394937905736 0.15742325571029 -0.522736352568355 -0.263866763356366
"1110004E09Rik" -1.90297828581872 -1.074883861482 1.49997877217729 -0.859361963432338 0.230915798078871 0.751904911331124 0.289762382341388 0.0438136730093292 0.442497326519104 0.578351247275962
"1110004F10Rik" -1.27474595398279 -1.43213928204717 1.40523683239733 -1.11026944740265 0.59432963040957 0.551176453246272 -0.256674713443459 -0.069644823187051 0.550948636336247 1.0417826676737
"1110005A03Rik" -1.46020501328654 -1.3665321622532 -0.381580038611524 -0.702403060936695 0.558055253577398 0.510912352889906 -0.0544071685915986 0.329189814660749 0.845896699028931 1.72107332352257
"1110007C09Rik" 2.56721451955508 -0.354908148387016 -0.451651775731462 -0.462960088639479 -0.296222305589981 0.873621060348734 -0.582477276899885 -0.627691898590331 -0.50541885470845 -0.159505231357203
"1110008F13Rik" -1.9099390027605 -1.40304265260631 -0.218689282030686 -0.0816219073196142 0.252542845117594 0.549834616033125 1.43376506044551 0.306529733500129 0.188709487158551 0.881911102462199
"1110008L16Rik" -1.07731980626792 -0.730654820901903 -0.616356061200618 -0.758761201404809 0.0227232345621595 2.1001905204793 -0.275022933317221 1.36339582419108 0.0289861783673071 -0.0571809345073774
