"1" "2" "3" "4" "5" "6" "7" "8" "9" "10"
"0610007C21Rik" 0.557400368135676 0.489985824125633 0.630501928579557 0.60832724635905 0.850604725787037 0.95847312866105 0.649266536689147 0.70729686834769 0.697519932698878 0.977113859861986
"0610007L01Rik" 0.557695814108057 0.299634754068218 0.266272999697865 0.269857738536148 0.314934235407542 0.35554011877684 0.280316093765734 0.224257520155596 0.254248632020434 0.246438854744905
"0610007N19Rik" 0 0 0.0246541499286984 0.014996324453455 0.0062289927220449 0.812741577185986 0.00612688933687165 0.0248866691624744 0.0495726642017885 0.0131436809415139
"0610007P14Rik" 0.256653077539223 0.330128342096312 0.44485912461981 0.41716023664264 0.201953506018443 0.297067128157572 0.481380612940818 0.230383707080429 0.238378368076848 0.219472560277666
"0610007P22Rik" 0.0649887007221577 0.182848028000426 0.206162121578147 0.173978950554085 0.243331650756011 0.276300093286163 0.249055258019224 0.245858582508416 0.269736868300044 0.303823706233437
"0610009B22Rik" 0.118756502016875 0.333817766517512 0.375388845266459 0.318962178634781 0.437349634890831 0.369132869493245 0.228117298577578 0.24453593222298 0.271313388706922 0.524437270546841
"0610009D07Rik" 1.25427250818438 1.46850713334304 2.20710213066307 1.92834932045033 1.93694042428828 3.01943925125209 2.05560677537229 1.7649934529448 2.11761355901126 2.03540167627481
"0610009O20Rik" 0.108446861658105 0.0606065167336217 0.387683994172031 0.130734039719942 0.133532632359228 0.295080416600061 0.191557085421452 0.192058499341601 0.267755117341824 0.228870497007283
"0610010K14Rik" 0.686352870394038 0.357585881369026 1.26911570647996 0.536599018866989 0.590618412286019 0.621466122609579 0.615456182236127 0.644802816345911 0.567596111049796 0.664979476405498
"0610011F06Rik" 0.0929215205438568 0.128862689011692 0.213838933656296 0.196883703362372 0.190284111386506 0.574882788790245 0.268736226275411 0.234666316075188 0.214571635202566 0.215784446809214
"0610011L14Rik" 0.171356447007038 0.183235033050939 0.0992717599854425 0.114341369345258 0.128049578475552 0.0690969283237481 0.104612356393697 0.0924925612395354 0.0915664859394711 0.115257758961511
"0610012G03Rik" 0.0938823592109597 1.04761125515922 0.533314817878668 1.22406155180153 0.602205226678691 1.07717878351095 0.898962613546555 0.706524265171998 0.673810847047879 0.702645351793973
"0610030E20Rik" 0.155718160026768 0.129694501297122 0.204601009475015 0.160750082896342 0.143208634335334 0.108810301357277 0.182683652421995 0.128388692561013 0.165863019580297 0.214187444615309
"0610031J06Rik" 0.706418281109345 0.217160275697661 0.348786688977462 0.497754820450971 0.628671764186632 0.777136400530962 0.414971599673909 0.480375565866794 0.528622368578284 0.878133811245375
"0610037L13Rik" 0.154045620948044 0.289642374610393 0.323872462150408 0.336352680889358 0.3796854410671 0.422482346617907 0.333332197255401 0.333048648596825 0.312058204153339 0.354185364821931
"0610037P05Rik" 0.166442416825388 0.19422163210289 0.876807210368151 0.387949592211625 0.44837602591342 0.468458025514137 0.437793444101003 0.446786465728216 0.537791944832727 0.664623860715443
"0610040J01Rik" 0.0226072998971368 0.399259140571828 0.0724709546495077 0.0288501385949326 0.079299203872234 0.0962957626304872 0.0323252881957623 0.15137008432295 0.0519041066873894 0.0164859791793862
"0910001L09Rik" 0.648152062330237 1.40209146422106 1.00995039935059 1.71939557737011 1.19368131954322 1.33503411713851 1.3973360359406 1.23974541203087 1.17304440653556 1.49135934561021
"1110001A16Rik" 0.291419557160306 0.58070078595904 0.621315285537175 0.700847984814545 0.496887692264029 0.393135154482192 0.654219017188054 0.402852322852322 0.536479775688768 0.55028411653792
"1110001J03Rik" 0.282874612892459 0.455691972341924 0.560983473174652 0.452119243503161 0.283631250337651 0.455386829397714 0.580658092688213 0.567822533804156 0.440417890275994 0.298320375702168
"1110002B05Rik" 1.55865806154644 1.05270128342121 1.59153327267903 1.55954661440457 1.30939994832883 1.18551530812369 0.896860137808228 1.53829288835902 1.20546115449218 1.10903558146915
"1110003E01Rik" 4.84754397097994 0.754042563680742 0.856701793477376 1.68030217722591 1.67446342301302 1.30160176814848 0.994760190631461 1.81035484511029 1.00030840376893 1.30861308249482
"1110004E09Rik" 0.0639947783722768 0.255555023915337 0.851189173654353 0.305410966060302 0.557621184565892 0.678139810856366 0.57123396325321 0.514339491118121 0.606565614511608 0.637992236468416
"1110004F10Rik" 0.819240481126363 0.766528580495694 1.71678161622324 0.87432457762241 1.4452042858653 1.43075204691399 1.16019819976805 1.22283554984764 1.43067574976422 1.59505879575604
"1110005A03Rik" 0.531202447475431 0.560045522461407 0.863324942767332 0.76453941005349 1.15265072812674 1.13813482298895 0.964065675212888 1.08218011744764 1.24128080934713 1.51075894231503
"1110007C09Rik" 2.11070457509841 0.325505742897544 0.266402607887879 0.259494072794871 0.36135841232082 1.07604538752658 0.186477991967344 0.158855233099034 0.23355493600415 0.444882339615138
"1110008F13Rik" 1.19213411528856 1.44234826269442 2.02696870581992 2.09462789549461 2.25957828150297 2.40632742847904 2.84265312395397 2.28622728626228 2.22806886299381 2.57024700473977
"1110008L16Rik" 0.0558987115346991 0.0707093105526327 0.0755925066342777 0.069508519157348 0.102895948255912 0.19165176797652 0.0901753122305235 0.160173622602988 0.10316352056141 0.0994821953304457
"1110008P14Rik" 0.578070404339236 2.28908014786694 0.29309885318689 1.61104105805542 0.745970983777947 1.1278995830311 0.804871243926128 0.543670784970678 0.340490635860567 0.624657254557512
"1110012L19Rik" 0.0856815321994719 0.0859270209596897 0.370833377542655 0.16456547807916 0.621425657467059 0.396017153091528 0.218646416236435 0.402493836985039 0.465140002996433 0.604100712075714
